,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,ABCAPITAL,2021-01-04,89.85,91.5,88.3,4772934,89.35,-0.5,,,,,,,,,,,,
1,ABCAPITAL,2021-01-05,88.2,90.8,87.6,3205184,89.65,1.4500000000000028,,,,,,,,,,,,
2,ABCAPITAL,2021-01-06,89.6,90.5,87.3,2915411,88.55,-1.0499999999999972,,,,,,,,,,,,
3,ABCAPITAL,2021-01-07,89.35,93.5,88.55,7124276,92.9,3.5500000000000114,,,,,,,,,,,,
4,ABCAPITAL,2021-01-08,93.7,94.2,91.55,4179333,92.4,-1.2999999999999972,91.32701421800948,,,,,,,,,,,
5,ABCAPITAL,2021-01-11,92.4,92.85,89.6,2621384,90.75,-1.6500000000000057,91.11616541353384,,,,,,,,,,,
6,ABCAPITAL,2021-01-12,90.7,92.25,87.3,2518994,90.45,-0.25,90.88030597377369,,,,,,,,,,,
7,ABCAPITAL,2021-01-13,90.55,93.3,89.2,3457441,91.3,0.75,91.02588421887391,,,,,,,,,,,
8,ABCAPITAL,2021-01-14,90.6,92.4,90.3,2111500,91.55,0.9500000000000028,91.20525533357676,91.07018845865211,,,,,,,,,,
9,ABCAPITAL,2021-01-15,92.2,94.65,90.7,7789711,93.3,1.0999999999999943,91.91582593709607,91.56979568429638,,,,,,,,,,
10,ABCAPITAL,2021-01-18,93.6,93.65,87.75,3392927,89.65,-3.9499999999999886,91.15171674309961,91.14975535816215,,,,,,,,,,
11,ABCAPITAL,2021-01-19,90.55,92.15,90.05,2176961,91.4,0.8500000000000085,91.23512065156586,91.20349741237388,91.16601459655844,,,,,,,,,
12,ABCAPITAL,2021-01-20,91.5,91.95,90.0,1784888,90.75,-0.75,91.07257858903206,91.10752160403649,91.09377865841645,,,,,,,,,
13,ABCAPITAL,2021-01-21,91.0,91.7,86.8,2898765,87.25,-3.75,89.79400599171105,90.30052520631445,90.43930587785299,,,,,,,,,
14,ABCAPITAL,2021-01-22,87.45,88.55,85.55,2150929,86.5,-0.9500000000000028,88.69349079385162,89.5127010674077,89.77940470474944,,,,,,,,,
15,ABCAPITAL,2021-01-25,87.3,87.6,83.75,2419729,84.1,-3.200000000000003,87.15999253859567,88.39880753841297,88.84083829771143,,,,,,,,,
16,ABCAPITAL,2021-01-27,84.1,84.4,80.0,3228975,80.4,-3.6999999999999886,84.90437232985389,86.76219274178926,87.46166200521158,,,,,,,,,
17,ABCAPITAL,2021-01-28,79.05,83.1,78.85,2076009,81.35,2.299999999999997,83.7187793342024,85.65989699863901,86.47250112513015,,,,,,,,,
18,ABCAPITAL,2021-01-29,81.55,82.85,79.75,1947233,80.8,-0.75,82.74541381110434,84.67370507546246,85.56170573403112,,,,,,,,,
19,ABCAPITAL,2021-02-01,81.2,86.5,79.7,2710730,85.9,4.700000000000003,83.79725886068833,84.92182468470205,85.61566094723932,,,,,,,,,
20,ABCAPITAL,2021-02-02,86.5,87.5,83.8,3655563,84.75,-1.75,84.11490292357445,84.88713983650266,85.47837010854288,86.54478053434089,,,,,,,,
21,ABCAPITAL,2021-02-03,85.6,90.3,84.4,4112369,89.45,3.8500000000000085,85.89350633883694,85.80649551678086,86.10527883850041,86.84588028712946,,,,,,,,
22,ABCAPITAL,2021-02-04,89.45,91.5,87.55,3877014,90.4,0.9500000000000028,87.39580475453997,86.73065166846928,86.78048525964236,87.20960183120053,,,,,,,,
23,ABCAPITAL,2021-02-05,91.0,91.9,89.4,3654733,90.15,-0.8499999999999943,88.31392437559617,87.41776614113103,87.30845270808015,87.50711606626358,,,,,,,,
24,ABCAPITAL,2021-02-08,91.55,92.7,88.7,6890154,91.9,0.3500000000000085,89.50933025768092,88.31761243609127,88.02585996914006,87.94707566111289,87.99269696653441,,,,,,,
25,ABCAPITAL,2021-02-09,92.25,92.4,88.65,2739403,89.15,-3.0999999999999943,89.38955034276093,88.4845946215616,88.20108109698266,88.06644844684273,88.09441366267639,88.10295550064856,,,,0.0981255963340999,0.0981255963340999,0.0
26,ABCAPITAL,2021-02-10,89.1,90.85,88.65,2128773,89.3,0.20000000000000284,89.3596997031078,88.64807095877919,88.37202479587282,88.1878497039072,88.1992244613415,88.20431424189063,,,,0.16771055398218948,0.11204258786371782,0.05566796611847166
27,ABCAPITAL,2021-02-11,89.3,90.3,88.6,1720424,89.05,-0.25,89.25646525738927,88.72861255713183,88.47730802930887,88.27206690646221,88.27245548132977,88.27517088897964,,,,0.2021371403292278,0.13006149835681982,0.07207564197240798
28,ABCAPITAL,2021-02-12,89.35,89.7,88.15,1305619,88.7,-0.6499999999999915,89.07097538723855,88.722881176824,88.5118401351606,88.3135873384439,88.30892286603445,88.31042326172974,,,,0.20141687343085835,0.14433257337162753,0.05708430005923082
29,ABCAPITAL,2021-02-15,89.95,95.0,89.6,13155903,94.1,4.1499999999999915,90.74732566715173,89.79963790172151,89.37732121785535,88.87160397955061,88.79877150488147,88.78660218956232,,,,0.5907190282930372,0.23360986435590947,0.35710916393712777
30,ABCAPITAL,2021-02-16,94.8,101.85,94.45,19806981,97.75,2.950000000000003,93.08155856026542,91.39128661391264,90.67272584594959,89.72309231280187,89.55016871623921,89.5178435208478,,,,1.1548823251017808,0.4178643565050838,0.737017968596697
31,ABCAPITAL,2021-02-17,97.75,104.8,97.35,13781651,104.05,6.299999999999997,96.73771418115432,93.92503673479358,92.74062874728341,91.09029239926485,90.75884950001236,90.69455546718268,,,,2.046073280100728,0.7435061412242128,1.3025671388765154
32,ABCAPITAL,2021-02-18,105.5,107.6,102.4,10635411,104.1,-1.4000000000000057,99.1918132462095,95.96132003570918,94.49530418644012,92.32620759973896,91.86383388084211,91.77259689379542,,,,2.7227072926446994,1.13934637150831,1.5833609211363893
33,ABCAPITAL,2021-02-19,103.5,104.65,96.1,7567849,98.65,-4.849999999999994,99.01120864475791,96.49932883143649,95.13667787711654,92.92451715759834,92.42260195949967,92.32217851896782,,,,2.8144993581487228,1.4743769688363928,1.34012238931233
34,ABCAPITAL,2021-02-22,98.5,110.25,98.5,26430475,106.15,7.650000000000006,101.39080739738871,98.4302463383449,96.83594407067017,94.17119571759551,93.54681713897212,93.42076391233344,,,,3.4151801583367245,1.8625376067364592,1.5526425516002653
35,ABCAPITAL,2021-02-23,107.0,113.9,105.3,16631461,112.8,5.799999999999997,105.19387333945863,101.30513002377145,99.297970904954,95.92133909015597,95.11576861874796,94.95216630840811,,,,4.345804596545889,2.3591910046983453,1.986613591847544
36,ABCAPITAL,2021-02-24,113.65,124.9,112.85,17590947,122.35,8.699999999999989,110.91258397181252,105.51519701489778,102.85178747783137,98.39674214529292,97.32500919114399,97.10655950963702,,,,5.745227968194342,3.0363983973975452,2.708829570796797
37,ABCAPITAL,2021-02-25,125.25,127.35,118.35,13709277,120.8,-4.450000000000003,114.20838998518839,108.57279264968658,105.61789203371333,100.48934746698913,99.22134146519986,98.96120603910268,,,,6.656685994610655,3.7604559168401677,2.896230077770487
38,ABCAPITAL,2021-02-26,117.5,125.45,114.95,13262514,123.65,6.150000000000006,117.35559375039786,111.58873522916305,108.39617683543094,102.64730934760456,101.18712815929817,100.88567763323667,,,,7.510499202194268,4.510464573910988,3.00003462828328
39,ABCAPITAL,2021-03-01,124.3,130.7,122.5,12882971,129.7,5.3999999999999915,121.47039620573196,115.21146972734205,111.67780017616577,105.16221144255641,103.47346296747007,103.12306071398362,,,,8.554739462182155,5.319319551565222,3.2354199106169332
40,ABCAPITAL,2021-03-02,130.1,130.1,125.4,3588936,126.75,-3.3499999999999943,123.23026424326028,117.51942120537105,113.99906134763161,107.16496559236631,105.33384633006118,104.95111844197199,,,,9.047942905659625,6.065044222384103,2.982898683275522
41,ABCAPITAL,2021-03-03,127.4,130.9,125.25,3813453,129.65,2.25,125.37017624818631,119.94574337295936,116.4090602283193,109.24707959579618,107.27150411587479,106.85583308470999,,,,9.55322714360932,6.762680806629146,2.7905463369801735
42,ABCAPITAL,2021-03-04,127.9,134.9,126.35,3935421,130.65,2.75,127.1301175459509,122.08674040707515,118.60163851106722,111.22564429434429,109.12931063896688,108.68521096998674,,,,9.91642754108048,7.393430153519414,2.522997387561067
43,ABCAPITAL,2021-03-05,129.9,130.6,122.2,2670930,124.35,-5.550000000000011,126.20341168074569,122.53941697171658,119.48657025154287,112.4370490102683,110.33577656514355,109.88620011183838,,,,9.600370139704495,7.83481815075643,1.765551988948065
44,ABCAPITAL,2021-03-08,126.0,133.0,124.5,3894234,131.25,5.25,127.88560780719789,124.28160946055839,121.29731285928624,114.17110719394088,111.98966665125957,111.51988364864505,,,,9.777429210641188,8.223340362733381,1.5540888479078063
45,ABCAPITAL,2021-03-09,134.9,139.7,131.65,9577378,134.3,-0.5999999999999943,130.02373855510797,126.2853573888717,123.29864669148684,116.02411730226758,113.75016396886231,113.25770929778159,,,,10.04093739370525,8.586859768927756,1.4540776247774936
46,ABCAPITAL,2021-03-10,135.55,137.0,132.5,2776312,134.35,-1.200000000000017,131.46582571103843,127.89833087423575,124.99951678884752,117.70921257171211,115.37246421354693,114.86322306572349,,,,10.136293723124027,8.89674655976701,1.2395471633570168
47,ABCAPITAL,2021-03-12,134.8,135.2,128.5,2937746,131.3,-3.5,131.41055047383057,128.57867987167825,125.96914117810341,118.95760645540796,116.62451524950683,116.11181339183135,,,,9.857327786272066,9.088862805068022,0.768464981204044
48,ABCAPITAL,2021-03-15,132.0,132.15,125.0,2963954,127.9,-4.099999999999994,130.24036697980088,128.44294147568868,126.266279171017,119.77824100231466,117.50938021794165,117.0055934068606,,,,9.260685764156406,9.1232273968857,0.13745836727070682
49,ABCAPITAL,2021-03-16,128.8,132.7,126.95,4777558,128.35,-0.45000000000001705,129.61024465221234,128.42435291524615,126.58692720161906,120.56418694106823,118.35879849976388,117.86422694303715,110.6940124749549,,,8.72270025858191,9.043121969224941,-0.32042171064303204
50,ABCAPITAL,2021-03-17,131.2,134.9,124.5,4256074,125.75,-5.449999999999989,128.32349643346288,127.88947622498476,126.45814347984103,121.03930386266235,118.93710895173685,118.46012237569614,111.3726634670304,,,7.9980211041448825,8.83410179620893,-0.8360806920640478
51,ABCAPITAL,2021-03-18,128.7,130.5,121.55,3157114,124.6,-4.099999999999994,127.0823309547768,127.23157497046431,126.17222699026253,121.36529855490188,119.37960694804096,118.92339655383019,111.96541452259504,,,7.248830436432343,8.517047524253613,-1.2682170878212702
52,ABCAPITAL,2021-03-19,122.4,123.65,115.55,3895703,120.8,-1.6000000000000085,124.98822063554475,125.94525057654539,125.34561246617322,121.31357675176483,119.49046148793812,119.06479749512167,112.35911159697798,,,6.280814971051555,8.069801013613201,-1.7889860425616462
53,ABCAPITAL,2021-03-22,120.8,122.6,119.05,2094161,120.8,0.0,123.59214708993066,124.91619444536744,124.64620294436584,121.26661471764437,119.59254985534726,119.19537742870277,112.73326351563662,,,5.45082551566307,7.546005914023175,-2.095180398360106
54,ABCAPITAL,2021-03-23,121.45,123.95,120.9,2129656,122.7,1.25,123.29476472655902,124.4729534833423,124.34675648484604,121.39761537895085,119.83454861215789,119.45880161474146,113.17280412740374,,,4.887954870104579,7.0143957052394565,-2.1264408351348774
55,ABCAPITAL,2021-03-24,120.7,122.75,115.0,2419900,115.9,-4.799999999999997,120.82984315069997,122.75835637160442,123.04714303267772,120.89541734336869,119.52842994480835,119.19159651509752,113.2924908486316,,,3.8555465175802084,6.382625867707607,-2.5270793501273987
56,ABCAPITAL,2021-03-25,116.85,120.25,112.5,4392651,117.95,1.1000000000000085,119.86989543371187,121.79668221884342,122.26290976228357,120.62647649204825,119.40573170159406,119.0984678136446,113.49594175405916,,,3.1644419486389666,5.7389890838938795,-2.574547135254913
57,ABCAPITAL,2021-03-26,119.0,124.7,117.0,3692542,122.95,3.950000000000003,120.89659695587075,122.02734632740554,122.36862250190721,120.8385486697063,119.68101979628318,119.38709120362083,113.9070807390915,,,2.9815312982863844,5.187497526772381,-2.2059662284859964
58,ABCAPITAL,2021-03-30,124.0,124.2,118.5,2745079,119.05,-4.950000000000003,120.28106463722204,121.43187592122977,121.85803842826486,120.67536379855164,119.63204428533224,119.36185228852007,114.12978501777123,,,2.4961861397447933,4.649235249366863,-2.15304910962207
59,ABCAPITAL,2021-03-31,118.95,121.5,117.35,2184409,119.3,0.3499999999999943,119.95404309147246,121.00550008356473,121.46447659755174,120.54991873044689,119.60629101674361,119.35722493848418,114.35275989781698,,,2.1072516590675576,4.140838531307002,-2.033586872239445
60,ABCAPITAL,2021-04-01,120.05,123.0,120.05,2429443,121.55,1.5,120.48602872765794,121.11440020036294,121.47763453793469,120.6411074717454,119.75694866276896,119.52115171802075,114.66194464555555,,,1.9564828199139441,3.7039673890283913,-1.7474845691144472
61,ABCAPITAL,2021-04-05,120.9,122.8,117.1,2769642,120.15,-0.75,120.37401915177061,120.92151997111397,121.27337658365397,120.59633982634097,119.78739634376088,119.56813084228848,114.89682569467784,,,1.7052457413654878,3.304223059495811,-1.598977318130323
62,ABCAPITAL,2021-04-06,120.5,122.65,118.5,2192623,119.35,-1.1500000000000057,120.03267943451098,120.6072157302762,120.97746454196658,120.48275593514218,119.75353182988886,119.55184532740364,115.08673486376883,,,1.4256192145629427,2.9285022905092375,-1.5028830759462948
63,ABCAPITAL,2021-04-07,119.7,131.4,119.7,11270173,127.65,7.950000000000003,122.57178628968764,122.01577346838698,122.00403180094435,121.13578846048088,120.36459421356098,120.15609491303579,115.6206738530576,,,1.8479368879085598,2.7123892099891025,-0.8644523220805427
64,ABCAPITAL,2021-04-08,129.0,130.8,125.55,4031328,127.8,-1.2000000000000028,124.31452419313135,123.17261935564073,122.89573637264157,121.74286386591996,120.93971238614144,120.72614158239517,116.1366009530164,,,2.169594790246393,2.603830326040561,-0.4342355357941683
65,ABCAPITAL,2021-04-09,127.8,127.8,124.05,2159283,125.25,-2.549999999999997,124.6263494620883,123.58809565142377,123.25793667349274,122.06228659655761,121.27296526223189,121.06334075260632,116.52144224672251,,,2.194595920886414,2.521983445009732,-0.32738752412331795
66,ABCAPITAL,2021-04-12,120.5,120.95,112.8,4777532,113.5,-7.0,120.91756630805297,121.57047587270102,121.75669496654498,121.28258283225551,120.67222892140937,120.49984617103483,116.39423575383478,,,1.2568487955101517,2.268956515109816,-1.0121077195996642
67,ABCAPITAL,2021-04-13,114.0,118.0,113.1,2685449,116.1,2.0999999999999943,119.31171087203361,120.47638041685784,120.88642405846444,120.81071597406014,120.31899057768355,120.17218335664775,116.38188370366498,,,0.7142407018166921,1.9580133524511911,-1.243772650634499
68,ABCAPITAL,2021-04-15,121.0,123.4,117.35,7443237,119.65,-1.3499999999999943,119.42447391468916,120.31110429949094,120.69620309641937,120.70504916190812,120.26732340217696,120.13331106388104,116.51870137239811,,,0.5628920325383291,1.6789890884686187,-1.1160970559302896
69,ABCAPITAL,2021-04-16,119.05,121.95,117.6,3856253,120.1,1.0499999999999972,119.64964927645954,120.2688834326453,120.60447877763713,120.64997495612204,120.25440474239824,120.13083223845082,116.66823415901445,,,0.47364653918630495,1.437920578612156,-0.9642740394258511
70,ABCAPITAL,2021-04-19,116.0,116.8,113.3,2847571,115.55,-0.45000000000000284,118.28309951763926,119.32510662187711,119.8268611667822,120.18580655720721,119.89129169972664,119.79006799612245,116.62166185137481,,,0.03679317065974885,1.1576950970216746,-1.1209019263619258
71,ABCAPITAL,2021-04-20,118.0,120.6,116.0,3698356,117.3,-0.7000000000000028,117.9553996784261,118.92008525484793,119.43811097211194,119.92318568175659,119.69133341262445,119.60489228586677,116.64984478199217,,,-0.16678131375482508,0.8927998148663747,-1.0595811286211998
72,ABCAPITAL,2021-04-22,116.0,118.35,115.0,1966765,117.25,1.25,117.72026645228405,118.58606817573744,119.10147681286425,119.67993739071298,119.50299238568702,119.42982007508274,116.67472144871311,,,-0.3283432622184961,0.6485711994494006,-0.9769144616678966
73,ABCAPITAL,2021-04-23,116.55,119.0,115.35,1608146,116.1,-0.45000000000000284,117.18017763485598,118.0888545070778,118.6397091738599,119.35420682860529,119.24052117677007,119.18233460499789,116.65095213892143,,,-0.5426254311379921,0.41033187333192206,-0.9529573044699142
74,ABCAPITAL,2021-04-26,117.2,117.8,112.5,3284687,113.05,-4.150000000000006,115.80345175657058,117.08108355132332,117.77975080335538,118.78064616735142,118.76314773373954,118.72666898203754,116.50234244838376,,,-0.9469181786821537,0.13888186292910693,-1.0858000416112605
75,ABCAPITAL,2021-04-27,113.9,121.6,113.5,5325076,118.45,4.549999999999997,116.68563450438043,117.35486685286855,117.88286638022232,118.75056592492433,118.73900438129361,118.70611573518711,116.58255665843434,,,-0.823249354964787,-0.053544380649671874,-0.7697049743151152
