,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,AJANTPHARM,2021-01-04,1651.9,1674.9,1642.0,91174,1649.8,-2.1000000000001364,,,,,,,,,,,,
1,AJANTPHARM,2021-01-05,1645.0,1682.0,1642.05,85451,1670.95,25.950000000000045,,,,,,,,,,,,
2,AJANTPHARM,2021-01-06,1676.5,1710.0,1665.0,204496,1702.55,26.049999999999955,,,,,,,,,,,,
3,AJANTPHARM,2021-01-07,1710.95,1789.95,1710.95,312286,1767.2,56.25,,,,,,,,,,,,
4,AJANTPHARM,2021-01-08,1790.0,1834.0,1711.15,318431,1790.45,0.4500000000000455,1745.2447867298577,,,,,,,,,,,
5,AJANTPHARM,2021-01-11,1778.0,1816.0,1742.6,167139,1810.45,32.450000000000045,1769.0716541353383,,,,,,,,,,,
6,AJANTPHARM,2021-01-12,1810.0,1844.9,1786.0,123354,1820.3,10.299999999999955,1787.2093249150075,,,,,,,,,,,
7,AJANTPHARM,2021-01-13,1829.0,1829.0,1751.0,105902,1777.45,-51.549999999999955,1783.8241316415545,,,,,,,,,,,
8,AJANTPHARM,2021-01-14,1784.9,1784.9,1750.3,67648,1765.0,-19.90000000000009,1777.381842366074,1770.6239672710692,,,,,,,,,,
9,AJANTPHARM,2021-01-15,1768.0,1787.65,1736.05,67494,1748.35,-19.65000000000009,1767.5337811288236,1765.633305600324,,,,,,,,,,
10,AJANTPHARM,2021-01-18,1748.0,1774.0,1700.0,136038,1742.9,-5.099999999999909,1759.2264798770982,1760.659388231628,,,,,,,,,,
11,AJANTPHARM,2021-01-19,1748.0,1816.8,1748.0,88193,1796.3,48.299999999999955,1771.6803058718679,1768.3134969299301,1766.1183794947112,,,,,,,,,
12,AJANTPHARM,2021-01-20,1790.0,1796.2,1765.0,40981,1778.75,-11.25,1774.0490416932778,1770.5222235754081,1768.3117086831624,,,,,,,,,
13,AJANTPHARM,2021-01-21,1795.55,1795.55,1735.6,73640,1743.55,-52.0,1763.8477500663478,1764.879614279032,1764.0955802914073,,,,,,,,,
14,AJANTPHARM,2021-01-22,1725.0,1740.0,1700.0,43831,1721.15,-3.849999999999909,1749.5825899601844,1755.8147498605927,1756.9014603899186,,,,,,,,,
15,AJANTPHARM,2021-01-25,1730.1,1794.4,1700.0,137055,1758.95,28.850000000000136,1752.709820991441,1756.459960966577,1757.2399977123075,,,,,,,,,
16,AJANTPHARM,2021-01-27,1760.0,1777.95,1721.15,88649,1731.9,-28.09999999999991,1745.7661664680672,1751.4348124892108,1753.0996122595627,,,,,,,,,
17,AJANTPHARM,2021-01-28,1738.4,1771.0,1700.0,83276,1757.85,19.449999999999818,1749.796838290416,1752.7413871479537,1753.8684534870476,,,,,,,,,
