,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,APLAPOLLO,2021-01-04,864.0,897.0,862.1,567588,891.05,27.049999999999955,,,,,,,,,,,,
1,APLAPOLLO,2021-01-05,884.4,886.5,861.1,311347,879.45,-4.949999999999932,,,,,,,,,,,,
2,APLAPOLLO,2021-01-06,888.95,899.0,879.5,762569,891.65,2.699999999999932,,,,,,,,,,,,
3,APLAPOLLO,2021-01-07,895.0,921.0,885.9,444727,915.1,20.100000000000023,,,,,,,,,,,,
4,APLAPOLLO,2021-01-08,922.0,967.9,918.95,1526888,962.1,40.10000000000002,923.2630331753554,,,,,,,,,,,
5,APLAPOLLO,2021-01-11,973.9,987.9,930.1,614462,966.45,-7.449999999999932,939.044135338346,,,,,,,,,,,
6,APLAPOLLO,2021-01-12,968.0,971.0,945.0,265300,963.95,-4.0499999999999545,947.8621903836817,,,,,,,,,,,
7,APLAPOLLO,2021-01-13,969.0,973.0,945.5,726796,950.25,-18.75,948.6904440919907,,,,,,,,,,,
8,APLAPOLLO,2021-01-14,945.1,977.0,945.1,229758,956.75,11.649999999999977,951.4487115956395,944.8806642712129,,,,,,,,,,
9,APLAPOLLO,2021-01-15,957.0,965.0,943.1,105969,945.55,-11.450000000000045,949.447775096941,945.0306343293471,,,,,,,,,,
10,APLAPOLLO,2021-01-18,954.0,954.0,924.1,518546,926.0,-28.0,941.5404331264028,940.866840277914,,,,,,,,,,
11,APLAPOLLO,2021-01-19,935.05,965.0,910.1,324059,951.8,16.75,944.9868514919077,943.2148244672034,941.7441992934007,,,,,,,,,
12,APLAPOLLO,2021-01-20,955.0,959.6,934.85,156739,939.85,-15.149999999999977,943.2657241110603,942.5027107057097,941.4152943364145,,,,,,,,,
13,APLAPOLLO,2021-01-21,940.0,968.5,928.1,188465,963.55,23.549999999999955,950.0503901954964,946.9058193297892,945.1841279894347,,,,,,,,,
14,APLAPOLLO,2021-01-22,970.0,974.0,935.0,120196,938.25,-31.75,946.1079235504769,945.1115243205905,944.0225428430758,,,,,,,,,
15,APLAPOLLO,2021-01-25,950.0,960.1,920.1,505253,942.15,-7.850000000000023,944.7866040722238,944.5020646930249,943.7130903740907,,,,,,,,,
16,APLAPOLLO,2021-01-27,957.0,957.95,901.1,363967,939.55,-17.450000000000045,943.0392959349664,943.4888358696633,943.0328693646399,,,,,,,,,
17,APLAPOLLO,2021-01-28,939.65,944.9,911.55,203510,920.0,-19.649999999999977,935.3543306723764,938.7048887661599,939.3050432328773,,,,,,,,,
18,APLAPOLLO,2021-01-29,937.65,938.5,904.0,556216,906.65,-31.0,925.7819023929593,932.2001681088368,934.061842356128,,,,,,,,,
19,APLAPOLLO,2021-02-01,910.0,957.0,890.1,218914,931.95,21.950000000000045,927.8385534225474,932.1495509105048,933.7250204940707,,,,,,,,,
20,APLAPOLLO,2021-02-02,935.0,955.0,926.15,308982,931.5,-3.5,929.0592803534142,932.0184313640455,933.372139922616,934.760704952741,,,,,,,,
21,APLAPOLLO,2021-02-03,944.0,949.9,925.0,123143,946.9,2.8999999999999773,935.006981855299,935.0168696607886,935.5074681913446,936.0188332218656,,,,,,,,
22,APLAPOLLO,2021-02-04,946.0,949.9,925.0,167881,928.75,-17.25,932.9211353779577,933.7560531817791,934.4450742100167,935.2749552839678,,,,,,,,
23,APLAPOLLO,2021-02-05,932.0,936.0,920.1,104458,927.75,-4.25,931.1973211852395,932.5491430735806,933.3960266408142,934.5135681565546,,,,,,,,
24,APLAPOLLO,2021-02-08,927.0,969.1,925.05,1007964,963.1,36.10000000000002,941.8319686114953,938.6824855716973,938.0371301328137,937.3765791447216,937.1969342001407,,,,,,,
25,APLAPOLLO,2021-02-09,966.0,974.9,941.1,303329,947.9,-18.100000000000023,943.8546991439526,940.5315769932637,939.5744681284823,938.4208759656374,938.1376389769109,938.0763338259745,,,,1.498134302507765,1.498134302507765,0.0
26,APLAPOLLO,2021-02-10,948.0,953.9,920.7,242501,949.3,1.2999999999999545,945.669831377346,942.2895120206986,941.0873353539223,939.4915562547193,939.1080680018579,939.0266883667929,,,,2.0606469871294166,1.6106368394320953,0.4500101476973213
27,APLAPOLLO,2021-02-11,948.0,953.0,931.1,208962,941.0,-7.0,944.1132026528054,942.0311097939608,941.0737729870418,939.6389051717409,939.2709171949492,939.192024302334,,,,1.8817486847078726,1.6648592084872509,0.2168894762206217
28,APLAPOLLO,2021-02-12,950.95,959.9,943.45,501304,947.55,-3.400000000000091,945.2588107302195,943.1365984960778,942.0780200464989,940.4064832807434,939.9770810784032,939.8855701707483,,,,2.192449875750526,1.770377341939906,0.42207253381062015
29,APLAPOLLO,2021-02-15,952.5,995.0,952.5,366973,976.35,23.850000000000023,955.6225945349307,949.7875122292704,947.385983854564,943.8727207654113,943.0537496173416,942.8846828667323,,,,4.501300987831655,2.316562071118256,2.1847389167133993
30,APLAPOLLO,2021-02-16,990.0,998.9,955.1,811679,958.1,-31.899999999999977,956.4483992277205,951.4516578734357,949.0436356600856,945.2371972152405,944.3167841365795,944.1259608945251,,,,4.917674765560491,2.836784610006703,2.080890155553788
31,APLAPOLLO,2021-02-17,956.25,989.9,956.0,1501038,976.15,19.899999999999977,963.0156147067706,956.3952430104148,953.2338263385167,948.1871699213465,946.9703457916664,946.7190426191382,,,,6.514783719378443,3.5723844318810514,2.942399287497391
32,APLAPOLLO,2021-02-18,984.9,996.0,957.9,240352,973.55,-11.350000000000023,966.5270818971463,959.8283704113371,956.3720538115313,950.596625089999,949.1718128051816,948.8767393297128,,,,7.495314481818468,4.356970441868535,3.138344039949933
33,APLAPOLLO,2021-02-19,975.0,989.9,965.1,161338,968.95,-6.0499999999999545,967.3347220967486,961.6536218414981,958.3137516228845,952.3330830463319,950.8003346338737,950.4808179406834,,,,7.832933682201087,5.052163089935045,2.780770592266042
34,APLAPOLLO,2021-02-22,968.95,982.65,941.1,212179,947.0,-21.950000000000045,960.5564767427944,958.7217081477093,956.5681315964727,951.8303686750102,950.4891034835952,950.2042757715611,,,,6.363855824911525,5.314501636930341,1.0493541879811836
35,APLAPOLLO,2021-02-23,951.1,989.9,940.1,209052,974.45,23.350000000000023,965.1876532822055,961.8683876740562,959.3259294926659,953.9554432237071,952.441688898564,952.1202419123333,,,,7.205687580332551,5.692738825610784,1.5129487547217675
36,APLAPOLLO,2021-02-24,985.0,1019.0,981.0,409528,1014.5,29.5,981.6251072052971,972.3974436384553,967.8318412869646,959.6262632976869,957.4758584633438,957.0253934739919,,,,10.806447812972692,6.715480623083165,4.090967189889527
37,APLAPOLLO,2021-02-25,1035.5,1073.9,1030.3,395797,1062.75,27.25,1008.666743639429,990.4717087887707,982.4602367847203,969.2586695136034,965.980004592516,965.3011765816557,,,,17.159060203064655,8.804196539079463,8.354863663985192
38,APLAPOLLO,2021-02-26,1045.0,1088.0,1025.05,311092,1072.7,27.700000000000045,1030.0111653217975,1006.9200999887752,996.3638670824283,978.8966729226883,974.5678174135683,973.6728283212818,,,,22.6910387611465,11.581564983492871,11.10947377765363
39,APLAPOLLO,2021-03-01,1125.0,1142.0,1051.25,603703,1092.7,-32.299999999999955,1050.907445437677,1024.0783607150718,1011.2034055021903,989.4761834548091,984.0403715119993,982.9150855804811,,,,28.288319921709217,14.922915971136142,13.365403950573075
40,APLAPOLLO,2021-03-02,1116.0,1167.0,1110.0,697954,1157.4,41.40000000000009,1086.4049657653281,1050.745524311291,1033.7190622858577,1005.0549037828732,997.8961855505448,996.415289409708,,,,37.303772876149765,19.399087352138867,17.904685524010898
41,APLAPOLLO,2021-03-03,1165.0,1250.0,1164.0,837156,1243.15,78.15000000000009,1138.6533126103175,1089.2296933200626,1065.9681392698812,1027.10250775778,1017.4394887192514,1015.4428399094711,,,,50.525299360410145,25.624329753793127,24.900969606617018
42,APLAPOLLO,2021-03-04,1215.0,1320.0,1210.0,803885,1313.85,98.84999999999991,1197.0522099717564,1134.156812237323,1104.132782421087,1053.6105008182137,1040.9941854841688,1038.385414928858,,,,65.74736749222916,33.64893730148033,32.09843019074883
43,APLAPOLLO,2021-03-05,1311.0,1360.0,1301.0,494935,1340.8,29.799999999999955,1244.968140837153,1175.4877000574318,1140.5665267443794,1080.1186755031429,1064.7582536615935,1061.5709575054057,,,,78.99556923897376,42.718263688979015,36.27730554999474
44,APLAPOLLO,2021-03-08,1340.8,1394.9,1340.0,437611,1378.05,37.25,1289.3287610864145,1216.0019246893057,1177.1223147121902,1107.5800903390277,1089.5332645504748,1085.7720174373637,,,,91.35029727482652,52.44467040614852,38.905626868678
45,APLAPOLLO,2021-03-09,1391.0,1393.95,1301.15,419967,1326.65,-64.34999999999991,1301.7691741563824,1238.1323108828565,1200.1371586578018,1127.7470593294834,1108.2440283114822,1104.147864599563,,,,95.98929405823878,61.15359513656658,34.835698921672204
46,APLAPOLLO,2021-03-10,1326.95,1346.6,1280.35,366662,1335.55,8.599999999999909,1313.0294494971904,1257.6163918431914,1220.9780137284808,1146.854883933418,1126.145070481486,1121.7618506554961,,,,99.21616307298473,68.76610872385021,30.45005434913452
47,APLAPOLLO,2021-03-12,1338.0,1338.05,1250.0,211772,1257.55,-80.45000000000005,1294.5362995995363,1257.6031131784289,1226.6063264568802,1157.0228824089802,1136.4747084330031,1132.076754261572,,,,94.52957219530822,73.91880141814181,20.610770777166408
48,APLAPOLLO,2021-03-15,1250.0,1250.0,1123.0,485101,1144.5,-105.5,1244.5241996153711,1234.98208697015,1213.9710634473652,1155.873669965979,1137.1045083508116,1133.0186844440404,,,,80.95237900332472,75.3255169351784,5.626862068146323
49,APLAPOLLO,2021-03-16,1131.0,1134.05,1050.1,560864,1107.55,-23.450000000000045,1198.8661330053071,1209.4953058166238,1197.5947312946416,1151.4428650208463,1134.78876070832,1131.0910149439735,1078.8427648254935,,,66.50371635066813,73.56115681827634,-7.057440467608217
50,APLAPOLLO,2021-03-17,1101.4,1193.0,1097.0,513156,1160.6,59.19999999999982,1186.110755323535,1199.7161329948844,1191.9020985625648,1152.2818288887058,1136.808311854406,1133.3208875627097,1082.5279849857939,,,58.5812109998551,70.5651676545921,-11.983956654737
51,APLAPOLLO,2021-03-18,1148.75,1227.9,1147.95,679388,1219.6,70.84999999999991,1197.2738368901375,1203.6929427216194,1196.1640335711359,1158.4450524908082,1143.277649830862,1139.8309334219791,1088.6705354066987,,,56.333100149156735,67.71875415350503,-11.385654004348297
52,APLAPOLLO,2021-03-19,1219.0,1274.0,1189.0,460682,1254.6,35.59999999999991,1216.3825579356378,1213.8744285785867,1205.1554664846833,1167.242717410697,1151.9657998406433,1148.4787135794763,1096.0648772161005,,,56.67675290520697,65.51035390384543,-8.83360099863846
53,APLAPOLLO,2021-03-22,1254.6,1296.9,1245.0,538272,1283.8,29.200000000000045,1238.8550386307204,1227.8596246204172,1217.256087905457,1177.9008460411994,1162.2432663977484,1158.6621040155917,1104.3864487184628,,,58.593983889865285,64.1270799010494,-5.533096011184114
54,APLAPOLLO,2021-03-23,1273.75,1346.0,1271.35,564849,1321.7,47.950000000000045,1266.470025759517,1246.627787471376,1233.3260254141069,1191.0430099072573,1174.6612713537509,1170.9168116679637,1113.9701405744108,,,62.40921374614322,63.78350667006817,-1.3742929239249477
55,APLAPOLLO,2021-03-24,1327.95,1332.8,1233.05,266882,1291.2,-36.75,1274.7133505074796,1255.5422633301146,1242.2304843075544,1200.1921846325356,1183.7283038965854,1179.9480207105303,1121.748115376833,,,62.28246359702416,63.48329805545937,-1.2008344584352102
