,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,APOLLOHOSP,2021-01-04,2418.1,2429.0,2398.25,527018,2409.25,-8.849999999999909,,,,,,,,,,,,
1,APOLLOHOSP,2021-01-05,2405.0,2515.85,2385.8,1720467,2509.45,104.44999999999982,,,,,,,,,,,,
2,APOLLOHOSP,2021-01-06,2522.0,2538.85,2481.0,1108589,2502.15,-19.84999999999991,,,,,,,,,,,,
3,APOLLOHOSP,2021-01-07,2502.15,2564.0,2500.0,1014690,2508.55,6.400000000000091,,,,,,,,,,,,
4,APOLLOHOSP,2021-01-08,2533.9,2579.0,2515.7,862326,2553.5,19.59999999999991,2517.2862559241707,,,,,,,,,,,
5,APOLLOHOSP,2021-01-11,2564.75,2591.85,2524.5,422296,2550.55,-14.199999999999818,2529.4412781954893,,,,,,,,,,,
6,APOLLOHOSP,2021-01-12,2559.0,2585.0,2508.2,500012,2517.25,-41.75,2525.1248907236527,,,,,,,,,,,
7,APOLLOHOSP,2021-01-13,2528.0,2537.75,2437.75,662618,2479.2,-48.80000000000018,2509.195035685964,,,,,,,,,,,
8,APOLLOHOSP,2021-01-14,2481.9,2528.9,2475.0,603193,2512.0,30.09999999999991,2510.1549945229776,2510.237437321886,,,,,,,,,,
9,APOLLOHOSP,2021-01-15,2520.0,2613.7,2510.1,1941813,2592.35,72.34999999999991,2538.0368436018957,2528.6354179895056,,,,,,,,,,
10,APOLLOHOSP,2021-01-18,2599.5,2630.85,2547.05,1572820,2609.25,9.75,2562.052204467187,2546.2734279068336,,,,,,,,,,
11,APOLLOHOSP,2021-01-19,2618.5,2659.0,2580.0,1202289,2645.5,27.0,2590.084188529331,2567.5831341906915,2559.2731433903373,,,,,,,,,
12,APOLLOHOSP,2021-01-20,2645.25,2682.85,2643.25,1064146,2675.8,30.550000000000182,2618.8036931375786,2590.4855827789183,2579.5066324928157,,,,,,,,,
13,APOLLOHOSP,2021-01-21,2675.0,2685.0,2574.4,994932,2585.05,-89.94999999999982,2607.5137886663097,2589.3484548059946,2580.450490989498,,,,,,,,,
14,APOLLOHOSP,2021-01-22,2590.05,2652.0,2567.1,1194708,2597.9,7.849999999999909,2604.3018574910457,2591.1211344655308,2583.3735824739265,,,,,,,,,
15,APOLLOHOSP,2021-01-25,2610.85,2708.0,2610.85,1764152,2686.9,76.05000000000018,2631.876552447309,2610.831710978931,2600.4821392298322,,,,,,,,,
16,APOLLOHOSP,2021-01-27,2698.0,2749.65,2587.25,1665899,2600.4,-97.59999999999991,2621.3737083396704,2608.6973062616985,2600.4687182312923,,,,,,,,,
17,APOLLOHOSP,2021-01-28,2594.0,2699.5,2580.55,1410605,2622.4,28.40000000000009,2621.716037192999,2611.488119837275,2604.0182545042653,,,,,,,,,
18,APOLLOHOSP,2021-01-29,2622.6,2676.5,2551.0,921579,2561.25,-61.34999999999991,2601.5515954236753,2601.2935770243366,2597.1512432461686,,,,,,,,,
