,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,ASIANPAINT,2021-01-04,2781.1,2791.1,2745.0,1360486,2753.7,-27.40000000000009,,,,,,,,,,,,
1,ASIANPAINT,2021-01-05,2753.7,2804.6,2732.0,1299589,2793.85,40.15000000000009,,,,,,,,,,,,
2,ASIANPAINT,2021-01-06,2801.3,2822.45,2780.0,1697884,2805.35,4.049999999999727,,,,,,,,,,,,
3,ASIANPAINT,2021-01-07,2801.0,2831.85,2781.5,1142806,2792.25,-8.75,,,,,,,,,,,,
4,ASIANPAINT,2021-01-08,2818.0,2849.8,2789.05,1660967,2844.7,26.699999999999818,2811.8786729857816,,,,,,,,,,,
5,ASIANPAINT,2021-01-11,2845.0,2873.45,2824.6,1517995,2849.3,4.300000000000182,2825.552932330827,,,,,,,,,,,
6,ASIANPAINT,2021-01-12,2849.6,2850.0,2712.15,6674890,2720.55,-129.04999999999973,2788.376080621661,,,,,,,,,,,
7,ASIANPAINT,2021-01-13,2760.0,2763.0,2678.0,2862676,2703.7,-56.30000000000018,2759.0046946867565,,,,,,,,,,,
8,ASIANPAINT,2021-01-14,2713.0,2736.65,2648.0,2124950,2663.9,-49.09999999999991,2726.4564759271816,2746.7228802097716,,,,,,,,,,
9,ASIANPAINT,2021-01-15,2660.9,2661.85,2580.55,2570436,2590.9,-70.0,2680.473570012926,2711.8095095370004,,,,,,,,,,
10,ASIANPAINT,2021-01-18,2592.0,2619.85,2555.4,2395168,2588.2,-3.800000000000182,2649.3559620557517,2684.7644551471403,,,,,,,,,,
11,ASIANPAINT,2021-01-19,2615.0,2676.6,2590.0,2558693,2645.05,30.050000000000182,2647.909492931573,2676.235455741473,2688.4227588560325,,,,,,,,,
12,ASIANPAINT,2021-01-20,2654.0,2707.15,2645.05,2065439,2697.25,43.25,2664.4412727258978,2680.6828634157446,2689.955503260953,,,,,,,,,
13,ASIANPAINT,2021-01-21,2726.95,2816.95,2695.0,5015712,2716.35,-10.599999999999909,2681.803656443765,2688.144455000983,2694.4496433266286,,,,,,,,,
14,ASIANPAINT,2021-01-22,2750.0,2768.85,2590.0,4945564,2596.65,-153.3499999999999,2653.354135311902,2669.178249986441,2678.0665287979527,,,,,,,,,
15,ASIANPAINT,2021-01-25,2612.85,2631.5,2501.0,3520087,2513.95,-98.90000000000009,2606.8152375824448,2637.233433336907,2650.9449784283106,,,,,,,,,
16,ASIANPAINT,2021-01-27,2525.0,2525.0,2430.55,2700415,2436.6,-88.40000000000009,2550.019179371631,2596.1823586461232,2615.9224484095957,,,,,,,,,
17,ASIANPAINT,2021-01-28,2420.0,2453.95,2401.05,3035457,2441.7,21.699999999999818,2513.88833869434,2564.7190951498683,2587.7248762513473,,,,,,,,,
18,ASIANPAINT,2021-01-29,2456.0,2484.0,2400.0,2768673,2407.35,-48.65000000000009,2478.359532334077,2532.7850581449966,2558.763294343152,,,,,,,,,
19,ASIANPAINT,2021-02-01,2426.6,2467.75,2376.9,1797359,2447.8,21.200000000000273,2468.169957258795,2515.589798671757,2541.065541803893,,,,,,,,,
20,ASIANPAINT,2021-02-02,2460.0,2520.0,2425.1,2679428,2463.65,3.650000000000091,2466.66300271625,2505.1051349835275,2528.7877040473318,2570.6989859743244,,,,,,,,
21,ASIANPAINT,2021-02-03,2503.85,2503.85,2438.35,2409356,2453.65,-50.19999999999982,2462.324755306243,2494.73760914852,2516.9274643211784,2558.5679159613314,,,,,,,,
22,ASIANPAINT,2021-02-04,2456.0,2456.0,2398.0,3478562,2401.8,-54.19999999999982,2442.1480390288,2476.039714429665,2498.8273827940443,2542.524599173837,,,,,,,,
23,ASIANPAINT,2021-02-05,2420.0,2423.9,2370.8,3303319,2376.75,-43.25,2420.3473976581804,2456.087550111696,2479.699143485943,2525.7512575259525,,,,,,,,
24,ASIANPAINT,2021-02-08,2394.0,2434.9,2373.4,3666313,2416.85,22.84999999999991,2419.1815522688285,2448.210280606567,2469.8792659976816,2514.844492434404,2527.292920297585,,,,,,,
25,ASIANPAINT,2021-02-09,2432.5,2532.45,2423.65,7178572,2506.85,74.34999999999991,2448.405139723387,2459.97377747298,2475.6419410481376,2514.051155063515,2525.4961684944406,2527.947584020616,,,,-52.30564297247838,-52.30564297247838,0.0
26,ASIANPAINT,2021-02-10,2529.0,2555.0,2475.0,4473123,2510.6,-18.40000000000009,2469.1371247181355,2470.1235626531197,2481.079885455904,2513.7115060541464,2524.2011311598117,2526.4786918609066,,,,-45.39880640500269,-50.92427565898324,5.525469253980553
27,ASIANPAINT,2021-02-11,2524.95,2540.0,2495.1,1446286,2505.5,-19.449999999999818,2481.2582253739806,2477.2125622419167,2484.8721017558955,2512.9093836495285,2522.5914199639224,2524.7209706845438,,,,-39.848868928648244,-48.709194312916246,8.860325384268002
28,ASIANPAINT,2021-02-12,2518.0,2523.0,2464.2,1376085,2486.1,-31.90000000000009,2482.8721628745766,2478.992804585129,2485.062507867122,2510.308189193899,2519.4788864331845,2521.516197708247,,,,-36.4536898411252,-46.25809341855804,9.804403577432844
29,ASIANPAINT,2021-02-15,2495.0,2517.5,2448.55,1634576,2456.75,-38.25,2474.164729839627,2474.538729790577,2480.6775331070367,2505.143268787116,2514.1728511439183,2516.1893318631764,,,,-35.5117987561398,-44.10883448607439,8.597035729934596
30,ASIANPAINT,2021-02-16,2472.0,2475.1,2422.0,1615849,2450.25,-21.75,2466.193125511302,2469.6761681846974,2475.969844178088,2499.878694213218,2508.8069449872637,2510.809947188365,,,,-34.84010301027729,-42.255088190914975,7.414985180637686
31,ASIANPAINT,2021-02-17,2436.0,2455.05,2382.0,3178784,2388.15,-47.84999999999991,2440.178690044089,2453.358005967677,2462.3943647134943,2489.21655526992,2498.7491913499366,2500.8778063254167,,,,-38.483441611922444,-41.50075887511647,3.0173172631940233
32,ASIANPAINT,2021-02-18,2424.0,2479.6,2395.25,4253843,2470.75,46.75,2450.3691424424824,2456.838610869588,2463.6850548132898,2487.4622424860413,2496.4301507906107,2498.454983029087,,,,-34.769928215797336,-40.15459274325264,5.384664527455307
