,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,ATUL,2021-01-04,6428.0,6468.0,6390.0,25320,6456.8,28.800000000000182,,,,,,,,,,,,
1,ATUL,2021-01-05,6448.0,6744.95,6401.0,57978,6583.8,135.80000000000018,,,,,,,,,,,,
2,ATUL,2021-01-06,6640.0,6681.65,6554.8,38716,6578.25,-61.75,,,,,,,,,,,,
3,ATUL,2021-01-07,6615.25,6620.0,6534.0,41095,6559.6,-55.649999999999636,,,,,,,,,,,,
4,ATUL,2021-01-08,6590.0,6679.9,6590.0,97592,6640.55,50.55000000000018,6588.814928909953,,,,,,,,,,,
5,ATUL,2021-01-11,6680.0,6749.0,6500.0,26737,6529.4,-150.60000000000036,6567.103909774437,,,,,,,,,,,
6,ATUL,2021-01-12,6562.25,6644.9,6532.2,25782,6597.9,35.649999999999636,6578.007430791647,,,,,,,,,,,
7,ATUL,2021-01-13,6629.0,6729.0,6600.05,127126,6612.75,-16.25,6590.058501189532,,,,,,,,,,,
8,ATUL,2021-01-14,6658.0,6725.0,6602.4,24141,6628.25,-29.75,6603.12899431433,6593.348400750807,,,,,,,,,,
9,ATUL,2021-01-15,6620.1,6650.1,6550.0,50954,6589.0,-31.100000000000364,6598.336215424388,6592.374106558309,,,,,,,,,,
10,ATUL,2021-01-18,6589.0,6639.65,6551.0,27349,6579.6,-9.399999999999636,6592.017762522917,6589.579205033779,,,,,,,,,,
11,ATUL,2021-01-19,6581.0,6628.0,6511.7,31077,6532.2,-48.80000000000018,6571.923635949902,6577.256558183467,6577.808416104973,,,,,,,,,
12,ATUL,2021-01-20,6583.1,6583.1,6505.0,22544,6534.75,-48.350000000000364,6559.468426220786,6568.260693664763,6570.331839302182,,,,,,,,,
13,ATUL,2021-01-21,6580.0,6580.0,6430.0,31613,6449.85,-130.14999999999964,6522.803355074966,6543.489088202011,6549.8176288382565,,,,,,,,,
14,ATUL,2021-01-22,6455.0,6550.0,6435.05,25933,6509.75,54.75,6518.442277505828,6536.495194814306,6543.1056150739805,,,,,,,,,
15,ATUL,2021-01-25,6730.0,6800.0,6502.55,35561,6525.65,-204.35000000000036,6520.848515020003,6534.263334570429,6540.220937053251,,,,,,,,,
16,ATUL,2021-01-27,6535.0,6570.0,6365.0,23058,6375.05,-159.94999999999982,6472.199633382039,6501.687116437111,6513.233115161723,,,,,,,,,
17,ATUL,2021-01-28,6300.0,6429.4,6222.0,28275,6303.15,3.149999999999636,6415.811601219006,6461.251265618981,6479.2315622442975,,,,,,,,,
18,ATUL,2021-01-29,6340.0,6480.0,6324.55,77724,6372.6,32.600000000000364,6401.40123373025,6443.261756343928,6462.110448771523,,,,,,,,,
19,ATUL,2021-02-01,6400.0,6553.0,6373.95,18169,6527.25,127.25,6443.363441725408,6460.2553276127,6472.499683022219,,,,,,,,,
20,ATUL,2021-02-02,6530.0,6660.0,6530.0,43621,6548.85,18.850000000000364,6478.532678748617,6478.139211807554,6484.608579797622,6499.223889342682,,,,,,,,
21,ATUL,2021-02-03,6560.95,6599.0,6425.0,27104,6507.8,-53.149999999999636,6488.28975660261,6484.115466421799,6488.269269283382,6500.112725738462,,,,,,,,
22,ATUL,2021-02-04,6575.0,6575.0,6410.0,24726,6447.4,-127.60000000000036,6474.658623135814,6476.728769776618,6481.843894501219,6494.718210205303,,,,,,,,
23,ATUL,2021-02-05,6489.85,6489.95,6359.0,13457,6380.6,-109.25,6443.3038861857485,6457.411793982253,6465.980043244097,6483.171545411311,,,,,,,,
24,ATUL,2021-02-08,6400.0,6442.0,6311.25,19038,6368.3,-31.699999999999818,6418.301600646786,6439.521848884112,6450.718004582908,6471.666839313627,6477.189685751337,,,,,,,
25,ATUL,2021-02-09,6368.0,6400.0,6290.0,17176,6296.7,-71.30000000000018,6377.76666358468,6410.870886888005,6426.711023486043,6454.3039193493205,6461.326239452961,6462.786282813842,,,,-36.07525932779936,-36.07525932779936,0.0
