,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,AUBANK,2021-01-04,890.0,891.75,868.0,1346862,883.25,-6.75,,,,,,,,,,,,
1,AUBANK,2021-01-05,889.55,890.0,872.5,766652,884.65,-4.899999999999977,,,,,,,,,,,,
2,AUBANK,2021-01-06,893.0,897.0,873.0,1308275,889.55,-3.4500000000000455,,,,,,,,,,,,
3,AUBANK,2021-01-07,893.95,900.0,881.15,577897,888.0,-5.9500000000000455,,,,,,,,,,,,
4,AUBANK,2021-01-08,899.0,916.3,887.9,987790,893.6,-5.399999999999977,889.6729857819905,,,,,,,,,,,
5,AUBANK,2021-01-11,900.85,904.5,873.5,564393,899.45,-1.3999999999999773,893.2456390977445,,,,,,,,,,,
6,AUBANK,2021-01-12,895.5,908.0,894.95,472697,904.85,9.350000000000023,897.354225352113,,,,,,,,,,,
7,AUBANK,2021-01-13,908.95,908.95,884.15,730301,892.5,-16.450000000000045,895.6704520222047,,,,,,,,,,,
8,AUBANK,2021-01-14,896.4,931.5,896.4,1015700,914.0,17.600000000000023,901.9434771269106,898.9604968949975,,,,,,,,,,
9,AUBANK,2021-01-15,914.0,921.9,907.25,1411827,920.25,6.25,908.1533399396812,903.7305814444774,,,,,,,,,,
10,AUBANK,2021-01-18,921.0,923.95,880.0,1839699,889.35,-31.649999999999977,901.8122504982896,900.5841923941489,,,,,,,,,,
11,AUBANK,2021-01-19,894.8,909.45,894.0,1348639,899.35,4.550000000000068,900.9851253922955,900.3191396279161,899.7078015025262,,,,,,,,,
12,AUBANK,2021-01-20,904.95,930.25,892.15,946234,920.35,15.399999999999977,907.4734219619944,904.558365615647,903.292071348137,,,,,,,,,
13,AUBANK,2021-01-21,921.8,924.8,905.0,977221,913.3,-8.5,909.4222904658158,906.3871220511246,904.9961020623208,,,,,,,,,
14,AUBANK,2021-01-22,913.6,914.35,881.1,658015,896.6,-17.0,905.1384107265235,904.3583153510685,903.5896112306309,,,,,,,,,
15,AUBANK,2021-01-25,902.0,902.0,880.0,258928,884.65,-17.350000000000023,898.2985271799743,900.3024909736368,900.4596911443647,,,,,,,,,
16,AUBANK,2021-01-27,885.0,890.95,842.5,565921,852.65,-32.35000000000002,883.0668919646137,890.5524411757259,892.6479086824348,,,,,,,,,
17,AUBANK,2021-01-28,866.0,877.0,845.0,306074,869.8,3.7999999999999545,878.6416003160155,886.3258127721675,888.9500180855619,,,,,,,,,
18,AUBANK,2021-01-29,880.0,887.85,862.6,1127886,872.5,-7.5,876.5934763162986,883.5202173261979,886.3087492122161,,,,,,,,,
19,AUBANK,2021-02-01,891.0,950.0,891.0,2308622,941.55,50.549999999999955,898.2521642657329,895.261542119425,895.119284193072,,,,,,,,,
20,AUBANK,2021-02-02,950.45,999.0,935.05,1130196,960.7,10.25,919.0722836482214,908.4710700864108,905.5201593904105,902.2164839395327,,,,,,,,
21,AUBANK,2021-02-03,972.8,972.8,943.7,811046,962.5,-10.299999999999955,933.5501241661814,919.3571813928196,914.5142400288347,908.4643257971236,,,,,,,,
22,AUBANK,2021-02-04,968.95,979.0,941.55,851870,964.95,-4.0,944.0176821536575,928.5298912361573,922.4436370041238,914.2449573736477,,,,,,,,
23,AUBANK,2021-02-05,970.0,995.0,965.0,747248,981.9,11.899999999999977,956.6458715905342,939.2545587995672,931.7598224739023,921.0904038402925,,,,,,,,
24,AUBANK,2021-02-08,989.7,1045.0,987.5,857645,1032.35,42.649999999999864,981.8815804481295,957.9442547145048,947.4765556709057,932.2333631326154,928.8753934807306,,,,,,,
25,AUBANK,2021-02-09,1039.8,1081.0,1039.0,821236,1063.35,23.549999999999955,1009.0384372783006,979.0893107821975,965.5378959354449,945.2447867877954,940.6945214831617,939.7757610692779,,,,25.762134866167003,25.762134866167003,0.0
26,AUBANK,2021-02-10,1074.0,1114.8,1057.85,1145055,1099.0,25.0,1039.0261526643535,1003.1295744165939,986.2987597879244,960.3767657605448,954.4572219408061,953.2579402547528,,,,33.04081953317154,27.217871799567913,5.82294773360363
27,AUBANK,2021-02-11,1103.9,1136.95,1085.05,706879,1125.9,22.0,1067.9844415717512,1027.731246087016,1007.9775319196159,976.5455286881688,969.21426294212,967.7229319881325,,,,40.254599931483426,29.825217425951017,10.42938250553241
28,AUBANK,2021-02-12,1125.0,1125.9,1055.5,797049,1099.3,-25.700000000000045,1078.4230427052798,1042.067180653864,1022.1386043848922,988.4558454024318,980.3099182732554,978.6412135432234,,,,43.49739084166879,32.55965210909457,10.937738732574218
29,AUBANK,2021-02-15,1110.0,1114.75,1060.9,591093,1091.6,-18.40000000000009,1082.815384710001,1051.9860234557389,1032.8966222899828,998.4026221127623,989.7235893036896,987.931805283498,,,,44.96481700648485,35.04068508857263,9.92413191791222
30,AUBANK,2021-02-16,1089.0,1128.0,1075.3,455426,1092.75,3.75,1086.1269346533657,1060.1469009061523,1042.1570208446217,1007.4510686293173,998.3719840727006,996.4829594181703,,,,45.67406142645143,37.16736035614839,8.506701070303038
31,AUBANK,2021-02-17,1092.75,1112.25,1081.0,394405,1098.1,5.349999999999909,1090.1179656860688,1067.743539402015,1050.8048699932942,1016.1015903967269,1006.6851384878247,1004.7111935261208,,,,46.093676467173395,38.952623578353396,7.141052888819999
32,AUBANK,2021-02-18,1098.5,1154.4,1091.45,1356719,1134.8,36.299999999999955,1105.0120001385067,1081.1633373290606,1063.7795486399048,1027.3778752451656,1017.2962863737024,1015.1726983403873,,,,48.60685029951742,40.883468922586204,7.723381376931215
33,AUBANK,2021-02-19,1123.9,1131.7,1083.6,553747,1109.0,-14.900000000000091,1106.341334795075,1086.7334942683635,1070.7603744534863,1035.1003452888679,1024.8471047546543,1022.6705518376045,,,,48.08982261588176,42.32473966124532,5.765082954636441
34,AUBANK,2021-02-22,1109.0,1128.0,1048.0,462383,1074.85,-34.15000000000009,1095.8442159876997,1084.3558309198522,1071.3913704743004,1038.847281630336,1028.942127983859,1026.8160768332602,,,,44.57529364104016,42.77485045720429,1.800443183835874
35,AUBANK,2021-02-23,1071.0,1123.2,1071.0,672795,1118.45,47.450000000000045,1103.3794807750862,1091.1768782923095,1078.6489000889412,1046.325816907238,1036.2361691439614,1034.0572502657144,,,,44.59164982322682,43.138210330408796,1.4534394928180205
36,AUBANK,2021-02-24,1145.9,1197.95,1140.2,571815,1186.3,40.399999999999864,1131.0196622865963,1110.2064429912982,1095.2449342764312,1059.4363003195497,1048.4093455753166,1046.0286618983282,,,,49.216272378102985,44.35382273994764,4.862449638155347
37,AUBANK,2021-02-25,1197.0,1207.0,1158.05,636284,1166.7,-30.299999999999955,1142.913110611201,1121.5075015310686,1106.2572945654952,1069.4554051404575,1057.9649781006378,1055.4744272149894,,,,50.78286735050574,45.639631662059266,5.143235688446474
38,AUBANK,2021-02-26,1158.0,1158.55,1090.45,853014,1126.5,-31.5,1137.4420729986184,1122.5061671566434,1109.3761756724339,1074.7704566497614,1063.4800264991234,1061.0108133786205,,,,48.365362293813405,46.184777788410095,2.18058450540331
39,AUBANK,2021-03-01,1138.0,1165.05,1127.6,754157,1148.45,10.450000000000045,1141.111382330923,1127.695623522383,1115.3950753288284,1081.6199357018647,1070.2934337612842,1067.8003173707953,,,,47.59475795803314,46.46677382233471,1.1279841356984335
40,AUBANK,2021-03-02,1159.9,1175.0,1141.6,410197,1151.5,-8.400000000000091,1144.5742550960651,1132.4570051348455,1120.9555748390167,1088.1028873200755,1076.7838899899116,1074.2763086030175,,,,46.679266235999194,46.50927230506761,0.16999393093158233
41,AUBANK,2021-03-03,1162.4,1225.0,1136.55,2078700,1200.9,38.5,1163.3495041520393,1146.146768704164,1133.26576143131,1098.5478990376291,1086.674210234238,1084.04120417348,,,,49.22455725782993,47.052329295620076,2.1722279622098526
42,AUBANK,2021-03-04,1187.65,1290.0,1176.8,2247523,1268.0,80.34999999999991,1198.233003702777,1170.5190736564546,1154.0098534761164,1114.2126746255954,1101.0835305216224,1098.1845929328035,,,,55.82526054331288,48.80691554515864,7.018344998154241
43,AUBANK,2021-03-05,1274.0,1293.65,1231.2,1383020,1260.7,-13.299999999999955,1219.0553361738266,1188.5562409619608,1170.4342723712668,1127.7337525940306,1113.7355088331494,1110.6443355375297,,,,59.7899368337371,51.00351980287434,8.786417030862765
44,AUBANK,2021-03-08,1274.4,1290.0,1242.9,925121,1264.05,-10.350000000000136,1234.0535576278392,1203.655650441607,1184.844524346842,1140.2985173941345,1125.6223306180834,1122.3752218872048,,,,62.46930245963722,53.296676334226916,9.172626125410304
45,AUBANK,2021-03-09,1259.95,1316.95,1217.0,2398975,1232.55,-27.40000000000009,1233.5523717479136,1209.4347217245295,1192.1872052383123,1148.7909333170478,1134.059939872138,1130.780119928077,,,,61.40708531023529,54.918758129428596,6.488327180806692
46,AUBANK,2021-03-10,1254.0,1268.0,1202.8,1184012,1253.25,-0.75,1240.1182478666965,1218.1980216647726,1201.5851385748042,1158.3961175268003,1143.4465225331423,1140.1023448769768,,,,61.48279369782745,56.23156524310837,5.251228454719076
47,AUBANK,2021-03-12,1258.25,1274.8,1235.0,803163,1255.45,-2.7999999999999545,1245.2288319291647,1225.6485834848986,1209.8747699588396,1167.3110883412426,1152.2510276288249,1148.8645229427689,,,,61.01024701607071,57.18730159770084,3.8229454183698692
48,AUBANK,2021-03-15,1249.95,1251.7,1179.0,1246722,1188.55,-61.40000000000009,1226.335887908331,1218.228734413388,1206.5931217756286,1169.2601621053261,1155.0996580648716,1151.873474824823,,,,54.719646950805554,56.69377066832178,-1.9741237175162283
49,AUBANK,2021-03-16,1211.05,1237.65,1208.35,1120525,1230.05,19.0,1227.5739252741623,1220.59302127494,1210.2027232645132,1174.8339919602845,1160.9724026079366,1157.7904864997881,1108.5194746647378,,,52.412236764725094,55.83746388760245,-3.4252271228773594
50,AUBANK,2021-03-17,1229.0,1229.0,1164.35,812250,1169.85,-59.15000000000009,1208.3326168293236,1210.4443011420528,1203.9933733045289,1174.3773656047815,1161.6670132690144,1158.7017743295237,1111.283957684802,,,45.29159897500517,53.728290905083,-8.436691930077828
51,AUBANK,2021-03-18,1197.0,1210.0,1148.0,1008328,1164.9,-32.09999999999991,1193.8550778761244,1201.335357709044,1197.9779928012056,1173.509678286233,1161.919638675074,1159.1694510617135,1113.6866307851892,,,38.80854173949206,50.74434107196482,-11.935799332472762
52,AUBANK,2021-03-19,1124.0,1222.35,1124.0,975558,1197.75,73.75,1195.1533852513528,1200.6182809271907,1197.9429119750964,1175.727538453726,1164.7160183205149,1162.076472226228,1117.4327604261653,,,35.866439748868515,47.76876080734556,-11.902321058477042
53,AUBANK,2021-03-22,1209.0,1234.75,1195.0,758035,1222.9,13.900000000000091,1204.4022568371004,1205.0746507937201,1201.782928063379,1180.0410412380108,1169.251896910041,1166.6536510826083,1122.1077150231306,,,35.129276980770555,45.24086404203056,-10.111587061260003
54,AUBANK,2021-03-23,1235.0,1271.9,1220.35,1286084,1245.3,10.299999999999955,1218.0348378942158,1213.1197582603768,1208.4785469133114,1186.0052204850185,1175.1742916545697,1172.5650866300914,1127.5405878986876,,,35.91346028322005,43.37538329026846,-7.461923007048412
55,AUBANK,2021-03-24,1236.0,1253.65,1215.0,772958,1225.6,-10.400000000000091,1220.556558596491,1215.6158159471618,1211.1128445625984,1189.6221378430182,1179.0975499900144,1176.547101039918,1131.8440593280297,,,34.56574352268035,41.61345533675084,-7.047711814070489
56,AUBANK,2021-03-25,1229.95,1229.95,1135.1,1213791,1150.5,-79.45000000000005,1197.204372395517,1202.5926137772622,1201.7871087505023,1186.0499645886355,1176.8745377140824,1174.5933804334536,1132.6589945000196,,,27.19372831704868,38.729509932810416,-11.535781615761735
57,AUBANK,2021-03-26,1164.5,1195.9,1148.75,868589,1178.5,14.0,1190.96958159663,1197.7740794837123,1198.204254667011,1185.3608657152765,1177.0007895601632,1174.8861319224943,1134.652532511298,,,23.318122744516586,35.64723249515165,-12.329109750635062
58,AUBANK,2021-03-30,1199.95,1354.4,1165.0,7650630,1298.9,98.95000000000005,1226.9463877325543,1217.9993023307995,1213.6967199356648,1195.7200297196343,1186.4617861104632,1184.171380110832,1141.7649548372867,,,29.525339824832827,34.42285396108788,-4.8975141362550545
59,AUBANK,2021-03-31,1280.0,1283.05,1216.45,1930957,1227.85,-52.15000000000009,1227.247591821711,1219.9694448838743,1215.874244225827,1198.6505607647791,1189.6718452374691,1187.439105010713,1145.47752823798,,,28.43513921511385,33.225311011893076,-4.7901717967792266
60,AUBANK,2021-04-01,1250.0,1278.0,1215.0,1087053,1267.9,17.90000000000009,1240.798394548053,1229.5555676596518,1223.8785070738707,1204.9648168074998,1195.7353402107158,1193.454174967367,1150.736649861252,,,30.424332106503698,32.6651152308152,-2.2407831243115055
61,AUBANK,2021-04-05,1262.0,1264.0,1217.05,872471,1228.5,-33.5,1236.6989296986526,1229.3444539206616,1224.589528566489,1207.1102020771348,1198.2734511763215,1196.0723298012979,1154.0648118574793,,,28.517198765191097,31.835531937690384,-3.318333172499287
62,AUBANK,2021-04-06,1231.0,1254.0,1201.25,656464,1223.1,-7.900000000000091,1232.1659531323985,1228.0955621566018,1224.3603641672719,1208.5674157753388,1200.1955957461753,1198.0901990796879,1157.0088725026055,,,26.27016508758402,30.72245856766911,-4.452293480085093
63,AUBANK,2021-04-07,1223.05,1257.45,1200.15,824612,1233.15,10.100000000000136,1232.4939687549343,1229.106450359826,1225.7126465823997,1210.807220491114,1202.7457480904927,1200.706211126251,1160.2448717606344,,,25.006435456148665,29.579253945365025,-4.57281848921636
64,AUBANK,2021-04-08,1238.95,1265.0,1234.0,964208,1251.9,12.950000000000045,1238.9626458366463,1233.665162577101,1229.741547701445,1214.550561414949,1206.5477602932854,1204.5240043232304,1164.127464601845,,,25.217543378214486,28.706911831934917,-3.489368453720431
65,AUBANK,2021-04-09,1250.0,1250.0,1170.05,1822389,1174.5,-75.5,1217.4750972243796,1221.8321253079414,1221.2427096934866,1210.9028388283007,1204.069965480787,1202.2860763401595,1164.5654767991668,,,18.956633353327106,26.756856136213358,-7.800222782886252
66,AUBANK,2021-04-12,1153.0,1153.0,1025.45,2390990,1076.5,-76.5,1170.4833981495117,1192.7656909047614,1198.9742937527717,1198.663771823764,1194.2106760492297,1192.9145863103877,1160.8578102170038,,,6.059707442384024,22.617426397447492,-16.557718955063468
67,AUBANK,2021-04-13,1076.5,1105.9,1034.85,2453716,1080.8,4.2999999999999545,1140.5889320996428,1170.3725469663061,1180.7934212566863,1187.932441615322,1185.4488664248533,1184.5652532982144,1157.4969743043157,,,-3.771832041528114,17.33957470965237,-21.111406751180485
68,AUBANK,2021-04-15,1080.8,1104.0,1040.0,2332608,1055.45,-25.34999999999991,1112.2092880664086,1147.3880328454045,1161.5096277925907,1175.8717845859865,1175.4088532000178,1174.9536755584031,1153.2248407999957,,,-13.444047765812456,11.182850214559407,-24.626897980371865
69,AUBANK,2021-04-16,1060.0,1099.5,1060.0,1132546,1077.1,17.09999999999991,1100.506192044267,1133.3304239631377,1148.5234228325075,1166.881147241757,1167.8186499696124,1167.6719453717037,1150.046340272892,,,-19.148522539196165,5.116575663808293,-24.265098203004456
70,AUBANK,2021-04-19,1035.0,1035.0,973.3,2142595,1015.85,-19.149999999999977,1072.2874613628358,1109.8343360774766,1128.1119828748572,1153.1352197804229,1156.08883463637,1156.3780390484928,1144.4573201263318,,,-28.26605617363566,-1.5599507036804985,-26.706105469955162
71,AUBANK,2021-04-20,1025.0,1055.0,1020.0,1478306,1041.3,16.299999999999955,1061.9583075752216,1096.1274674184795,1114.7562133984968,1142.9577311848707,1147.2310982592703,1147.8201773158737,1140.1714405813216,,,-33.063963917376896,-7.860753346419778,-25.20321057095712
72,AUBANK,2021-04-22,1010.0,1108.95,1005.0,1728561,1094.45,84.45000000000005,1072.788871716816,1095.7919739065183,1111.6321647729787,1138.5437382499058,1143.1592061540664,1143.852422616985,1138.2762691236467,,,-32.220257844006255,-12.732654245937074,-19.48760359806918
73,AUBANK,2021-04-23,1089.85,1128.5,1053.3,2257183,1075.5,-14.349999999999909,1073.692581144544,1091.733578851679,1106.0733464113562,1132.8075283511562,1137.9406832715845,1138.7721987426119,1135.6799703571623,,,-32.698852331255694,-16.7258938630008,-15.972958468254895
74,AUBANK,2021-04-26,1081.0,1096.0,1045.0,2303376,1051.5,-29.5,1066.2950540963623,1083.686862647465,1097.6774165707914,1125.4101188127506,1131.2749300315966,1132.2874024344062,1132.2059004829662,,,-34.60998586361484,-20.30271226312361,-14.307273600491229
