,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,AUROPHARMA,2021-01-04,936.1,970.0,926.65,4065761,965.75,29.649999999999977,,,,,,,,,,,,
1,AUROPHARMA,2021-01-05,966.0,996.85,961.0,5432632,979.35,13.350000000000023,,,,,,,,,,,,
2,AUROPHARMA,2021-01-06,979.9,983.6,954.45,2720088,968.85,-11.049999999999955,,,,,,,,,,,,
3,AUROPHARMA,2021-01-07,970.7,977.55,954.5,1797121,957.45,-13.25,,,,,,,,,,,,
4,AUROPHARMA,2021-01-08,957.0,967.0,940.6,2685467,945.45,-11.549999999999955,957.908767772512,,,,,,,,,,,
5,AUROPHARMA,2021-01-11,950.2,967.0,940.15,2676919,965.2,15.0,960.5730827067672,,,,,,,,,,,
6,AUROPHARMA,2021-01-12,969.5,975.0,952.7,2219387,958.25,-11.25,959.7505828071882,,,,,,,,,,,
7,AUROPHARMA,2021-01-13,960.2,974.9,928.35,2998390,947.2,-13.0,955.3971927042031,,,,,,,,,,,
8,AUROPHARMA,2021-01-14,941.0,968.75,928.85,2058721,959.25,18.25,956.7157607845186,957.9440072064679,,,,,,,,,,
9,AUROPHARMA,2021-01-15,950.55,955.0,924.3,3931585,936.0,-14.549999999999955,949.6886462731584,953.0272757443489,,,,,,,,,,
10,AUROPHARMA,2021-01-18,933.8,937.9,900.5,2669315,917.3,-16.5,938.7661557176228,945.2103519548551,,,,,,,,,,
11,AUROPHARMA,2021-01-19,921.4,931.4,918.2,1408821,924.25,2.8500000000000227,933.8898537959024,940.7089473981717,943.3590136685059,,,,,,,,,
12,AUROPHARMA,2021-01-20,926.2,942.0,923.7,1995884,930.0,3.7999999999999545,932.5865391320139,938.4425620673229,941.0393813936303,,,,,,,,,
13,AUROPHARMA,2021-01-21,935.0,938.0,897.5,2019465,902.25,-32.75,922.4396012134476,930.8710510789986,934.4347882177358,,,,,,,,,
14,AUROPHARMA,2021-01-22,904.75,948.0,880.15,4868823,923.8,19.049999999999955,922.8941054078899,929.4052682134562,932.6532791300442,,,,,,,,,
15,AUROPHARMA,2021-01-25,935.0,1023.7,932.0,14754225,998.6,63.60000000000002,948.1678813834475,943.6450281812963,943.5514947143454,,,,,,,,,
16,AUROPHARMA,2021-01-27,998.6,1000.0,948.25,4705789,959.6,-39.0,951.982459229947,946.9095326505945,946.1737127025795,,,,,,,,,
17,AUROPHARMA,2021-01-28,941.3,955.0,926.25,3202739,944.5,3.2000000000000455,949.486617368147,946.4187856076773,945.902825482626,,,,,,,,,
18,AUROPHARMA,2021-01-29,950.0,954.7,900.45,3208278,905.25,-44.75,934.7344236342548,938.0646324508,939.3754744485828,,,,,,,,,
19,AUROPHARMA,2021-02-01,912.0,926.95,889.0,2096640,921.45,9.450000000000045,930.3049503532732,934.702948382095,936.5165055182015,,,,,,,,,
20,AUROPHARMA,2021-02-02,929.0,938.9,910.6,2692863,921.6,-7.399999999999977,927.4027183792941,932.0579630216648,934.150799222284,937.719405411668,,,,,,,,
21,AUROPHARMA,2021-02-03,921.6,948.75,916.95,4755801,920.0,-1.6000000000000227,924.9348157332826,929.628443729087,931.9171420561396,935.8829491122115,,,,,,,,
22,AUROPHARMA,2021-02-04,921.8,935.8,912.2,1881897,927.15,5.350000000000023,925.6732762892265,929.1298115785761,931.1676626823314,934.9892364654806,,,,,,,,
23,AUROPHARMA,2021-02-05,932.0,954.9,925.0,4131354,942.85,10.850000000000023,931.3991909970955,931.8868690988863,932.9981618196477,935.7846012139695,,,,,,,,
24,AUROPHARMA,2021-02-08,951.8,959.8,940.65,3280707,956.95,5.150000000000091,939.9164646335581,936.9185042592976,936.7405217549478,937.9043750152333,938.4388197908324,,,,,,,
25,AUROPHARMA,2021-02-09,961.95,974.9,952.0,4678065,959.45,-2.5,946.427814997926,941.4384641479706,940.2802768402382,940.0424656594892,940.2855166119064,940.3500396194464,,,,-0.0697627792081903,-0.0697627792081903,0.0
26,AUROPHARMA,2021-02-10,961.95,980.0,948.0,3629095,967.95,6.0,953.6020029377772,946.753622582911,944.5844750947311,942.7890146317121,942.6906007678873,942.6870431677852,,,,1.8974319269459556,0.32367616202263894,1.5737557649233167
27,AUROPHARMA,2021-02-11,944.5,969.7,928.0,6402727,935.2,-9.299999999999955,947.4679299815277,944.4384198128787,943.1271535347997,942.0476988943885,942.045842768119,942.0597335904478,,,,1.0674199443519683,0.4724249184885048,0.5949950258634635
28,AUROPHARMA,2021-02-12,947.5,947.5,923.55,2641485,929.95,-17.549999999999955,941.6285743084928,941.5362449522266,941.0838160077399,940.873913338505,941.0141285669308,941.054866382997,,,,0.028949624742836022,0.3837298597393711,-0.3547802349965351
29,AUROPHARMA,2021-02-15,935.0,944.9,928.7,1590435,932.2,-2.7999999999999545,938.4856998152727,939.666681554395,939.7079114375758,940.0374386054532,940.2685697043472,940.326574666526,,,,-0.6186632289501404,0.18325124200146886,-0.8019144709516093
30,AUROPHARMA,2021-02-16,933.05,942.7,923.7,1826339,935.85,2.800000000000068,937.6071301556323,938.9025885224297,939.1110228597325,939.6358395879577,939.8976596157659,939.9613720404708,,,,-0.8503491807382488,-0.02346884254647469,-0.8268803381917742
31,AUROPHARMA,2021-02-17,935.0,943.0,915.65,2109425,922.15,-12.850000000000023,932.4547414947787,935.54941415951,936.4891323327591,937.9671863154936,938.4182454960617,938.5191322537809,,,,-2.0299999210217265,-0.4247750582415251,-1.6052248627802015
32,AUROPHARMA,2021-02-18,923.1,925.6,910.0,1724196,911.7,-11.399999999999977,925.5364836396681,930.7765061377487,932.6599695477241,935.4718177924402,936.2052996218396,936.3623864983825,,,,-3.702416950658403,-1.0803034367249007,-2.6221135139335026
33,AUROPHARMA,2021-02-19,911.7,921.8,883.0,3294990,888.55,-23.15000000000009,913.2076430593193,922.326920461257,925.850572365838,931.0324291660528,932.2813962366317,932.5416406922445,,,,-6.69106832640648,-2.2024564146612167,-4.488611911745263
34,AUROPHARMA,2021-02-22,886.0,890.7,849.0,3205958,856.4,-29.600000000000023,894.2717490351034,909.1361855712453,915.1349128738663,923.9973250091349,926.0670344736013,926.4923801918733,,,,-11.357467318007025,-4.033458595330378,-7.324008722676647
35,AUROPHARMA,2021-02-23,850.6,862.7,837.0,3021328,853.6,3.0,880.7144931496681,898.0253427823644,905.6448053841755,917.3836202354424,920.1616596691855,920.7322168306115,,,,-15.087411446436022,-6.2442491655515076,-8.843162280884513
36,AUROPHARMA,2021-02-24,863.0,868.45,851.1,1100310,862.0,-1.0,874.4763268623865,890.8184031974033,898.9163030013799,912.1961919656926,915.4435864289211,916.1138849560077,,,,-17.19758195462782,-8.434915723366771,-8.76266623126105
37,AUROPHARMA,2021-02-25,867.75,875.2,856.35,2579512,863.25,-4.5,870.734217146795,885.303577173369,893.4195593506275,907.6243094989355,911.2273384546494,911.9758695923205,,,,-18.556310241692927,-10.459194627032003,-8.097115614660924
38,AUROPHARMA,2021-02-26,849.0,871.95,844.45,3866956,855.2,6.2000000000000455,865.5561440620903,879.281861209515,887.5309066722652,902.7397467106011,906.7187897644709,907.5502363096364,,,,-20.01932963737113,-12.371221629099828,-7.648108008271301
39,AUROPHARMA,2021-03-01,855.1,879.0,849.4,1653424,873.65,18.549999999999955,868.2540962853902,878.1553392271563,885.3927032627464,900.0354735614299,904.067133855342,904.9179406690491,,,,-19.525237406302722,-13.802024784540407,-5.723212621762315
40,AUROPHARMA,2021-03-02,885.0,889.0,868.75,2231920,885.9,0.8999999999999773,874.1360645448948,879.7044361099606,885.4708317531035,898.7240896621781,902.6151208895296,903.4464892470253,,,,-17.975657493921744,-14.636751326416675,-3.338906167505069
41,AUROPHARMA,2021-03-03,888.0,889.0,875.0,2252225,880.5,-7.5,876.2573764485285,879.8635624249382,884.7054016899518,897.0365391075524,900.8528546710536,901.6769146221358,,,,-16.97151293218394,-15.10370364757013,-1.867809284613811
42,AUROPHARMA,2021-03-04,874.9,884.8,868.55,1523420,874.9,0.0,875.804917620228,878.8707823748415,883.195732304104,894.9901559972534,898.7904729447132,899.6182127722215,,,,-16.422480468117442,-15.367459011679593,-1.0550214564378493
43,AUROPHARMA,2021-03-05,874.9,874.95,856.0,1792630,862.8,-12.100000000000023,871.4699450027111,875.6564508950212,880.0559104747192,892.0189391500448,895.9376928737958,896.795431458212,,,,-16.739520983492753,-15.641871406042226,-1.097649577450527
