,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BALKRISIND,2021-01-04,1640.5,1682.0,1617.0,774689,1674.75,34.25,,,,,,,,,,,,
1,BALKRISIND,2021-01-05,1650.0,1688.35,1644.75,497932,1681.45,31.450000000000045,,,,,,,,,,,,
2,BALKRISIND,2021-01-06,1681.95,1693.5,1656.1,386405,1679.3,-2.650000000000091,,,,,,,,,,,,
3,BALKRISIND,2021-01-07,1678.5,1708.2,1661.5,630050,1667.7,-10.799999999999955,,,,,,,,,,,,
4,BALKRISIND,2021-01-08,1667.7,1733.45,1665.1,834793,1721.85,54.149999999999864,1692.5651658767772,,,,,,,,,,,
5,BALKRISIND,2021-01-11,1735.0,1747.5,1704.05,635561,1723.3,-11.700000000000045,1703.7960902255638,,,,,,,,,,,
6,BALKRISIND,2021-01-12,1728.0,1737.65,1680.4,628718,1688.5,-39.5,1698.380427391938,,,,,,,,,,,
7,BALKRISIND,2021-01-13,1696.0,1699.85,1667.15,603147,1690.4,-5.599999999999909,1695.612275971451,,,,,,,,,,,
8,BALKRISIND,2021-01-14,1696.0,1717.0,1680.2,574159,1711.05,15.049999999999955,1700.895615773825,1698.325780271925,,,,,,,,,,
9,BALKRISIND,2021-01-15,1714.8,1715.5,1640.4,913681,1652.95,-61.84999999999991,1684.6317027143473,1688.158971430584,,,,,,,,,,
10,BALKRISIND,2021-01-18,1651.0,1655.85,1585.25,584706,1619.2,-31.799999999999955,1662.566033501048,1673.0711425087268,,,,,,,,,,
11,BALKRISIND,2021-01-19,1663.8,1663.8,1597.55,524233,1637.35,-26.450000000000045,1654.0954029146005,1665.3997391847251,1669.2084631822775,,,,,,,,,
12,BALKRISIND,2021-01-20,1634.0,1703.95,1633.65,789137,1700.1,66.09999999999991,1669.5094696465803,1672.743519965812,1674.5724075273474,,,,,,,,,
13,BALKRISIND,2021-01-21,1709.0,1767.7,1677.45,1447062,1688.75,-20.25,1675.9450246769964,1676.092087531651,1676.9863988603174,,,,,,,,,
14,BALKRISIND,2021-01-22,1700.2,1750.0,1668.2,1321007,1678.5,-21.700000000000045,1676.7986324664773,1676.5912321140336,1677.2399529631616,,,,,,,,,
15,BALKRISIND,2021-01-25,1689.1,1712.35,1633.35,635136,1679.8,-9.299999999999955,1677.800613766233,1677.2515726241988,1677.6630209208304,,,,,,,,,
16,BALKRISIND,2021-01-27,1686.95,1686.95,1644.2,438924,1664.5,-22.450000000000045,1673.3625714121188,1674.6425071682838,1675.512271700032,,,,,,,,,
17,BALKRISIND,2021-01-28,1638.0,1668.45,1636.3,423243,1664.25,26.25,1670.3229909078934,1672.5258758953796,1673.6894944297867,,,,,,,,,
18,BALKRISIND,2021-01-29,1668.65,1698.5,1580.0,773217,1588.35,-80.30000000000018,1642.9863292288162,1655.4445326163798,1659.9871052207252,,,,,,,,,
19,BALKRISIND,2021-02-01,1593.6,1656.0,1561.55,486234,1640.05,46.450000000000045,1642.007258384548,1652.3297146873708,1656.8072973695414,,,,,,,,,
20,BALKRISIND,2021-02-02,1655.0,1703.65,1636.0,626595,1673.5,18.5,1652.5069439606134,1656.6031875802773,1659.45470239752,1664.4873657185556,,,,,,,,
21,BALKRISIND,2021-02-03,1680.0,1755.0,1680.0,930198,1721.6,41.59999999999991,1675.5410413129543,1669.699181443093,1669.2641334516584,1670.4065743244862,,,,,,,,
22,BALKRISIND,2021-02-04,1729.0,1850.0,1721.6,2164378,1829.4,100.40000000000009,1726.8319311391722,1701.8290061636756,1694.4403349517384,1686.6776453507182,,,,,,,,
23,BALKRISIND,2021-02-05,1849.8,1850.0,1782.65,660329,1798.6,-51.200000000000045,1750.7560419279962,1721.275036211463,1710.7610567242243,1698.0021299335433,,,,,,,,
24,BALKRISIND,2021-02-08,1814.0,1850.0,1798.6,853063,1841.3,27.299999999999955,1780.9385565771406,1745.371061177707,1731.1571410511638,1712.353811837323,1708.571747955624,,,,,,,
25,BALKRISIND,2021-02-09,1875.0,1875.0,1647.0,6737946,1656.55,-218.45000000000005,1739.4746096777376,1727.5529971480128,1719.5280316508904,1706.8160932477,1703.9994966294255,1703.4362974977798,,,,16.091734153110565,16.091734153110565,0.0
26,BALKRISIND,2021-02-10,1665.0,1694.0,1632.0,3416644,1648.25,-16.75,1709.065871229268,1711.6539561961824,1708.4402886458715,1701.0522503637703,1699.1527684557468,1698.763443939524,,,,9.676844706347538,14.80875626375796,-5.131911557410422
27,BALKRISIND,2021-02-11,1648.25,1668.0,1617.05,2127519,1648.8,0.5499999999999545,1688.9770117642277,1699.0588023863172,1699.1787074059196,1695.9481074170196,1694.818623401386,1694.5772056345427,,,,4.601501771376888,12.767305365281747,-8.165803593904858
