,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BANDHANBNK,2021-01-04,404.0,404.4,395.0,9725066,397.0,-7.0,,,,,,,,,,,,
1,BANDHANBNK,2021-01-05,394.0,403.9,390.4,11743029,401.85,7.850000000000023,,,,,,,,,,,,
2,BANDHANBNK,2021-01-06,403.95,409.25,394.6,9455430,396.0,-7.949999999999989,,,,,,,,,,,,
3,BANDHANBNK,2021-01-07,406.55,411.0,401.4,12540078,405.8,-0.75,,,,,,,,,,,,
4,BANDHANBNK,2021-01-08,411.05,424.0,409.4,16763434,419.4,8.349999999999966,408.23222748815164,,,,,,,,,,,
5,BANDHANBNK,2021-01-11,424.9,424.9,404.5,9559472,408.4,-16.5,408.2935338345864,,,,,,,,,,,
6,BANDHANBNK,2021-01-12,406.5,406.5,388.3,20267358,391.45,-15.050000000000011,402.32999028654683,,,,,,,,,,,
7,BANDHANBNK,2021-01-13,395.3,395.45,371.0,21737588,375.1,-20.19999999999999,392.88478984932595,,,,,,,,,,,
8,BANDHANBNK,2021-01-14,374.9,379.8,369.3,12123283,373.15,-1.75,386.1308408533723,390.93112977023395,,,,,,,,,,
9,BANDHANBNK,2021-01-15,376.0,377.9,362.25,12862038,368.55,-7.449999999999989,380.16714088754844,385.9164574789014,,,,,,,,,,
10,BANDHANBNK,2021-01-18,367.6,368.95,354.0,11063196,356.0,-11.600000000000023,372.0172056950639,379.37090752324343,,,,,,,,,,
11,BANDHANBNK,2021-01-19,361.3,364.4,353.1,14106377,362.3,1.0,368.75297860034703,375.70479251346904,378.5622480751077,,,,,,,,,
12,BANDHANBNK,2021-01-20,362.95,367.3,357.1,14562621,359.8,-3.1499999999999773,365.7532390451987,372.3387858367648,375.30440904116426,,,,,,,,,
13,BANDHANBNK,2021-01-21,364.95,372.55,335.0,34448498,340.7,-24.25,357.37345451722786,365.7199282335173,369.4123830382266,,,,,,,,,
14,BANDHANBNK,2021-01-22,333.0,336.2,311.85,35577488,314.1,-18.899999999999977,342.91595368695437,355.0194530877581,360.1466119643712,,,,,,,,,
15,BANDHANBNK,2021-01-25,320.0,320.0,301.5,19108393,309.55,-10.449999999999989,331.77701076529195,345.6621786085968,351.78512290549423,,,,,,,,,
16,BANDHANBNK,2021-01-27,309.85,315.4,302.1,12842107,303.7,-6.150000000000034,322.4084985189145,337.07640853229583,343.928336743487,,,,,,,,,
17,BANDHANBNK,2021-01-28,299.9,313.9,297.0,18713452,311.15,11.25,318.6531246450338,331.79600350539056,338.6232252381149,,,,,,,,,
18,BANDHANBNK,2021-01-29,316.2,318.2,306.5,14889735,309.45,-6.75,315.5840319838382,327.26145304506963,333.9390764818184,,,,,,,,,
