,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BANKBARODA,2021-01-04,65.1,66.3,64.3,40279407,65.8,0.7000000000000028,,,,,,,,,,,,
1,BANKBARODA,2021-01-05,65.2,66.25,64.8,31735002,65.6,0.3999999999999915,,,,,,,,,,,,
2,BANKBARODA,2021-01-06,66.0,67.7,64.7,47643226,65.5,-0.5,,,,,,,,,,,,
3,BANKBARODA,2021-01-07,66.5,67.0,65.75,27985323,66.15,-0.3499999999999943,,,,,,,,,,,,
4,BANKBARODA,2021-01-08,67.0,67.15,65.3,22794827,65.55,-1.4500000000000028,65.7196682464455,,,,,,,,,,,
5,BANKBARODA,2021-01-11,66.0,66.15,63.75,23307584,64.25,-1.75,65.18263157894737,,,,,,,,,,,
6,BANKBARODA,2021-01-12,63.9,71.7,63.1,81300070,70.75,6.850000000000001,67.1537882467217,,,,,,,,,,,
7,BANKBARODA,2021-01-13,72.0,76.0,70.05,127567552,75.25,3.25,69.96210150674068,,,,,,,,,,,
8,BANKBARODA,2021-01-14,75.35,77.9,74.7,73557480,76.2,0.8500000000000085,72.09693286735174,70.47232984876827,,,,,,,,,,
9,BANKBARODA,2021-01-15,76.5,77.8,72.85,61065625,75.15,-1.3499999999999943,73.13258164584232,71.52039950102382,,,,,,,,,,
10,BANKBARODA,2021-01-18,75.45,77.1,72.05,58500838,73.05,-2.4000000000000057,73.10473246563373,71.85506735016034,,,,,,,,,,
11,BANKBARODA,2021-01-19,73.45,75.95,73.2,36969600,75.75,2.299999999999997,73.99333709431208,72.69153553617768,72.09615013165431,,,,,,,,,
12,BANKBARODA,2021-01-20,75.85,80.3,75.05,61542233,79.45,3.6000000000000085,75.82161886376348,74.12186142632865,73.37305783775385,,,,,,,,,
13,BANKBARODA,2021-01-21,80.15,80.8,75.15,53482170,76.3,-3.8500000000000085,75.9816273495595,74.57752964108418,73.87142263596594,,,,,,,,,
14,BANKBARODA,2021-01-22,76.15,77.35,73.0,45531180,73.35,-2.8000000000000114,75.10241040199458,74.32307073607208,73.78407541799763,,,,,,,,,
15,BANKBARODA,2021-01-25,74.6,76.15,70.4,53420249,73.85,-0.75,74.68430372615367,74.22571630524263,73.79496997495951,,,,,,,,,
16,BANKBARODA,2021-01-27,73.55,75.5,72.0,72480794,74.05,0.5,74.47265433526697,74.18976345804796,73.83664016836991,,,,,,,,,
17,BANKBARODA,2021-01-28,72.45,72.8,64.5,153754944,66.75,-5.700000000000003,71.89669322651434,72.67451446727755,72.68968092556692,,,,,,,,,
18,BANKBARODA,2021-01-29,67.95,70.15,66.4,72845577,68.05,0.09999999999999432,70.6138834845278,71.73608741470433,71.94471853420565,,,,,,,,,
19,BANKBARODA,2021-02-01,68.95,74.4,67.7,88439891,73.9,4.950000000000003,71.70958516524989,72.17391777210764,72.2565701940817,,,,,,,,,
20,BANKBARODA,2021-02-02,75.0,76.95,73.35,73020753,74.65,-0.3499999999999943,72.68991998668461,72.67374430374127,72.6361599011876,72.38446312695072,,,,,,,,
21,BANKBARODA,2021-02-03,75.4,78.85,73.5,65076252,77.1,1.6999999999999886,74.1601431636767,73.56557599941176,73.34076239526675,72.87318592518463,,,,,,,,
22,BANKBARODA,2021-02-04,77.1,83.1,76.1,95917593,82.05,4.950000000000003,76.79032980467444,75.27253691831818,74.71000918285414,73.81232282956572,,,,,,,,
23,BANKBARODA,2021-02-05,83.7,89.0,81.7,121275419,82.5,-1.2000000000000028,78.69366626737775,76.72488806905012,75.93061864504806,74.69135603508963,,,,,,,,
24,BANKBARODA,2021-02-08,83.5,85.1,80.1,44535603,80.95,-2.549999999999997,79.44580729797057,77.57311496585396,76.71487292821924,75.31817670794226,74.96985262778077,,,,,,,
25,BANKBARODA,2021-02-09,81.4,83.15,78.95,56527410,80.2,-1.2000000000000028,79.69721150274138,78.10008464079866,77.25810409108874,75.80262683250528,75.42953630237089,75.35149886480436,,,,1.906605226284384,1.906605226284384,0.0
