,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BATAINDIA,2021-01-04,1585.0,1603.0,1566.0,523821,1594.85,9.849999999999909,,,,,,,,,,,,
1,BATAINDIA,2021-01-05,1587.55,1614.8,1580.0,745368,1608.2,20.65000000000009,,,,,,,,,,,,
2,BATAINDIA,2021-01-06,1618.0,1681.95,1610.0,3377267,1658.3,40.299999999999955,,,,,,,,,,,,
3,BATAINDIA,2021-01-07,1670.0,1674.9,1630.5,934569,1640.85,-29.15000000000009,,,,,,,,,,,,
4,BATAINDIA,2021-01-08,1660.0,1662.3,1614.45,643757,1649.15,-10.849999999999909,1639.8116113744077,,,,,,,,,,,
5,BATAINDIA,2021-01-11,1657.0,1671.0,1611.6,623686,1621.6,-35.40000000000009,1633.1568421052634,,,,,,,,,,,
6,BATAINDIA,2021-01-12,1623.8,1659.0,1618.2,789123,1624.25,0.4500000000000455,1630.0033268576983,,,,,,,,,,,
7,BATAINDIA,2021-01-13,1638.0,1662.0,1612.0,1016507,1634.55,-3.4500000000000455,1631.5804203013483,,,,,,,,,,,
8,BATAINDIA,2021-01-14,1644.45,1655.0,1625.05,456894,1632.05,-12.400000000000091,1631.7411272234106,1631.3994420102888,,,,,,,,,,
9,BATAINDIA,2021-01-15,1632.05,1647.0,1586.45,725215,1607.0,-25.049999999999955,1623.348544592848,1625.9325506143193,,,,,,,,,,
10,BATAINDIA,2021-01-18,1601.0,1618.0,1548.5,875089,1584.6,-16.40000000000009,1610.2812922975002,1616.8892247114582,,,,,,,,,,
11,BATAINDIA,2021-01-19,1586.2,1620.0,1582.5,751933,1614.4,28.200000000000045,1611.6648584892243,1616.3546436374904,1618.0712591130275,,,,,,,,,
12,BATAINDIA,2021-01-20,1622.0,1648.0,1615.35,606830,1631.45,9.450000000000045,1618.2939675537518,1619.5493455023784,1620.3943167824557,,,,,,,,,
13,BATAINDIA,2021-01-21,1639.5,1650.0,1586.0,580189,1601.3,-38.200000000000045,1612.6098407979719,1615.731568807157,1617.1431642817229,,,,,,,,,
14,BATAINDIA,2021-01-22,1609.0,1618.65,1560.2,647209,1567.85,-41.15000000000009,1597.6557438182183,1605.8060312387365,1608.8857153950107,,,,,,,,,
15,BATAINDIA,2021-01-25,1595.3,1595.3,1525.45,642153,1559.05,-36.25,1584.767541044995,1596.1839885673041,1600.6499704935513,,,,,,,,,
16,BATAINDIA,2021-01-27,1556.0,1556.0,1506.25,515318,1513.15,-42.84999999999991,1560.8707731182294,1579.19462438279,1586.3530629302513,,,,,,,,,
17,BATAINDIA,2021-01-28,1504.0,1538.0,1498.35,586400,1523.85,19.84999999999991,1548.5221598528376,1567.9226415148569,1576.2370609846018,,,,,,,,,
18,BATAINDIA,2021-01-29,1536.95,1544.0,1495.0,340412,1501.3,-35.65000000000009,1532.7743361690243,1554.4032786598336,1564.2049206179981,,,,,,,,,
19,BATAINDIA,2021-02-01,1511.9,1536.9,1477.0,401486,1531.3,19.399999999999864,1532.2827429431777,1549.7287290400568,1558.9568505614225,,,,,,,,,
20,BATAINDIA,2021-02-02,1549.9,1559.95,1518.15,440122,1540.55,-9.350000000000136,1535.0390478953816,1547.8758938437065,1556.0375875873942,1570.1474935980555,,,,,,,,
