,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BAYERCROP,2021-01-04,5484.0,5600.0,5450.0,44613,5568.35,84.35000000000036,,,,,,,,,,,,
1,BAYERCROP,2021-01-05,5588.0,5600.05,5480.0,29094,5516.15,-71.85000000000036,,,,,,,,,,,,
2,BAYERCROP,2021-01-06,5554.0,5774.25,5520.85,76687,5678.5,124.5,,,,,,,,,,,,
3,BAYERCROP,2021-01-07,5798.5,5847.8,5691.15,47887,5715.35,-83.14999999999964,,,,,,,,,,,,
4,BAYERCROP,2021-01-08,5789.95,5850.95,5740.7,36302,5796.0,6.050000000000182,5706.218483412322,,,,,,,,,,,
5,BAYERCROP,2021-01-11,5825.0,5875.0,5665.0,33135,5747.2,-77.80000000000018,5721.193684210527,,,,,,,,,,,
6,BAYERCROP,2021-01-12,5730.2,5745.55,5610.0,15317,5643.25,-86.94999999999982,5693.597304516757,,,,,,,,,,,
7,BAYERCROP,2021-01-13,5655.0,5759.0,5535.0,43616,5724.35,69.35000000000036,5704.264417129263,,,,,,,,,,,
8,BAYERCROP,2021-01-14,5768.4,5768.4,5615.0,23933,5692.35,-76.04999999999927,5700.186878618748,5694.859781008775,,,,,,,,,,
9,BAYERCROP,2021-01-15,5700.25,5740.0,5630.0,27182,5669.5,-30.75,5689.777402843602,5689.177717929543,,,,,,,,,,
10,BAYERCROP,2021-01-18,5605.55,5699.95,5467.1,25995,5663.05,57.5,5680.764065185981,5683.461122538669,,,,,,,,,,
11,BAYERCROP,2021-01-19,5630.0,5769.95,5600.0,92113,5747.7,117.69999999999982,5703.249345305257,5697.256939342865,5694.429746454035,,,,,,,,,
12,BAYERCROP,2021-01-20,5760.0,5800.0,5705.0,19513,5738.1,-21.899999999999636,5714.926228728902,5705.900749990035,5702.012561479971,,,,,,,,,
13,BAYERCROP,2021-01-21,5724.2,5785.6,5633.9,18442,5675.45,-48.75,5701.722255776411,5699.530430372336,5697.489805354921,,,,,,,,,
14,BAYERCROP,2021-01-22,5675.0,5690.0,5556.15,18136,5634.0,-41.0,5679.096501025871,5685.946398672059,5686.854176050434,,,,,,,,,
15,BAYERCROP,2021-01-25,5634.0,5683.45,5505.25,22278,5573.45,-60.55000000000018,5643.827305490764,5662.795478465037,5668.113241816648,,,,,,,,,
16,BAYERCROP,2021-01-27,5560.0,5644.0,5438.0,33370,5524.2,-35.80000000000018,5603.911023595229,5634.437825188381,5644.59878456847,,,,,,,,,
17,BAYERCROP,2021-01-28,5466.0,5513.75,5350.2,16858,5405.05,-60.94999999999982,5537.579132953857,5587.71864216977,5605.8282690582655,,,,,,,,,
18,BAYERCROP,2021-01-29,5415.0,5473.95,5330.0,18549,5373.25,-41.75,5482.778034911415,5544.197711017999,5568.484739131121,,,,,,,,,
19,BAYERCROP,2021-02-01,5385.0,5474.0,5350.0,19207,5381.8,-3.199999999999818,5449.108564566249,5511.339337560746,5538.710025469671,,,,,,,,,
20,BAYERCROP,2021-02-02,5411.0,5443.1,5200.0,42481,5211.95,-199.05000000000018,5370.039857559972,5450.904052934334,5486.8870131317935,5538.861856889603,,,,,,,,
21,BAYERCROP,2021-02-03,5264.95,5264.95,5180.0,27171,5195.35,-69.59999999999945,5311.802121148238,5399.413307707724,5440.868853425825,5503.259956099661,,,,,,,,
22,BAYERCROP,2021-02-04,5220.95,5469.0,5196.0,43426,5411.65,190.69999999999982,5345.087713337798,5401.875178486241,5436.275130874433,5493.884775358229,,,,,,,,
23,BAYERCROP,2021-02-05,5450.0,5508.95,5385.05,31597,5490.6,40.600000000000364,5393.594690361138,5419.704338617213,5444.787265335639,5493.552416483017,,,,,,,,
24,BAYERCROP,2021-02-08,5550.0,5550.0,5471.55,23812,5532.6,-17.399999999999636,5439.931628615454,5442.369095925976,5458.507584316694,5497.463141028239,5508.384383481385,,,,,,,
25,BAYERCROP,2021-02-09,5540.0,5633.0,5486.0,21495,5521.45,-18.550000000000182,5467.1051364961295,5458.233223123217,5468.318498226352,5499.843488722439,5509.532735561092,5511.602730037033,,,,-43.284231810681376,-43.284231810681376,0.0
26,BAYERCROP,2021-02-10,5525.0,5550.0,5444.2,13896,5506.65,-18.350000000000364,5480.286989677169,5467.940048161404,5474.281202734583,5500.513358597926,5509.282117411944,5511.183361765814,,,,-36.90215903123135,-42.00781725479138,5.105658223560027
27,BAYERCROP,2021-02-11,5550.0,5600.0,5508.85,15811,5550.05,0.0500000000001819,5503.541599320195,5484.393864839223,5486.047391115962,5505.352233422605,5512.79123760761,5514.439842843434,,,,-28.39245172747269,-39.28474414932764,10.892292421854954
28,BAYERCROP,2021-02-12,5300.05,5340.0,5163.5,103403,5184.35,-115.69999999999982,5397.143567233021,5424.29208887776,5439.264176557882,5474.206824011514,5484.776861462713,5487.048946412186,,,,-47.784769854303704,-40.98474929032286,-6.800020563980844
29,BAYERCROP,2021-02-15,5217.95,5217.95,5121.0,22646,5130.45,-87.5,5308.245247875496,5365.45082915083,5391.435761776752,5441.056400854373,5454.80548881833,5457.719530524778,,,,-66.28376874802598,-46.044553181863485,-20.239215566162493
30,BAYERCROP,2021-02-16,5110.0,5299.0,5105.0,63028,5245.7,135.69999999999982,5287.396759432431,5341.476920711741,5368.887807269403,5422.320618425844,5437.252447773362,5440.422803654201,,,,-71.53499638479752,-51.1426418224503,-20.392354562347222
31,BAYERCROP,2021-02-17,5247.0,5250.05,5138.0,21421,5148.25,-98.75,5241.014398782324,5302.800894264304,5334.78089157476,5396.166379047056,5413.161705043253,5416.7647024668595,,,,-81.98381089209943,-57.31087563638013,-24.672935255719295
32,BAYERCROP,2021-02-18,5188.0,5259.0,5145.1,30778,5201.0,13.0,5227.67624524459,5282.427802430397,5314.115835432804,5377.6256783727285,5395.589354721351,5399.413298185515,,,,-85.297462752711,-62.90819305964631,-22.38926969306469
33,BAYERCROP,2021-02-19,5220.0,5250.0,5117.05,27150,5206.6,-13.399999999999636,5220.650822925876,5267.25454819038,5297.5182717910475,5361.444518155394,5380.028106032454,5384.0053536263185,,,,-86.48708183527106,-67.62397081477127,-18.863111020499787
34,BAYERCROP,2021-02-22,5180.0,5190.05,5070.0,16084,5105.65,-74.35000000000036,5182.317188957853,5234.920522313164,5267.914555107536,5337.33246528374,5357.55771282272,5361.890725803095,,,,-93.97617069555872,-72.89441079092876,-21.081759904629962
35,BAYERCROP,2021-02-23,5118.05,5165.0,5024.65,22714,5058.15,-59.900000000000546,5140.928107022284,5199.554941063255,5235.564006735456,5311.103764077569,5333.158828883359,5337.888269092412,,,,-102.32426235695584,-78.78038110413418,-23.543881252821663
36,BAYERCROP,2021-02-24,5089.4,5133.8,5015.0,7428,5096.65,7.25,5126.168733509892,5178.968608333066,5214.148325829198,5291.0172563050355,5313.973235092059,5318.918809949792,,,,-104.77048412059412,-83.97840170742617,-20.792082413167947
37,BAYERCROP,2021-02-25,5096.65,5237.0,5091.1,31916,5138.6,41.95000000000073,5130.312489849787,5170.8932094717275,5202.505129159486,5276.780525034488,5299.806416948506,5304.804031844571,,,,-102.29890268508461,-87.64250190295786,-14.656400782126752
38,BAYERCROP,2021-02-26,5120.0,5174.0,5075.0,23680,5142.15,22.149999999999636,5134.258327101804,5165.143612261684,5193.205953579848,5264.23651140717,5287.119724135018,5292.125281134754,,,,-98.91932755490598,-89.8978670333475,-9.021460521558481
39,BAYERCROP,2021-03-01,5218.0,5218.0,5045.1,16869,5074.0,-144.0,5114.172216251327,5146.9124664744095,5174.843566857037,5246.5515348101435,5270.030493477363,5275.188224372419,,,,-100.3446575153821,-91.98722512975442,-8.357432385627675
40,BAYERCROP,2021-03-02,5119.0,5149.5,5050.0,13464,5079.5,-39.5,5102.614810137401,5133.428539322451,5160.159756777482,5231.0537382812,5254.802293524931,5260.047483267115,,,,-99.88772648963368,-93.56732540173027,-6.320401087903406
41,BAYERCROP,2021-03-03,5085.0,5195.0,5075.0,22322,5161.95,76.94999999999982,5122.393207553251,5139.1333167667535,5160.435426132417,5224.654732677909,5247.403262743938,5252.482455986198,,,,-92.04702985378117,-93.26326629214046,1.2162364383592887
42,BAYERCROP,2021-03-04,5140.0,5225.0,5132.65,21564,5185.4,45.399999999999636,5143.395472264951,5148.387283205723,5164.279047647408,5221.0258807801,5242.476082374867,5247.324924650552,,,,-83.04587700314369,-91.21978843434111,8.173911431197425
43,BAYERCROP,2021-03-05,5185.4,5209.3,5116.35,12994,5141.2,-44.19999999999982,5142.663648163561,5146.949748297733,5160.726142729639,5213.657789683017,5234.448447119741,5239.188531498948,,,,-78.46238876930875,-88.66830850133465,10.205919732025905
44,BAYERCROP,2021-03-08,5154.0,5184.7,5111.1,9934,5165.75,11.75,5150.359098867356,5150.70996241861,5161.4994641681305,5209.241954293511,5229.015795939705,5233.572708447564,,,,-72.07324427943331,-85.3492956569544,13.276051377521085
45,BAYERCROP,2021-03-09,5185.0,5185.0,5122.0,32202,5163.1,-21.899999999999636,5154.6060659452905,5153.188056283857,5161.745813747668,5204.994253809057,5223.814413238443,5228.196560300848,,,,-66.45074655318058,-81.56958583619965,15.11883928301907
46,BAYERCROP,2021-03-10,5167.05,5219.95,5121.0,32564,5164.2,-2.850000000000364,5157.8040439804545,5155.390506422435,5162.1235278514,5201.243154598831,5219.119595423522,5223.325237403088,,,,-61.20170955168851,-77.49601057929743,16.294301027608924
47,BAYERCROP,2021-03-12,5150.0,5209.0,5145.0,20609,5184.5,34.5,5166.70269601837,5161.212534973523,5165.567195965994,5199.7051972210675,5216.3981763103775,5220.375947768985,,,,-54.80875180299063,-72.95855882403607,18.149807021045447
48,BAYERCROP,2021-03-15,5205.0,5205.0,5051.0,20099,5122.85,-82.14999999999964,5152.0851306445265,5153.539891094278,5158.993488075862,5192.652272337541,5209.056806434958,5212.981532838167,,,,-53.988044762305435,-69.16445601168995,15.176411249384515
49,BAYERCROP,2021-03-16,5113.7,5148.85,5060.0,12013,5084.1,-29.599999999999454,5129.423420394144,5139.651714656744,5147.4686959240435,5182.699097311364,5199.265798359974,5203.22676908035,5270.279345279005,,,-55.75807315630664,-66.48317944061328,10.725106284306648
50,BAYERCROP,2021-03-17,5085.0,5174.5,5030.0,25330,5131.55,46.55000000000018,5130.132280263504,5138.031353224139,5145.01917713318,5178.012888730236,5193.9675049831785,5197.810450475413,5264.026098346715,,,-52.79127334223267,-63.74479822093717,10.9535248787045
51,BAYERCROP,2021-03-18,5125.0,5172.1,5035.0,9308,5063.45,-61.55000000000018,5107.904853493509,5123.114946327105,5132.46795434724,5167.524239260245,5183.768874293403,5187.672507819792,5255.0377662119945,,,-55.20455347255211,-62.03674927126016,6.832195798708057
52,BAYERCROP,2021-03-19,5063.45,5160.0,5007.0,38830,5086.95,23.5,5100.919902325761,5115.881904206169,5125.464191803613,5160.152126055994,5176.212647692355,5180.083127418713,5247.547243655336,,,-54.61893561509987,-60.55318654002811,5.934250924928236
53,BAYERCROP,2021-03-22,5149.95,5149.95,5055.0,7366,5093.8,-56.149999999999636,5098.546601549772,5111.465497546593,5120.592188874945,5154.084813240338,5169.78796252328,5173.590026460278,5240.7322233096675,,,-52.99783758533249,-59.04211674908898,6.044279163756492
54,BAYERCROP,2021-03-23,5098.65,5119.0,5040.0,11545,5096.25,-2.399999999999636,5097.7810676996905,5108.422383805223,5116.846853735737,5148.799145196804,5164.061049884104,5167.776780353445,5234.360448062811,,,-50.92992661770859,-57.419678722812904,6.489752105104316
