,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BERGEPAINT,2021-01-04,766.0,779.85,765.3,725041,778.5,12.5,,,,,,,,,,,,
1,BERGEPAINT,2021-01-05,776.8,798.7,771.15,865992,791.4,14.600000000000023,,,,,,,,,,,,
2,BERGEPAINT,2021-01-06,791.5,794.35,775.6,1007682,783.0,-8.5,,,,,,,,,,,,
3,BERGEPAINT,2021-01-07,788.9,797.9,782.2,873088,792.0,3.1000000000000227,,,,,,,,,,,,
4,BERGEPAINT,2021-01-08,793.45,812.95,792.65,967826,810.6,17.149999999999977,796.5127962085309,,,,,,,,,,,
5,BERGEPAINT,2021-01-11,813.0,819.85,803.2,1083106,810.8,-2.2000000000000455,801.7335338345865,,,,,,,,,,,
6,BERGEPAINT,2021-01-12,810.9,814.65,798.6,596031,803.15,-7.75,802.2350412821759,,,,,,,,,,,
7,BERGEPAINT,2021-01-13,803.2,805.9,787.7,715762,796.6,-6.600000000000023,800.2804282315624,,,,,,,,,,,
8,BERGEPAINT,2021-01-14,798.9,803.0,785.1,779167,794.1,-4.7999999999999545,798.1652652443797,797.8698616365293,,,,,,,,,,
9,BERGEPAINT,2021-01-15,792.0,794.4,770.0,873073,777.5,-14.5,791.1552796208531,793.3058301611017,,,,,,,,,,
10,BERGEPAINT,2021-01-18,772.4,784.05,764.15,1416611,775.8,3.3999999999999773,785.9769867332194,789.475654549047,,,,,,,,,,
11,BERGEPAINT,2021-01-19,774.8,795.8,774.8,1248067,789.5,14.700000000000045,787.1604458182024,789.4808829309028,790.273693820009,,,,,,,,,
12,BERGEPAINT,2021-01-20,795.65,805.8,788.35,868874,794.15,-1.5,789.5023303560677,790.4690303220483,790.9467678317233,,,,,,,,,
13,BERGEPAINT,2021-01-21,795.1,822.95,792.5,3004198,805.25,10.149999999999977,794.7695965245558,793.56122020699,793.3821515934077,,,,,,,,,
14,BERGEPAINT,2021-01-22,811.7,812.8,771.05,1162797,773.4,-38.30000000000007,787.6300934979745,789.3819304807987,790.0347991190146,,,,,,,,,
15,BERGEPAINT,2021-01-25,778.0,778.9,737.1,1706682,748.45,-29.549999999999955,774.5501489163223,780.9584443277643,783.1625831869659,,,,,,,,,
16,BERGEPAINT,2021-01-27,748.45,755.6,729.35,1472938,732.2,-16.25,760.4190901624135,770.9821083471883,774.8356393388565,,,,,,,,,
17,BERGEPAINT,2021-01-28,720.0,741.7,720.0,1199506,731.45,11.450000000000045,750.7561884741243,762.9306443975777,767.8137560680335,,,,,,,,,
18,BERGEPAINT,2021-01-29,740.0,741.65,700.0,2035019,706.85,-33.14999999999998,736.1141874120482,751.5505105044282,758.0252153827153,,,,,,,,,
19,BERGEPAINT,2021-02-01,713.1,724.7,698.4,1117330,720.85,7.75,731.0245943548663,745.338792167025,752.0960676737229,,,,,,,,,
20,BERGEPAINT,2021-02-02,731.9,746.45,720.7,1753803,724.45,-7.449999999999932,728.8326234442612,741.1221420003837,747.7114967517143,758.2267915537853,,,,,,,,
21,BERGEPAINT,2021-02-03,737.0,737.0,715.3,1579882,728.95,-8.049999999999955,728.8717541929465,738.6696171610891,744.7500561285538,755.1925165864423,,,,,,,,
22,BERGEPAINT,2021-02-04,730.7,736.0,722.0,930297,733.8,3.099999999999909,730.5146491851078,737.6899105618623,743.0285128823601,753.0032489778669,,,,,,,,
23,BERGEPAINT,2021-02-05,737.4,740.6,720.0,886998,730.15,-7.25,730.3930922358677,736.1747734166183,741.0105856405723,750.6909203413912,,,,,,,,
24,BERGEPAINT,2021-02-08,742.7,758.0,728.2,2158216,751.95,9.25,737.5790127349887,739.3417833585753,742.7198167111108,750.8170206856845,753.1353218457098,,,,,,,
25,BERGEPAINT,2021-02-09,758.4,769.5,752.7,2718805,762.15,3.75,745.7695580653425,743.9172552019812,745.7484239456234,751.9416544366485,753.927632288284,754.3562707535925,,,,-8.607846807969167,-8.607846807969167,0.0
26,BERGEPAINT,2021-02-10,780.0,792.8,746.1,8686682,762.8,-17.200000000000045,751.4464719626156,747.7029574279176,748.4009031000348,753.0102897909289,754.698974760512,755.0712364614407,,,,-6.670333361405824,-8.220344118656499,1.550010757250675
27,BERGEPAINT,2021-02-11,763.0,775.0,756.7,1605676,771.75,8.75,758.2143940562969,752.521686720349,752.0268003370949,754.8408360166299,756.1666520894846,756.4686837408826,,,,-4.441883403787756,-7.4646519756827505,3.0227685718949946
28,BERGEPAINT,2021-02-12,770.3,773.0,753.7,1497926,770.35,0.05000000000006821,762.259627681948,756.092875523288,754.868118182269,756.3456207551518,757.3764199196553,757.6205570996858,,,,-2.752438917416839,-6.522209364029568,3.7697704466127293
29,BERGEPAINT,2021-02-15,765.0,774.9,760.5,914748,764.05,-0.9500000000000455,762.856421566969,757.6862729491022,756.2901864854301,757.0885978083761,757.9409166519505,758.1493634987089,,,,-1.8591770132787815,-5.589602893879412,3.73042588060063
30,BERGEPAINT,2021-02-16,760.0,771.8,751.6,1188250,759.55,-0.4500000000000455,761.7542772127875,758.059387874406,756.7945385122275,757.3246601832442,758.0759886972263,758.263628571119,,,,-1.4690900588915383,-4.7655003268818374,3.296410267990299
31,BERGEPAINT,2021-02-17,759.0,761.95,746.0,1006265,752.25,-6.75,758.5861774654401,756.8965890353708,756.0920288479689,756.8403912821818,757.5903443854402,757.7766871739075,,,,-1.6846583259385852,-4.149331926693187,2.464673600754602
32,BERGEPAINT,2021-02-18,749.9,764.8,746.5,1502166,758.7,8.800000000000068,758.6241183689202,757.2574999827862,756.494880627763,757.0170531067071,757.6822519103715,757.8509383092438,,,,-1.35605768148082,-3.5906770776507138,2.2346193961698937
33,BERGEPAINT,2021-02-19,756.0,763.4,738.3,711985,741.25,-14.75,752.8327396133362,754.0543758093165,754.1414796109574,755.5252934194931,756.3292320068277,756.5243371904073,,,,-2.382857579449933,-3.349113178010558,0.9662555985606249
34,BERGEPAINT,2021-02-22,731.0,743.95,725.8,1369925,729.85,-1.1499999999999773,745.1718211476671,749.2115361583043,750.3935015137282,753.1050537799167,754.1606961725042,754.4051286617691,,,,-4.01162714804093,-3.4816159720166326,-0.5300111760242969
35,BERGEPAINT,2021-02-23,730.0,736.7,710.75,944425,721.7,-8.299999999999955,737.3478771829891,743.7074427462102,745.9682996095822,750.1546042553736,751.5154578416777,751.8206763041018,,,,-5.852376694519535,-3.9557681165172136,-1.8966085780023212
36,BERGEPAINT,2021-02-24,721.7,730.0,716.0,459880,724.75,3.0499999999999545,733.1485835069203,739.9149696146518,742.6971799831969,747.775118014931,749.3442441740398,749.6920087007167,,,,-6.994828717519795,-4.56358023671773,-2.431248480802065
37,BERGEPAINT,2021-02-25,728.0,731.1,715.7,1219033,722.9,-5.100000000000023,729.7323883094695,736.5112687707134,739.6461201811414,745.4516253928555,747.2080527651243,747.5948161898017,,,,-7.948696008660249,-5.240603391106234,-2.7080926175540156
38,BERGEPAINT,2021-02-26,717.6,719.8,675.05,2216861,679.85,-37.75,713.1049232840211,725.1771318100512,730.4330735306031,739.3392843565906,741.7877156771331,742.3141623590157,,,,-11.881088828412544,-6.5687004785674965,-5.3123883498450475
39,BERGEPAINT,2021-03-01,681.0,723.0,681.0,2028724,718.75,37.75,714.9866156928566,723.8915345628557,728.6334225246131,737.4252405733944,739.9404120611498,740.484445265448,,,,-11.851022740834878,-7.625164931020974,-4.225857809813904
40,BERGEPAINT,2021-03-02,724.8,725.0,703.3,1230175,713.3,-11.5,714.4244104280081,721.7730023693005,726.2719305892568,735.1870805346781,737.8111700995181,738.3811370609023,,,,-12.109206471645507,-8.521973239145881,-3.587233232499626
