,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BHARATFORG,2021-01-04,546.5,553.75,534.2,2925683,552.6,6.100000000000023,,,,,,,,,,,,
1,BHARATFORG,2021-01-05,548.75,558.7,538.25,1897354,556.55,7.7999999999999545,,,,,,,,,,,,
2,BHARATFORG,2021-01-06,557.0,559.0,542.1,1600465,548.3,-8.700000000000045,,,,,,,,,,,,
3,BHARATFORG,2021-01-07,555.0,603.1,550.0,13271502,598.85,43.85000000000002,,,,,,,,,,,,
4,BHARATFORG,2021-01-08,601.0,606.0,593.6,2897356,603.3,2.2999999999999545,583.6151658767772,,,,,,,,,,,
5,BHARATFORG,2021-01-11,604.0,622.85,597.9,4065354,610.95,6.9500000000000455,593.6036842105262,,,,,,,,,,,
6,BHARATFORG,2021-01-12,608.0,625.0,605.3,2348196,621.4,13.399999999999977,603.4451189898009,,,,,,,,,,,
7,BHARATFORG,2021-01-13,624.7,676.9,615.25,15115174,628.25,3.5499999999999545,612.0491276764473,,,,,,,,,,,
8,BHARATFORG,2021-01-14,632.8,640.0,611.15,2579015,622.45,-10.349999999999909,615.6086771686403,608.0181538704455,,,,,,,,,,
9,BHARATFORG,2021-01-15,622.5,627.7,601.05,2656981,613.55,-8.950000000000045,614.9103412322276,609.257608526693,,,,,,,,,,
10,BHARATFORG,2021-01-18,612.55,613.55,579.25,2240300,588.8,-23.75,606.1050965453829,604.78160067452,,,,,,,,,,
11,BHARATFORG,2021-01-19,590.65,600.95,589.5,2200851,599.2,8.550000000000068,603.7855199158047,603.5829069329269,602.5450256787233,,,,,,,,,
12,BHARATFORG,2021-01-20,601.95,625.55,601.05,3431694,621.55,19.59999999999991,609.7375964217332,607.3853680573659,605.8450112100462,,,,,,,,,
13,BHARATFORG,2021-01-21,627.0,637.35,612.8,2847910,618.85,-8.149999999999977,612.7855048530553,609.7837776137075,608.059345574987,,,,,,,,,
14,BHARATFORG,2021-01-22,618.85,644.5,618.0,5322813,629.4,10.549999999999955,618.336346126564,613.8500928388789,611.634270530431,,,,,,,,,
15,BHARATFORG,2021-01-25,635.3,636.0,597.3,2163010,608.5,-26.799999999999955,615.0525647280317,612.7490836165828,611.1163076129492,,,,,,,,,
16,BHARATFORG,2021-01-27,607.0,607.5,580.7,3488403,601.8,-5.2000000000000455,610.6305549924385,610.5088206560958,609.5940855136467,,,,,,,,,
17,BHARATFORG,2021-01-28,562.0,599.25,562.0,2305090,582.65,20.649999999999977,601.2973881390831,604.8348432344698,605.2332364815927,,,,,,,,,
18,BHARATFORG,2021-01-29,592.15,605.0,578.6,2767087,583.8,-8.350000000000023,595.462293255659,600.5663592503588,601.7918457135438,,,,,,,,,
19,BHARATFORG,2021-02-01,587.0,621.3,576.5,2812694,613.25,26.25,601.3933124645641,603.1326750065158,603.6193291198246,,,,,,,,,
20,BHARATFORG,2021-02-02,620.0,650.7,618.5,4078912,648.4,28.399999999999977,617.0653503303388,612.270420834563,610.721388976094,608.1543925919588,,,,,,,,
21,BHARATFORG,2021-02-03,659.9,668.0,631.45,3529045,634.35,-25.549999999999955,622.8276703956884,616.7191625878797,614.451087596683,610.8693306570314,,,,,,,,
22,BHARATFORG,2021-02-04,634.0,642.4,625.1,1822926,629.05,-4.9500000000000455,624.9019650933818,619.1999741972971,616.7462958362248,612.7299042054472,,,,,,,,
23,BHARATFORG,2021-02-05,632.0,646.0,615.0,2202933,617.9,-14.100000000000023,622.5678380743256,618.9387457413329,616.9270691197795,613.2530228469429,,,,,,,,
24,BHARATFORG,2021-02-08,621.0,645.0,620.0,2427690,643.05,22.049999999999955,629.395495772658,623.7792836281669,621.0086518852703,616.2372733287997,614.9966386528112,,,,,,,
25,BHARATFORG,2021-02-09,647.95,655.65,638.85,3422137,645.3,-2.650000000000091,634.6971371526258,628.0964748122602,624.7949750270805,619.1213272393355,617.6600359732192,617.3535727159747,,,,7.441402311105776,7.441402311105776,0.0
26,BHARATFORG,2021-02-10,649.0,659.0,637.35,2813641,655.9,6.899999999999977,641.7648825007533,633.6706573963064,629.6335559344997,622.7409385112597,620.9845271742972,620.6174591888705,,,,9.01609674562917,7.756341198010455,1.259755547618715
27,BHARATFORG,2021-02-11,653.25,666.65,644.15,2694261,647.9,-5.350000000000023,643.8099456638661,636.5220412956331,632.4701645344712,625.1985445540735,623.3012928062768,622.9033548036524,,,,9.566809730818818,8.118434904572128,1.44837482624669
28,BHARATFORG,2021-02-12,649.85,654.0,623.75,6216143,640.1,-9.75,642.5732874353088,637.2387420772486,633.6532978333915,626.644366054242,624.734137553486,624.3303345721922,,,,9.322963261199334,8.35934057589757,0.9636226853017646
29,BHARATFORG,2021-02-15,635.55,651.8,616.0,3836869,628.05,-7.5,637.7321663766327,635.3987158196213,632.7854722176611,626.7799193199551,625.0146157216151,624.6362682138696,,,,8.14920400379151,8.317313261476357,-0.16810925768484708
30,BHARATFORG,2021-02-16,628.5,639.7,622.0,2209598,630.75,2.25,635.4047694926911,634.4680509698725,632.4705479025496,627.1606724845287,625.4960637994061,625.1350314580052,,,,7.335516444544396,8.120953898089965,-0.785437453545569
31,BHARATFORG,2021-02-17,632.0,653.4,629.2,3584057,637.75,5.75,636.1865148070724,635.1249612338295,633.2866629185124,628.1711996555578,626.5175306648742,626.1565029930316,,,,7.130159925480825,7.922795103568138,-0.7926351780873127
32,BHARATFORG,2021-02-18,644.0,645.6,626.6,1883851,633.05,-10.950000000000045,635.1410082558509,634.7097057876558,633.2501057357921,628.634683055095,627.0585841957201,626.7108654634108,,,,6.539240272381335,7.646084137330778,-1.1068438649494432
