,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BHEL,2021-01-04,39.3,40.85,38.75,138885188,40.65,1.3500000000000014,,,,,,,,,,,,
1,BHEL,2021-01-05,40.25,40.65,39.6,68178443,40.15,-0.10000000000000142,,,,,,,,,,,,
2,BHEL,2021-01-06,40.35,40.65,38.25,78478570,39.4,-0.9500000000000028,,,,,,,,,,,,
3,BHEL,2021-01-07,39.8,40.15,39.1,42199800,39.3,-0.5,,,,,,,,,,,,
4,BHEL,2021-01-08,39.65,40.55,39.0,68394773,39.35,-0.29999999999999716,39.53530805687204,,,,,,,,,,,
5,BHEL,2021-01-11,39.75,40.0,38.3,46504882,39.0,-0.75,39.339699248120304,,,,,,,,,,,
6,BHEL,2021-01-12,39.0,40.0,38.6,37860013,39.35,0.3500000000000014,39.34334628460418,,,,,,,,,,,
7,BHEL,2021-01-13,39.65,42.3,39.65,154573968,40.75,1.1000000000000014,39.83126883425853,,,,,,,,,,,
8,BHEL,2021-01-14,40.4,40.7,39.6,34995707,40.2,-0.19999999999999574,39.957461791247205,39.85206599009687,,,,,,,,,,
9,BHEL,2021-01-15,40.2,40.5,38.85,37081742,39.4,-0.8000000000000043,39.76836191296855,39.75077696592046,,,,,,,,,,
10,BHEL,2021-01-18,39.4,39.6,37.25,38159244,38.05,-1.3500000000000014,39.18887515062907,39.37865668390792,,,,,,,,,,
11,BHEL,2021-01-19,38.1,40.0,38.1,29092687,39.75,1.6499999999999986,39.377369558827716,39.45840565466714,39.4914226660744,,,,,,,,,
12,BHEL,2021-01-20,39.7,40.7,39.4,40633278,40.5,0.7999999999999972,39.75351241480055,39.67884320629434,39.666550006575385,,,,,,,,,
13,BHEL,2021-01-21,41.0,41.25,38.5,56574146,38.75,-2.25,39.417858498274974,39.48452851451302,39.510490804254935,,,,,,,,,
14,BHEL,2021-01-22,38.5,39.3,37.1,58968250,37.65,-0.8500000000000014,38.82722352374478,39.10424269379414,39.198826744051175,,,,,,,,,
15,BHEL,2021-01-25,37.75,38.25,36.0,51673382,36.25,-1.5,37.966839133216084,38.51686082525869,38.711509874410375,,,,,,,,,
16,BHEL,2021-01-27,35.85,36.2,35.4,38751487,35.7,-0.14999999999999858,37.210458393199595,37.9405104024602,38.219449385046175,,,,,,,,,
17,BHEL,2021-01-28,35.35,36.8,35.1,48537154,36.6,1.25,37.006834482154844,37.667490024070645,37.95734457990583,,,,,,,,,
18,BHEL,2021-01-29,37.0,37.5,35.8,52158893,36.05,-0.9500000000000028,36.68774571606441,37.33926175133074,37.65109507650426,,,,,,,,,
