,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BIOCON,2021-01-04,468.0,469.8,464.45,2821496,467.0,-1.0,,,,,,,,,,,,
1,BIOCON,2021-01-05,471.5,471.75,460.85,2558959,467.65,-3.8500000000000227,,,,,,,,,,,,
2,BIOCON,2021-01-06,467.35,469.25,453.8,2960254,459.75,-7.600000000000023,,,,,,,,,,,,
3,BIOCON,2021-01-07,461.5,464.1,453.85,3183329,454.8,-6.699999999999989,,,,,,,,,,,,
4,BIOCON,2021-01-08,466.15,467.95,461.25,5550289,465.65,-0.5,462.19644549763035,,,,,,,,,,,
5,BIOCON,2021-01-11,464.65,472.9,457.2,3550553,471.25,6.600000000000023,465.5047368421053,,,,,,,,,,,
6,BIOCON,2021-01-12,472.0,474.35,466.1,3014910,471.75,-0.25,467.7159057795046,,,,,,,,,,,
7,BIOCON,2021-01-13,472.0,472.2,460.55,3430890,462.8,-9.199999999999989,466.0107375099128,,,,,,,,,,,
8,BIOCON,2021-01-14,463.1,469.3,458.55,3484973,466.45,3.349999999999966,466.16106880183617,465.8429226880728,,,,,,,,,,
9,BIOCON,2021-01-15,466.5,466.6,455.0,2795557,457.05,-9.449999999999989,463.07044980611806,463.87279757748297,,,,,,,,,,
10,BIOCON,2021-01-18,456.0,459.35,440.5,2898351,448.9,-7.100000000000023,458.2917195415165,460.5968350211379,,,,,,,,,,
11,BIOCON,2021-01-19,450.1,456.65,449.35,2056058,451.6,1.5,456.04382102797985,458.6646921712895,459.56448439118145,,,,,,,,,
12,BIOCON,2021-01-20,451.6,453.9,448.05,2513241,449.8,-1.8000000000000114,453.95179805451136,456.78861532148346,457.8689989531583,,,,,,,,,
13,BIOCON,2021-01-21,455.0,455.0,440.15,3617650,441.95,-13.050000000000011,449.93744759613026,453.68436592490457,455.1585016965466,,,,,,,,,
14,BIOCON,2021-01-22,422.4,423.0,376.3,28411474,393.75,-28.649999999999977,431.1654295232815,441.2603619616473,444.87152638551305,,,,,,,,,
15,BIOCON,2021-01-25,393.1,394.3,377.65,13627688,382.7,-10.400000000000034,414.9856536296057,429.2090760265256,434.5971914554942,,,,,,,,,
16,BIOCON,2021-01-27,380.0,386.95,368.55,10430905,377.55,-2.4499999999999886,402.49442433130554,418.63924948689424,425.27606347814043,,,,,,,,,
17,BIOCON,2021-01-28,376.55,386.8,373.0,9111175,380.1,3.5500000000000114,395.0245618169486,410.7900000827488,417.96440346314824,,,,,,,,,
18,BIOCON,2021-01-29,385.0,386.0,369.0,6608798,371.8,-13.199999999999989,387.2795474896307,402.87797577914154,410.552095386064,,,,,,,,,
19,BIOCON,2021-02-01,373.5,382.6,363.25,4007717,379.2,5.699999999999989,384.58555483228577,398.0871461178997,405.5516884585813,,,,,,,,,
20,BIOCON,2021-02-02,384.0,394.0,379.1,4891113,391.5,7.5,386.89083206347874,396.75745263664714,403.3231391636963,414.97152129249224,,,,,,,,
21,BIOCON,2021-02-03,396.35,404.9,391.55,7249108,401.2,4.849999999999966,391.6611923018931,397.6525668867128,402.98800862207685,413.54422751806095,,,,,,,,
22,BIOCON,2021-02-04,402.0,410.9,399.75,5668584,409.9,7.899999999999977,397.74133663790144,400.1165985852527,404.074696391958,413.1712845203855,,,,,,,,
23,BIOCON,2021-02-05,417.7,417.7,398.2,9808981,407.2,-10.5,400.8944117279928,401.54000069461506,404.5643985297074,412.5671003097989,,,,,,,,
24,BIOCON,2021-02-08,407.65,413.25,406.1,3333450,409.0,1.3500000000000227,403.59638148908095,403.0376585470883,405.25744000345105,412.209845251218,414.43035032950746,,,,,,,
25,BIOCON,2021-02-09,409.0,409.95,402.8,3195358,404.8,-4.199999999999989,403.9975982520791,403.39119533705457,405.18613825177897,411.4745256298,413.5839277505621,414.0445318426398,,,,-8.858393590860828,-8.858393590860828,0.0
26,BIOCON,2021-02-10,404.4,409.85,400.0,2646877,408.15,3.75,405.3817565305476,404.3452630638608,405.6471854581277,411.14733898764644,413.11151504166446,413.54541729167283,,,,-7.89823183354514,-8.666361239397691,0.7681294058525516
27,BIOCON,2021-02-11,403.0,412.55,403.0,3799980,406.4,3.3999999999999773,405.7211750030891,404.7570068794562,405.76409054354014,410.68360591125384,412.53381731784094,412.9467311881351,,,,-7.182640644594983,-8.36961712043715,1.186976475842167
28,BIOCON,2021-02-12,407.0,411.25,403.8,2998690,408.05,1.0500000000000114,406.49745607462876,405.4166262150477,406.1185589470167,410.4280789217407,412.1513703820604,412.540399821891,,,,-6.421840874874306,-7.9800618713245814,1.5582209964502756
29,BIOCON,2021-02-15,408.95,410.5,405.2,2040087,407.95,-1.0,406.9816399081505,405.92392898244594,406.4022082383337,410.18910369525986,411.79598993808844,412.1628503455947,,,,-5.760642107260992,-7.536177918511864,1.7755358112508723
30,BIOCON,2021-02-16,407.95,418.6,406.25,5407782,417.4,9.449999999999989,410.4544386794175,408.221418509377,408.10376525700985,410.88066938591265,412.2664100078294,412.5901013018078,,,,-4.486336044797952,-6.926209543769082,2.4398734989711306
31,BIOCON,2021-02-17,418.95,422.95,415.2,7395024,418.7,-0.25,413.2029654902022,410.3187965215615,409.7417659674617,411.62685898418977,412.80270290959027,413.08483797763233,,,,-3.3430720101706584,-6.209582037049398,2.86651002687874
32,BIOCON,2021-02-18,418.7,424.75,414.0,4311757,420.1,1.400000000000034,415.5019805459369,412.27627791848306,411.3417963252674,412.4318028075705,413.407103505115,413.64898452689437,,,,-2.307188201626957,-5.42910326996491,3.1219150683379535
33,BIOCON,2021-02-19,419.8,419.8,401.6,4834156,404.0,-15.800000000000011,411.6679830810619,410.620182594694,410.2084197276443,411.63404919858937,412.63252931123446,412.87792246819816,,,,-2.6695027405538667,-4.877183164082703,2.207680423528836
34,BIOCON,2021-02-22,405.0,406.8,395.25,3183792,397.65,-7.350000000000023,406.99531884503546,408.025093382508,408.27075751731974,410.31586561878584,411.4055242496134,411.66810259759785,,,,-3.3973450802781144,-4.5812155473217855,1.183870467043671
35,BIOCON,2021-02-23,398.25,400.75,384.1,9103379,385.35,-12.899999999999977,399.7802092599841,403.4886025305565,404.73584631934057,407.9703664879466,409.2822465753274,409.5883712193445,,,,-4.852524900003914,-4.635477417858212,-0.21704748214570202
36,BIOCON,2021-02-24,388.8,392.45,385.35,1470901,389.5,0.6999999999999886,396.3534717940554,400.69015550606053,402.38701173613583,406.24036579704017,407.67751093452495,408.0087481416265,,,,-5.621736405490651,-4.8327292153847,-0.7890071901059512
37,BIOCON,2021-02-25,391.7,400.7,390.55,4350060,397.8,6.100000000000023,396.8356479608192,400.1120043275465,401.6800803887642,405.4519824958929,406.87959612701786,407.2096400796818,,,,-5.5295596909175515,-4.97209531049127,-0.5574643804262811
38,BIOCON,2021-02-26,393.95,401.85,387.0,5197606,390.2,-3.75,394.62376500715624,398.1292740244588,399.91129479108304,404.0309000465517,405.53738046328357,405.88375234245024,,,,-5.972457551367199,-5.172167758666457,-0.8002897927007426
39,BIOCON,2021-03-01,395.0,399.0,387.4,2691673,395.65,0.6499999999999773,394.96584336904095,397.633353300396,399.2548884578092,403.25178556380104,404.74455039547627,405.0891188941216,,,,-5.834230436312396,-5.304580294195645,-0.5296501421167505
40,BIOCON,2021-03-02,397.8,399.9,392.1,2769928,398.0,0.19999999999998863,395.9772289736723,397.706690438859,399.06162377941587,402.76456403558257,404.2054904259299,404.5406213328358,,,,-5.478997553419958,-5.339463746040508,-0.13953380737945054
41,BIOCON,2021-03-03,399.0,403.8,396.6,2975783,402.7,3.6999999999999886,398.2181527391878,398.70543731507496,399.62187660602837,402.75858540641224,404.0855238685184,404.3986773182394,,,,-4.776800712211013,-5.226931139274609,0.45013042706359574
42,BIOCON,2021-03-04,399.0,407.1,398.3,1939204,399.75,0.75,398.7287685064745,398.91436407087815,399.641602872387,402.48046070355514,403.74099509455976,404.0412709206105,,,,-4.399668048223475,-5.061478521064383,0.6618104728409078
43,BIOCON,2021-03-05,398.5,401.25,393.5,1607741,394.6,-3.8999999999999773,397.3525123130639,398.05144427488,398.86547311554443,401.7530781581532,403.0164353291416,403.3174269008023,,,,-4.451953785257842,-4.9395735739030755,0.48761978864523314
44,BIOCON,2021-03-08,396.0,396.95,391.3,1923276,393.35,-2.6499999999999773,396.01834152615334,397.1111144627643,398.01647733916474,400.9785358518378,402.2520167214536,402.5552206773117,,,,-4.538743338146958,-4.859407526751852,0.3206641886048942
45,BIOCON,2021-03-09,397.5,397.5,385.6,2605409,389.0,-8.5,393.67889433219455,395.48883504202394,396.6286887266372,399.8758250256503,401.2063066674501,401.52113420429254,,,,-4.892445477655315,-4.8660151169325445,-0.026430360722770274
46,BIOCON,2021-03-10,392.0,404.45,388.7,7942179,402.55,10.550000000000011,396.6359295704483,396.9011074020267,397.5400143354447,400.1217198441029,401.3121266370306,401.59944993697866,,,,-4.059435601533949,-4.704699213852826,0.6452636123188773
47,BIOCON,2021-03-12,402.55,404.8,397.7,3756453,400.2,-2.3500000000000227,397.82395305115773,397.56090063550215,397.94937769520385,400.12891033754215,401.2247032385412,401.49314322854235,,,,-3.543765533338501,-4.4725124777499605,0.9287469444114596
48,BIOCON,2021-03-15,401.05,401.1,387.0,2963338,395.75,-5.300000000000011,397.13263536581223,397.1987140467771,397.6109175930976,399.72706209826765,400.7950655586047,401.0576982519957,,,,-3.446780658898092,-4.2673661139795875,0.8205854550814955
49,BIOCON,2021-03-16,396.0,396.0,389.3,2743146,391.7,-4.300000000000011,395.32175690770146,396.09895554114377,396.7013312133315,398.9910595044057,400.0824204225178,400.3494343622438,405.2727050804994,,,-3.6481031489122984,-4.143513520966129,0.495410372053831
50,BIOCON,2021-03-17,391.7,393.6,386.4,2105069,388.2,-3.5,392.94783793598555,394.5191463946834,395.3931731422321,398.0023977624168,399.15270311947046,399.4313515828442,404.50315022924707,,,-4.038178440612057,-4.122446504895315,0.08426806428325762
51,BIOCON,2021-03-18,390.0,392.95,383.25,2764770,389.15,-0.8500000000000227,391.6818919564413,393.4453073068868,394.432522811392,397.1919285247079,398.37109244565244,398.65558942664165,403.8151359807288,,,-4.22306661524965,-4.142570526966182,-0.08049608828346777
52,BIOCON,2021-03-19,386.5,398.0,385.85,4200208,395.7,9.199999999999989,393.0212613049166,393.8962491407705,394.6275471569668,397.05542502088616,398.1626271031353,398.43288754050195,403.4534998516763,,,-3.8053403835351673,-4.07512449827998,0.26978411474481234
53,BIOCON,2021-03-22,395.6,403.4,394.05,3713607,402.25,6.649999999999977,396.09750753756407,395.56700907989,395.8003739515117,397.5304227823154,398.48126853459365,398.72013833113385,403.4001533605121,,,-2.9197643796221655,-3.844052474548417,0.9242880949262515
54,BIOCON,2021-03-23,403.0,405.7,398.05,3443734,400.75,-2.25,397.6483383586964,396.60361211190246,396.56193276040034,397.82466798619436,398.6579504340958,398.87271243776416,403.2832795943416,,,-2.3107796773638256,-3.537397915111499,1.2266182377476733
55,BIOCON,2021-03-24,398.0,403.4,397.7,2567380,402.1,4.100000000000023,399.1322255726686,397.70289380242303,397.4140168350991,398.21521246608205,398.9257513256161,399.1150265052511,403.23134975081047,,,-1.7010096701519615,-3.170120266119592,1.4691105959676305
56,BIOCON,2021-03-25,401.8,405.8,397.35,3411079,398.5,-3.3000000000000114,398.921483715093,397.8623155191124,397.58110340173914,398.2412159124153,398.8926558183552,399.06889507761196,403.02467331509934,,,-1.4877916758728134,-2.8336545480702364,1.345862872197423
57,BIOCON,2021-03-26,396.5,399.0,390.75,4226903,395.25,-1.25,397.6976558099871,397.33985116423634,397.2224498895559,397.9682022457921,398.609725832413,398.7827174241657,402.68656758181805,,,-1.5602675346098067,-2.5789771453781505,1.0187096107683438
58,BIOCON,2021-03-30,400.9,409.5,399.05,4193149,408.45,7.550000000000011,401.28177054013764,399.5618851879606,398.949855844623,398.9245479382302,399.3734617058254,399.5065325862515,402.93614199554975,,,-0.5566767416285074,-2.174517064628222,1.6178403229997147
59,BIOCON,2021-03-31,413.0,413.4,405.8,5228409,408.9,-4.100000000000023,403.8211803601609,401.4295110124967,400.4807151571259,399.8343954015574,400.11233754331874,400.2092852703339,403.19334416755277,,,0.2714298867920206,-1.6853276743441736,1.9567575611361943
60,BIOCON,2021-04-01,409.2,413.2,408.8,1860699,410.55,1.3500000000000227,406.06412024014793,403.25361104633754,402.0298940469826,400.81145849166126,400.9213648561916,400.982333128042,403.50937722264905,,,1.047560918940576,-1.1387499556872238,2.1863108746277997
61,BIOCON,2021-04-05,410.55,410.55,401.55,1318706,406.45,-4.100000000000023,406.1927468267669,403.8928894640725,402.70993194436346,401.32544828282937,401.3496400030595,401.39080399262605,403.6352317409454,,,1.3191279517374142,-0.6471743742022962,1.9663023259397103
62,BIOCON,2021-04-06,406.6,415.55,405.1,2107437,414.25,7.649999999999977,408.8784978845329,405.9643131965751,404.4853747404214,402.5033139379341,402.34842388934925,402.3508636787666,404.0879069972814,,,2.1345110616547913,-0.09083728703087868,2.22534834868567
63,BIOCON,2021-04-07,415.95,418.5,412.45,2467709,414.2,-1.75,410.6523319230315,407.61145159118564,405.9799664570851,403.569039671296,403.26554939311023,403.23499543491005,404.51767112777765,,,2.7449710221750365,0.47632437481030443,2.268646647364732
64,BIOCON,2021-04-08,414.0,416.55,411.15,2086999,413.25,-0.75,411.5182212820241,408.7391618392487,407.09845467578606,404.4509253800158,404.03783259488614,403.9818676070521,404.8875803540006,,,3.1165870687339634,1.0043769135950362,2.112210155138927
65,BIOCON,2021-04-09,413.05,424.4,412.2,3202010,420.3,7.25,414.4454808546898,411.0513304002769,409.1294947141933,405.89442643034596,405.2951533457785,405.198187879341,405.538417158702,,,3.9313068348523075,1.5897628978464906,2.3415439370058166
66,BIOCON,2021-04-12,418.7,420.5,401.0,3599430,404.3,-14.399999999999977,411.0636539031211,409.70106388626266,408.38648529211684,405.749233872771,405.2182425711472,405.1312698308493,405.4862782493247,,,3.2552154612675395,1.9228534105307005,1.332362050736839
67,BIOCON,2021-04-13,406.7,412.35,401.35,2068043,406.95,0.25,409.6924359354126,409.15085096754484,408.1654849788582,405.85856193528775,405.3520335812688,405.2667132583395,405.54772545369514,,,2.8987717205187096,2.118037072528302,0.7807346479904074
68,BIOCON,2021-04-15,411.9,411.9,400.0,2744731,404.6,-7.2999999999999545,407.9949572902739,408.24068058682474,407.6169434180623,405.74398762893736,405.2939528663434,405.2170818929586,405.50804951336244,,,2.399861525103688,2.1744019630433797,0.22545956206030837
69,BIOCON,2021-04-16,403.0,418.55,399.35,5669099,412.85,9.850000000000023,409.6133048601834,409.16254462115296,408.4220357649654,406.3908077755979,405.87733810069545,405.7850815094828,405.8146037635455,,,2.6369542554826353,2.266912421531231,0.37004183395140444
70,BIOCON,2021-04-19,412.85,412.85,399.75,4445076,406.35,-6.5,408.5255365734553,408.6000356228735,408.10325878082074,406.3870937024848,405.91382086733853,405.8271053189955,405.8369019897554,,,2.2761534618252313,2.268760629590031,0.007392832235200153
71,BIOCON,2021-04-20,409.95,409.95,397.8,4436026,401.15,-8.800000000000011,406.06702438230303,407.1100283413827,407.03352026880003,405.9104955294269,405.5462183080453,405.47928899400586,405.6421751653017,,,1.5542312747941764,2.1258547586308603,-0.5716234838366838
72,BIOCON,2021-04-22,402.0,404.75,398.65,3847504,399.35,-2.6499999999999773,403.8280162548684,405.55802254234993,405.85143425089865,405.3135189195254,405.06819997870485,405.02361287618305,405.38136206255706,,,0.8278213747155974,1.8662480818478078,-1.0384267071322104
