,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,BRITANNIA,2021-01-04,3589.0,3593.9,3537.0,698402,3552.9,-36.09999999999991,,,,,,,,,,,,
1,BRITANNIA,2021-01-05,3549.0,3563.95,3540.0,725278,3551.1,2.099999999999909,,,,,,,,,,,,
2,BRITANNIA,2021-01-06,3568.0,3602.0,3510.0,1099588,3539.7,-28.300000000000182,,,,,,,,,,,,
3,BRITANNIA,2021-01-07,3560.0,3567.95,3516.45,621487,3552.8,-7.199999999999818,,,,,,,,,,,,
4,BRITANNIA,2021-01-08,3574.0,3589.95,3532.85,961239,3575.25,1.25,3558.997393364929,,,,,,,,,,,
5,BRITANNIA,2021-01-11,3603.8,3625.0,3547.65,1043630,3612.85,9.049999999999727,3578.675864661654,,,,,,,,,,,
6,BRITANNIA,2021-01-12,3624.0,3648.8,3586.3,893653,3631.65,7.650000000000091,3597.43164157358,,,,,,,,,,,
7,BRITANNIA,2021-01-13,3640.0,3648.0,3600.0,798273,3621.15,-18.84999999999991,3605.6587708168126,,,,,,,,,,,
8,BRITANNIA,2021-01-14,3623.0,3704.9,3619.6,1192074,3665.45,42.44999999999982,3626.121462104221,3611.4663190479373,,,,,,,,,,
9,BRITANNIA,2021-01-15,3680.0,3685.0,3571.0,597621,3609.05,-70.94999999999982,3620.330551486429,3610.9249233140713,,,,,,,,,,
10,BRITANNIA,2021-01-18,3609.05,3665.0,3575.0,826497,3607.85,-1.2000000000002728,3616.1217091473973,3610.2521476628676,,,,,,,,,,
11,BRITANNIA,2021-01-19,3628.75,3649.85,3587.0,594091,3601.25,-27.5,3611.1259688628893,3608.3188638803786,3605.887504736066,,,,,,,,,
12,BRITANNIA,2021-01-20,3605.0,3641.0,3585.0,607449,3592.3,-12.699999999999818,3604.8182353159987,3604.9287157392505,3603.528197731604,,,,,,,,,
13,BRITANNIA,2021-01-21,3604.7,3666.55,3602.6,834432,3630.8,26.100000000000364,3613.5085922521057,3610.341007709572,3608.171714918134,,,,,,,,,
14,BRITANNIA,2021-01-22,3649.0,3690.0,3591.0,791205,3608.0,-41.0,3611.6681919894745,3609.8557320482228,3608.14294972969,,,,,,,,,
15,BRITANNIA,2021-01-25,3633.85,3639.85,3576.25,467367,3613.55,-20.299999999999727,3612.2964177616327,3610.615984852619,3609.036507419043,,,,,,,,,
16,BRITANNIA,2021-01-27,3613.55,3649.9,3593.8,646880,3610.75,-2.800000000000182,3611.7804214592134,3610.6434053365006,3609.3164805996303,,,,,,,,,
17,BRITANNIA,2021-01-28,3588.7,3650.0,3559.25,643832,3603.75,15.050000000000182,3609.1018018463474,3609.2394325438167,3608.4155562939027,,,,,,,,,
18,BRITANNIA,2021-01-29,3605.2,3620.8,3480.2,733173,3501.1,-104.09999999999991,3573.0849542834503,3587.295297723372,3591.1846184924625,,,,,,,,,
19,BRITANNIA,2021-02-01,3539.0,3557.9,3483.0,544282,3520.75,-18.25,3555.634721737253,3573.831005457724,3579.9508636219393,,,,,,,,,
20,BRITANNIA,2021-02-02,3547.9,3554.0,3483.75,869950,3501.25,-46.65000000000009,3537.502845975037,3559.1796696451424,3567.469178260889,3577.6450290241664,,,,,,,,
21,BRITANNIA,2021-02-03,3526.05,3544.0,3501.0,786972,3516.5,-9.550000000000182,3530.500961464538,3550.580283445549,3559.4238609267527,3571.3078991305215,,,,,,,,
22,BRITANNIA,2021-02-04,3521.95,3608.05,3511.05,958717,3580.0,58.05000000000018,3547.0021113078187,3556.499165670232,3562.6587953269445,3572.1974314493173,,,,,,,,
