,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,CIPLA,2021-01-04,831.0,837.3,826.55,3487801,832.25,1.25,,,,,,,,,,,,
1,CIPLA,2021-01-05,832.25,843.75,825.3,4559213,827.25,-5.0,,,,,,,,,,,,
2,CIPLA,2021-01-06,829.0,834.4,815.25,3318460,824.8,-4.2000000000000455,,,,,,,,,,,,
3,CIPLA,2021-01-07,830.0,830.45,818.0,2879675,826.55,-3.4500000000000455,,,,,,,,,,,,
4,CIPLA,2021-01-08,830.7,846.2,827.4,5072916,838.7,8.0,831.4274881516588,,,,,,,,,,,
5,CIPLA,2021-01-11,839.0,860.0,832.75,5332109,856.85,17.850000000000023,840.7172180451129,,,,,,,,,,,
6,CIPLA,2021-01-12,860.0,864.6,841.0,4338010,843.15,-16.850000000000023,841.5785575522099,,,,,,,,,,,
7,CIPLA,2021-01-13,847.35,852.0,832.5,3596529,841.7,-5.649999999999977,841.6206819984139,,,,,,,,,,,
8,CIPLA,2021-01-14,841.7,847.55,829.0,3652930,840.9,-0.8000000000000682,841.3740389129415,840.0010931524364,,,,,,,,,,
9,CIPLA,2021-01-15,839.0,844.9,821.0,3137877,823.7,-15.299999999999955,835.3787246876348,836.3487020091319,,,,,,,,,,
10,CIPLA,2021-01-18,822.0,826.65,796.2,3742440,801.75,-20.25,824.0380399088516,828.7787037043055,,,,,,,,,,
11,CIPLA,2021-01-19,802.5,825.4,802.5,3791378,822.45,19.950000000000045,823.5045817254361,827.4195635642058,828.6976495589662,,,,,,,,,
12,CIPLA,2021-01-20,822.5,834.9,822.3,3056546,832.8,10.299999999999955,826.6190573792455,828.558250846742,829.4099734417022,,,,,,,,,
13,CIPLA,2021-01-21,835.0,839.3,809.0,3326213,812.75,-22.25,821.9801477263073,825.2511529748186,826.5733118876791,,,,,,,,,
14,CIPLA,2021-01-22,815.8,822.5,798.25,3883231,808.3,-7.5,817.4096610545623,821.7372892925899,823.5122193183104,,,,,,,,,
15,CIPLA,2021-01-25,813.0,857.0,808.25,10704200,836.8,23.799999999999955,823.8829625753688,824.8370828664736,825.7081298441958,,,,,,,,,
16,CIPLA,2021-01-27,839.9,856.45,825.2,7410174,842.5,2.6000000000000227,830.0949466274435,828.4510454969587,828.4518086600666,,,,,,,,,
17,CIPLA,2021-01-28,835.5,848.85,825.7,4489853,841.9,6.399999999999977,834.032628809538,831.1901802628103,830.6283728696005,,,,,,,,,
18,CIPLA,2021-01-29,847.95,850.85,820.75,7185812,825.9,-22.050000000000068,831.3205291305394,830.1166733451138,829.869169808723,,,,,,,,,
19,CIPLA,2021-02-01,815.0,831.0,779.95,13856367,806.4,-8.600000000000023,823.0111872297725,825.3180138994086,826.1260260778586,,,,,,,,,
20,CIPLA,2021-02-02,807.0,826.35,801.5,8486828,821.6,14.600000000000023,822.5406971599497,824.5674887468216,825.4082139619571,826.7703052262085,,,,,,,,
21,CIPLA,2021-02-03,826.0,878.9,824.2,15674616,849.25,23.25,831.4449882290864,829.5406867215646,829.1715615581616,829.1001225151118,,,,,,,,
22,CIPLA,2021-02-04,847.55,856.5,832.6,4639606,834.45,-13.099999999999909,832.4467480809903,830.5283796874485,830.0014258020808,829.6476183387184,,,,,,,,
23,CIPLA,2021-02-05,839.6,854.9,830.5,7381183,847.7,8.100000000000023,837.5314674358874,833.9789988381814,832.774605853304,831.4741874673529,,,,,,,,
24,CIPLA,2021-02-08,852.0,859.25,841.05,4244906,847.25,-4.75,840.7711065871961,836.6432643811866,835.0363168207199,833.0541791527647,832.6936181408255,,,,,,,
25,CIPLA,2021-02-09,848.0,856.85,839.0,4200281,841.75,-6.25,841.0974130064164,837.667707694881,836.0827871058777,833.9171131920763,833.48959397004,833.4066471716385,,,,2.676139934239245,2.676139934239245,0.0
26,CIPLA,2021-02-10,847.6,867.0,841.0,5665209,863.4,15.799999999999955,848.5317395221224,842.8266396880811,840.3321501868744,836.8187021132774,836.0899332799211,835.9463092225972,,,,4.385840964277236,3.0180801402468433,1.3677608240303925
27,CIPLA,2021-02-11,868.0,874.9,856.0,5347864,859.8,-8.200000000000045,852.2878704223858,846.2278907267842,843.355325907603,839.0635782420386,838.1307916391532,837.9449151267139,,,,5.410410780889038,3.4965462683752824,1.9138645125137552
28,CIPLA,2021-02-12,859.0,864.35,845.5,2473012,848.55,-10.450000000000045,851.0419038681728,846.6930323532315,844.1608468029775,839.9840032694526,839.0194974066718,838.824926395484,,,,5.335920407493518,3.86442109619893,1.471499311294588
29,CIPLA,2021-02-15,850.1,856.6,842.0,2531913,844.3,-5.800000000000068,848.7945908588308,846.2138326621008,844.182398523496,840.400219350032,839.4661581828854,839.2752381879798,,,,4.90716033551621,4.072968944062386,0.8341913914538237
30,CIPLA,2021-02-16,850.0,852.25,841.25,2808115,848.35,-1.6499999999999773,848.6463933906446,846.641489660658,844.8272017437305,841.162648223419,840.2118987224285,840.0155646856828,,,,4.811637058047722,4.220702566859454,0.5909344911882686
31,CIPLA,2021-02-17,849.45,854.7,833.0,2539649,835.7,-13.75,844.3309189246033,844.4514566055783,843.4162889711008,840.6413540763192,839.8357946714636,839.6661205733716,,,,3.750168397729226,4.126595733033408,-0.37642733530418226
32,CIPLA,2021-02-18,835.0,843.45,822.5,4114251,825.45,-9.549999999999955,838.0372695580379,840.6487550359991,840.6410468129714,839.1981836381423,838.6442873559736,838.5228860565081,,,,2.118160756463226,3.724908737719372,-1.606747981256146
33,CIPLA,2021-02-19,823.8,825.45,799.0,3834443,807.35,-16.449999999999932,827.8081691679304,833.9856254206968,835.501801361781,836.1849486258142,836.0675380527861,836.0318229160049,,,,-0.5300215542239357,2.8739226793307107,-3.4039442335546464
34,CIPLA,2021-02-22,811.4,817.5,786.05,4090429,792.45,-18.949999999999932,816.0221046844051,825.6751291987898,828.859257921264,832.0623450563191,832.4954482637753,832.5693574699877,,,,-3.710099548723747,1.5571182337198195,-5.267217782443566
35,CIPLA,2021-02-23,795.0,803.15,788.4,3264477,790.95,-4.0499999999999545,807.6647326299226,818.7278488376571,823.0127731254757,828.1999126027936,829.1098889512243,829.280477378724,,,,-6.267704253248212,-0.007846263673786602,-6.259857989574425
36,CIPLA,2021-02-24,794.0,798.1,776.25,1587082,789.05,-4.9500000000000455,801.4598198593728,812.7907377079523,817.7769014589712,824.5329915432706,825.8602311673204,826.117005845808,,,,-8.340104386836742,-1.674297888306378,-6.665806498530364
37,CIPLA,2021-02-25,795.0,814.0,790.45,5478169,809.15,14.149999999999977,804.0232137611939,812.0624389046184,816.4473589544275,823.0961232906341,824.510362665665,824.7888830465821,,,,-8.3415240921546,-3.0077431290760224,-5.333780963078578
38,CIPLA,2021-02-26,805.0,820.0,780.0,7549015,787.05,-17.950000000000045,798.3654750732865,807.0591198047173,811.9179808170281,819.7375754304525,821.4959080496099,821.84716752445,,,,-9.929186707421877,-4.392031844745194,-5.537154862676683
39,CIPLA,2021-03-01,795.0,800.5,782.0,2748271,789.8,-5.2000000000000455,795.5103164573103,803.6068369566727,808.5109453033369,816.9544854918123,818.9543381139223,819.3587595205271,,,,-10.847814217190148,-5.683188319234185,-5.164625897955963
40,CIPLA,2021-03-02,792.6,815.0,790.8,4275166,811.8,19.199999999999932,800.9402112989184,805.2456438331766,809.0174908008375,816.4762907391912,818.3825257528785,818.7739250403503,,,,-9.756434239512714,-6.497837503289892,-3.258596736222822
41,CIPLA,2021-03-03,817.95,818.15,807.6,3265559,812.5,-5.4500000000000455,804.7934743541592,806.6966385035165,809.5537425527857,816.108086249054,817.9137706207949,818.29009597045,,,,-8.736353417664304,-6.945540686164775,-1.7908127314995292
42,CIPLA,2021-03-04,807.4,818.0,803.7,3640996,806.75,-0.6499999999999773,805.4456495869155,806.7073115291818,809.1220698450703,815.2429903299611,817.0266251866142,817.4028534610791,,,,-8.280783616008762,-7.212589272133572,-1.0681943438751897
43,CIPLA,2021-03-05,806.5,812.0,800.25,3832170,805.15,-1.3500000000000227,805.3470997228499,806.3958322648011,808.5105893931092,814.3113868015516,816.0852260642916,816.463450834254,,,,-7.952861441144819,-7.360643705935822,-0.5922177352089966
44,CIPLA,2021-03-08,807.95,819.0,806.2,2915298,809.25,1.2999999999999545,806.6480664973938,806.9666906762316,808.6244067337271,813.8448603534281,815.5446985778514,815.9118403561005,,,,-7.287433622373328,-7.346001689223324,0.05856806684999594
45,CIPLA,2021-03-09,812.6,816.7,792.1,2783825,797.0,-15.600000000000023,803.4320443060617,804.9732830808682,806.8352136058987,812.2941691748821,814.0813456287167,814.469113693238,,,,-7.633900087339271,-7.403581368846514,-0.23031871849275642
46,CIPLA,2021-03-10,806.0,814.75,801.0,2512573,812.4,6.399999999999977,806.4213628865306,806.4586678711793,807.6916678800224,812.3039004945521,813.9489345056018,814.3116158392196,,,,-6.619947959197248,-7.246854686916661,0.6269067277194136
47,CIPLA,2021-03-12,816.5,818.7,802.0,2082799,805.95,-10.549999999999955,806.2642419237993,806.3569320281583,807.4236307155927,811.7202573056003,813.3201445679373,813.676440665326,,,,-6.252809949733319,-7.048045739479993,0.7952357897466742
48,CIPLA,2021-03-15,807.9,808.9,790.0,2651062,805.5,-2.3999999999999773,806.0094946152669,806.1855425648365,807.1276050489536,811.1494304894721,812.7064439484618,813.0565031377273,,,,-5.928898088773735,-6.824216209338742,0.8953181205650065
49,CIPLA,2021-03-16,805.1,808.5,787.0,3671229,792.3,-12.800000000000068,801.4396630696775,803.4083944150863,804.8458971102694,809.421123225465,811.1074941738841,811.485488422988,816.9270321341642,,,-6.639591312718608,-6.7872912300147155,0.14769991729610776
50,CIPLA,2021-03-17,794.8,794.8,770.0,3246092,772.15,-22.649999999999977,791.6764420362437,797.1566441496999,799.8147554427667,806.0063951722161,808.0593394100459,808.5130673650459,814.9087004086963,,,-8.698311922279231,-7.169495368467619,-1.5288165538116125
51,CIPLA,2021-03-18,776.0,778.45,750.85,2894624,755.15,-20.850000000000023,779.500961349009,788.755238578085,792.9420945193104,801.3503070778878,803.9250065268624,804.4866465324228,812.2307589608369,,,-11.544552013112366,-8.044506697396567,-3.5000453157157985
52,CIPLA,2021-03-19,751.0,767.25,738.1,5262000,760.65,9.649999999999977,773.2173075630861,783.1341497863157,787.9733703028338,797.6264460277467,800.5476097344986,801.1835815746139,809.9321571815831,,,-13.210211271780054,-9.077647612273264,-4.13256365950679
53,CIPLA,2021-03-22,762.0,784.6,758.7,3563266,772.85,10.850000000000023,773.0948717086861,781.0773078047408,785.6464167249972,795.3608600179829,798.3883729248242,799.0513824856164,808.2884486529258,,,-13.404965760619234,-9.943111241942457,-3.461854518676777
54,CIPLA,2021-03-23,775.0,779.4,768.4,2118532,776.1,1.1000000000000227,774.096581139331,780.081841588191,784.1775870237183,793.6005619105958,796.6526222971205,797.3262468606702,806.8689137394725,,,-13.148659836951879,-10.584220960944341,-2.5644388760075376
55,CIPLA,2021-03-24,777.8,798.7,772.65,6904173,792.95,15.150000000000091,780.3810540937526,782.6554828996881,785.527305810143,793.5411341603794,796.3645481328338,796.9976656119633,806.2580631712128,,,-11.470359801820223,-10.761448729119518,-0.7089110727007046
56,CIPLA,2021-03-25,796.9,802.3,783.3,5292130,787.25,-9.649999999999977,782.6707027293785,783.5743890701794,785.7923550916207,792.9667018203673,795.6560345575122,796.2665203247457,805.4277464639506,,,-10.47416523312495,-10.703992029920604,0.22982679679565443
57,CIPLA,2021-03-26,791.0,799.0,781.25,2934548,787.45,-3.5499999999999545,784.2638018196831,784.3495131121967,786.0473931855549,792.4631825038932,795.0186607956821,795.6058341715994,804.6459285142324,,,-9.558440986044502,-10.474881821145384,0.9164408351008824
58,CIPLA,2021-03-30,790.25,815.9,790.25,4453933,812.2,21.950000000000045,793.5758678801686,789.9196211599647,790.0710820853958,794.2639442470077,796.352160744985,796.8482835087884,804.9730431267678,,,-6.777201423392626,-9.735345741594834,2.9581443182022085
59,CIPLA,2021-03-31,811.0,823.95,805.0,3075406,815.1,4.100000000000023,800.7505785869743,794.9557046457471,793.9218556493886,796.1643726541831,797.8062382916224,798.2137476327749,805.4097864733789,,,-4.291891983386336,-8.646654989953134,4.354763006566799
60,CIPLA,2021-04-01,819.5,824.0,811.6,1910949,818.3,-1.2000000000000455,806.6003857247555,799.6245694406094,797.6724801665381,798.1827286188137,799.39471780362,799.715349288734,805.9635344880262,,,-2.0428691221959525,-7.325897816401699,5.283028694205746
61,CIPLA,2021-04-05,825.0,827.0,806.1,2920638,819.75,-5.25,810.9835904832233,803.6496595002843,801.0691295515338,800.1487259067449,800.9715376235996,801.2120701551133,806.5535758185164,,,-0.1429406035795182,-5.889306373837263,5.746365770257745
62,CIPLA,2021-04-06,824.0,845.0,821.85,4569120,836.15,12.149999999999977,819.3723936555498,810.1497327004299,806.466331579883,803.4296647913112,803.6951578461617,803.8205145665715,807.8157389271225,,,2.6458170133114436,-4.182281696407522,6.828098709718965
63,CIPLA,2021-04-07,836.15,844.9,830.25,2404472,840.85,4.7000000000000455,826.5315957704049,816.2897900145203,811.7562470049324,806.8391616326658,806.5703579891095,806.583496027649,809.2196956038216,,,5.172750977283499,-2.3112751616693172,7.484026138952816
64,CIPLA,2021-04-08,843.0,850.45,838.4,2459821,842.0,-1.0,831.6877305136218,821.4318345937872,816.4092216046512,810.042133219154,809.3107909330178,809.2246931513839,810.6082984853638,,,7.184528453267262,-0.41211443868200126,7.596642891949264
65,CIPLA,2021-04-09,840.9,892.3,836.65,11189432,883.05,42.14999999999998,848.8084870091221,833.7554726258606,826.661815962928,816.6915392512029,815.0119890208662,814.7274807967842,813.6673720522555,,,11.934335166143796,2.0571754822831583,9.877159683860638
66,CIPLA,2021-04-12,890.0,940.0,879.15,30141861,902.4,12.399999999999977,866.6723246727765,847.48438251299,838.3140047902858,824.4963713745803,821.7658020351147,821.2593813338201,817.4031265311601,,,17.05462345646572,5.056665077119671,11.997958379346048
67,CIPLA,2021-04-13,921.95,932.6,878.3,11667200,885.2,-36.75,872.8482164485243,855.0275079498056,845.5273189019251,830.023351154288,826.6665608137862,826.0211303248956,820.2492469347088,,,19.506188577029548,7.946569777101647,11.5596187999279
68,CIPLA,2021-04-15,898.8,925.4,883.9,13218002,914.2,15.400000000000091,886.6321442990261,866.8620087940601,856.0924509658493,837.686447329363,833.4269035091816,832.5853281190433,824.1824371411074,,,23.50712284680594,11.058680391042508,12.448442455763434
69,CIPLA,2021-04-16,919.75,944.25,910.9,13746268,938.05,18.299999999999955,903.7714295326922,881.0996093780518,868.7014098917049,846.8219743264948,841.5046151201994,840.4334266241175,828.936839314741,,,28.267983267587397,14.500540966351487,13.76744230123591
70,CIPLA,2021-04-19,945.25,955.0,924.0,17805574,946.3,1.0499999999999545,917.947619688466,894.1396892190422,880.6397388273606,855.8758532771451,849.5933262633328,848.3087516276224,833.824789822184,,,32.33098719973816,18.066630213028823,14.264356986709338
71,CIPLA,2021-04-20,965.1,966.35,941.1,10205616,949.3,-15.800000000000068,928.3984131256461,905.1717525370456,891.2029190478881,864.3778546116789,857.2872403429957,855.8190389676004,838.6224410276512,,,35.38388008028778,21.530080186480617,13.853799893807164
72,CIPLA,2021-04-22,958.8,963.15,938.85,8522208,944.35,-14.449999999999932,933.7156087504314,913.0074026897887,899.3794343804334,871.6549726321593,864.003852452187,862.4007884445498,843.0048893824364,,,36.978645935883605,24.61979333636122,12.358852599522386
