,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,COROMANDEL,2021-01-04,823.0,824.7,806.2,656435,822.0,-1.0,,,,,,,,,,,,
1,COROMANDEL,2021-01-05,818.0,828.2,813.0,612164,821.55,3.5499999999999545,,,,,,,,,,,,
2,COROMANDEL,2021-01-06,826.75,826.75,808.0,564177,815.7,-11.049999999999955,,,,,,,,,,,,
3,COROMANDEL,2021-01-07,822.0,825.9,809.0,676453,812.8,-9.200000000000045,,,,,,,,,,,,
4,COROMANDEL,2021-01-08,815.95,822.0,810.0,448087,817.3,1.349999999999909,816.7151658767772,,,,,,,,,,,
5,COROMANDEL,2021-01-11,823.0,823.0,807.3,319772,814.35,-8.649999999999977,815.8509022556391,,,,,,,,,,,
6,COROMANDEL,2021-01-12,810.15,816.6,810.0,554270,813.95,3.800000000000068,815.1778776104907,,,,,,,,,,,
7,COROMANDEL,2021-01-13,815.95,817.5,810.1,654994,814.45,-1.5,814.9254004758129,,,,,,,,,,,
8,COROMANDEL,2021-01-14,819.0,835.6,810.1,603181,822.4,3.3999999999999773,817.4834750404258,817.0577747473213,,,,,,,,,,
9,COROMANDEL,2021-01-15,816.55,836.9,814.35,536230,831.65,15.100000000000023,822.2889849202929,820.3272802814348,,,,,,,,,,
10,COROMANDEL,2021-01-18,836.65,836.65,809.2,495068,823.85,-12.799999999999955,822.8154092827485,821.0980312272616,,,,,,,,,,
11,COROMANDEL,2021-01-19,823.85,841.85,819.05,654792,836.25,12.399999999999977,827.3283892897439,824.3520386706113,823.3218097912993,,,,,,,,,
12,COROMANDEL,2021-01-20,841.0,848.9,832.25,442625,846.6,5.600000000000023,833.7854373314689,829.0604802497365,827.3637879379415,,,,,,,,,
13,COROMANDEL,2021-01-21,849.0,854.75,842.0,335247,852.35,3.3500000000000227,839.994895307647,833.932665158169,831.618142087132,,,,,,,,,
14,COROMANDEL,2021-01-22,849.95,861.0,826.05,579693,833.3,-16.65000000000009,837.7581555892968,833.801517788689,831.8998820799401,,,,,,,,,
15,COROMANDEL,2021-01-25,841.7,845.5,831.35,205489,840.0,-1.7000000000000455,838.5065764845712,835.077119219247,833.2384904320544,,,,,,,,,
16,COROMANDEL,2021-01-27,840.0,843.1,812.1,413788,824.2,-15.799999999999955,833.7328725415173,832.8515807032408,831.7616617943993,,,,,,,,,
17,COROMANDEL,2021-01-28,810.5,834.4,803.25,242855,827.8,17.299999999999955,831.7539093163548,831.8227304440164,831.1204743622751,,,,,,,,,
18,COROMANDEL,2021-01-29,837.0,851.5,824.05,289228,844.9,7.899999999999977,836.1379171394325,834.4764281698993,833.3329602067944,,,,,,,,,
19,COROMANDEL,2021-02-01,851.0,851.0,818.55,451439,831.5,-19.5,834.5914797015635,833.8741993098853,833.0406178034242,,,,,,,,,
20,COROMANDEL,2021-02-02,851.0,852.0,775.5,1031538,789.4,-61.60000000000002,819.5246324458537,824.8965552971645,826.1193664306202,826.7833100006274,,,,,,,,
21,COROMANDEL,2021-02-03,794.0,797.65,781.05,727193,784.65,-9.350000000000023,807.8982010078381,816.7874093013955,819.5735631831715,822.4165730379603,,,,,,,,
22,COROMANDEL,2021-02-04,787.7,794.95,763.6,1413621,767.6,-20.100000000000023,794.4642703110108,806.8915123761694,811.4023962386216,816.806753955657,,,,,,,,
23,COROMANDEL,2021-02-05,779.9,779.9,752.8,1002631,754.95,-24.949999999999932,781.2920644029298,796.4539197634193,802.5569007008454,810.5479877001623,,,,,,,,
24,COROMANDEL,2021-02-08,761.0,788.0,742.05,806110,771.75,10.75,778.1112503016125,791.4943992720639,797.7434700970856,806.6622608730904,808.5349343434749,,,,,,,
25,COROMANDEL,2021-02-09,778.65,784.0,766.15,290852,770.1,-8.549999999999955,775.4407630297558,787.2025480933916,793.4346474638509,803.0339870142044,805.1568437096462,805.5817716336823,,,,-12.147124169831386,-12.147124169831386,0.0
