,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,CRISIL,2021-01-04,1928.8,1952.0,1918.0,24481,1941.55,12.75,,,,,,,,,,,,
1,CRISIL,2021-01-05,1941.55,1944.7,1922.05,12640,1934.4,-7.149999999999864,,,,,,,,,,,,
2,CRISIL,2021-01-06,1944.1,1949.95,1900.0,34330,1913.75,-30.34999999999991,,,,,,,,,,,,
3,CRISIL,2021-01-07,1935.0,1960.0,1920.0,37382,1946.35,11.349999999999909,,,,,,,,,,,,
4,CRISIL,2021-01-08,1964.0,1972.0,1940.0,19095,1956.35,-7.650000000000091,1942.9035545023696,,,,,,,,,,,
5,CRISIL,2021-01-11,1961.0,1984.9,1939.85,32628,1950.0,-11.0,1945.4966917293236,,,,,,,,,,,
6,CRISIL,2021-01-12,1959.95,1959.95,1922.25,14481,1933.8,-26.15000000000009,1941.355415250122,,,,,,,,,,,
7,CRISIL,2021-01-13,1931.1,1948.4,1918.05,25603,1927.85,-3.25,1936.6708247422685,,,,,,,,,,,
8,CRISIL,2021-01-14,1927.85,1946.0,1925.0,26248,1939.25,11.400000000000091,1937.5535105106676,1938.074363372504,,,,,,,,,,
9,CRISIL,2021-01-15,1945.0,1945.0,1910.0,28014,1917.65,-27.34999999999991,1930.8019241706163,1933.4981203443965,,,,,,,,,,
10,CRISIL,2021-01-18,1920.0,1930.0,1890.0,15776,1907.05,-12.950000000000045,1922.7920133752905,1927.7114227359114,,,,,,,,,,
11,CRISIL,2021-01-19,1915.0,1929.0,1907.0,16421,1920.6,5.599999999999909,1922.0556669732339,1926.1841873737912,1927.753019404747,,,,,,,,,
12,CRISIL,2021-01-20,1928.2,1960.0,1921.0,34962,1926.1,-2.1000000000001364,1923.4107406639173,1926.1663704005716,1927.4659924387304,,,,,,,,,
13,CRISIL,2021-01-21,1935.0,1970.0,1910.0,16212,1916.2,-18.799999999999955,1920.9988987084046,1924.0813982767063,1925.5477536293656,,,,,,,,,
14,CRISIL,2021-01-22,1910.0,1938.95,1906.55,13004,1920.6,10.599999999999909,1920.8656281278077,1923.3597270732155,1924.7189201938606,,,,,,,,,
15,CRISIL,2021-01-25,1922.45,1935.0,1890.65,8851,1913.65,-8.799999999999955,1918.456751384356,1921.3615376257537,1922.8896938583161,,,,,,,,,
16,CRISIL,2021-01-27,1915.0,1929.95,1869.5,30260,1899.75,-15.25,1912.2148322961987,1916.9396582285758,1919.1088232789393,,,,,,,,,
17,CRISIL,2021-01-28,1871.05,1930.0,1871.05,16260,1900.25,29.200000000000045,1908.2238544109132,1913.5404926597032,1916.0565585732031,,,,,,,,,
18,CRISIL,2021-01-29,1909.8,1924.0,1886.0,10438,1901.5,-8.299999999999955,1905.9815581231392,1911.0971823147738,1913.7193097712593,,,,,,,,,
19,CRISIL,2021-02-01,1881.05,1930.0,1881.05,17235,1919.7,38.65000000000009,1910.5557476719857,1912.8378139684705,1914.6731817368384,,,,,,,,,
20,CRISIL,2021-02-02,1920.0,1956.0,1917.35,14368,1935.85,15.849999999999909,1918.9888558328678,1917.4830963423267,1918.0317520287565,1920.0135598518334,,,,,,,,
21,CRISIL,2021-02-03,1949.0,1968.45,1918.0,28800,1923.7,-25.299999999999955,1920.5594471427207,1918.7357198036261,1918.9264663485326,1920.3956260710652,,,,,,,,
22,CRISIL,2021-02-04,1937.8,1940.0,1908.3,75077,1921.7,-16.09999999999991,1920.9396653077397,1919.3320962279477,1919.362515083783,1920.5291131052134,,,,,,,,
