,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,EICHERMOT,2021-01-04,2591.0,2670.0,2580.0,3287511,2655.7,64.69999999999982,,,,,,,,,,,,
1,EICHERMOT,2021-01-05,2630.0,2685.0,2616.0,1494362,2674.9,44.90000000000009,,,,,,,,,,,,
2,EICHERMOT,2021-01-06,2668.0,2672.0,2610.0,949386,2645.35,-22.65000000000009,,,,,,,,,,,,
3,EICHERMOT,2021-01-07,2660.0,2715.65,2640.75,1250528,2649.8,-10.199999999999818,,,,,,,,,,,,
4,EICHERMOT,2021-01-08,2661.0,2771.3,2661.0,2585123,2760.85,99.84999999999991,2694.973696682464,,,,,,,,,,,
5,EICHERMOT,2021-01-11,2767.0,2808.65,2726.7,1616318,2777.15,10.150000000000091,2725.002030075188,,,,,,,,,,,
6,EICHERMOT,2021-01-12,2777.2,2949.0,2777.2,4829997,2881.65,104.45000000000027,2780.464084507043,,,,,,,,,,,
7,EICHERMOT,2021-01-13,2869.5,2910.4,2836.65,1878124,2868.65,-0.849999999999909,2811.052918318795,,,,,,,,,,,
8,EICHERMOT,2021-01-14,2880.0,2906.95,2841.0,1159961,2886.6,6.599999999999909,2836.907824317981,2805.9686969871336,,,,,,,,,,
9,EICHERMOT,2021-01-15,2880.0,2902.0,2840.0,882692,2857.3,-22.699999999999818,2843.825173632056,2817.469888640067,,,,,,,,,,
10,EICHERMOT,2021-01-18,2853.15,2912.7,2815.0,2069601,2873.0,19.84999999999991,2853.663861015769,2829.6195597101137,,,,,,,,,,
11,EICHERMOT,2021-01-19,2888.0,2929.0,2852.15,1447495,2883.5,-4.5,2863.686488541658,2841.1908186259648,2829.9508876276427,,,,,,,,,
12,EICHERMOT,2021-01-20,2887.2,2964.0,2865.65,1760329,2881.55,-5.649999999999636,2869.6717459970214,2849.7322236053933,2838.9104537590874,,,,,,,,,
13,EICHERMOT,2021-01-21,2896.0,2955.0,2895.05,1451173,2926.6,30.59999999999991,2888.7130564334852,2865.8130197794035,2853.8411837138356,,,,,,,,,
14,EICHERMOT,2021-01-22,2900.0,3037.0,2900.0,3091826,2972.6,72.59999999999991,2916.7393734861057,2887.949265737979,2873.735318521753,,,,,,,,,
15,EICHERMOT,2021-01-25,3029.95,3029.95,2851.25,2024082,2869.55,-160.39999999999964,2900.9855981646397,2884.1628340122,2873.04366163666,,,,,,,,,
16,EICHERMOT,2021-01-27,2899.95,2932.4,2769.5,2574644,2789.9,-110.04999999999973,2863.919444808739,2864.87596554147,2859.4585456853215,,,,,,,,,
17,EICHERMOT,2021-01-28,2780.0,2830.0,2738.35,1430646,2798.45,18.449999999999818,2842.081520137065,2851.3470572885094,2849.584428515373,,,,,,,,,
18,EICHERMOT,2021-01-29,2812.4,2870.45,2726.95,2067268,2744.3,-68.09999999999991,2809.4729706032767,2829.624592115418,2832.679615253816,,,,,,,,,
