,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,ENDURANCE,2021-01-04,1366.85,1450.0,1330.0,311873,1425.85,59.0,,,,,,,,,,,,
1,ENDURANCE,2021-01-05,1428.0,1436.8,1371.3,312534,1417.75,-10.25,,,,,,,,,,,,
2,ENDURANCE,2021-01-06,1415.0,1450.0,1414.0,173919,1439.95,24.950000000000045,,,,,,,,,,,,
3,ENDURANCE,2021-01-07,1442.0,1465.0,1416.85,235201,1443.4,1.400000000000091,,,,,,,,,,,,
4,ENDURANCE,2021-01-08,1436.1,1453.15,1392.0,222329,1411.65,-24.449999999999818,1426.374644549763,,,,,,,,,,,
5,ENDURANCE,2021-01-11,1427.0,1431.4,1380.0,112836,1403.15,-23.84999999999991,1417.888045112782,,,,,,,,,,,
6,ENDURANCE,2021-01-12,1392.0,1418.4,1340.6,133999,1369.0,-23.0,1400.578970373968,,,,,,,,,,,
7,ENDURANCE,2021-01-13,1363.0,1410.0,1351.4,159427,1357.9,-5.099999999999909,1385.7750198255355,,,,,,,,,,,
8,ENDURANCE,2021-01-14,1364.7,1372.3,1314.4,129907,1325.75,-38.950000000000045,1365.232317041365,1379.5255590393979,,,,,,,,,,
9,ENDURANCE,2021-01-15,1334.6,1352.0,1310.0,168542,1317.65,-16.949999999999818,1349.0916406721244,1365.6618419433003,,,,,,,,,,
10,ENDURANCE,2021-01-18,1325.0,1345.0,1289.15,49113,1306.95,-18.049999999999955,1334.8801275278558,1352.8160264018177,,,,,,,,,,
11,ENDURANCE,2021-01-19,1314.9,1333.0,1300.35,73478,1319.75,4.849999999999909,1329.7975787198136,1345.71483066631,1352.8058286924943,,,,,,,,,
12,ENDURANCE,2021-01-20,1320.0,1356.0,1320.0,270959,1349.05,29.049999999999955,1336.248197248525,1346.420668371243,1352.153674149487,,,,,,,,,
13,ENDURANCE,2021-01-21,1364.05,1375.0,1340.0,139158,1362.2,-1.849999999999909,1344.9285325447886,1349.7217163211867,1353.864242680647,,,,,,,,,
14,ENDURANCE,2021-01-22,1365.0,1417.0,1352.65,392087,1409.55,44.549999999999955,1366.5183254053347,1362.1237301252836,1363.192560338536,,,,,,,,,
15,ENDURANCE,2021-01-25,1415.0,1415.0,1377.8,76254,1391.2,-23.799999999999955,1374.7580948152086,1368.107409707327,1367.8210105687886,,,,,,,,,
16,ENDURANCE,2021-01-27,1377.0,1409.95,1370.85,71889,1390.1,13.099999999999909,1379.877258953015,1372.6072552800852,1371.4612478249285,,,,,,,,,
17,ENDURANCE,2021-01-28,1375.2,1402.95,1358.0,39302,1389.9,14.700000000000045,1383.2204347600982,1376.12925085592,1374.4455248208658,,,,,,,,,
18,ENDURANCE,2021-01-29,1409.0,1418.0,1350.0,113630,1384.65,-24.34999999999991,1383.6971715593602,1377.8583191854873,1376.083988834661,,,,,,,,,
19,ENDURANCE,2021-02-01,1389.0,1413.55,1370.0,85875,1389.45,0.4500000000000455,1385.615357893179,1380.203695698573,1378.2157600608255,,,,,,,,,
20,ENDURANCE,2021-02-02,1382.45,1399.75,1356.85,158987,1367.7,-14.75,1379.6423744305782,1377.6796765916067,1376.5479968067646,1375.9134863421953,,,,,,,,
