,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,EXIDEIND,2021-01-04,192.35,197.75,190.9,4515388,196.35,4.0,,,,,,,,,,,,
1,EXIDEIND,2021-01-05,194.55,197.15,192.0,4858928,196.1,1.549999999999983,,,,,,,,,,,,
2,EXIDEIND,2021-01-06,196.1,198.25,191.45,4490658,193.8,-2.299999999999983,,,,,,,,,,,,
3,EXIDEIND,2021-01-07,195.45,200.0,194.8,6214108,197.05,1.6000000000000227,,,,,,,,,,,,
4,EXIDEIND,2021-01-08,199.0,201.8,196.0,5154775,198.35,-0.6500000000000057,196.83341232227485,,,,,,,,,,,
5,EXIDEIND,2021-01-11,199.3,200.5,197.05,3839710,198.75,-0.5500000000000114,197.53375939849624,,,,,,,,,,,
6,EXIDEIND,2021-01-12,198.0,208.0,197.9,10653636,204.3,6.300000000000011,199.9293831957261,,,,,,,,,,,
7,EXIDEIND,2021-01-13,206.35,209.2,197.3,9169117,200.95,-5.400000000000006,200.28340206185567,,,,,,,,,,,
8,EXIDEIND,2021-01-14,201.7,203.8,200.7,3673461,202.95,1.25,201.19600698972408,200.25963884277823,,,,,,,,,,
9,EXIDEIND,2021-01-15,203.15,205.3,196.65,4877811,200.3,-2.8499999999999943,200.89206721240848,200.2686820849579,,,,,,,,,,
10,EXIDEIND,2021-01-18,200.3,200.65,190.4,4354905,194.65,-5.650000000000006,198.78704190200975,199.03934654955938,,,,,,,,,,
11,EXIDEIND,2021-01-19,195.0,199.9,195.0,3033472,199.3,4.300000000000011,198.9593560193043,199.0953239793304,199.05542920950603,,,,,,,,,
12,EXIDEIND,2021-01-20,199.8,201.25,197.5,4167752,200.25,0.44999999999998863,199.3917926388174,199.3396935422601,199.26285207986254,,,,,,,,,
13,EXIDEIND,2021-01-21,201.1,203.8,194.25,4911751,197.6,-3.5,198.79247547248193,198.97574835520655,198.97972146254915,,,,,,,,,
14,EXIDEIND,2021-01-22,199.4,206.9,198.0,9576684,200.65,1.25,199.41306753517833,199.3228098240217,199.25952171174285,,,,,,,,,
15,EXIDEIND,2021-01-25,203.25,205.2,193.5,6505074,199.85,-3.4000000000000057,199.5589337625289,199.4313016321335,199.35710290453582,,,,,,,,,
16,EXIDEIND,2021-01-27,200.0,203.0,195.4,4793940,196.85,-3.1500000000000057,198.65503842477275,198.9031483511087,198.94745912665056,,,,,,,,,
17,EXIDEIND,2021-01-28,193.1,199.9,193.0,3611167,198.1,5.0,198.46990034478014,198.73957195041822,198.81029947763267,,,,,,,,,
18,EXIDEIND,2021-01-29,199.8,202.6,191.0,9407143,193.5,-6.300000000000011,196.81251926353303,197.67633469665506,197.9576603713738,,,,,,,,,
19,EXIDEIND,2021-02-01,193.95,196.5,187.6,6695324,194.65,0.700000000000017,196.09146266663802,197.06400811245638,197.43011515849054,,,,,,,,,
20,EXIDEIND,2021-02-02,196.8,203.0,196.25,6431888,201.4,4.599999999999994,197.8613299443017,197.93927944308064,198.0597251936403,198.24461725609095,,,,,,,,
