,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,GLENMARK,2021-01-04,504.3,519.4,503.0,2551988,514.6,10.300000000000011,,,,,,,,,,,,
1,GLENMARK,2021-01-05,514.6,520.0,510.0,2056118,517.7,3.1000000000000227,,,,,,,,,,,,
2,GLENMARK,2021-01-06,518.0,525.6,511.15,2171228,520.25,2.25,,,,,,,,,,,,
3,GLENMARK,2021-01-07,523.0,524.0,512.15,2024795,514.35,-8.649999999999977,,,,,,,,,,,,
4,GLENMARK,2021-01-08,516.0,523.9,513.25,1514739,517.65,1.6499999999999773,517.0234597156398,,,,,,,,,,,
5,GLENMARK,2021-01-11,519.1,525.35,516.55,1509572,523.3,4.199999999999932,519.316992481203,,,,,,,,,,,
6,GLENMARK,2021-01-12,525.0,532.0,515.6,3090004,517.25,-7.75,518.58516270034,,,,,,,,,,,
7,GLENMARK,2021-01-13,520.0,523.9,505.15,1965007,514.75,-5.25,517.2548691514671,,,,,,,,,,,
8,GLENMARK,2021-01-14,514.4,522.8,506.7,2055150,520.4,6.0,518.3312451098013,518.1503131022762,,,,,,,,,,
9,GLENMARK,2021-01-15,521.9,524.75,508.05,1849462,512.1,-9.799999999999955,516.2175079707024,516.7946917471728,,,,,,,,,,
10,GLENMARK,2021-01-18,512.1,512.1,493.0,1624152,496.25,-15.850000000000023,509.4838237225798,512.2996305839467,,,,,,,,,,
11,GLENMARK,2021-01-19,499.0,506.7,496.05,1171344,504.35,5.350000000000023,507.75925731731604,510.5923833291486,511.59300545832275,,,,,,,,,
12,GLENMARK,2021-01-20,504.0,510.5,500.05,1181223,509.0,5.0,508.17497426126846,510.2553796924618,511.14276120382107,,,,,,,,,
13,GLENMARK,2021-01-21,510.0,510.15,495.0,1631561,497.15,-12.850000000000023,504.4873509336349,507.5137244826687,508.7602407346018,,,,,,,,,
14,GLENMARK,2021-01-22,492.2,502.85,484.0,2349896,495.15,2.9499999999999886,501.3677765806828,504.95080486880704,506.48029241236577,,,,,,,,,
15,GLENMARK,2021-01-25,499.65,501.45,482.6,1763950,491.4,-8.25,498.0401182308026,502.1621502455316,503.988155189829,,,,,,,,,
16,GLENMARK,2021-01-27,490.7,495.85,483.0,1443779,485.9,-4.800000000000011,493.98930073927886,498.8347948129948,501.03267210473854,,,,,,,,,
17,GLENMARK,2021-01-28,482.1,491.5,476.2,2438690,480.75,-1.3500000000000227,489.57321239311005,495.1514832072963,497.74996017262936,,,,,,,,,
18,GLENMARK,2021-01-29,483.9,486.0,469.9,1608478,471.55,-12.349999999999966,483.56276365745026,490.36216521958164,493.54320860999104,,,,,,,,,
19,GLENMARK,2021-02-01,473.45,482.65,464.1,1614680,479.65,6.199999999999989,482.258116760254,488.1947435046179,491.3273536337,,,,,,,,,
20,GLENMARK,2021-02-02,481.0,492.0,480.7,1716999,487.15,6.149999999999977,483.88907149005604,487.98384965122415,490.6648397641171,495.44043967555115,,,,,,,,
21,GLENMARK,2021-02-03,491.95,507.8,489.3,3475814,501.55,9.600000000000023,489.77683460186404,490.7172486456601,492.38302654520163,496.07364041135895,,,,,,,,
22,GLENMARK,2021-02-04,503.4,509.0,499.1,1338289,501.55,-1.849999999999966,493.70157278087316,492.8966639135447,493.82423753570896,496.63408016195484,,,,,,,,
23,GLENMARK,2021-02-05,506.1,511.5,497.15,2182037,503.2,-2.900000000000034,496.86790327738737,494.96710852909297,495.29332070253463,497.2984305342375,,,,,,,,
24,GLENMARK,2021-02-08,507.0,507.85,500.05,950750,503.1,-3.8999999999999773,498.9453511229472,496.59985516566763,496.5130769321227,497.87947391943715,498.4651047050877,,,,,,,
25,GLENMARK,2021-02-09,504.0,513.25,499.0,2303479,501.35,-2.6499999999999773,499.7469219112375,497.55276412314015,497.267014245958,498.22387327423627,498.71866147425584,498.83281293253185,,,,-1.565798686573828,-1.565798686573828,0.0
26,GLENMARK,2021-02-10,505.0,510.0,492.3,2065039,507.7,2.6999999999999886,502.3979946022118,499.5871300936085,498.88993034137457,499.15647612627396,499.49947760896316,499.5836345770099,,,,-0.6937042356353231,-1.3913797963861272,0.6976755607508041
27,GLENMARK,2021-02-11,506.9,510.0,502.0,1241576,506.25,-0.6499999999999773,503.68201146808195,500.92228664324847,500.03288059568695,499.84939096909164,500.0805329140191,500.1421828292581,,,,-0.10930223357115665,-1.134964283823133,1.0256620502519764
