,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,GMRINFRA,2021-01-04,26.8,27.25,26.15,19908072,27.05,0.25,,,,,,,,,,,,
1,GMRINFRA,2021-01-05,26.8,27.4,26.55,21427955,27.2,0.3999999999999986,,,,,,,,,,,,
2,GMRINFRA,2021-01-06,27.2,27.35,26.4,15535397,26.75,-0.4499999999999993,,,,,,,,,,,,
3,GMRINFRA,2021-01-07,27.0,27.75,26.75,20607639,27.15,0.14999999999999858,,,,,,,,,,,,
4,GMRINFRA,2021-01-08,27.45,28.3,26.85,36429482,27.65,0.1999999999999993,27.271800947867295,,,,,,,,,,,
5,GMRINFRA,2021-01-11,27.75,27.9,26.6,19545630,26.9,-0.8500000000000014,27.13593984962406,,,,,,,,,,,
6,GMRINFRA,2021-01-12,26.85,27.35,26.7,11071754,27.1,0.25,27.12321515298689,,,,,,,,,,,
7,GMRINFRA,2021-01-13,27.4,27.5,26.65,16179368,27.05,-0.34999999999999787,27.097819191118163,,,,,,,,,,,
8,GMRINFRA,2021-01-14,27.0,27.25,26.8,8325417,27.05,0.05000000000000071,27.08145375828074,27.093092145920025,,,,,,,,,,
9,GMRINFRA,2021-01-15,26.95,27.1,26.25,13806992,26.65,-0.3000000000000007,26.93509780267126,26.993813783770168,,,,,,,,,,
10,GMRINFRA,2021-01-18,26.65,26.7,25.45,17130482,26.05,-0.5999999999999979,26.636614429551283,26.787312720772885,,,,,,,,,,
11,GMRINFRA,2021-01-19,26.15,27.2,26.1,15059555,27.05,0.9000000000000021,26.77547990404764,26.84372693167175,26.873664680346657,,,,,,,,,
12,GMRINFRA,2021-01-20,27.15,27.35,26.8,9649850,27.0,-0.14999999999999858,26.850706467498586,26.87679974233159,26.89560129125196,,,,,,,,,
13,GMRINFRA,2021-01-21,27.0,27.2,26.05,8914114,26.3,-0.6999999999999993,26.66650667091849,26.756132805876447,26.79418940783372,,,,,,,,,
14,GMRINFRA,2021-01-22,26.35,26.55,25.3,17972392,26.1,-0.25,26.477238891016636,26.620120745769796,26.677900797913637,,,,,,,,,
15,GMRINFRA,2021-01-25,26.25,26.4,25.3,16546287,25.95,-0.3000000000000007,26.30122462305309,26.482214891915653,26.557609451884606,,,,,,,,,
16,GMRINFRA,2021-01-27,25.95,26.1,25.15,16240012,25.5,-0.4499999999999993,26.033878403189433,26.28124650783421,26.384803169935278,,,,,,,,,
17,GMRINFRA,2021-01-28,25.25,25.35,24.25,24364594,24.75,-0.5,25.605629165115893,25.969379102546398,26.120213383891127,,,,,,,,,
18,GMRINFRA,2021-01-29,25.15,25.15,23.7,16680629,23.85,-1.2999999999999972,25.020155340272538,25.539305264836308,25.755700474814898,,,,,,,,,
19,GMRINFRA,2021-02-01,24.05,25.0,23.5,18384299,24.85,0.8000000000000007,24.96341983152152,25.39983624353014,25.611248537146263,,,,,,,,,
20,GMRINFRA,2021-02-02,25.2,25.35,24.4,20472166,24.9,-0.3000000000000007,24.942275648573148,25.29893837625652,25.498446973788422,25.8268691554152,,,,,,,,
21,GMRINFRA,2021-02-03,24.9,27.35,24.75,66641152,26.3,1.4000000000000021,25.394910930338398,25.50063898883713,25.624969485550356,25.875904893343115,,,,,,,,
22,GMRINFRA,2021-02-04,26.35,27.5,26.1,24368780,26.7,0.34999999999999787,25.829979386908228,25.741935554587872,25.79398337003418,25.96024114785058,,,,,,,,
23,GMRINFRA,2021-02-05,26.95,27.1,26.0,18317417,26.15,-0.8000000000000007,25.936659261730583,25.82393567830614,25.84976742388418,25.97944125494585,,,,,,,,
24,GMRINFRA,2021-02-08,26.15,27.05,26.15,10004861,26.5,0.3500000000000014,26.12444694461225,25.959661299544596,25.951363147901677,26.03157666713155,26.066078070395637,,,,,,,
25,GMRINFRA,2021-02-09,26.3,27.05,26.25,14350148,26.45,0.14999999999999858,26.232967494837986,26.058026329697423,26.02908630445693,26.07309911143181,26.099821410840246,26.10605068411651,,,,-0.07696437965958225,-0.07696437965958225,0.0
26,GMRINFRA,2021-02-10,26.3,26.85,26.0,9378853,26.3,0.0,26.255312056510746,26.106538358646652,26.071228621846302,26.095429798001597,26.117224459594155,26.12247318013346,,,,-0.051244558287159236,-0.07182041538509765,0.02057585709793841
27,GMRINFRA,2021-02-11,26.25,26.6,25.8,9573529,26.0,-0.25,26.170207039054628,26.08518939201014,26.060167480412925,26.08610795392811,26.10713429320645,26.112211639343197,,,,-0.05204415893027203,-0.06786516409413253,0.015821005163860494
28,GMRINFRA,2021-02-12,26.05,26.5,25.85,7169483,26.1,0.05000000000000071,26.146804509633466,26.088156104373137,26.066344177212784,26.08745583695638,26.106525774084833,26.111198315983646,,,,-0.044854138770862306,-0.06326295902947848,0.018408820258616176
29,GMRINFRA,2021-02-15,25.7,26.0,25.3,14116538,25.55,-0.14999999999999858,25.947868635619486,25.9803914773519,25.986374003068512,26.035625917726083,26.059451044010903,26.06504108817801,,,,-0.07866708510949749,-0.06634378424548229,-0.012323300864015202
30,GMRINFRA,2021-02-16,25.3,25.9,25.05,10048122,25.25,-0.05000000000000071,25.7152449483099,25.834168369529646,25.872443645007063,25.960279954141807,25.991502911804012,25.998549368968845,,,,-0.126105723961782,-0.07829617218874224,-0.04780955177303975
31,GMRINFRA,2021-02-17,25.1,25.45,25.0,6956391,25.05,-0.05000000000000071,25.493496118232724,25.67721034066152,25.745307609660227,25.873413000073256,25.913020862248136,25.92174250442983,,,,-0.17643489476960283,-0.09792391670491438,-0.07851097806468846
32,GMRINFRA,2021-02-18,25.15,26.45,24.85,21210565,25.95,0.8000000000000007,25.645664313954143,25.73180287465846,25.77692632357677,25.880688723730785,25.916083669285083,25.92401492074265,,,,-0.14708859716587952,-0.10775685279710741,-0.03933174436877211
33,GMRINFRA,2021-02-19,26.1,26.35,24.85,16239597,25.2,-0.9000000000000021,25.497109389603395,25.625388341147854,25.687864360437818,25.816287088832333,25.857121850635387,25.866158010125933,,,,-0.1782936496881149,-0.1218642121753089,-0.05642943751280599
34,GMRINFRA,2021-02-22,25.2,25.2,24.5,19623683,25.05,-0.14999999999999858,25.348072824049687,25.510263972926452,25.589447068028605,25.744054286761234,25.79102202359671,25.801316323398012,,,,-0.21186925536940748,-0.13986522081412864,-0.07200403455527885
35,GMRINFRA,2021-02-23,24.85,25.75,24.85,11923761,25.4,0.5499999999999972,25.36538189062459,25.488204019476974,25.560229946312948,25.71173099211237,25.759157443751633,25.769603165229373,,,,-0.20937321891642569,-0.15376682043458806,-0.05560639848183763
36,GMRINFRA,2021-02-24,25.3,26.0,25.25,4562060,25.65,0.34999999999999787,25.460254622707478,25.520571618690767,25.5740693486157,25.705949046254695,25.750302593025747,25.76019832509069,,,,-0.18612897647498983,-0.16023925164266842,-0.02588972483232141
37,GMRINFRA,2021-02-25,25.65,27.3,25.65,28222476,26.85,1.2000000000000028,25.923503176069065,25.786512528718678,25.77071052296241,25.812810607623373,25.839137204358337,25.845504504874864,,,,-0.07479398191245323,-0.14315019769662538,0.06835621578417214
38,GMRINFRA,2021-02-26,26.5,26.95,25.9,34129683,26.05,-0.4499999999999993,25.965668789766088,25.839218780303085,25.813741859663807,25.834910402372486,25.856105441781704,25.861444763930045,,,,-0.04770290426623802,-0.12406073901054791,0.07635783474430989
39,GMRINFRA,2021-03-01,26.4,26.5,25.85,9277410,26.2,-0.1999999999999993,26.04377920024152,25.911384616727478,25.873240744867857,25.86885026461082,25.883680990929754,25.88773300168347,,,,-0.01449225681561117,-0.10214704257156057,0.0876547857559494
40,GMRINFRA,2021-03-02,26.25,28.1,26.1,56697792,27.6,1.3500000000000014,26.56251949810348,26.249143610078768,26.139177984173106,26.029453436504387,26.020858240488433,26.020214102208605,,,,0.11896388196450047,-0.05792485766434837,0.17688873962884885
41,GMRINFRA,2021-03-03,27.95,28.6,27.5,22317064,27.75,-0.1999999999999993,26.958346347979067,26.549340425983782,26.387219289640907,26.18877603430264,26.158646685099026,26.153610771227168,,,,0.23360851841373886,0.00038181755126907857,0.23322670086246977
42,GMRINFRA,2021-03-04,27.3,29.95,27.05,56000402,29.05,1.75,27.655564250668945,27.049506380317986,26.797189084532082,26.453278103471515,26.388412324240697,26.376295197252016,,,,0.4208938872800658,0.08448423149702843,0.3364096557830374
43,GMRINFRA,2021-03-05,29.05,29.2,27.1,34000986,27.65,-1.4000000000000021,27.653709500412834,27.1696116434069,26.92847509519349,26.563737967682552,26.48841190425871,26.473947686225454,,,,0.4545274089680369,0.1584928669912301,0.2960345419768068
44,GMRINFRA,2021-03-08,27.9,28.65,27.55,17653425,28.0,0.10000000000000142,27.76913966831661,27.3356965487434,27.093414729456686,26.69612346809648,26.607947806398446,26.590644460880263,,,,0.5027702685764233,0.22734834730826875,0.2754219212681545
45,GMRINFRA,2021-03-09,28.0,28.75,27.45,19651796,27.7,-0.3000000000000007,27.746093112028092,27.408559777907698,27.186778478881347,26.788537560568034,26.694121102308713,26.675273813959897,,,,0.5115046649214499,0.284179610830905,0.22732505409054488
46,GMRINFRA,2021-03-10,27.75,28.35,27.35,12791934,27.9,0.14999999999999858,27.797395408290274,27.50685056227333,27.296547583551117,26.8907383729242,26.78908776261744,26.76849814797875,,,,0.5280494355723668,0.3329535757791974,0.19509585979316946
47,GMRINFRA,2021-03-12,28.1,28.3,27.1,12869564,27.35,-0.75,27.6482636050006,27.475479750226175,27.304773740961036,26.932924258715065,26.833180631552935,26.812670894859163,,,,0.49210284610187216,0.36478342984373235,0.1273194162581398
48,GMRINFRA,2021-03-15,27.6,27.7,26.35,14596346,27.0,-0.6000000000000014,27.432175736158722,27.380382103582228,27.257872405319635,26.93907973266992,26.846272096661675,26.826874182945232,,,,0.4309982223744022,0.37802638834986635,0.05297183402453587
49,GMRINFRA,2021-03-16,27.15,27.4,26.45,10754284,26.7,-0.4499999999999993,27.188117157056382,27.244303740690484,27.172025642353656,26.917158474153325,26.834810926034645,26.817271351148136,26.60160083736669,,,0.35475429120551993,0.37337196892099705,-0.01861767771547712
50,GMRINFRA,2021-03-17,26.7,27.6,26.0,27824668,26.2,-0.5,26.858744771026544,27.035440607756993,27.02245339802485,26.851453420256714,26.78514135694757,26.770626694219334,26.58349861682195,,,0.2518267038055164,0.34906291589790095,-0.09723621209238453
51,GMRINFRA,2021-03-18,26.6,26.8,24.75,24358167,25.35,-1.25,26.355829847000482,26.69834940708471,26.765109436304623,26.7139898943703,26.672999489931208,26.663435687415785,26.528222363334613,,,0.10167374888883884,0.29958508249608856,-0.19791133360724972
52,GMRINFRA,2021-03-19,25.0,25.65,24.7,21779672,25.3,0.3000000000000007,26.003886564503446,26.418677481962884,26.539675786232717,26.584617359591583,26.565843779386547,26.560701628185267,26.473488889718535,,,-0.021025841952550195,0.2354628976063608,-0.256488739558911
