,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,GSPL,2021-01-04,220.5,222.5,217.55,1482248,219.3,-1.1999999999999886,,,,,,,,,,,,
1,GSPL,2021-01-05,218.05,222.8,215.9,1302051,217.1,-0.950000000000017,,,,,,,,,,,,
2,GSPL,2021-01-06,218.15,219.2,212.1,1638511,213.15,-5.0,,,,,,,,,,,,
3,GSPL,2021-01-07,215.15,217.5,210.0,908384,210.6,-4.550000000000011,,,,,,,,,,,,
4,GSPL,2021-01-08,213.35,213.35,208.1,1552609,210.1,-3.25,212.24218009478673,,,,,,,,,,,
5,GSPL,2021-01-11,211.95,217.5,211.0,1664404,212.25,0.30000000000001137,212.245037593985,,,,,,,,,,,
6,GSPL,2021-01-12,213.0,214.35,211.05,1961890,212.15,-0.8499999999999943,212.21138902379798,,,,,,,,,,,
7,GSPL,2021-01-13,212.95,214.7,211.6,1309217,212.0,-0.9499999999999886,212.13806502775577,,,,,,,,,,,
8,GSPL,2021-01-14,212.95,216.7,210.0,720921,212.15,-0.799999999999983,212.1421496009598,212.40027566838418,,,,,,,,,,
9,GSPL,2021-01-15,213.0,215.9,210.7,735801,211.0,-2.0,211.75471434726413,212.08653263277515,,,,,,,,,,
10,GSPL,2021-01-18,212.0,212.55,208.25,1061940,209.8,-2.1999999999999886,211.0955219618616,211.58625235782526,,,,,,,,,,
11,GSPL,2021-01-19,210.55,212.0,207.5,754437,208.3,-2.25,210.15644350472655,210.88050317146678,211.18029093677205,,,,,,,,,
12,GSPL,2021-01-20,209.8,209.8,204.8,1097405,206.0,-3.8000000000000114,208.76380664648764,209.84761913686393,210.28079563357383,,,,,,,,,
13,GSPL,2021-01-21,206.8,207.45,204.0,657231,204.4,-2.4000000000000057,207.30420458252613,208.70797314887756,209.27948390044295,,,,,,,,,
14,GSPL,2021-01-22,205.8,205.8,201.55,831792,202.6,-3.200000000000017,205.7325472601237,207.44183006989337,208.16055599834488,,,,,,,,,
15,GSPL,2021-01-25,203.75,204.25,195.65,1213479,197.95,-5.800000000000011,203.1344093339912,205.48848220133362,206.4731811139291,,,,,,,,,
16,GSPL,2021-01-27,198.0,199.2,194.55,663712,195.45,-2.5500000000000114,200.57033712724947,203.43453498139513,204.67206734725679,,,,,,,,,
17,GSPL,2021-01-28,193.7,197.5,190.9,985842,195.95,2.25,199.0291819450515,201.91016742039739,203.2604173237468,,,,,,,,,
18,GSPL,2021-01-29,196.6,198.9,192.85,1247281,198.0,1.4000000000000057,198.6859664746083,201.11669884907914,202.41578745977014,,,,,,,,,
19,GSPL,2021-02-01,202.0,203.5,196.5,759209,202.4,0.4000000000000057,199.92435006717704,201.37635268416554,202.41326948697665,,,,,,,,,
20,GSPL,2021-02-02,202.45,204.0,199.5,430947,201.3,-1.1499999999999773,200.38299199596642,201.36093999032303,202.23670878841492,203.98256271683567,,,,,,,,
21,GSPL,2021-02-03,201.65,203.5,199.0,518909,201.75,0.09999999999999432,200.83872224226485,201.43933041147315,202.15988340519866,203.7511777594959,,,,,,,,
22,GSPL,2021-02-04,201.25,205.5,200.1,913964,204.8,3.5500000000000114,202.15926582826634,202.1154554670544,202.57495661026576,203.85851214201284,,,,,,,,
23,GSPL,2021-02-05,206.0,208.0,205.3,853760,206.65,0.6500000000000057,203.65626614544158,203.02666745057329,203.2134729624818,204.14095939135797,,,,,,,,
24,GSPL,2021-02-08,207.15,215.0,207.15,1763290,213.85,6.699999999999989,207.05431200014144,205.19954285163095,204.8753793404481,205.11334692469316,205.3018696743409,,,,,,,
25,GSPL,2021-02-09,215.9,223.35,213.1,3114588,221.95,6.049999999999983,212.0196724259872,208.55979000516524,207.5368220498253,206.78414043596726,206.76509301749246,206.76877902226184,,,,0.7680430275634649,0.7680430275634649,0.0
