,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,GUJGASLTD,2021-01-04,381.0,387.5,375.0,1458239,379.35,-1.6499999999999773,,,,,,,,,,,,
1,GUJGASLTD,2021-01-05,380.95,391.0,380.05,946947,389.55,8.600000000000023,,,,,,,,,,,,
2,GUJGASLTD,2021-01-06,393.3,396.95,380.0,919295,386.3,-7.0,,,,,,,,,,,,
3,GUJGASLTD,2021-01-07,388.8,394.0,383.0,546555,386.85,-1.9499999999999886,,,,,,,,,,,,
4,GUJGASLTD,2021-01-08,390.9,391.5,385.0,458324,389.95,-0.9499999999999886,387.6845971563981,,,,,,,,,,,
5,GUJGASLTD,2021-01-11,390.55,393.35,384.05,704977,386.35,-4.199999999999989,387.1969172932331,,,,,,,,,,,
6,GUJGASLTD,2021-01-12,387.05,388.25,383.0,434936,384.3,-2.75,386.1712481787276,,,,,,,,,,,
7,GUJGASLTD,2021-01-13,384.65,386.65,369.0,1181613,371.25,-13.399999999999977,380.99555114988107,,,,,,,,,,,
8,GUJGASLTD,2021-01-14,371.25,379.0,371.25,1121946,375.55,4.300000000000011,379.1318893119817,381.02071007894233,,,,,,,,,,
9,GUJGASLTD,2021-01-15,380.0,382.35,370.0,446281,375.55,-4.449999999999989,377.9168556656614,379.79495344697506,,,,,,,,,,
10,GUJGASLTD,2021-01-18,376.15,377.5,362.05,839635,366.35,-9.799999999999955,374.01614086888,376.8532744563815,,,,,,,,,,
11,GUJGASLTD,2021-01-19,366.5,369.8,366.25,279293,368.65,2.1499999999999773,372.2135339294011,375.09155513519767,376.25072242174724,,,,,,,,,
12,GUJGASLTD,2021-01-20,369.0,375.15,369.0,456915,372.05,3.0500000000000114,372.1587410812852,374.44785639571586,375.52131742605883,,,,,,,,,
13,GUJGASLTD,2021-01-21,373.55,374.45,360.05,624063,364.45,-9.100000000000023,369.58032840073133,372.356297378174,373.6362255557276,,,,,,,,,
14,GUJGASLTD,2021-01-22,363.9,363.9,345.15,1196313,349.65,-14.25,362.9216795219716,367.6494297194622,369.6181221452917,,,,,,,,,
15,GUJGASLTD,2021-01-25,350.0,361.0,342.05,587372,358.05,8.050000000000011,361.29531030030927,365.67393864515657,367.70639875128813,,,,,,,,,
16,GUJGASLTD,2021-01-27,355.0,375.65,352.05,1202141,373.55,18.55000000000001,365.3843570826338,367.2854386706979,368.6612039520028,,,,,,,,,
17,GUJGASLTD,2021-01-28,366.0,375.95,361.6,612472,373.3,7.300000000000011,368.02469127612375,368.5104182060746,369.4119842761507,,,,,,,,,
18,GUJGASLTD,2021-01-29,370.05,374.5,362.5,423094,370.25,0.19999999999998863,368.76679560881126,368.86342188400323,369.54653883014964,,,,,,,,,
19,GUJGASLTD,2021-02-01,373.6,375.45,357.0,823644,359.35,-14.25,365.62691948846987,366.9385451898586,367.92027293707986,,,,,,,,,
20,GUJGASLTD,2021-02-02,365.0,369.3,359.0,1014730,367.0,2.0,366.0847047717498,366.95095057133545,367.77432082526957,369.6425340008945,,,,,,,,
21,GUJGASLTD,2021-02-03,368.0,385.05,362.95,1147068,372.4,4.399999999999977,368.190084580299,368.04886161065156,368.5044690857756,369.92832044163254,,,,,,,,
