,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,HATSUN,2021-01-04,727.9,734.0,703.95,86008,718.9,-9.0,,,,,,,,,,,,
1,HATSUN,2021-01-05,718.9,724.7,715.0,32583,720.25,1.3500000000000227,,,,,,,,,,,,
2,HATSUN,2021-01-06,728.95,728.95,717.0,39738,718.05,-10.900000000000091,,,,,,,,,,,,
3,HATSUN,2021-01-07,728.0,729.0,718.15,31582,725.6,-2.3999999999999773,,,,,,,,,,,,
4,HATSUN,2021-01-08,734.0,734.0,720.65,32822,728.15,-5.850000000000023,724.1741706161138,,,,,,,,,,,
5,HATSUN,2021-01-11,736.0,743.0,718.35,64121,723.85,-12.149999999999977,724.0557142857144,,,,,,,,,,,
6,HATSUN,2021-01-12,727.95,733.5,721.0,36698,730.1,2.1499999999999773,726.1957260806219,,,,,,,,,,,
7,HATSUN,2021-01-13,733.8,736.0,720.0,30694,722.25,-11.549999999999955,724.8270816812055,,,,,,,,,,,
8,HATSUN,2021-01-14,725.85,733.0,718.35,28617,729.9,4.0499999999999545,726.5632152730687,725.6977712345674,,,,,,,,,,
9,HATSUN,2021-01-15,721.0,733.55,721.0,26450,729.55,8.549999999999955,727.5763800086169,726.5608940995974,,,,,,,,,,
10,HATSUN,2021-01-18,724.1,732.0,718.0,28273,722.15,-1.9500000000000455,725.7464305906942,725.5958156741724,,,,,,,,,,
11,HATSUN,2021-01-19,728.65,777.0,705.0,828043,752.95,24.300000000000068,734.8847190169623,731.4703472771646,730.3109372667504,,,,,,,,,
12,HATSUN,2021-01-20,776.6,789.65,756.8,351954,775.55,-1.0500000000000682,748.509821603638,740.7991332544867,738.1661571658482,,,,,,,,,
13,HATSUN,2021-01-21,776.5,789.7,738.05,155191,741.75,-34.75,746.2488026438215,740.9980552871048,738.7763711748246,,,,,,,,,
14,HATSUN,2021-01-22,759.65,759.65,740.0,47179,742.1,-17.549999999999955,744.8627030514302,741.226481253894,739.3331359015814,,,,,,,,,
15,HATSUN,2021-01-25,742.0,748.4,702.05,39406,726.65,-15.350000000000023,738.7825453660713,738.226750076794,737.2371476929637,,,,,,,,,
16,HATSUN,2021-01-27,726.65,728.55,705.0,46244,707.1,-19.549999999999955,728.2109671899015,731.8579882955102,732.3129401491501,,,,,,,,,
17,HATSUN,2021-01-28,700.0,711.0,686.1,32147,703.1,3.1000000000000227,719.8349772677637,726.000878323254,727.5848813063903,,,,,,,,,
18,HATSUN,2021-01-29,705.5,718.75,692.0,28869,695.9,-9.600000000000023,711.8530509208229,719.8926741594155,722.4974528114831,,,,,,,,,
19,HATSUN,2021-02-01,699.4,722.0,696.0,25581,716.2,16.800000000000068,713.3024698290211,719.1455252875168,721.4930597629077,,,,,,,,,
20,HATSUN,2021-02-02,717.4,727.9,706.2,22598,712.05,-5.350000000000023,712.884896168436,717.7132094481527,719.9954230740348,723.0267919911113,,,,,,,,
21,HATSUN,2021-02-03,712.05,723.25,705.0,20105,717.8,5.75,714.5234831212056,717.7306965908606,719.6488827546503,722.4850822184061,,,,,,,,
22,HATSUN,2021-02-04,721.0,748.0,714.8,18478,725.45,4.4500000000000455,718.1659799780476,719.2837247327437,720.5609213868603,722.7885060084545,,,,,,,,
23,HATSUN,2021-02-05,718.0,729.0,715.5,40382,724.0,6.0,720.110768845365,720.2314553173426,721.0997887610281,722.9110869269174,,,,,,,,
24,HATSUN,2021-02-08,727.5,737.75,719.15,32273,728.65,1.1499999999999773,722.9572919586161,721.9215492482197,722.2794730855055,723.485855099397,723.8266913993938,,,,,,,
25,HATSUN,2021-02-09,732.25,732.95,722.75,35782,725.85,-6.399999999999977,723.9215534302817,722.7096211999009,722.8360156298286,723.7204621761107,724.0045223219595,724.0645329860239,,,,-1.2285173561953115,-1.2285173561953115,0.0
26,HATSUN,2021-02-10,721.05,733.0,721.05,23163,727.8,6.75,725.2143917086978,723.7301644821686,723.6081944022021,724.121954127375,724.3344920922159,724.380830529426,,,,-0.7726361272239046,-1.1373411104010303,0.36470498317712563
27,HATSUN,2021-02-11,725.0,728.9,695.0,39449,709.85,-15.149999999999977,720.092867710021,720.9487515506822,721.4716749777632,722.7278305539701,723.0877306589974,723.1633500162912,,,,-1.6916750385280466,-1.2482078960264336,-0.443467142501613
28,HATSUN,2021-02-12,715.0,735.0,712.5,30665,714.95,-0.049999999999954525,718.3785650629704,719.7471418395795,720.4603804530271,721.9731824808067,722.3936233985706,722.4818052050002,,,,-2.021424751973086,-1.4028512672157643,-0.6185734847573219
29,HATSUN,2021-02-15,718.55,721.9,710.0,18933,712.5,-6.0499999999999545,716.4190331561686,718.2959169422571,719.2274954139829,721.0596296843303,721.5567535308511,721.6608254485819,,,,-2.4333300345990665,-1.6089470206924248,-0.8243830139066417
