,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,HCLTECH,2021-01-04,959.0,984.7,952.65,5259092,980.4,21.399999999999977,,,,,,,,,,,,
1,HCLTECH,2021-01-05,967.2,995.8,967.2,7150252,991.35,24.149999999999977,,,,,,,,,,,,
2,HCLTECH,2021-01-06,997.9,998.0,966.1,5995748,978.2,-19.699999999999932,,,,,,,,,,,,
3,HCLTECH,2021-01-07,988.0,988.2,959.4,5261000,962.55,-25.450000000000045,,,,,,,,,,,,
4,HCLTECH,2021-01-08,974.9,1003.5,970.0,8034775,994.65,19.75,982.1722748815166,,,,,,,,,,,
5,HCLTECH,2021-01-11,1015.0,1059.05,1008.0,13384331,1055.1,40.09999999999991,1008.8210526315789,,,,,,,,,,,
6,HCLTECH,2021-01-12,1052.0,1065.05,1038.7,6700542,1062.1,10.099999999999909,1027.6847498785817,,,,,,,,,,,
7,HCLTECH,2021-01-13,1064.0,1067.0,1041.0,6691409,1055.95,-8.049999999999955,1037.489048374306,,,,,,,,,,,
8,HCLTECH,2021-01-14,1049.0,1049.0,1006.6,15021108,1027.7,-21.299999999999955,1034.1388868603622,1026.5967825185498,,,,,,,,,,
9,HCLTECH,2021-01-15,1047.65,1052.85,984.0,23769415,989.8,-57.850000000000136,1019.0984334338648,1018.3521671841011,,,,,,,,,,
10,HCLTECH,2021-01-18,1000.0,1004.95,976.9,12947569,981.5,-18.5,1006.4190355170504,1010.2891235751472,,,,,,,,,,
11,HCLTECH,2021-01-19,988.0,997.0,979.35,6387923,983.85,-4.149999999999977,998.8375908560811,1004.6111086452349,1005.7637179205935,,,,,,,,,
12,HCLTECH,2021-01-20,991.75,1009.65,987.55,7444118,999.25,7.5,998.9757705700224,1003.4765117946871,1004.6326890368022,,,,,,,,,
13,HCLTECH,2021-01-21,1009.0,1020.0,982.95,8857975,993.3,-15.700000000000045,997.0773440104393,1001.3475779343828,1002.7030939262886,,,,,,,,,
14,HCLTECH,2021-01-22,991.7,1004.0,981.4,5379466,985.8,-5.900000000000091,993.3096251580123,998.1246662226305,999.8715363227656,,,,,,,,,
15,HCLTECH,2021-01-25,997.0,997.0,941.0,7731883,947.5,-49.5,978.0164672076864,987.7064873114656,991.2167270191754,,,,,,,,,
16,HCLTECH,2021-01-27,952.1,963.25,942.5,7531736,955.5,3.3999999999999773,970.5033526334978,981.1168033581903,985.3808536837164,,,,,,,,,
17,HCLTECH,2021-01-28,948.8,952.4,930.1,6960905,933.95,-14.849999999999909,958.3106516927847,971.5103889084066,977.0568677614348,,,,,,,,,
18,HCLTECH,2021-01-29,941.0,949.5,909.5,7692663,914.0,-27.0,943.5337687135344,959.8401248974419,966.9322501955038,,,,,,,,,
19,HCLTECH,2021-02-01,919.0,933.75,896.35,8651478,928.35,9.350000000000023,938.4709899530181,953.4686417182177,960.7786917561141,,,,,,,,,
20,HCLTECH,2021-02-02,947.0,963.0,935.55,7690178,954.65,7.649999999999977,943.8650747392713,953.7071128828455,959.8067023946992,969.9603630131585,,,,,,,,
21,HCLTECH,2021-02-03,966.0,973.3,952.55,6354619,959.9,-6.100000000000023,949.2107643159864,954.9548973304219,959.8214291151755,968.9176972689587,,,,,,,,
22,HCLTECH,2021-02-04,964.7,970.45,950.15,4623148,957.65,-7.050000000000068,952.0240935584303,955.497118573619,959.480041903646,967.7645835361967,,,,,,,,
23,HCLTECH,2021-02-05,960.8,963.9,940.05,4631703,946.15,-14.649999999999977,950.0659460520744,953.6188248676533,957.3913648228952,965.5775850693857,,,,,,,,
24,HCLTECH,2021-02-08,955.0,964.4,941.35,6509526,957.75,2.75,952.6273988070296,954.4481931589393,957.4473998506905,964.7936305630243,966.9157879272793,,,,,,,
25,HCLTECH,2021-02-09,965.0,981.9,946.6,7557977,951.6,-13.399999999999977,952.2849234961857,953.8768276809544,956.5359582431882,963.4843541744066,965.5696656915942,966.01501458122,,,,-9.479056338031796,-9.479056338031796,0.0
26,HCLTECH,2021-02-10,955.05,965.1,946.15,4896963,959.45,4.400000000000091,954.6733243689048,954.9941636974826,956.9892556387123,963.0873090189264,965.0376365628273,965.459127465454,,,,-8.469871826741723,-9.277219435773782,0.8073476090320586
27,HCLTECH,2021-02-11,959.45,972.5,953.05,3745595,970.4,10.949999999999932,959.9156110920728,958.0813023525922,959.0718193085124,963.8016327051402,965.499205244822,965.8731035294176,,,,-6.801284220905131,-8.782032392800053,1.9807481718949216
28,HCLTECH,2021-02-12,975.0,986.5,957.6,8045740,960.4,-14.600000000000023,960.0770753244589,958.5457605963944,959.2777758864992,963.4715875146811,965.0642688318154,965.4189447142284,,,,-6.141168827729189,-8.25385967978588,2.1126908520566907
29,HCLTECH,2021-02-15,970.0,971.25,950.1,4643228,954.65,-15.350000000000023,958.2680407820188,957.7656427379832,958.561036820046,962.6208717219973,964.183359236961,964.5332246038076,,,,-5.972187783761683,-7.79752530058104,1.8253375168193573
30,HCLTECH,2021-02-16,957.0,962.25,944.1,3277086,952.3,-4.7000000000000455,956.278686938233,956.6714305351086,957.5923413422436,961.6310418202874,963.1858287865782,963.5352281258664,,,,-5.942886783622839,-7.4265975971894,1.483710813566561
31,HCLTECH,2021-02-17,952.0,958.4,941.0,3643176,943.2,-8.799999999999955,951.9191145207845,953.9750081021396,955.3675260266659,959.8721890014884,961.5198447672212,961.8886242029402,,,,-6.521098176274222,-7.245497713006365,0.7243995367321432
32,HCLTECH,2021-02-18,944.0,956.75,938.35,5133094,948.1,4.100000000000023,950.6460743800711,952.799261263619,954.2449155283629,958.7538374000295,960.408342512528,960.7797681653522,,,,-6.534852636989285,-7.103368697802949,0.5685160608136641
33,HCLTECH,2021-02-19,950.0,958.0,944.45,5494816,950.15,0.14999999999997726,950.4807160830381,952.2691402075853,953.612770311651,957.9398071749871,959.5636779058432,959.9303304963214,,,,-6.317560184670356,-6.946206995176431,0.6286468105060754
34,HCLTECH,2021-02-22,949.5,951.45,916.05,5043203,920.15,-29.350000000000023,940.3704704453648,945.8427052943642,948.4497365150556,954.3776126636124,956.3358662805184,956.769883994574,,,,-8.320147479518369,-7.220995092044819,-1.0991523874735494
