,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,HINDUNILVR,2021-01-04,2405.0,2430.0,2400.7,1614486,2426.5,21.5,,,,,,,,,,,,
1,HINDUNILVR,2021-01-05,2405.0,2456.95,2405.0,2356303,2450.55,45.55000000000018,,,,,,,,,,,,
2,HINDUNILVR,2021-01-06,2445.8,2450.0,2401.6,1641627,2417.3,-28.5,,,,,,,,,,,,
3,HINDUNILVR,2021-01-07,2432.0,2432.7,2365.0,2403881,2368.85,-63.15000000000009,,,,,,,,,,,,
4,HINDUNILVR,2021-01-08,2390.0,2400.0,2360.8,2797948,2391.2,1.199999999999818,2399.3606635071087,,,,,,,,,,,
5,HINDUNILVR,2021-01-11,2425.0,2441.95,2402.1,2787672,2429.1,4.099999999999909,2410.2278195488725,,,,,,,,,,,
6,HINDUNILVR,2021-01-12,2429.8,2433.1,2372.0,2036708,2375.9,-53.90000000000009,2398.073870811074,,,,,,,,,,,
7,HINDUNILVR,2021-01-13,2381.9,2398.0,2364.6,1702740,2372.35,-9.550000000000182,2389.1510943695484,,,,,,,,,,,
8,HINDUNILVR,2021-01-14,2366.0,2406.0,2351.15,2120413,2398.55,32.55000000000018,2392.367735120756,2395.766983041205,,,,,,,,,,
9,HINDUNILVR,2021-01-15,2392.5,2407.0,2342.8,2042957,2351.15,-41.34999999999991,2378.3860258509267,2385.7701888276642,,,,,,,,,,
10,HINDUNILVR,2021-01-18,2374.5,2374.5,2320.65,1733797,2332.6,-41.90000000000009,2362.945509111988,2374.1368553232314,,,,,,,,,,
11,HINDUNILVR,2021-01-19,2342.0,2382.1,2323.25,1495269,2363.15,21.15000000000009,2363.0142021826323,2371.777339570722,2375.637567305143,,,,,,,,,
12,HINDUNILVR,2021-01-20,2357.0,2373.95,2346.3,1380562,2355.95,-1.050000000000182,2360.647306464599,2368.4277246276533,2372.2190577004662,,,,,,,,,
13,HINDUNILVR,2021-01-21,2376.0,2399.9,2350.0,1521133,2367.65,-8.349999999999909,2362.9895610064655,2368.2650240552757,2371.441093055902,,,,,,,,,
14,HINDUNILVR,2021-01-22,2359.0,2422.0,2357.0,2548089,2409.35,50.34999999999991,2378.4784119132964,2376.78167216009,2377.7914839468776,,,,,,,,,
15,HINDUNILVR,2021-01-25,2420.0,2432.35,2385.0,2124424,2399.6,-20.40000000000009,2385.5296763944507,2381.4775139231615,2381.395513175098,,,,,,,,,
16,HINDUNILVR,2021-01-27,2425.0,2425.0,2335.0,2460297,2391.3,-33.69999999999982,2387.4550717941265,2383.4872667489153,2383.0138398076538,,,,,,,,,
17,HINDUNILVR,2021-01-28,2367.9,2411.55,2290.0,3867335,2300.4,-67.5,2358.4170662683246,2366.5649683724832,2369.6429468457454,,,,,,,,,
18,HINDUNILVR,2021-01-29,2315.1,2322.3,2251.0,4472694,2263.9,-51.19999999999982,2326.8971591030568,2345.731736180428,2352.6645123767485,,,,,,,,,
19,HINDUNILVR,2021-02-01,2276.65,2285.0,2226.2,2717591,2248.6,-28.050000000000182,2300.790254974414,2326.07880608701,2336.0670600474505,,,,,,,,,
20,HINDUNILVR,2021-02-02,2271.05,2275.0,2205.0,4215607,2230.45,-40.600000000000364,2277.3388016335202,2306.7749986720924,2319.316558825454,2337.782701556271,,,,,,,,
21,HINDUNILVR,2021-02-03,2231.5,2257.0,2217.6,2353429,2232.85,1.349999999999909,2262.507218741437,2291.880093939432,2305.6680965924397,2326.907374968556,,,,,,,,
22,HINDUNILVR,2021-02-04,2239.0,2259.0,2226.2,2908003,2245.6,6.599999999999909,2256.8709769448274,2282.5691128200947,2296.2243252741573,2318.586539893464,,,,,,,,
23,HINDUNILVR,2021-02-05,2245.6,2285.0,2241.0,4036942,2269.55,23.950000000000273,2261.09756903628,2279.952935708973,2292.044739624889,2313.624943599687,,,,,,,,
24,HINDUNILVR,2021-02-08,2288.0,2288.7,2230.3,2780672,2236.65,-51.34999999999991,2252.948056619486,2271.259505717247,2283.389577017427,2305.915688014857,2311.7175382610226,,,,,,,
25,HINDUNILVR,2021-02-09,2247.0,2254.7,2210.5,3131481,2216.25,-30.75,2240.715048110878,2260.224252567651,2272.9244462642155,2297.017669563739,2303.326786400951,2304.644177516937,,,,-31.71973125272143,-31.71973125272143,0.0
26,HINDUNILVR,2021-02-10,2220.0,2241.0,2212.75,2055520,2235.5,15.5,2238.976668143454,2255.2674171615085,2267.1028399056795,2290.9633442316526,2297.430087480694,2298.7894521486387,,,,-31.6866122429592,-31.713107450768987,0.026495207809787757
27,HINDUNILVR,2021-02-11,2242.0,2268.0,2234.05,1824480,2263.0,21.0,2246.9845393930414,2256.8169309247205,2266.4657070888584,2288.2318081689205,2294.4664968390634,2295.7907962577383,,,,-29.325089168879913,-31.235503794391175,1.9104146255112617
28,HINDUNILVR,2021-02-12,2268.0,2272.25,2232.0,1222094,2241.55,-26.449999999999818,2245.173012091097,2253.7588125307707,2262.6021109659596,2283.702481341599,2289.952987337279,2291.2898882023856,,,,-28.687777236425973,-30.725958482798138,2.038181246372165
29,HINDUNILVR,2021-02-15,2251.0,2261.75,2213.0,2449407,2215.2,-35.80000000000018,2235.1819559564237,2246.0374914921467,2255.2605832872387,2277.096397956002,2283.629871921988,2285.0316757248465,,,,-29.771092437607876,-30.53498527376009,0.7638928361522126
30,HINDUNILVR,2021-02-16,2227.0,2229.05,2190.05,2396356,2196.1,-30.90000000000009,2222.154592011655,2236.040092249068,2246.1073725424917,2269.3283858357877,2276.282310443857,2277.7765568150553,,,,-31.669184272563598,-30.76182507352079,-0.9073591990428085
31,HINDUNILVR,2021-02-17,2196.0,2201.55,2160.0,2447956,2163.9,-32.09999999999991,2202.736349666446,2221.6006336815544,2233.3994873460015,2259.267477970852,2266.9143159885252,2268.5556332030646,,,,-35.156145857063166,-31.640689230229267,-3.515456626833899
32,HINDUNILVR,2021-02-18,2164.0,2168.55,2143.2,3205806,2146.85,-17.15000000000009,2184.1075376588087,2206.641025166887,2220.030238613919,2248.5878782375503,2256.9699567023863,2258.768287910348,,,,-38.738049296428926,-33.0601612434692,-5.677888052959723
