,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,HINDZINC,2021-01-04,241.0,245.85,240.5,886735,244.05,3.0500000000000114,,,,,,,,,,,,
1,HINDZINC,2021-01-05,244.4,259.0,243.15,3891253,256.9,12.499999999999972,,,,,,,,,,,,
2,HINDZINC,2021-01-06,257.25,279.9,256.95,8436991,275.1,17.850000000000023,,,,,,,,,,,,
3,HINDZINC,2021-01-07,281.0,328.4,280.05,5200956,308.15,27.149999999999977,,,,,,,,,,,,
4,HINDZINC,2021-01-08,312.0,324.9,298.2,9070406,304.0,-8.0,290.22796208530804,,,,,,,,,,,
5,HINDZINC,2021-01-11,300.7,301.0,286.5,2359429,292.25,-8.449999999999989,290.9668421052632,,,,,,,,,,,
6,HINDZINC,2021-01-12,293.65,303.0,286.0,1455335,290.65,-3.0,290.8546624575037,,,,,,,,,,,
7,HINDZINC,2021-01-13,296.7,299.6,283.0,1119073,285.4,-11.300000000000011,288.96261697065825,,,,,,,,,,,
8,HINDZINC,2021-01-14,289.0,290.0,279.0,790536,279.75,-9.25,285.8097308434615,285.55619048942594,,,,,,,,,,
9,HINDZINC,2021-01-15,280.6,285.0,270.0,1324117,274.2,-6.400000000000034,281.8715260663507,283.01174459384134,,,,,,,,,,
10,HINDZINC,2021-01-18,277.4,277.6,267.3,849339,268.6,-8.799999999999955,277.3959417243959,279.8585372244962,,,,,,,,,,
11,HINDZINC,2021-01-19,270.05,306.4,268.6,4529372,298.8,28.75,284.58604443011694,283.9263690543978,283.6315461245766,,,,,,,,,
12,HINDZINC,2021-01-20,303.35,315.0,291.55,6769649,296.4,-6.9500000000000455,288.54436840336643,286.56622273435534,285.8486347843118,,,,,,,,,
13,HINDZINC,2021-01-21,301.0,302.5,282.0,3043234,283.2,-17.80000000000001,286.7567889379923,285.8620064267364,285.39765684670607,,,,,,,,,
