,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,ICICIPRULI,2021-01-04,500.2,505.95,494.5,2045373,503.9,3.6999999999999886,,,,,,,,,,,,
1,ICICIPRULI,2021-01-05,505.5,515.0,503.3,2875138,507.5,2.0,,,,,,,,,,,,
2,ICICIPRULI,2021-01-06,512.0,518.85,504.15,2500109,510.4,-1.6000000000000227,,,,,,,,,,,,
3,ICICIPRULI,2021-01-07,512.95,517.5,506.05,1291499,509.7,-3.250000000000057,,,,,,,,,,,,
4,ICICIPRULI,2021-01-08,512.95,534.5,512.95,3319428,525.9,12.949999999999932,515.3483412322274,,,,,,,,,,,
5,ICICIPRULI,2021-01-11,529.45,537.9,521.9,2618209,526.15,-3.300000000000068,519.2954135338346,,,,,,,,,,,
6,ICICIPRULI,2021-01-12,526.0,526.0,518.3,723061,521.65,-4.350000000000023,520.1290675084992,,,,,,,,,,,
7,ICICIPRULI,2021-01-13,528.0,529.4,505.15,1946749,509.7,-18.30000000000001,516.5115622521807,,,,,,,,,,,
8,ICICIPRULI,2021-01-14,512.65,517.0,506.55,1624080,508.95,-3.6999999999999886,513.9237259402222,514.482950518072,,,,,,,,,,
9,ICICIPRULI,2021-01-15,512.6,524.0,497.8,3485884,499.7,-12.900000000000034,509.09881258078417,511.170711452924,,,,,,,,,,
10,ICICIPRULI,2021-01-18,499.7,513.15,497.95,3612852,506.9,7.199999999999989,508.3573024403338,510.2363041895965,,,,,,,,,,
11,ICICIPRULI,2021-01-19,510.0,518.5,509.0,1948275,515.55,5.5499999999999545,510.7734906939481,511.3774632018734,511.6445696480964,,,,,,,,,
12,ICICIPRULI,2021-01-20,515.55,526.0,513.75,1645065,515.25,-0.2999999999999545,512.2733671745904,512.1970265320606,512.270609325622,,,,,,,,,
13,ICICIPRULI,2021-01-21,516.15,519.85,503.85,1384253,506.1,-10.049999999999955,510.20850495690325,510.921524032466,511.2199515739671,,,,,,,,,
14,ICICIPRULI,2021-01-22,505.0,510.9,500.0,1315963,501.9,-3.1000000000000227,507.43266423300315,509.05142081865347,509.65870013332466,,,,,,,,,
