,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,INDIAMART,2021-01-04,7184.0,7489.8,7184.0,262020,7287.7,103.69999999999982,,,,,,,,,,,,
1,INDIAMART,2021-01-05,7260.0,7284.0,6996.2,126100,7189.7,-70.30000000000018,,,,,,,,,,,,
2,INDIAMART,2021-01-06,7250.4,7599.0,7010.0,222682,7084.55,-165.84999999999945,,,,,,,,,,,,
3,INDIAMART,2021-01-07,7199.95,7615.0,7199.95,138122,7423.3,223.35000000000036,,,,,,,,,,,,
4,INDIAMART,2021-01-08,7565.0,7598.0,7423.3,86630,7491.35,-73.64999999999964,7354.774170616114,,,,,,,,,,,
5,INDIAMART,2021-01-11,7546.15,8200.0,7510.2,471812,7978.05,431.90000000000055,7582.527593984963,,,,,,,,,,,
6,INDIAMART,2021-01-12,8021.45,8273.95,8019.35,244208,8217.45,196.0000000000009,7807.325279261778,,,,,,,,,,,
7,INDIAMART,2021-01-13,8300.0,8374.7,7618.3,368875,8115.4,-184.60000000000036,7914.186407613006,,,,,,,,,,,
8,INDIAMART,2021-01-14,8180.4,8265.0,7900.0,196707,8196.05,15.649999999999636,8010.65018256742,7882.0875470806595,,,,,,,,,,
9,INDIAMART,2021-01-15,8250.0,8299.0,7652.0,234234,7785.35,-464.64999999999964,7934.2247884532535,7860.412720927692,,,,,,,,,,
10,INDIAMART,2021-01-18,7850.35,7978.7,7361.1,195308,7465.45,-384.90000000000055,7776.138891427136,7773.997134380453,,,,,,,,,,
11,INDIAMART,2021-01-19,7559.0,7724.85,7376.95,267901,7404.6,-154.39999999999964,7651.330653936229,7694.666121833175,7694.879357958534,,,,,,,,,
12,INDIAMART,2021-01-20,7472.7,7538.6,7285.0,114163,7320.15,-152.55000000000018,7540.3669454477595,7615.405498624399,7629.812105642349,,,,,,,,,
13,INDIAMART,2021-01-21,7422.65,8090.05,7422.65,511704,7728.7,306.0500000000002,7603.360413629465,7639.106792842987,7646.649556738188,,,,,,,,,
14,INDIAMART,2021-01-22,7920.75,7990.0,7804.0,196504,7893.5,-27.25,7700.294974496965,7691.840848925343,7688.001231916654,,,,,,,,,
15,INDIAMART,2021-01-25,7980.0,8043.85,7550.0,111652,7800.7,-179.30000000000018,7733.814347526715,7714.243250691822,7706.625591922051,,,,,,,,,
16,INDIAMART,2021-01-27,7770.0,8014.6,7640.0,123428,7952.7,182.69999999999982,7806.850360259496,7763.0332537514505,7746.832497663161,,,,,,,,,
17,INDIAMART,2021-01-28,7850.0,7995.0,7832.65,106562,7953.6,103.60000000000036,7855.800028117696,7801.8457874503765,7780.297424946336,,,,,,,,,
18,INDIAMART,2021-01-29,8000.0,8085.15,7715.0,94696,7802.55,-197.44999999999982,7838.0420082268465,7801.988689394355,7783.870371403618,,,,,,,,,
