,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,INDIANB,2021-01-04,89.5,89.75,87.2,2096958,88.7,-0.7999999999999972,,,,,,,,,,,,
1,INDIANB,2021-01-05,88.0,88.5,87.0,1750652,87.85,-0.15000000000000568,,,,,,,,,,,,
2,INDIANB,2021-01-06,88.4,89.85,87.0,2423058,87.75,-0.6500000000000057,,,,,,,,,,,,
3,INDIANB,2021-01-07,88.6,89.15,86.15,2508054,87.35,-1.25,,,,,,,,,,,,
4,INDIANB,2021-01-08,88.0,89.5,86.8,2319766,87.1,-0.9000000000000057,87.48151658767773,,,,,,,,,,,
5,INDIANB,2021-01-11,87.75,88.4,85.8,1643940,86.4,-1.3499999999999943,87.0863157894737,,,,,,,,,,,
6,INDIANB,2021-01-12,86.7,93.5,85.35,8867303,91.75,5.049999999999997,88.73751821272464,,,,,,,,,,,
7,INDIANB,2021-01-13,91.9,92.95,88.1,6884124,90.0,-1.9000000000000057,89.17543219666933,,,,,,,,,,,
8,INDIANB,2021-01-14,90.45,98.8,89.4,18222956,95.6,5.1499999999999915,91.37414845339318,90.36078181836461,,,,,,,,,,
9,INDIANB,2021-01-15,95.5,96.1,90.3,5958308,91.85,-3.6500000000000057,91.53556484274021,90.69445314004776,,,,,,,,,,
10,INDIANB,2021-01-18,92.4,94.4,89.0,5487468,90.75,-1.6500000000000057,91.27064717674003,90.7066064756141,,,,,,,,,,
11,INDIANB,2021-01-19,91.3,97.7,91.3,6146170,95.4,4.1000000000000085,92.65778930301798,91.71455057132786,91.33006522580351,,,,,,,,,
12,INDIANB,2021-01-20,96.5,97.4,94.55,5369989,96.0,-0.5,93.77761345059142,92.62150055997895,92.14094331101184,,,,,,,,,
13,INDIANB,2021-01-21,96.9,97.0,86.2,6278566,89.3,-7.6000000000000085,92.2799453906728,91.92664016460748,91.65722137137573,,,,,,,,,
14,INDIANB,2021-01-22,90.8,93.8,88.5,11051683,90.9,0.10000000000000853,91.81891074821222,91.71382434054581,91.53037382849278,,,,,,,,,
15,INDIANB,2021-01-25,92.0,93.4,88.85,5911804,89.8,-2.200000000000003,91.1449143805598,91.31997355846529,91.24441591010691,,,,,,,,,
16,INDIANB,2021-01-27,89.95,90.2,87.5,2996986,87.95,-2.0,90.0788609195766,90.63045220624767,90.70613047439542,,,,,,,,,
17,INDIANB,2021-01-28,87.5,91.0,86.6,4588470,89.9,2.4000000000000057,90.01920024428249,90.48168175479931,90.57565978919826,,,,,,,,,
18,INDIANB,2021-01-29,91.0,92.2,87.0,3170018,88.45,-2.549999999999997,89.49589743796089,90.06940385310523,90.23435687954007,,,,,,,,,
19,INDIANB,2021-02-01,88.8,95.5,87.5,7024796,94.7,5.900000000000006,91.23112012316655,91.00632504842625,90.94659102275268,,,,,,,,,
20,INDIANB,2021-02-02,95.7,104.9,94.35,13241812,101.45,5.75,94.63809646573074,93.11450456272182,92.61239543758364,91.9231781128415,,,,,,,,
21,INDIANB,2021-02-03,101.85,104.75,98.3,7843524,101.95,0.10000000000000853,97.07572345017434,94.89473946523255,94.08630563995715,92.96236762233129,,,,,,,,
22,INDIANB,2021-02-04,102.0,120.85,100.65,36202667,118.75,16.75,104.30112611808985,99.6941221269613,97.96387630747138,95.60142264132148,,,,,,,,
23,INDIANB,2021-02-05,119.65,137.0,119.1,36199779,127.75,8.099999999999994,112.11788175229614,105.33192145615838,102.63104797359915,98.85426761406121,,,,,,,,
24,INDIANB,2021-02-08,129.5,134.5,124.3,11195024,128.95,-0.5500000000000114,117.72881003956456,110.07345015388648,106.74325810382135,101.86843926688454,100.78647737649615,,,,,,,
25,INDIANB,2021-02-09,129.6,130.0,124.2,4863806,126.05,-3.549999999999997,120.50261325871655,113.27844663059034,109.75262437238716,104.26810828570068,103.00691746855709,102.75087800535134,,,,7.001746367035821,7.001746367035821,0.0
26,INDIANB,2021-02-10,126.7,126.8,121.35,3479132,122.65,-4.049999999999997,121.21842143804534,115.1573000933972,111.75889170449548,106.07718124712436,104.7146401795957,104.4358195077705,,,,7.323072196724979,7.066011532973653,0.25706066375132597
27,INDIANB,2021-02-11,122.0,125.6,121.05,2161879,123.7,1.7000000000000028,122.04562399839519,116.86915127646904,113.6132345838627,107.79862645595541,106.34881652966435,106.04988859372571,,,,7.563345990136995,7.165478424406322,0.3978675657306727
28,INDIANB,2021-02-12,124.0,128.35,122.0,4012392,123.25,-0.75,122.447085806089,118.14729885876052,115.10757585887804,109.29780404690823,107.7904019848914,107.47715598879866,,,,7.630419870079379,7.258466713540933,0.37195315653844574
29,INDIANB,2021-02-15,124.7,128.3,122.6,3069337,125.75,1.0499999999999972,123.54806294575977,119.66972375774768,116.755849528733,110.88438275491642,109.30954677236836,108.98005398342922,,,,7.7757955453037795,7.361932479893503,0.4138630654102764
30,INDIANB,2021-02-16,127.0,137.0,126.25,11971941,129.85,2.8499999999999943,125.64871593390986,121.70779741658636,118.78175110250585,112.70329258726699,111.03378376214953,110.6826412646991,,,,8.09910983780675,7.509367951476153,0.5897418863305974
31,INDIANB,2021-02-17,129.4,142.8,129.0,12933944,142.8,13.400000000000006,131.36582387383385,125.92958277623482,122.49457077025914,115.57538626409776,113.6817604446695,113.28327935738471,,,,9.21129141287443,7.849752643755809,1.3615387691186216
32,INDIANB,2021-02-18,147.0,157.0,145.3,18215508,149.9,2.9000000000000057,137.54389212898946,130.72670675953626,126.72787140804522,118.83620604333761,116.68154588370099,116.22792932127142,,,,10.4999420867738,8.379790532359408,2.1201515544143916
33,INDIANB,2021-02-19,150.5,153.75,136.55,8010972,142.2,-8.300000000000011,139.09592968481238,133.02252952807325,129.11635342043581,121.04671207316102,118.78271719700288,118.30338899584393,,,,10.812964424591883,8.866425310805903,1.9465391137859793
