,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,INDUSTOWER,2021-01-04,239.95,242.8,237.05,8979802,241.4,1.450000000000017,,,,,,,,,,,,
1,INDUSTOWER,2021-01-05,240.0,264.8,239.2,15044472,254.2,14.199999999999989,,,,,,,,,,,,
2,INDUSTOWER,2021-01-06,256.5,270.75,255.15,9036353,261.35,4.850000000000023,,,,,,,,,,,,
3,INDUSTOWER,2021-01-07,264.4,275.0,261.0,7916157,266.15,1.75,,,,,,,,,,,,
4,INDUSTOWER,2021-01-08,267.45,273.0,266.25,4047880,270.45,3.0,263.74573459715634,,,,,,,,,,,
5,INDUSTOWER,2021-01-11,271.9,271.9,260.5,3453837,262.25,-9.649999999999977,263.1991729323308,,,,,,,,,,,
6,INDUSTOWER,2021-01-12,262.25,268.35,257.45,6351455,261.35,-0.8999999999999773,262.5444633317144,,,,,,,,,,,
7,INDUSTOWER,2021-01-13,265.95,269.8,253.7,4289751,258.1,-7.849999999999966,261.0028231562252,,,,,,,,,,,
8,INDUSTOWER,2021-01-14,260.75,261.0,254.0,1885689,255.7,-5.050000000000011,259.1880079286422,259.65546443159326,,,,,,,,,,
9,INDUSTOWER,2021-01-15,257.9,266.85,257.0,9197807,262.2,4.300000000000011,260.2097233950883,260.2255881090034,,,,,,,,,,
10,INDUSTOWER,2021-01-18,262.1,262.1,241.4,3621704,258.6,-3.5,259.6668730261166,259.86991871926006,,,,,,,,,,
11,INDUSTOWER,2021-01-19,259.0,260.65,256.2,2190226,258.25,-0.75,259.1909136333899,259.52202811513087,259.5701143856135,,,,,,,,,
12,INDUSTOWER,2021-01-20,258.7,259.7,253.7,1640730,254.25,-4.449999999999989,257.53543619663196,258.40628379968166,258.64634041987586,,,,,,,,,
13,INDUSTOWER,2021-01-21,259.6,259.6,241.1,4335910,246.15,-13.450000000000017,253.72724588987717,255.8422600841819,256.5186126321283,,,,,,,,,
14,INDUSTOWER,2021-01-22,247.6,248.2,236.85,1822202,241.45,-6.150000000000006,249.6254635240689,252.85883824319427,253.99436205060096,,,,,,,,,
15,INDUSTOWER,2021-01-25,242.2,244.2,233.5,2452790,237.25,-4.949999999999989,245.49401914465602,249.6466556937252,251.22722419989736,,,,,,,,,
16,INDUSTOWER,2021-01-27,236.0,247.25,235.5,5061060,238.35,2.3499999999999943,243.1102600114437,247.33527693233765,249.1231722440011,,,,,,,,,
17,INDUSTOWER,2021-01-28,239.7,243.7,235.5,4224735,241.3,1.6000000000000227,242.5064314333713,246.10607827134368,247.85700668456636,,,,,,,,,
18,INDUSTOWER,2021-01-29,245.0,247.8,228.0,7418934,231.5,-13.5,238.83596523400928,243.14214787847374,245.2306720269179,,,,,,,,,
19,INDUSTOWER,2021-02-01,235.0,241.7,231.4,2913692,240.2,5.199999999999989,239.29078026525434,242.54685504367114,244.42832031984585,,,,,,,,,
20,INDUSTOWER,2021-02-02,244.0,253.0,242.2,7791175,247.4,3.4000000000000057,241.99439554656973,243.5265198478977,244.8996184613719,247.50271831434506,,,,,,,,
21,INDUSTOWER,2021-02-03,250.2,251.45,244.45,6953619,248.1,-2.0999999999999943,244.02986908670417,244.4480153147349,245.40478817269783,247.56462116541073,,,,,,,,
22,INDUSTOWER,2021-02-04,250.5,256.5,249.0,6067339,253.85,3.3499999999999943,247.303537757356,246.3395780674676,246.73252542018594,248.20785433690736,,,,,,,,
23,INDUSTOWER,2021-02-05,256.0,256.3,246.8,7472097,254.05,-1.9499999999999886,249.55249209997075,247.88897929439668,247.87909656784706,248.79897206937133,,,,,,,,
24,INDUSTOWER,2021-02-08,239.85,245.0,236.65,6746469,239.95,0.09999999999999432,246.3515346352531,246.29516216464262,246.64021322640158,247.9127228023295,248.34188307272748,,,,,,,
25,INDUSTOWER,2021-02-09,242.5,263.4,242.1,21502470,253.7,11.199999999999989,248.80108776184647,247.78061925027598,247.74063111637915,248.4870260885327,248.81281413885668,248.88640183460555,,,,-1.1457707182264016,-1.1457707182264016,0.0
26,INDUSTOWER,2021-02-10,253.5,253.7,244.3,7449138,247.6,-5.900000000000006,248.40071812768008,247.74440784641857,247.71875506788558,248.39972849491267,248.70737497237764,248.77747683577908,,,,-1.058721767893502,-1.1283609281598217,0.06963916026631978
27,INDUSTOWER,2021-02-11,248.0,252.0,245.4,2857799,250.25,2.25,249.0171526516738,248.2464974596904,248.11183382570638,248.58046808385893,248.84015735633093,248.90085369671954,,,,-0.7890198710131529,-1.0604927167304878,0.271472845717335
28,INDUSTOWER,2021-02-12,249.95,254.9,244.15,3574037,245.65,-4.299999999999983,247.89475965436998,247.72639314530812,247.73008541333752,248.29613788694792,248.56805307127635,248.631097450502,,,,-0.9010120371644916,-1.0285965808172886,0.12758454365279692
29,INDUSTOWER,2021-02-15,248.0,252.0,246.5,3252376,249.35,1.3499999999999943,248.37984229933207,248.05151700008403,247.98097398206994,248.39776779668836,248.63419545374254,248.69022547673114,,,,-0.7092514946612027,-0.9647275635860715,0.25547606892486874
30,INDUSTOWER,2021-02-16,250.05,252.2,244.1,3184642,247.15,-2.9000000000000057,247.96989344093987,247.87103485921236,247.85240729866933,248.2780998162289,248.5096069321044,248.56457262142965,,,,-0.7121653227603133,-0.9142151154209199,0.20204979266060663
31,INDUSTOWER,2021-02-17,247.15,258.2,246.15,15254400,256.55,9.400000000000006,250.82993558968954,249.60820421473,249.19690969688443,249.067477600562,249.17984015102692,249.21117643459624,,,,-0.014266737711807309,-0.7342254398790974,0.7199587021672901
32,INDUSTOWER,2021-02-18,258.0,264.8,250.6,8439925,259.65,1.6499999999999773,253.76996160276045,251.6178371279683,250.8115924473736,250.07281151691262,250.0470339584813,250.05064760774965,,,,0.76094483962396,-0.435191383978486,1.196136223602446
33,INDUSTOWER,2021-02-19,258.45,265.85,254.05,5851020,260.75,2.3000000000000114,256.0966434653202,253.4451962835468,252.34581623113908,251.0830065891344,250.9283085494574,250.9056458367643,,,,1.4401703943747748,-0.06011902830783383,1.5002894226826087
34,INDUSTOWER,2021-02-22,263.0,270.8,261.45,10993150,266.35,3.3500000000000227,259.5144313240852,256.02720441376744,254.5065480958044,252.52212481171628,252.19127911173652,252.13266065735408,,,,2.3738874384503106,0.42668226504379503,1.9472051734065157
35,INDUSTOWER,2021-02-23,267.75,277.75,266.9,11346327,271.65,3.8999999999999773,263.55962273477786,259.1527778375808,257.15046508076296,254.3191550174369,253.77697998792692,253.67497636572986,,,,3.4754887150330944,1.036443555041655,2.4390451599914393
36,INDUSTOWER,2021-02-24,272.0,282.0,244.5,3005240,277.45,5.449999999999989,268.18974990309323,262.8131725628663,260.2799433284366,256.48567281919236,255.6973351303091,255.54449458579435,,,,4.735448742642262,1.7762445925617767,2.9592041500804855
37,INDUSTOWER,2021-02-25,282.0,282.65,269.5,5343715,273.5,-8.5,269.9598336289141,264.95098205595366,262.3173639876283,258.0749180903286,257.1354514742721,256.9499939608135,,,,5.367370026814797,2.494469679412381,2.8729003474024157
38,INDUSTOWER,2021-02-26,266.95,272.8,253.55,41090229,257.8,-9.149999999999977,265.9065552027555,263.5205479731343,261.6213541958658,258.04930297614413,257.18892803532015,257.0162512466027,,,,4.6051029492631415,2.9165963333825333,1.6885066158806081
39,INDUSTOWER,2021-03-01,261.15,265.0,250.7,5607199,252.25,-8.899999999999977,261.35436972348106,261.26613871611755,260.1777985286092,257.51018177036957,256.7928948631691,256.6461599509615,,,,3.5316385776476977,3.0396047822355663,0.49203379541213144
40,INDUSTOWER,2021-03-02,254.95,259.3,251.4,3724070,257.5,2.5500000000000114,260.06957973819175,260.5128308674635,259.76539225599333,257.5092371815894,256.8494104277621,256.7122230529662,,,,3.053169203027153,3.042317666393884,0.010851536633269099
41,INDUSTOWER,2021-03-03,260.0,260.1,256.2,2279120,257.8,-2.1999999999999886,259.3130531283863,259.9702185336185,259.46275269920613,257.53616181621146,256.9251591383009,256.796109631967,,,,2.6666430672391357,2.9671827465629343,-0.30053967932379866
42,INDUSTOWER,2021-03-04,254.5,261.5,253.15,1572712,259.15,4.649999999999977,259.2587020841344,259.8061636618988,259.4146003449975,257.68535095485754,257.1019593861095,256.9770848684178,,,,2.4375154765796765,2.861249292566283,-0.42373381598660664
43,INDUSTOWER,2021-03-05,258.1,258.75,245.0,4973536,249.05,-9.050000000000011,255.8558013286327,257.65481379889127,257.81902152827,256.88829050442604,256.46372189187554,256.3693305708486,,,,1.44969095742141,2.5789376255373084,-1.1292466681158984
