,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,IOC,2021-01-04,92.0,94.05,92.0,20940906,93.85,1.8499999999999943,,,,,,,,,,,,
1,IOC,2021-01-05,93.0,93.25,91.8,18715045,93.0,0.0,,,,,,,,,,,,
2,IOC,2021-01-06,93.35,95.6,93.2,24710986,94.1,0.75,,,,,,,,,,,,
3,IOC,2021-01-07,95.0,95.45,93.8,18143241,94.5,-0.5,,,,,,,,,,,,
4,IOC,2021-01-08,95.1,96.4,94.65,22542041,96.15,1.0500000000000114,94.84526066350712,,,,,,,,,,,
5,IOC,2021-01-11,96.2,96.95,94.6,16225411,96.0,-0.20000000000000284,95.2672180451128,,,,,,,,,,,
6,IOC,2021-01-12,95.6,99.35,95.2,31941540,97.95,2.3500000000000085,96.21707139388054,,,,,,,,,,,
7,IOC,2021-01-13,98.45,102.75,98.2,55937686,100.95,2.5,97.85877081681207,,,,,,,,,,,
8,IOC,2021-01-14,101.75,103.6,100.3,30720438,103.2,1.4500000000000028,99.68672995670545,98.423239882648,,,,,,,,,,
9,IOC,2021-01-15,103.35,103.9,100.5,27838004,101.3,-2.049999999999997,100.23397673416632,99.0678011446305,,,,,,,,,,
10,IOC,2021-01-18,101.55,101.85,97.5,28599856,98.3,-3.25,99.58177773716584,98.899810641352,,,,,,,,,,
11,IOC,2021-01-19,99.0,100.3,98.0,24415735,98.55,-0.45000000000000284,99.23518047957221,98.82468598608143,98.55303765632516,,,,,,,,,
12,IOC,2021-01-20,98.9,99.8,97.75,18930532,98.3,-0.6000000000000085,98.92184365604102,98.71364420224002,98.50910070641737,,,,,,,,,
13,IOC,2021-01-21,98.2,99.6,96.2,25634853,96.7,-1.5,98.17868341800263,98.29238833271975,98.2010686174583,,,,,,,,,
14,IOC,2021-01-22,96.5,97.35,95.25,22504208,95.7,-0.7999999999999972,97.3505644713285,97.75500310434565,97.78209680723351,,,,,,,,,
15,IOC,2021-01-25,97.0,97.5,93.15,22533235,93.45,-3.549999999999997,96.04839383907171,96.8690655584672,97.06618365318309,,,,,,,,,
16,IOC,2021-01-27,93.0,93.8,90.25,27493562,91.4,-1.5999999999999943,94.49735498485144,95.75005455917662,96.14036729611118,,,,,,,,,
17,IOC,2021-01-28,90.45,92.95,90.25,24137903,92.6,2.1499999999999915,93.8644750917096,95.10848617886732,95.56736557784753,,,,,,,,,
18,IOC,2021-01-29,93.8,96.3,92.8,74195476,93.25,-0.5499999999999972,93.6595576243067,94.73135389407868,95.19528175781186,,,,,,,,,
19,IOC,2021-02-01,95.8,96.4,93.4,53177517,95.8,0.0,94.37325304487182,94.94757598626143,95.29172945134486,,,,,,,,,
20,IOC,2021-02-02,97.55,99.2,96.75,38641408,98.8,1.25,95.84913125583218,95.72523341277106,95.84812905275338,96.1030044079547,,,,,,,,
21,IOC,2021-02-03,100.6,102.4,99.9,58158800,101.85,1.25,97.84968822602879,96.9592924789229,96.79550466320508,96.6986285845431,,,,,,,,
22,IOC,2021-02-04,102.8,104.35,102.5,51171418,103.6,0.7999999999999972,99.76662962600976,98.29532050057534,97.86529214678414,97.40490121186848,,,,,,,,
23,IOC,2021-02-05,104.5,104.6,102.05,31422905,102.4,-2.0999999999999943,100.64447189730622,99.12015155498565,98.57583307601573,97.91031337365814,,,,,,,,
24,IOC,2021-02-08,104.0,104.4,102.45,37924977,104.1,0.09999999999999432,101.7963602154328,100.11989817995101,99.43895768534892,98.53022777646218,98.34131119830823,,,,,,,
25,IOC,2021-02-09,99.8,99.8,97.0,47911877,97.7,-2.0999999999999943,100.4308707594297,99.63445137100734,99.16790415239689,98.4478397165795,98.28494561867657,98.25193580268461,,,,0.9159683497122728,0.9159683497122728,0.0
26,IOC,2021-02-10,98.1,98.75,96.1,22672022,96.75,-1.3499999999999943,99.20389224363745,99.05616288103244,98.79178405996994,98.28074505777973,98.15150111020763,98.12476064547954,,,,0.6670234144904015,0.8661793626678985,-0.19915594817749704
27,IOC,2021-02-11,96.1,97.5,95.9,19512564,96.5,0.4000000000000057,98.30258425317624,98.5439395207529,98.43589134486473,98.10679700265578,98.00934715147608,97.98862841130519,,,,0.44726293355954283,0.7823960768462275,-0.33513314328668464
28,IOC,2021-02-12,96.55,97.1,94.6,19038734,95.1,-1.4500000000000028,97.23504781782819,97.8540841170704,97.91860572979203,97.81506095251913,97.76119455641458,97.7489296645614,,,,0.1696760652306324,0.6598520745231085,-0.49017600929247607
29,IOC,2021-02-15,95.55,96.1,94.0,14796024,94.15,-1.3999999999999915,96.20669318225161,97.11234907014318,97.33493292046667,97.46161830647976,97.45573519243955,97.45292625248334,,,,-0.11799333201666684,0.5042829932151534,-0.6222763252318202
30,IOC,2021-02-16,94.15,96.5,94.0,24869144,95.6,1.4499999999999886,96.00446141839582,96.80957940756414,97.06650746272686,97.28307859443228,97.2999583346174,97.30176301190262,,,,-0.2352555491757613,0.35637528473697044,-0.5916308339127317
31,IOC,2021-02-17,95.55,95.7,94.65,16459093,95.0,-0.5499999999999972,95.66964016954182,96.44737655939012,96.7470599632894,97.0652070676618,97.10823779745196,97.11538241260044,,,,-0.3683224493110373,0.21143573792736892,-0.5797581872384062
32,IOC,2021-02-18,95.3,99.85,95.3,54055390,99.0,3.700000000000003,96.77976182840267,96.95822503620123,97.09507029417489,97.24901135198803,97.26492351103127,97.26693992548753,,,,-0.17186963131264577,0.13477466407936597,-0.30664429539201177
33,IOC,2021-02-19,99.2,100.5,96.1,42193351,97.55,-1.6500000000000057,97.03650815008702,97.07664007251773,97.16529924895687,97.27748862851996,97.288396505829,97.2895595994211,,,,-0.12426035046422612,0.08296766117064756,-0.2072280116348737
34,IOC,2021-02-22,97.5,98.5,95.1,19487082,95.65,-1.8499999999999943,96.57433844932433,96.79119626825104,96.93150087657298,97.12407606854067,97.15421884037389,97.15930074194691,,,,-0.2277998653739246,0.020814155861733123,-0.24861402123565773
35,IOC,2021-02-23,96.4,99.1,96.0,35512683,97.65,1.25,96.93289246371026,96.9630127722442,97.04231006755288,97.17348569618832,97.19462029449475,97.19807719402868,,,,-0.15576712647580848,-0.014502100605775201,-0.14126502587003328
36,IOC,2021-02-24,98.4,99.9,97.0,19784111,97.95,-0.45000000000000284,97.27192841262323,97.1604614784102,97.18224410596939,97.24621680755905,97.25589668851539,97.25720367093443,,,,-0.07495956496504164,-0.02659359347762849,-0.048365971487413145
37,IOC,2021-02-25,99.4,101.95,98.85,62750445,100.9,1.5,98.48128585450146,97.9085245493495,97.75520932484193,97.58750315985712,97.55027084933319,97.54235008401022,,,,0.2128592408317047,0.02129697338423815,0.19156226744746657
38,IOC,2021-02-26,99.5,101.95,97.2,45723160,98.05,-1.4500000000000028,98.33752388349872,97.93682434158912,97.80062899812754,97.63059566554153,97.59048431065094,97.58192098587907,,,,0.21870801224847014,0.06077918115708455,0.15792883109138559
39,IOC,2021-03-01,101.0,101.5,99.8,30046249,100.7,-0.29999999999999716,99.12501599355147,98.48953294084565,98.24724571474667,97.91593701994394,97.83982411748748,97.82403451337515,,,,0.42321120137151524,0.1332655851999707,0.2899456161715446
40,IOC,2021-03-02,102.25,104.1,101.75,45720247,102.2,-0.04999999999999716,100.15001072416646,99.23170527397596,98.85600721936754,98.31338045832688,98.18831232509591,98.16261063736636,,,,0.6933965820011849,0.24529178456021355,0.44810479744097137
41,IOC,2021-03-03,103.0,104.0,101.4,30023276,102.6,-0.4000000000000057,100.96667384893637,99.90542153262156,99.43252333837115,98.71032139305206,98.5398622078565,98.50481076795448,,,,0.9277125704166735,0.3817759417315056,0.5459366286851679
42,IOC,2021-03-04,101.5,103.1,101.15,16870409,101.45,-0.04999999999999716,101.12778257027472,100.21435825124081,99.74314016458895,98.96358736212092,98.77112058308039,98.73124710708923,,,,1.0118930574997194,0.5077993648851483,0.504093692614571
43,IOC,2021-03-05,101.7,102.85,100.85,40145177,101.45,-0.25,101.23518838210187,100.4615000566724,100.00590277056047,99.19308830394328,98.98346160523697,98.93968864418926,,,,1.0662141263712073,0.6194823171823601,0.44673180918884714
44,IOC,2021-03-08,102.25,105.0,102.1,49732782,103.6,1.3499999999999943,102.02345893078915,101.08922738671927,100.5591415052562,99.59928939889328,99.34853598187134,99.29606129223116,,,,1.2630802130250487,0.7482018963508978,0.5148783166741508
