,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,IRFC,2021-01-29,24.9,25.8,24.35,381938573,24.8,-0.09999999999999787,,,,,,,,,,,,
1,IRFC,2021-02-01,25.25,25.4,24.9,72044464,25.1,-0.14999999999999858,,,,,,,,,,,,
2,IRFC,2021-02-02,25.45,25.45,24.7,36735442,24.75,-0.6999999999999993,,,,,,,,,,,,
3,IRFC,2021-02-03,24.8,24.9,24.05,45816269,24.25,-0.5500000000000007,,,,,,,,,,,,
4,IRFC,2021-02-04,24.25,25.8,23.85,88486029,25.35,1.1000000000000014,24.895971563981043,,,,,,,,,,,
5,IRFC,2021-02-05,25.6,26.2,25.55,56318695,25.7,0.09999999999999787,25.18977443609023,,,,,,,,,,,
6,IRFC,2021-02-08,25.9,25.95,25.6,28324374,25.75,-0.14999999999999858,25.38812530354541,,,,,,,,,,,
7,IRFC,2021-02-09,25.75,25.8,25.2,25243532,25.3,-0.4499999999999993,25.35755749405234,,,,,,,,,,,
8,IRFC,2021-02-10,25.4,25.8,25.0,33132159,25.4,0.0,25.372082833446353,25.299816970149283,,,,,,,,,,
9,IRFC,2021-02-11,25.4,25.65,25.25,13586295,25.4,0.0,25.38155277897458,25.32226378445275,,,,,,,,,,
10,IRFC,2021-02-12,25.5,25.55,25.3,15658220,25.4,-0.10000000000000142,25.387773773693738,25.339272024234724,,,,,,,,,,
11,IRFC,2021-02-15,26.2,26.2,25.65,45629832,25.75,-0.4499999999999993,25.509453678332022,25.427479168162897,25.390477292412395,,,,,,,,,
12,IRFC,2021-02-16,25.9,26.0,25.8,34557518,25.9,0.0,25.64030814604847,25.52748099299014,25.478949790953852,,,,,,,,,
13,IRFC,2021-02-17,25.3,25.6,24.9,28638408,25.3,0.0,25.526482187981543,25.47989179952945,25.448480355100575,,,,,,,,,
14,IRFC,2021-02-18,25.45,25.8,25.4,21022422,25.65,0.1999999999999993,25.56774903135545,25.51515412230895,25.482238345517157,,,,,,,,,
15,IRFC,2021-02-19,25.65,25.7,25.2,14542153,25.35,-0.29999999999999716,25.495055349218504,25.481166635130972,25.46038491627995,,,,,,,,,
16,IRFC,2021-02-22,25.3,25.4,24.95,16652770,25.0,-0.3000000000000007,25.32986924231564,25.382716406029292,25.385161112723615,,,,,,,,,
17,IRFC,2021-02-23,25.0,25.15,24.9,13021961,24.95,-0.05000000000000071,25.203160425355158,25.294585499553175,25.31473111367068,,,,,,,,,
18,IRFC,2021-02-24,24.9,25.2,24.85,10958830,24.9,0.0,25.102061345150425,25.214514454267462,25.248140525402096,,,,,,,,,
19,IRFC,2021-02-25,24.95,25.2,24.9,22761296,24.95,0.0,25.051358982446697,25.16099452058934,25.200589510701924,,,,,,,,,
20,IRFC,2021-02-26,24.85,24.95,24.5,36424500,24.65,-0.20000000000000284,24.917545827330596,25.05784422290017,25.11326791447791,25.179083927888684,,,,,,,,
21,IRFC,2021-03-01,24.65,26.7,24.65,93579588,25.9,1.25,25.24507432809021,25.227527419319316,25.23745098944479,25.253800366236923,,,,,,,,
22,IRFC,2021-03-02,26.1,26.3,25.45,48494934,25.65,-0.45000000000000284,25.380061580070628,25.31252366473108,25.302311018882737,25.294346648915827,,,,,,,,
23,IRFC,2021-03-03,25.8,25.95,25.45,18806435,25.5,-0.3000000000000007,25.420043428429835,25.350196838317114,25.333286798776093,25.31515498708077,,,,,,,,
24,IRFC,2021-03-04,25.25,25.7,25.25,21742960,25.4,0.14999999999999858,25.41336202102194,25.360195243560735,25.343710416768836,25.323652452088268,25.318897636818974,,,,,,,
25,IRFC,2021-03-05,25.4,25.55,24.8,25255199,24.95,-0.4499999999999993,25.258903936102058,25.277907495390085,25.282342276345222,25.28657286806237,25.2864747987664,25.286373520264554,,,,-0.004031243919332184,-0.004031243919332184,0.0
26,IRFC,2021-03-08,25.1,25.25,24.8,16353985,24.85,-0.25,25.12260022499381,25.192118571421624,25.21508873497641,25.243607095900384,25.248528721542716,25.24942395761309,,,,-0.034335222636681095,-0.010092039662801967,-0.02424318297387913
27,IRFC,2021-03-09,24.95,25.5,24.8,21380757,24.95,0.0,25.065066141559686,25.143601010525984,25.173922923902655,25.214926750513865,25.22283268095269,25.224336414762636,,,,-0.050413490859980925,-0.01815632990223776,-0.03225716095774317
28,IRFC,2021-03-10,25.0,25.1,24.85,11360743,24.85,-0.14999999999999858,24.993376866906885,25.084789802484295,25.123693269634966,25.17951954188286,25.191031939244983,25.193273932261256,,,,-0.06958066262629004,-0.028441196447048216,-0.041139466179241815
29,IRFC,2021-03-12,24.9,25.05,24.8,17086939,24.85,-0.04999999999999716,24.945584328695297,25.037773638795912,25.081304298478226,25.14774210071242,25.16218514142516,25.16504046712096,,,,-0.08373616864273359,-0.039500190886185296,-0.04423597775654829
30,IRFC,2021-03-15,24.9,24.95,24.5,17385997,24.65,-0.25,24.84705587657337,24.960142028413685,25.014573733637125,25.10000582146238,25.11919054161401,25.123023044173948,,,,-0.10844931053682316,-0.053290014816312875,-0.05515929572051029
31,IRFC,2021-03-16,24.65,24.8,24.5,9649363,24.55,-0.09999999999999787,24.74803702154103,24.878048581601494,24.94275840260567,25.04751940757067,25.07174380540786,25.076623663423266,,,,-0.13386526081759698,-0.0694050640165697,-0.06446019680102727
32,IRFC,2021-03-17,24.55,24.6,24.1,14312130,24.15,-0.40000000000000213,24.548691039661946,24.7323465156255,24.820301475431584,24.96225554826038,24.99540012664468,25.00210627658059,,,,-0.18180480114900632,-0.09188501144305702,-0.0899197897059493
33,IRFC,2021-03-18,24.2,24.6,23.9,16168159,24.05,-0.14999999999999858,24.38246052186689,24.595807979237357,24.701387571164855,24.875944806353054,24.917556554434363,24.92602230902198,,,,-0.2246347378571265,-0.11843495672587093,-0.10619978113125558
34,IRFC,2021-03-19,24.0,24.1,23.5,15260549,23.95,-0.05000000000000071,24.238306915578782,24.46659396795982,24.58545456896165,24.788662130054828,24.838317811426844,24.848479808653334,,,,-0.26302523969168234,-0.14735301331903322,-0.11567222637264912
35,IRFC,2021-03-22,24.0,24.5,23.85,13817385,23.9,-0.10000000000000142,24.125537892088907,24.353238388379122,24.47974161293489,24.705173887128254,24.76185382469984,24.77352823445147,,,,-0.29378662151657764,-0.17663973495854213,-0.11714688655803551
36,IRFC,2021-03-23,23.9,24.1,23.75,13742805,23.8,-0.09999999999999787,24.017025228271574,24.242561977464263,24.37494923221377,24.62039205829209,24.683828252232097,24.696976101420958,,,,-0.32202686920718904,-0.20571716180827154,-0.1163097073989175
37,IRFC,2021-03-24,23.8,23.9,23.4,16788250,23.45,-0.3500000000000014,23.828016780387355,24.084016653395885,24.23239986792326,24.511070071930252,24.584158422565242,24.59936681163598,,,,-0.36696694371272187,-0.2379671181891616,-0.12899982552356026
38,IRFC,2021-03-25,23.45,23.55,22.9,19233029,22.95,-0.5,23.535344480555313,23.857175632287227,24.0348149782677,24.365619519386726,24.452656855315812,24.470799997788045,,,,-0.43598501952034496,-0.2775706984553983,-0.15841432106494668
39,IRFC,2021-03-26,23.2,23.3,22.9,16323314,23.05,-0.14999999999999858,23.373562972405725,23.69571904456813,23.883114891667123,24.243315445164363,24.340183330721505,24.360477296607918,,,,-0.47736240494079496,-0.3175290397524776,-0.15983336518831737
40,IRFC,2021-03-30,23.15,23.3,22.9,14310179,22.95,-0.1999999999999993,23.232375306424693,23.546559374277738,23.73940638250058,24.123331275969644,24.22907256128826,24.251346194563638,,,,-0.5119398120630585,-0.35641119421459383,-0.15552861784846467
41,IRFC,2021-03-31,22.95,23.1,22.9,11770453,22.9,-0.05000000000000071,23.121583533163243,23.41723649784857,23.61015097570347,24.01005080975584,24.123164043384985,24.14713382858478,,,,-0.5369828528813123,-0.39252552594793755,-0.14445732693337476
42,IRFC,2021-04-01,23.0,23.2,22.7,18367745,22.85,-0.14999999999999858,23.031055686349678,23.303781476930247,23.49311582580055,23.90281144534395,24.021990192146205,24.047405691486926,,,,-0.5542898656863748,-0.42487839389562504,-0.1294114717907498
43,IRFC,2021-04-05,22.85,22.9,22.3,20106460,22.5,-0.3500000000000014,22.854037121070817,23.143016428662413,23.34023057007827,23.7733290967583,23.901349841157867,23.92876908361723,,,,-0.5885385135389605,-0.4576104178242921,-0.13092809571466835
44,IRFC,2021-04-06,22.5,22.5,21.9,25085603,22.0,-0.5,22.569358077323493,22.914403185418823,23.133929121492734,23.609874897879198,23.750991705111165,23.781276675211302,,,,-0.6473475537185678,-0.49555784500314726,-0.15178970871542052
45,IRFC,2021-04-07,22.0,22.3,21.9,14507382,22.15,0.14999999999999858,22.42957205043914,22.761517221036723,22.982485760745785,23.47548285909561,23.624658245261198,23.656831549326256,,,,-0.6743457885804709,-0.531315433718612,-0.1430303548618589
46,IRFC,2021-04-08,22.1,22.35,21.9,18025782,21.95,-0.15000000000000213,22.26971469944662,22.599209252343563,22.823579959132292,23.335212183359,23.49277377409629,23.52691007276929,,,,-0.7033301136369978,-0.5657183697022892,-0.13761174393470865
47,IRFC,2021-04-09,22.0,22.05,21.9,16396258,21.95,-0.05000000000000071,22.16314313258835,22.469364506240254,22.68913877328158,23.207972284534083,23.371497543547683,23.407122922899543,,,,-0.717984149617962,-0.5961715256854238,-0.12181262393253822
48,IRFC,2021-04-12,21.85,21.85,20.8,25942981,20.85,-1.0,21.72542875402918,22.14548582680348,22.40611548976379,22.991583517065067,23.17361825998232,23.213241926574206,,,,-0.8071264368104174,-0.6383625079104225,-0.16876392889999492
49,IRFC,2021-04-13,20.85,21.5,20.8,14831755,21.45,0.5999999999999979,21.6336191692088,22.006386676153365,22.258986112086784,22.850235480470253,23.038563909738,23.079785968510716,23.651310617076614,,,-0.8207998564239318,-0.6748499776131245,-0.14594987881080734
50,IRFC,2021-04-15,21.3,21.35,20.9,18166238,21.1,-0.1999999999999993,21.45574611261989,21.825107271077794,22.080644979530877,22.689881359699626,22.886884677236594,22.930181686501076,23.536309892050003,,,-0.8495367069701985,-0.7097873234845393,-0.13974938348565913
51,IRFC,2021-04-16,21.25,22.0,21.05,22174311,21.75,0.5,21.553830741814963,21.810085679649234,22.029767933237167,22.60383180006884,22.798048570834663,22.841133054864116,23.456260739944508,,,-0.8113651216269488,-0.7301028831130213,-0.08126223851392755
52,IRFC,2021-04-19,21.2,21.35,20.9,10477070,21.15,-0.05000000000000071,21.419220494480754,21.678067578996032,21.89439968599817,22.470813943388485,22.66942666171163,22.713707196036555,23.353486466221923,,,-0.8193075100383851,-0.747943808498094,-0.07136370154029104
53,IRFC,2021-04-20,21.15,21.65,21.1,12199610,21.25,0.10000000000000142,21.362813662969696,21.592453562696726,21.79524928996447,22.35918134735077,22.558771687293984,22.603558214633352,23.260247051170822,,,-0.8083089246688822,-0.7600168317322518,-0.04829209293663039
54,IRFC,2021-04-22,21.15,21.3,21.0,8974995,21.05,-0.09999999999999787,21.258542441958262,21.48396234276507,21.68058382715364,22.23953199390465,22.441273141656975,22.486785352555362,23.162773485721164,,,-0.8062015254017219,-0.7692537704661458,-0.036947754935576005
55,IRFC,2021-04-23,21.1,21.5,21.0,15602661,21.1,0.0,21.20569496129823,21.407169586896245,21.591255508853724,22.135437638556866,22.33691841455892,22.382661504578174,23.072245849762734,,,-0.7914059957244497,-0.7736842155178066,-0.017721780206643056
56,IRFC,2021-04-26,21.1,21.35,20.95,12051423,21.0,-0.10000000000000142,21.13712997419253,21.325735425771903,21.500286462394904,22.031762834773204,22.232993915833617,22.27895191059612,22.98172529881999,,,-0.7786654482012167,-0.7746804620544887,-0.003984986146728042
57,IRFC,2021-04-27,21.1,21.5,21.05,14181276,21.2,0.09999999999999787,21.15808664946297,21.30058828040207,21.454085682833313,21.95584634197177,22.15275988641683,22.198098176811737,22.904241459403426,,,-0.7440124939784241,-0.7685468684392759,0.024534374460851827
58,IRFC,2021-04-28,21.3,21.35,21.1,14514238,21.15,-0.15000000000000213,21.155391099641868,21.27047056662758,21.407300817550166,21.882321962282006,22.074932410816803,22.11962427830097,22.828277389382716,,,-0.712323460750806,-0.757302186901582,0.04497872615077603
59,IRFC,2021-04-29,21.3,21.3,21.1,9521946,21.15,-0.15000000000000213,21.153594066427864,21.246376416377885,21.36771432045922,21.815527868581267,22.003194893099064,22.047083859080463,22.755898639008244,,,-0.6793695386212413,-0.7417156572455139,0.06234611862427264
60,IRFC,2021-04-30,21.05,21.4,21.0,11713860,21.3,0.25,21.202396044286125,21.25710114625079,21.357296341681845,21.768521351339686,21.948689980993414,21.991233601928162,22.69335499074255,,,-0.6339372602463165,-0.7201599778456745,0.08622271759935807
61,IRFC,2021-05-03,21.15,21.25,20.95,17512189,21.05,-0.09999999999999787,21.1515973628568,21.215680876375746,21.31001847995378,21.703023449306205,21.87907305500948,21.92091722893789,22.62302170884637,,,-0.6108987489841091,-0.6983077320733615,0.08740898308925238
62,IRFC,2021-05-04,21.15,21.15,20.9,26418223,20.95,-0.1999999999999993,21.08439824190399,21.162544659407917,21.254629533060225,21.634397435976254,21.80714148125886,21.848429144181424,22.551674364050438,,,-0.5937996111211987,-0.677406107882929,0.08360649676173026
63,IRFC,2021-05-05,21.0,21.2,20.95,9381211,21.0,0.0,21.05626549460251,21.130035707120136,21.215454867979396,21.576595279954354,21.74468143116133,21.785122998579553,22.485728176282972,,,-0.5696681306001565,-0.6558585124263745,0.08619038182621797
64,IRFC,2021-05-06,21.1,21.15,21.0,7525053,21.1,0.0,21.070843663068395,21.124028562679513,21.197692238843732,21.533179900491547,21.69481622982124,21.734029731591214,22.427027496894368,,,-0.5363374927474815,-0.631954308490596,0.09561681574311442
65,IRFC,2021-05-07,21.1,21.15,21.0,8322642,21.1,0.0,21.08056244204562,21.119222848212992,21.182662418950652,21.49372676796903,21.648827600501964,21.686770449879443,22.370989680920818,,,-0.5041080309287906,-0.6063850529782349,0.10227702204944422
66,IRFC,2021-05-10,21.15,22.7,21.1,51346170,22.55,1.4000000000000021,21.570374961364525,21.405378370537235,21.39302494463956,21.58991371591319,21.71847502480671,21.751083984077635,22.37852623896871,,,-0.35805903943807493,-0.5567198502702029,0.19866081083212794
67,IRFC,2021-05-11,22.35,23.1,22.2,33120701,22.95,0.5999999999999979,22.030249974243507,21.71430277585737,21.632562360622043,21.713747654032296,21.8136193953034,21.840368968306635,22.402516771985127,,,-0.20780660768459214,-0.48693720175308075,0.2791305940684886
68,IRFC,2021-05-12,23.0,23.8,23.0,34159626,23.4,0.3999999999999986,22.486833316162656,22.051442290031474,21.904478525481114,21.867257137716788,21.936138019417584,21.95647078063023,22.444275790784562,,,-0.05199225514911632,-0.3999482124322879,0.3479559572831716
69,IRFC,2021-05-14,23.7,23.85,23.0,18230175,23.05,-0.6499999999999986,22.67455554410853,22.25115386488781,22.080714069260925,21.974915536224383,22.022136772612694,22.037845186663354,22.46956707150236,,,0.04286888259757049,-0.31138479342631625,0.35425367602388674
70,IRFC,2021-05-17,23.15,23.45,23.0,13816130,23.05,-0.09999999999999787,22.799703696072392,22.41092311294233,22.229836034720826,22.072763121465933,22.101473174215883,22.113138528600345,22.49374098954292,,,0.11669750612048091,-0.22576833351695685,0.34246583963743776
71,IRFC,2021-05-18,23.25,23.25,22.9,9997457,23.1,-0.14999999999999858,22.899802464048285,22.548738504867522,22.363708213906705,22.1662461193689,22.178524983446952,22.186527196771245,22.51892924655381,,,0.1771810171354602,-0.14517846338647344,0.32235948052193364
