,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,ISEC,2021-01-04,469.0,472.65,464.0,579045,465.8,-3.1999999999999886,,,,,,,,,,,,
1,ISEC,2021-01-05,456.0,463.1,456.0,696116,459.05,3.0500000000000114,,,,,,,,,,,,
2,ISEC,2021-01-06,459.95,468.4,450.5,436116,453.45,-6.5,,,,,,,,,,,,
3,ISEC,2021-01-07,456.5,461.0,448.5,977420,450.0,-6.5,,,,,,,,,,,,
4,ISEC,2021-01-08,453.5,459.35,449.5,471715,450.95,-2.5500000000000114,453.1808056872038,,,,,,,,,,,
5,ISEC,2021-01-11,451.4,458.35,451.0,482630,453.9,2.5,453.4436090225565,,,,,,,,,,,
6,ISEC,2021-01-12,454.5,456.95,443.05,736619,446.8,-7.699999999999989,451.09140359397776,,,,,,,,,,,
7,ISEC,2021-01-13,446.75,455.5,445.05,521780,446.6,-0.14999999999997726,449.5334813639969,,,,,,,,,,,
8,ISEC,2021-01-14,449.9,450.8,441.1,375171,444.15,-5.75,447.69106202076057,449.3580463352338,,,,,,,,,,
9,ISEC,2021-01-15,445.2,448.5,438.5,402686,442.75,-2.4499999999999886,446.01497544162004,447.8774603595781,,,,,,,,,,
10,ISEC,2021-01-18,442.75,447.5,424.0,821874,426.95,-15.800000000000011,439.58565411567173,443.2986516110731,,,,,,,,,,
11,ISEC,2021-01-19,429.85,436.65,425.8,778250,434.45,4.599999999999966,437.86047284036067,441.39833234313437,442.85113663722393,,,,,,,,,
12,ISEC,2021-01-20,436.4,452.95,435.05,1080812,447.45,11.050000000000011,441.0734911239992,442.67907547266304,443.64967402544346,,,,,,,,,
13,ISEC,2021-01-21,451.0,456.85,436.0,599668,439.35,-11.649999999999977,440.4970193859965,441.9826303999063,442.9175768197974,,,,,,,,,
14,ISEC,2021-01-22,438.9,450.0,428.0,1266219,437.75,-1.1499999999999773,439.5792503865742,441.1052336667978,442.05191923665336,,,,,,,,,
15,ISEC,2021-01-25,443.8,449.7,435.8,1151767,445.75,1.9499999999999886,441.63930322884306,442.06109195230334,442.6630562405172,,,,,,,,,
16,ISEC,2021-01-27,448.0,448.0,406.0,3170792,413.75,-34.25,432.3334237309679,436.2684345124036,437.9388570195171,,,,,,,,,
17,ISEC,2021-01-28,401.45,424.0,401.45,1160167,406.75,5.300000000000011,423.7998416620724,430.25644523932283,432.8909997865987,,,,,,,,,
18,ISEC,2021-01-29,411.95,416.55,405.4,356523,407.5,-4.449999999999989,418.3641090871897,425.6386061160833,428.8141375575938,,,,,,,,,
19,ISEC,2021-02-01,412.0,414.0,396.0,1077244,405.05,-6.949999999999989,413.924737678579,421.4728570763597,425.0239488443551,,,,,,,,,
20,ISEC,2021-02-02,412.0,429.5,403.1,1048071,428.05,16.05000000000001,418.63410261305626,422.8005312943439,425.50387011424925,430.2887187829066,,,,,,,,
21,ISEC,2021-02-03,429.8,436.3,426.0,680184,426.8,-3.0,421.35643226761465,423.606371083618,425.7084599584046,429.9271445970323,,,,,,,,
22,ISEC,2021-02-04,427.8,430.8,412.0,518005,415.45,-12.350000000000023,419.38744606564484,421.96541034440116,424.0956479097351,428.4455824066805,,,,,,,,
23,ISEC,2021-02-05,417.95,421.95,411.05,903512,413.7,-4.25,417.491518086256,420.3044847762875,422.4667594421992,426.9536005666585,,,,,,,,
