,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,JKCEMENT,2021-01-04,1934.0,2003.8,1928.0,147291,1962.35,28.34999999999991,,,,,,,,,,,,
1,JKCEMENT,2021-01-05,1968.35,2116.75,1950.0,195124,2095.6,127.25,,,,,,,,,,,,
2,JKCEMENT,2021-01-06,2100.0,2210.0,2050.0,183987,2186.75,86.75,,,,,,,,,,,,
3,JKCEMENT,2021-01-07,2177.0,2385.4,2177.0,474092,2297.3,120.30000000000018,,,,,,,,,,,,
4,JKCEMENT,2021-01-08,2309.75,2358.95,2205.0,177116,2252.3,-57.44999999999982,2212.8222748815165,,,,,,,,,,,
5,JKCEMENT,2021-01-11,2252.3,2260.0,2201.05,137981,2226.25,-26.050000000000182,2217.7289473684214,,,,,,,,,,,
6,JKCEMENT,2021-01-12,2226.25,2260.0,2170.0,146657,2196.25,-30.0,2210.1242107819335,,,,,,,,,,,
7,JKCEMENT,2021-01-13,2224.95,2292.9,2210.0,106267,2240.3,15.350000000000364,2220.5912133227603,,,,,,,,,,,
8,JKCEMENT,2021-01-14,2254.7,2268.0,2175.3,31570,2205.1,-49.59999999999991,2215.2895675760265,2208.4193489459667,,,,,,,,,,
9,JKCEMENT,2021-01-15,2210.0,2231.35,2178.35,39567,2198.05,-11.949999999999818,2209.441632916846,2206.0960128421902,,,,,,,,,,
10,JKCEMENT,2021-01-18,2196.0,2197.0,2125.55,43514,2155.1,-40.90000000000009,2191.1158910102286,2194.9383766202764,,,,,,,,,,
11,JKCEMENT,2021-01-19,2171.7,2175.15,2106.95,56746,2164.1,-7.599999999999909,2182.0406479629087,2188.3155866338193,2188.951047844497,,,,,,,,,
12,JKCEMENT,2021-01-20,2173.85,2173.85,2120.45,36419,2136.6,-37.25,2166.8155351607147,2177.37077174537,2179.8609171494495,,,,,,,,,
13,JKCEMENT,2021-01-21,2149.3,2219.95,2145.05,82925,2171.15,21.84999999999991,2168.265323003786,2176.069381654823,2178.3777260828733,,,,,,,,,
14,JKCEMENT,2021-01-22,2189.85,2210.0,2083.25,266436,2100.05,-89.79999999999973,2145.4748363193457,2160.3110586228036,2165.2564910401165,,,,,,,,,
15,JKCEMENT,2021-01-25,2124.4,2180.0,2110.0,50487,2122.2,-2.200000000000273,2137.7047280315796,2152.4680868690707,2158.14106641447,,,,,,,,,
16,JKCEMENT,2021-01-27,2145.0,2203.0,2112.4,94853,2138.0,-7.0,2137.803252018883,2149.5078099859174,2154.8501514218165,,,,,,,,,
17,JKCEMENT,2021-01-28,2120.0,2139.9,2081.2,24212,2108.8,-11.199999999999818,2128.1289553347997,2141.2168920897434,2147.39702193438,,,,,,,,,
18,JKCEMENT,2021-01-29,2130.0,2150.0,2041.35,60745,2130.9,0.900000000000091,2129.0530537441805,2139.123342441667,2144.748205968857,,,,,,,,,
19,JKCEMENT,2021-02-01,2145.0,2198.0,2090.1,234566,2164.6,19.59999999999991,2140.905600229874,2144.2781043114414,2147.914407371791,,,,,,,,,
20,JKCEMENT,2021-02-02,2181.0,2321.7,2180.05,386079,2268.45,87.44999999999982,2183.4289254749906,2169.3436725099627,2167.0309363748306,2166.407469440262,,,,,,,,
21,JKCEMENT,2021-02-03,2283.6,2312.75,2226.0,105683,2247.4,-36.19999999999982,2204.7554674288294,2185.070985092038,2179.716929023216,2174.8016135720636,,,,,,,,
22,JKCEMENT,2021-02-04,2265.35,2319.05,2234.0,218156,2276.05,10.700000000000273,2228.5224293693273,2203.3748349323723,2194.862198214368,2185.1631721073363,,,,,,,,
23,JKCEMENT,2021-02-05,2297.5,2299.0,2225.0,131481,2238.1,-59.40000000000009,2231.7151425702405,2210.352820551303,2201.6371060702086,2190.519405839307,,,,,,,,
24,JKCEMENT,2021-02-08,2290.0,2365.0,2255.0,386144,2308.05,18.050000000000182,2257.1611027610006,2229.9663542764615,2218.2636108020606,2202.290423095699,2198.977875046844,,,,,,,
25,JKCEMENT,2021-02-09,2324.9,2345.0,2250.55,91190,2266.7,-58.20000000000027,2260.3408191230237,2237.335354858841,2225.8134520237045,2208.682138995188,2204.930050584932,2204.17710004656,,,,21.636351977144386,21.636351977144386,0.0
26,JKCEMENT,2021-02-10,2303.0,2428.0,2299.95,413421,2385.6,82.59999999999991,2302.094614321635,2267.0601540415023,2250.669247541427,2226.093694003302,2220.6370647627946,2219.5389322772985,,,,31.130315264128512,23.53514463454121,7.595170629587301
27,JKCEMENT,2021-02-11,2386.0,2449.0,2383.85,152293,2419.65,33.65000000000009,2341.280202683368,2297.637267973236,2276.9103842363884,2245.000804169358,2237.7672237483966,2236.305442967903,,,,40.60494126848516,26.949103961330003,13.65583730715516
28,JKCEMENT,2021-02-12,2402.0,2902.8,2402.0,519636,2707.15,305.1500000000001,2463.2377558192593,2379.6667488520657,2343.6262155573095,2289.8410713528024,2277.8032001855527,2275.376183181501,,,,68.25003237580859,35.20928964422572,33.04074273158287
29,JKCEMENT,2021-02-15,2720.0,2915.0,2640.25,578512,2773.6,53.59999999999991,2566.6923767385206,2458.5510531203777,2410.2195460078724,2336.49269270407,2319.741061124993,2316.3539080892765,,,,93.8656379185959,46.94055929909976,46.925078619496134
30,JKCEMENT,2021-02-16,2770.0,2819.95,2680.5,167055,2695.55,-74.44999999999982,2609.645067160589,2505.997831509665,2454.3653206464346,2370.9283168220877,2351.2877688007034,2347.289035697265,,,,107.0762849491698,58.96770442911377,48.10858052005603
31,JKCEMENT,2021-02-17,2700.0,2784.3,2700.0,95352,2751.0,51.0,2656.7634873190773,2555.037118133434,2500.2200820131766,2407.198114146691,2384.6070870351687,2379.978713601773,,,,120.24136841140353,71.22243722557172,49.0189311858318
32,JKCEMENT,2021-02-18,2769.0,2769.0,2661.0,62234,2687.2,-81.80000000000018,2666.9090072230442,2581.4864587680127,2529.102760676272,2433.798142180216,2409.669426492041,2404.6848897426507,,,,124.41787093362109,81.8615239671816,42.55634696643949
