,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,KANSAINER,2021-01-04,639.8,642.25,616.25,458436,620.75,-19.049999999999955,,,,,,,,,,,,
1,KANSAINER,2021-01-05,623.65,635.0,618.1,254131,625.45,1.8000000000000682,,,,,,,,,,,,
2,KANSAINER,2021-01-06,625.1,632.0,609.0,254479,612.75,-12.350000000000023,,,,,,,,,,,,
3,KANSAINER,2021-01-07,619.7,620.0,596.75,277067,599.7,-20.0,,,,,,,,,,,,
4,KANSAINER,2021-01-08,606.9,623.5,595.65,424761,619.45,12.550000000000068,614.0334123222749,,,,,,,,,,,
5,KANSAINER,2021-01-11,620.0,624.45,603.0,230404,605.2,-14.799999999999955,610.8055639097745,,,,,,,,,,,
6,KANSAINER,2021-01-12,605.15,615.0,597.0,234335,600.3,-4.850000000000023,607.0860126274891,,,,,,,,,,,
7,KANSAINER,2021-01-13,607.5,634.9,600.1,861849,628.65,21.149999999999977,614.5658604282316,,,,,,,,,,,
8,KANSAINER,2021-01-14,630.0,672.65,618.0,690736,656.15,26.149999999999977,628.7974362318087,623.5518049877558,,,,,,,,,,
9,KANSAINER,2021-01-15,655.0,655.85,630.45,381646,633.95,-21.049999999999955,630.5452675570876,625.8816042848906,,,,,,,,,,
10,KANSAINER,2021-01-18,634.0,654.95,602.35,547508,644.6,10.600000000000023,635.2849742145872,629.97708231164,,,,,,,,,,
11,KANSAINER,2021-01-19,647.0,657.95,634.0,328755,651.45,4.4500000000000455,640.715168532934,634.5885644917032,632.2037030655691,,,,,,,,,
12,KANSAINER,2021-01-20,651.45,665.0,627.05,334142,650.0,-1.4500000000000455,643.8260970247729,637.8501596853905,635.2938162855066,,,,,,,,,
13,KANSAINER,2021-01-21,657.25,680.0,652.5,647468,669.05,11.799999999999955,652.2629650682827,644.377189557899,641.041416597627,,,,,,,,,
14,KANSAINER,2021-01-22,671.65,673.4,646.6,141228,651.5,-20.149999999999977,652.0080612656807,645.853701802528,642.7934083622241,,,,,,,,,
15,KANSAINER,2021-01-25,654.8,660.95,605.0,705505,612.6,-42.19999999999993,638.8520115627339,639.0103378717176,637.8037095687808,,,,,,,,,
16,KANSAINER,2021-01-27,610.0,611.85,567.0,1385348,574.75,-35.25,617.4629653653633,625.8622005660214,627.5011568691264,,,,,,,,,
17,KANSAINER,2021-01-28,569.1,594.75,557.0,755095,588.25,19.149999999999977,607.7187169003164,618.2017622644962,621.1484317282773,,,,,,,,,
18,KANSAINER,2021-01-29,594.45,594.9,541.3,1063136,548.7,-45.75,588.0369329521131,604.0981554162488,609.5158738398108,,,,,,,,,
19,KANSAINER,2021-02-01,561.0,594.5,538.7,883468,581.3,20.299999999999955,585.790613101984,599.4853422176652,605.0156690121526,,,,,,,,,
20,KANSAINER,2021-02-02,596.7,616.1,573.95,588608,577.1,-19.600000000000023,582.8931611700986,594.9665956938023,600.5883402483067,608.3483700857744,,,,,,,,
21,KANSAINER,2021-02-03,584.0,590.9,569.3,486710,579.15,-4.850000000000023,581.6452739909817,591.7797618718746,597.2043686737215,605.322222795156,,,,,,,,
22,KANSAINER,2021-02-04,582.0,592.0,578.25,273529,584.35,2.3500000000000227,582.5469296691593,590.284985897549,595.1834336835691,603.1759672174293,,,,,,,,
23,KANSAINER,2021-02-05,588.9,592.4,575.0,213833,585.35,-3.5499999999999545,583.4813419531786,589.2933056404313,593.6426382600877,601.3723070678524,,,,,,,,
24,KANSAINER,2021-02-08,586.0,590.0,578.65,170290,587.6,1.6000000000000227,584.8542823401467,588.9533602349138,592.6985049890716,599.9929720503303,601.8397547387669,,,,,,,
