,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,L&TFH,2021-01-04,97.9,98.35,95.8,11890597,97.25,-0.6500000000000057,,,,,,,,,,,,
1,L&TFH,2021-01-05,97.0,102.65,96.25,27205954,102.1,5.099999999999994,,,,,,,,,,,,
2,L&TFH,2021-01-06,102.45,106.35,100.55,28864010,102.75,0.29999999999999716,,,,,,,,,,,,
3,L&TFH,2021-01-07,104.0,106.15,102.15,18328107,104.2,0.20000000000000284,,,,,,,,,,,,
4,L&TFH,2021-01-08,105.25,105.5,102.55,9883133,103.15,-2.0999999999999943,102.78364928909953,,,,,,,,,,,
5,L&TFH,2021-01-11,103.15,103.6,100.0,10605319,100.95,-2.200000000000003,102.1136090225564,,,,,,,,,,,
6,L&TFH,2021-01-12,100.0,104.8,99.3,13989977,103.65,3.6500000000000057,102.65757649344343,,,,,,,,,,,
7,L&TFH,2021-01-13,105.0,107.2,101.65,24233282,103.8,-1.2000000000000028,103.05384615384617,,,,,,,,,,,
8,L&TFH,2021-01-14,104.4,107.4,104.0,18345857,107.1,2.6999999999999886,104.43858432006677,103.77203853857611,,,,,,,,,,
9,L&TFH,2021-01-15,107.5,108.6,103.7,19380763,105.25,-2.25,104.71382938388625,104.10318770148017,,,,,,,,,,
10,L&TFH,2021-01-18,102.4,103.65,98.0,33656386,99.55,-2.8500000000000085,102.97242045928303,103.10697624901977,,,,,,,,,,
11,L&TFH,2021-01-19,100.5,108.8,100.2,55414378,107.1,6.599999999999994,104.3589669002266,103.96451028978018,103.78885638476582,,,,,,,,,
12,L&TFH,2021-01-20,107.95,108.1,102.0,39805063,103.85,-4.1000000000000085,104.18843503468503,103.94027593402704,103.79947323918482,,,,,,,,,
13,L&TFH,2021-01-21,97.0,100.4,95.0,37685144,95.75,-1.25,101.36595498664138,102.22686409773473,102.42890495180824,,,,,,,,,
14,L&TFH,2021-01-22,96.65,97.9,91.4,28952887,92.25,-4.400000000000006,98.32034819932944,100.15872510638471,100.72376411560873,,,,,,,,,
15,L&TFH,2021-01-25,92.2,95.7,89.3,29105048,89.7,-2.5,95.44251747828731,98.00639744733736,98.90200017803106,,,,,,,,,
16,L&TFH,2021-01-27,89.95,90.7,87.05,19646619,87.6,-2.3500000000000085,92.82568901132713,95.87717206467006,97.05532924872351,,,,,,,,,
17,L&TFH,2021-01-28,86.0,88.35,85.1,20391335,85.75,-0.25,90.46552903011816,93.81458132010142,95.22558319605535,,,,,,,,,
18,L&TFH,2021-01-29,87.4,88.3,85.25,17417483,86.0,-1.4000000000000057,88.97634759410589,92.22881170748441,93.74429329063024,,,,,,,,,
19,L&TFH,2021-02-01,86.95,92.5,84.5,22210903,91.6,4.6499999999999915,89.8511614776774,92.10158251324701,93.4022957656486,,,,,,,,,
20,L&TFH,2021-02-02,93.3,95.9,92.05,24106922,93.8,0.5,91.16770493335095,92.44442820395423,93.4653702846752,95.31592131014037,,,,,,,,
21,L&TFH,2021-02-03,94.0,94.95,92.25,14315063,92.6,-1.4000000000000057,91.64520044293828,92.4757738532314,93.32877442833026,95.0344406011121,,,,,,,,
22,L&TFH,2021-02-04,92.4,94.6,91.7,13433006,93.35,0.9499999999999886,92.21351760173887,92.65165731529278,93.33211146506557,94.86205829949354,,,,,,,,
23,L&TFH,2021-02-05,94.0,94.55,89.9,16360084,90.5,-3.5,91.64231113633853,92.21928402711004,92.88834944616328,94.42069819661873,,,,,,,,
24,L&TFH,2021-02-08,90.8,91.85,90.0,8943057,90.5,-0.29999999999999716,91.26152567764454,91.8741232411064,92.51518129048704,94.02802932210929,94.46559811846917,,,,,,,
25,L&TFH,2021-02-09,90.7,90.7,88.05,12375514,88.55,-2.1500000000000057,90.3576599217581,91.20728319250436,91.89712346962283,93.48441440024736,93.94566938855607,94.04388500175939,,,,-2.1467615321365656,-2.1467615321365656,0.0
26,L&TFH,2021-02-10,88.95,91.45,88.75,15050963,90.7,1.75,90.47177528971046,91.10558065235006,91.7109034370402,93.21038336561953,93.66349863870113,93.76074433754836,,,,-2.0498409005081584,-2.1273774058108845,0.07753650530272616
27,L&TFH,2021-02-11,90.7,94.5,90.55,23201309,93.95,3.25,91.63119713108763,91.67556703588946,92.05861427467688,93.28263114444994,93.6881594169706,93.77660131699415,,,,-1.7179870423172616,-2.04549933311216,0.3275122907948984
28,L&TFH,2021-02-12,93.9,95.25,93.1,15762516,94.25,0.3499999999999943,92.50413824943143,92.19125161194198,92.39842519643555,93.37649061307856,93.73608157662726,93.81588399890039,,,,-1.4174588024648358,-1.9198912269826953,0.5024324245178595
29,L&TFH,2021-02-15,95.15,101.85,95.0,40065115,98.4,3.25,94.46943574883423,93.43454040653282,93.32793501442494,93.86093615794644,94.13058747570831,94.19291664587004,,,,-0.8649816314451044,-1.7089093078751771,0.8439276764300727
30,L&TFH,2021-02-16,98.8,101.0,97.35,23011432,98.6,-0.20000000000000284,95.84629528619173,94.46865646416467,94.14361868743194,94.31543915181462,94.50576548719485,94.55245011377073,,,,-0.4088314263387929,-1.4488937315679002,1.0400623052291074
31,L&TFH,2021-02-17,98.65,99.2,97.15,12102312,97.85,-0.8000000000000114,96.51419840554038,95.14546139143941,94.71656326354262,94.65273817005048,94.78453507512693,94.81946253896224,,,,-0.10289927541961674,-1.1796948403382437,1.076795564918627
32,L&TFH,2021-02-18,98.75,102.65,98.0,21795448,101.95,3.200000000000003,98.32613507018898,96.50723223796702,95.83390800910858,95.3459741054196,95.37801663605944,95.39288737080534,,,,0.4410206383032431,-0.8555517446099463,1.2965723829131894
33,L&TFH,2021-02-19,101.95,105.2,98.8,33641916,99.85,-2.1000000000000085,98.83409057005908,97.17612495927747,96.45388498405035,95.77211107687718,95.74623655702533,95.74906064791327,,,,0.7048243361370794,-0.5434765284605413,1.2483008645976206
34,L&TFH,2021-02-22,100.0,100.85,95.0,19777212,95.85,-4.150000000000006,97.83939303025275,96.91079233572293,96.36071043356125,95.77945314912328,95.7547343391485,95.75708002377593,,,,0.6036304097853247,-0.3140551408113681,0.9176855505966928
35,L&TFH,2021-02-23,96.3,99.4,96.3,16654985,98.75,2.450000000000003,98.14292882580631,97.27875327873137,96.72919417312515,96.05853079711021,95.9988200326588,95.99358907924722,,,,0.7356050938779362,-0.10412309387350724,0.8397281877514434
36,L&TFH,2021-02-24,98.75,103.5,97.5,18573429,103.05,4.299999999999997,99.77861971646176,98.43330236106377,97.70364134256391,96.71337684790966,96.57081167982679,96.54846082143946,,,,1.15518052112445,0.14773762912608418,1.0074428919983658
37,L&TFH,2021-02-25,103.85,106.95,103.3,28858499,106.25,2.4000000000000057,101.93574691658395,99.99696664921787,99.02077092242243,97.60415748742643,97.35270579632139,97.30786619252986,,,,1.7129047298925713,0.4607710492793816,1.2521336806131895
38,L&TFH,2021-02-26,102.7,106.1,102.15,33170431,104.9,2.200000000000003,102.92383141176282,100.97773627768025,99.92660915401402,98.28393755867732,97.96004043571232,97.89966690480775,,,,2.0269422492062716,0.7740052892647596,1.252936959941512
39,L&TFH,2021-03-01,105.1,108.4,104.05,21914799,107.2,2.1000000000000085,104.34922107008421,102.22235446027743,101.04699627805715,99.11280239879697,98.70095637346698,98.62182193755966,,,,2.4251743404974917,1.104239099511306,1.3209352409861856
40,L&TFH,2021-03-02,107.9,109.4,106.5,15436767,107.0,-0.9000000000000057,105.23281409999625,103.17798518831134,101.96381509381396,99.84451781671241,99.36425962457528,99.27005626736856,,,,2.6937588264454035,1.4221430448981256,1.271615781547278
41,L&TFH,2021-03-03,107.5,113.4,107.05,26327611,112.3,4.799999999999997,107.58854282801828,105.00254336689297,103.55542532293717,100.99789536566959,100.39505743881563,100.27489223790782,,,,3.2805330850293473,1.79382105292437,1.4867120321049772
42,L&TFH,2021-03-04,109.8,111.35,109.0,13265491,109.65,-0.14999999999999147,108.27569523709202,105.9320979557215,104.49376452623095,101.79772774715471,101.13051504679144,100.995682962505,,,,3.498081563725947,2.134673155084686,1.363408408641261
43,L&TFH,2021-03-05,109.9,109.95,105.2,13563045,106.8,-3.1000000000000085,107.78379681594063,106.10568781570814,104.84879803894206,102.25944764665586,101.57990602066735,101.44068874742428,,,,3.408109291517789,2.3893603823713065,1.0187489091464825
44,L&TFH,2021-03-08,107.8,111.0,105.4,20304654,108.8,1.0,108.12253121466124,106.64457372435821,105.45700584021067,102.86231416877915,102.15086873847702,102.00345312915915,,,,3.4535527110515147,2.6021988481073484,0.8513538629441664
45,L&TFH,2021-03-09,109.75,110.45,102.8,16996487,105.55,-4.200000000000003,107.26502080296584,106.42565135115521,105.47131921683578,103.10973508066158,102.419092497152,102.27400838107056,,,,3.1973108357652222,2.7212212456389233,0.4760895901262989
46,L&TFH,2021-03-10,106.6,106.95,104.8,8437286,106.0,-0.5999999999999943,106.84334719974525,106.34051870777243,105.5526863860892,103.37549972749201,102.70109994173953,102.55762531618127,,,,2.9950610699079334,2.7759892104927255,0.2190718594152079
47,L&TFH,2021-03-12,107.0,108.35,104.5,9820870,105.3,-1.7000000000000028,106.32889813134814,106.13241032524593,105.51379875246273,103.55227641405612,102.90539742717156,102.76594489820582,,,,2.747853854256917,2.770362139245564,-0.022508284988647098
48,L&TFH,2021-03-15,105.8,105.8,99.8,14661291,102.75,-3.049999999999997,105.13593208475898,105.45591619113812,105.0884804408333,103.47865230679,102.89320232048375,102.76473595642098,,,,2.323744484412316,2.6810386082789144,-0.3572941238665983
49,L&TFH,2021-03-16,104.0,106.2,103.05,14687728,105.7,1.7000000000000028,105.32395472346754,105.50473364965654,105.18258255835023,103.68232802825038,103.11312934590191,102.98689972714429,101.26837409377669,,,2.195682831205943,2.58396745286432,-0.3882846216583773
50,L&TFH,2021-03-17,105.8,105.95,101.25,8522283,101.7,-4.099999999999994,104.11596981438203,104.74377823115033,104.64669372310152,103.50070991366181,103.00256173782105,102.88965400828376,101.28782969899531,,,1.7570397148177648,2.4185819052550093,-0.6615421904372445
51,L&TFH,2021-03-18,103.5,104.0,98.0,10981208,98.9,-4.599999999999994,102.37731320837611,103.57501190895843,103.76243773651184,103.07949817456942,102.6819877883617,102.58862135017172,101.18082489337476,,,1.1738163863401212,2.1696288014720317,-0.9958124151319105
52,L&TFH,2021-03-19,98.25,102.35,95.0,14776526,101.6,3.3499999999999943,102.11820880546367,103.1800066406625,103.42970748448052,102.94413198149647,102.59754407872246,102.51412932588151,101.19950466205826,,,0.9155781585990042,1.9188186728974264,-1.0032405142984222
53,L&TFH,2021-03-22,101.6,102.5,98.5,9606705,99.35,-2.25,101.19547253668992,102.41400083445505,102.8019843158056,102.61548052255016,102.34437361444648,102.27601775328174,101.11752327753605,,,0.5259665625238625,1.6402482508227139,-1.1142816882988513
54,L&TFH,2021-03-23,99.8,101.65,99.1,9212303,100.6,0.7999999999999972,100.99698169108562,102.05119897081036,102.46318285155184,102.43128072326768,102.20852710799947,102.15004024687047,101.09470010985535,,,0.3131426046813601,1.3748271215944432,-1.061684516913083
55,L&TFH,2021-03-24,99.8,100.4,96.3,11374936,96.65,-3.1499999999999915,99.54798779385759,100.97095513497626,101.5687696353848,101.90317032953399,101.7760584620488,101.73708134628914,100.89963836590982,,,-0.16831171090434793,1.066199355094685,-1.234511065999033
56,L&TFH,2021-03-25,96.9,97.4,91.5,15059728,93.85,-3.0500000000000114,97.64865852906404,99.54675984514326,100.38117966277285,101.16784958148126,101.15993137189452,101.14549331015834,100.5916936551496,,,-0.7643136473854923,0.7000967545986497,-1.464410401984142
57,L&TFH,2021-03-26,95.3,96.9,94.65,9257248,94.9,-0.3999999999999915,96.73243901931997,98.61740565075341,99.5378690076151,100.5957716552504,100.67371406689294,100.67747295772882,100.34417273962129,,,-1.1396039501137238,0.332156613656175,-1.471760563769899
58,L&TFH,2021-03-30,95.7,96.9,93.75,8646654,95.65,-0.04999999999999716,96.37162601286528,98.02392338371658,98.93970395734043,100.14452583566926,100.28380718164675,100.30105268396159,100.14090057046211,,,-1.3613487266211592,-0.006544454399291855,-1.3548042722218674
59,L&TFH,2021-03-31,95.65,97.2,95.0,6647366,95.85,0.19999999999998863,96.1977506752388,97.58913804066665,98.46434380153649,99.75282795435203,99.93992224742811,99.96805645553286,99.95584771612711,,,-1.5037126539963737,-0.30597809431870826,-1.1977345596776654
60,L&TFH,2021-04-01,96.45,100.0,96.0,10369618,99.5,3.049999999999997,97.29850045017916,97.9713109010759,98.6236815047443,99.72977476495198,99.90582370139954,99.93306564013031,99.93626504844937,,,-1.3093841353860114,-0.5066593025321688,-0.8027248328538426
61,L&TFH,2021-04-05,99.4,99.4,94.0,11080990,95.3,-4.1000000000000085,96.63233363344473,97.43704819685738,98.11232964891217,99.32597193704125,99.54903404701733,99.58694500549461,99.73783942621019,,,-1.4746153565824471,-0.7002505133422245,-0.7743648432402226
62,L&TFH,2021-04-06,96.0,97.8,95.0,7321163,96.0,0.0,96.42155575562812,97.14963833197328,97.78734712368097,99.02286292403942,99.27425737265355,99.31914589159949,99.57843628342756,,,-1.5317987679185165,-0.866560164257483,-0.6652386036610336
63,L&TFH,2021-04-07,96.0,99.5,95.7,11553594,98.3,2.299999999999997,97.04770383708876,97.37971080999746,97.86621859036103,98.95700036982926,99.19886518216803,99.24310159415212,99.52410271889308,,,-1.376883003791093,-0.968624732164205,-0.4082582716268881
64,L&TFH,2021-04-08,98.3,100.5,97.5,12560236,98.85,0.5499999999999972,97.64846922472799,97.67376879566453,98.01757248851885,98.94725318630859,99.17188095133945,99.21378591690117,99.4955471275051,,,-1.1962134283823218,-1.0141424714078284,-0.18207095697449338
65,L&TFH,2021-04-09,98.0,99.6,97.45,6590195,98.05,0.04999999999999716,97.78231281648564,97.74901506676066,98.02256141765909,98.86553321540156,99.08514194755165,99.12703969072501,99.434504455743,,,-1.1044782730659222,-1.0322096317394471,-0.07226864132647504
66,L&TFH,2021-04-12,95.0,95.1,86.0,28915144,88.6,-6.400000000000006,94.72154187765223,95.91921146533234,96.57291661468628,97.93072744823245,98.27479408234474,98.34273946946797,98.9783582839978,,,-1.7698228547816939,-1.1797322763478966,-0.5900905784337973
67,L&TFH,2021-04-13,89.5,95.05,89.2,21764124,94.75,5.25,94.73102791843483,95.68536911214264,96.29246463574793,97.64112669965743,98.0024777908765,98.07518304131936,98.80085132578782,,,-1.7827184055714298,-1.3003295021926033,-0.48238890337882645
68,L&TFH,2021-04-15,93.15,95.35,91.55,11197716,93.55,0.3999999999999915,94.33735194562294,95.25829520187011,95.87054283811287,97.26868733798416,97.65860605466003,97.73832006442491,98.58102768056924,,,-1.8677772263120431,-1.4138190470164913,-0.4539581792955518
69,L&TFH,2021-04-16,94.0,95.3,92.7,9280650,93.2,-0.7999999999999972,93.95823463041512,94.8466360937574,95.45968666498023,96.89833772370714,97.31436720965661,97.40060334585053,98.35634938713298,,,-1.940916680870302,-1.5192385737872534,-0.42167810708304865
