,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,LTI,2021-01-04,3729.6,3909.9,3709.45,373949,3845.35,115.75,,,,,,,,,,,,
1,LTI,2021-01-05,3845.0,4198.9,3803.0,840857,4129.35,284.35000000000036,,,,,,,,,,,,
2,LTI,2021-01-06,4147.0,4159.0,3935.0,597076,3956.9,-190.0999999999999,,,,,,,,,,,,
3,LTI,2021-01-07,3998.05,4029.0,3870.0,363617,3882.9,-115.15000000000009,,,,,,,,,,,,
4,LTI,2021-01-08,3920.85,4114.0,3920.0,582258,4092.2,171.3499999999999,4001.057819905213,,,,,,,,,,,
5,LTI,2021-01-11,4150.0,4280.0,4065.0,426541,4245.15,95.14999999999964,4090.2524060150376,,,,,,,,,,,
6,LTI,2021-01-12,4225.25,4444.0,4170.0,559357,4285.15,59.899999999999636,4159.25694511899,,,,,,,,,,,
7,LTI,2021-01-13,4300.0,4435.0,4271.0,376243,4402.45,102.44999999999982,4243.612727993656,,,,,,,,,,,
8,LTI,2021-01-14,4420.0,4480.0,4338.0,322695,4390.7,-29.300000000000182,4293.951238850347,4233.303202164897,,,,,,,,,,
9,LTI,2021-01-15,4430.0,4483.0,4200.0,219119,4287.85,-142.14999999999964,4291.881601895735,4245.524851317229,,,,,,,,,,
10,LTI,2021-01-18,4289.95,4292.0,3968.6,194306,4008.85,-281.0999999999999,4196.4342660437815,4193.74174619399,,,,,,,,,,
11,LTI,2021-01-19,4087.0,4169.8,4051.7,432450,4091.35,4.349999999999909,4161.134106799155,4171.752293255551,4168.834020872177,,,,,,,,,
12,LTI,2021-01-20,4107.0,4240.1,4062.0,233400,4090.95,-16.050000000000182,4137.618576302966,4154.6517206853105,4155.310396075078,,,,,,,,,
13,LTI,2021-01-21,4170.0,4179.95,3960.0,193223,3979.35,-190.6500000000001,4084.681047364099,4117.978469922568,4125.349958723633,,,,,,,,,
14,LTI,2021-01-22,3970.0,4028.8,3910.0,147463,3929.45,-40.55000000000018,4032.818929555658,4078.8977451771093,4092.533361947167,,,,,,,,,
15,LTI,2021-01-25,3954.0,3995.9,3870.0,173743,3893.85,-60.15000000000009,3986.42532160642,4040.8162987161154,4059.6993698555234,,,,,,,,,
16,LTI,2021-01-27,3913.7,4115.0,3850.0,349263,4025.8,112.10000000000036,3999.5635491695703,4037.743853660863,4054.1604404759496,,,,,,,,,
17,LTI,2021-01-28,3990.0,4049.95,3950.0,117674,3970.85,-19.15000000000009,3989.9858854876293,4024.119651114649,4040.6768040197953,,,,,,,,,
18,LTI,2021-01-29,4006.6,4048.55,3780.0,236889,3963.9,-42.69999999999982,3981.286666168235,4011.8996115618747,4028.3492684755975,,,,,,,,,
19,LTI,2021-02-01,3997.0,4010.0,3905.0,128714,3937.65,-59.34999999999991,3966.7367351975827,3996.87648438562,4013.8834650000003,,,,,,,,,
20,LTI,2021-02-02,3977.25,4100.0,3951.0,158015,4038.55,61.30000000000018,3990.679290273389,4005.2887772149443,4017.795492322805,4039.8424192864877,,,,,,,,
21,LTI,2021-02-03,4050.0,4347.0,4038.55,343177,4305.5,255.5,4095.6335547401686,4065.7773486506194,4063.208703634093,4067.3754276615027,,,,,,,,
22,LTI,2021-02-04,4317.0,4379.95,4252.15,146650,4303.7,-13.300000000000182,4164.995216949659,4113.644436333629,4101.018205445454,4091.5604144647386,,,,,,,,
23,LTI,2021-02-05,4301.0,4320.0,4118.6,142196,4124.65,-176.35000000000036,4151.5460123740895,4115.855992847259,4104.721058596246,4094.9084721643853,,,,,,,,
24,LTI,2021-02-08,4161.8,4165.4,4075.0,111277,4101.9,-59.900000000000546,4134.996686194192,4113.054209439361,4104.280281709468,4095.608693203761,4094.433159678026,,,,,,,
25,LTI,2021-02-09,4121.7,4169.85,4046.4,90282,4067.8,-53.899999999999636,4112.5971994179,4103.97593013587,4098.59405407797,4092.8490839183505,4092.0923406082297,4091.963483875469,,,,6.630570202501076,6.630570202501076,0.0
