,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,LTTS,2021-01-04,2429.0,2464.0,2415.75,158049,2451.65,22.65000000000009,,,,,,,,,,,,
1,LTTS,2021-01-05,2450.0,2550.0,2395.15,305277,2504.0,54.0,,,,,,,,,,,,
2,LTTS,2021-01-06,2528.0,2620.0,2415.0,335490,2492.35,-35.65000000000009,,,,,,,,,,,,
3,LTTS,2021-01-07,2530.0,2530.0,2380.0,255804,2393.55,-136.44999999999982,,,,,,,,,,,,
4,LTTS,2021-01-08,2409.0,2470.0,2407.95,162434,2456.4,47.40000000000009,2451.5028436018956,,,,,,,,,,,
5,LTTS,2021-01-11,2482.5,2544.0,2464.0,280362,2522.5,40.0,2477.446165413534,,,,,,,,,,,
6,LTTS,2021-01-12,2535.2,2610.0,2477.0,402780,2501.35,-33.84999999999991,2485.9094463331717,,,,,,,,,,,
7,LTTS,2021-01-13,2520.05,2625.0,2499.9,398522,2595.15,75.09999999999991,2523.8014512291834,,,,,,,,,,,
8,LTTS,2021-01-14,2624.0,2720.0,2620.0,497984,2686.5,62.5,2579.4826978248398,2549.2007254368914,,,,,,,,,,
9,LTTS,2021-01-15,2729.0,2748.95,2490.0,404561,2518.25,-210.75,2558.711595863852,2542.2659662518818,,,,,,,,,,
10,LTTS,2021-01-18,2532.0,2549.0,2340.0,281309,2375.85,-156.1500000000001,2497.044799513418,2505.855103726163,,,,,,,,,,
11,LTTS,2021-01-19,2410.0,2622.95,2305.0,969850,2576.85,166.8499999999999,2523.8531542917826,2521.1018300347964,2518.7244028455425,,,,,,,,,
12,LTTS,2021-01-20,2589.0,2684.0,2584.0,460981,2658.0,69.0,2568.7997153450756,2550.074239058129,2542.90793751949,,,,,,,,,
13,LTTS,2021-01-21,2664.0,2664.0,2500.0,665978,2523.5,-140.5,2553.6479079047162,2544.51488841971,2539.6033854205884,,,,,,,,,
14,LTTS,2021-01-22,2540.0,2541.5,2390.05,243959,2401.95,-138.05000000000018,2502.9661988997173,2514.9621149580357,2516.544086818919,,,,,,,,,
15,LTTS,2021-01-25,2439.9,2469.75,2301.0,165013,2348.6,-91.30000000000018,2451.4323421213257,2480.7260318982367,2488.7900023077204,,,,,,,,,
16,LTTS,2021-01-27,2359.0,2550.0,2356.35,705571,2471.7,112.69999999999982,2458.1950919962683,2478.8792394496736,2485.997610700365,,,,,,,,,
17,LTTS,2021-01-28,2454.0,2550.0,2380.05,290010,2421.1,-32.90000000000009,2445.821688997818,2467.1114010288306,2475.494055749058,,,,,,,,,
18,LTTS,2021-01-29,2450.0,2494.0,2396.15,287578,2433.9,-16.09999999999991,2441.845999259442,2460.371995757241,2468.8155776954304,,,,,,,,,
19,LTTS,2021-02-01,2455.0,2485.05,2410.0,159035,2476.2,21.199999999999818,2453.300777619773,2463.5745191871056,2469.9933336314384,,,,,,,,,
20,LTTS,2021-02-02,2550.0,2558.55,2487.4,227466,2549.6,-0.40000000000009095,2485.4069552450283,2480.939781625673,2482.618676182032,2487.0221070619054,,,,,,,,
21,LTTS,2021-02-03,2555.0,2630.9,2518.05,239517,2565.9,10.900000000000091,2512.24155680058,2498.0581364648106,2495.7643595338986,2495.197088107186,,,,,,,,
22,LTTS,2021-02-04,2580.2,2649.0,2560.05,217992,2618.9,38.70000000000027,2547.7975394086825,2522.370021208912,2515.123468539501,2507.8565981278557,,,,,,,,
23,LTTS,2021-02-05,2624.0,2760.0,2620.05,345565,2727.65,103.65000000000009,2607.751921087438,2563.6208183489352,2548.4241361984373,2530.0956494657894,,,,,,,,
24,LTTS,2021-02-08,2738.6,2738.6,2660.3,193514,2700.55,-38.04999999999973,2638.685839107274,2591.1105077895795,2572.1930734101497,2547.1671287337495,2542.052172528971,,,,,,,
25,LTTS,2021-02-09,2702.45,2720.0,2652.0,104489,2668.7,-33.75,2648.690823550633,2606.675448378059,2587.2357300698905,2559.227502717221,2553.183395909018,2551.9739629645715,,,,35.261767105318995,35.261767105318995,0.0
26,LTTS,2021-02-10,2680.0,2689.0,2565.0,168571,2622.15,-57.84999999999991,2639.8437266498163,2609.777859873166,2592.6668628218295,2565.4200856280963,2559.179187858721,2557.9160601740914,,,,34.750802647738055,35.159574213802806,-0.4087715660647504
27,LTTS,2021-02-11,2622.15,2640.0,2575.0,102348,2580.65,-41.5,2620.112252904811,2603.9409977652404,2590.800755970225,2566.907785382266,2561.0273010232836,2559.820846598293,,,,30.97990937193208,34.32364124542866,-3.34373187349658
28,LTTS,2021-02-12,2590.0,2611.95,2567.0,65750,2599.9,9.900000000000091,2613.3747825650516,2603.1315456457064,2592.2117455853045,2570.1088722429145,2564.342945608091,2563.1466197587806,,,,29.065125826523854,33.271938161647704,-4.20681233512385
29,LTTS,2021-02-15,2619.9,2639.0,2567.0,85374,2586.5,-33.40000000000009,2604.416474991609,2599.801113641439,2591.3271238363186,2571.6895617979008,2566.21713976639,2565.0673797844697,,,,26.259744051848884,31.86949933968794,-5.609755287839057
30,LTTS,2021-02-16,2595.0,2679.0,2586.1,225924,2660.3,65.30000000000018,2623.0443814252744,2611.912885831344,2601.998473510684,2580.1878033901417,2574.1147818447535,2572.836534904096,,,,29.161938606588137,31.32798719306798,-2.1660485864798424
31,LTTS,2021-02-17,2672.0,2690.0,2622.4,192162,2667.1,-4.900000000000091,2637.7296216545938,2622.959060346171,2612.062080936099,2588.4817329186935,2581.865868333951,2580.4693281265195,,,,31.59275280957945,31.38094031637028,0.21181249320917317
32,LTTS,2021-02-18,2667.1,2680.0,2620.1,113384,2658.65,-8.449999999999818,2644.7030918785617,2630.1017755105195,2619.2584895686014,2595.1476804202202,2588.2255347050514,2586.7564753250854,,,,32.50201424351599,31.60515510179942,0.8968591417165683
33,LTTS,2021-02-19,2642.0,2675.0,2576.85,91922,2643.05,1.050000000000182,2644.152060684734,2632.692734180541,2622.931261183397,2599.6798367331053,2592.7397420790508,2591.254959171351,,,,31.676302012046108,31.61938448384876,0.0569175281973493
34,LTTS,2021-02-22,2630.0,2649.4,2520.0,107952,2536.65,-93.34999999999991,2608.3180158470473,2613.4763922700786,2609.618763044304,2593.7384320198225,2588.1462321311406,2586.9167334694025,,,,22.702029574901644,29.835913502059338,-7.133883927157694
35,LTTS,2021-02-23,2540.2,2558.0,2441.0,131281,2460.35,-79.84999999999991,2558.99532131608,2582.841172118728,2586.5980656875477,2581.206823617225,2577.732053397203,2576.9150699352167,,,,9.682995752330953,25.805329952113663,-16.12233419978271
36,LTTS,2021-02-24,2460.0,2504.9,2459.8,50034,2495.05,35.05000000000018,2537.680207704765,2565.2783781329813,2572.484556125598,2573.137066881138,2571.0248860673455,2570.4777160892195,,,,2.006840036378435,21.045631968966617,-19.038791932588182
37,LTTS,2021-02-25,2514.0,2644.0,2505.35,221412,2620.85,106.84999999999991,2565.4034774444435,2576.3950113407723,2579.9384390391747,2577.5937552077103,2575.0498065616,2574.4206969144143,,,,5.517742124760389,17.94005400012537,-12.422311875364983
38,LTTS,2021-02-26,2600.0,2613.85,2530.4,153140,2567.7,-32.30000000000018,2566.1689850668085,2574.6557200832885,2578.052809846911,2576.6719182014367,2574.458363854158,2573.8968240057147,,,,4.15598584119607,15.183240368339511,-11.027254527143441
39,LTTS,2021-03-01,2589.5,2626.0,2570.0,94565,2578.05,-11.449999999999818,2570.1293237360364,2575.3346663140646,2578.0523770204113,2576.800028963015,2574.7463630001016,2574.21931105166,,,,3.8330659687512707,12.913205488421864,-9.080139519670594
40,LTTS,2021-03-02,2575.0,2760.4,2565.0,385403,2729.8,154.80000000000018,2623.3528856996368,2606.231018514957,2601.422944635083,2590.994226117566,2587.1390658399064,2586.2568618031487,,,,15.16608283193409,13.36378095712431,1.80230187480978
41,LTTS,2021-03-03,2730.0,2807.6,2682.6,551997,2712.35,-17.65000000000009,2653.018591658824,2627.4566204864855,2618.503969946429,2602.231769792923,2597.11662827587,2595.9808424663242,,,,22.523127480104904,15.19565026172043,7.327477218384473
42,LTTS,2021-03-04,2654.0,2765.0,2654.0,240482,2688.8,34.80000000000018,2664.945728092153,2639.726131408832,2629.3269599548103,2610.2344554577194,2604.402382111036,2603.1171004713487,,,,26.209859483461514,17.398492106068648,8.811367377392866
43,LTTS,2021-03-05,2695.0,2721.0,2610.0,109462,2622.65,-72.34999999999991,2650.8471518095753,2636.3107191743356,2628.299075086179,2611.380435462117,2605.8487771260534,2604.6146501796684,,,,23.684424906510685,18.655678666157055,5.02874624035363
44,LTTS,2021-03-08,2638.0,2763.0,2616.65,387249,2715.25,77.25,2672.3147681287187,2652.0992630275423,2641.6834151885887,2620.9544713759797,2614.50019076729,2613.0749030624193,,,,28.608512126169444,20.646245358159533,7.962266768009911
45,LTTS,2021-03-09,2731.9,2770.0,2630.1,215554,2740.3,8.400000000000091,2694.976512265739,2669.7400251128784,2656.862178275272,2631.9410901162482,2624.426991198608,2622.7805179619177,,,,34.081660313354405,23.333328349198506,10.748331964155899
46,LTTS,2021-03-10,2785.0,2852.25,2740.1,745642,2759.95,-25.050000000000182,2716.63434162513,2687.782523041739,2672.7280173701606,2643.7117214167833,2635.0998436429945,2633.221654729032,,,,39.50636264112882,26.56793520758457,12.938427433544248
47,LTTS,2021-03-12,2781.0,2810.0,2726.0,263969,2741.75,-39.25,2725.006227779629,2698.5762591417497,2683.35028164891,2652.7171148126517,2643.4835283850903,2641.465816133403,,,,41.88446551550669,29.631241269168996,12.253224246337695
48,LTTS,2021-03-15,2764.0,2790.0,2682.0,236512,2734.7,-29.300000000000182,2728.2374851940212,2705.801136209514,2691.2524400431394,2660.240602512487,2650.64191332927,2648.5348296320344,,,,42.71761041110494,32.24851509755619,10.469095313548756
49,LTTS,2021-03-16,2758.55,2858.15,2752.0,429895,2780.9,22.34999999999991,2745.7916568235446,2720.8211233400307,2705.04762467086,2671.3038817592987,2660.8483039598523,2658.55326236067,2625.897875596686,,,46.4943623101899,35.09768454008293,11.396677770106969
50,LTTS,2021-03-17,2794.95,2795.0,2557.9,727509,2589.45,-205.5,2693.6777711612085,2694.5465986699874,2687.2598262757137,2663.804543877262,2655.261879962102,2653.3314130727044,2624.254981904619,,,33.92841320300931,34.86383027266821,-0.9354170696588966
51,LTTS,2021-03-18,2639.0,2664.95,2475.0,841707,2549.0,-90.0,2645.4518474071906,2665.4370130378206,2665.9854927232436,2653.293769998941,2646.958582482776,2645.4592611175094,2620.88261212713,,,20.52623160573421,31.996310539281414,-11.470078933547203
52,LTTS,2021-03-19,2552.25,2637.6,2501.0,473949,2592.4,40.15000000000009,2627.7678982632433,2650.829503685762,2654.663030519477,2647.7223147796635,2642.7005592896685,2641.4612776961535,2619.613336834711,,,13.201752823323659,28.237398996089865,-15.035646172766207
53,LTTS,2021-03-22,2585.0,2632.0,2583.2,205762,2596.35,11.349999999999909,2617.2952655055847,2639.9335392507305,2645.690710706851,2643.024772705887,2639.087184896477,2638.066499490865,2618.582163136455,,,7.624211215985724,24.11476144006904,-16.490550224083314
54,LTTS,2021-03-23,2614.8,2658.8,2559.6,284502,2571.15,-43.65000000000009,2601.91351033388,2626.17676706284,2634.2217362220085,2636.455957697371,2633.7964437676283,2633.036735499927,2616.49036889316,,,1.1850007220814405,19.528809296471522,-18.34380857439008
55,LTTS,2021-03-24,2570.0,2586.65,2490.0,277955,2498.6,-71.40000000000009,2567.4756735511783,2600.661318185644,2613.3550481486923,2623.8630448839376,2623.277789844111,2622.9428372741127,2611.3165887994946,,,-9.587789125420386,13.70548961209314,-23.293278737513525
56,LTTS,2021-03-25,2510.0,2545.0,2480.05,224277,2492.55,-17.449999999999818,2542.5004490318265,2579.038989829528,2594.7682952593973,2611.8730828637595,2613.1157486297275,2613.162433200455,2606.128586105243,,,-18.39413794105758,7.285564101462998,-25.679702042520578
57,LTTS,2021-03-26,2535.8,2569.0,2505.0,108930,2548.65,12.849999999999909,2544.5502993546766,2572.9611773101524,2587.6727333214976,2606.1025981601247,2608.1086070651436,2608.3280461915933,2603.628951880697,,,-20.655312870095713,1.697388707151256,-22.352701577246968
58,LTTS,2021-03-30,2590.0,2656.0,2550.0,268490,2640.65,50.65000000000009,2576.583532904425,2586.4989677813765,2595.8235093183466,2609.254658494549,2610.6342510392737,2610.7480768518376,2605.2320775373732,,,-14.924567533490972,-1.6270025409771898,-13.297564992513783
59,LTTS,2021-03-31,2658.05,2720.0,2630.35,338229,2653.9,-4.150000000000091,2602.355688603651,2599.9791948834886,2604.758750377086,2613.326699587683,2613.9899312990888,2613.976398032928,2607.330969790496,,,-9.217647655842029,-3.145131563950158,-6.072516091891871
60,LTTS,2021-04-01,2679.95,2757.6,2679.0,312036,2720.6,40.65000000000009,2641.770459069815,2624.103385482963,2622.581150010307,2623.1080219035257,2622.25331955908,2621.9473313036524,2612.1968706128537,,,0.6338187066544378,-2.3893415098292388,3.0231602164836766
61,LTTS,2021-04-05,2731.45,2794.8,2687.0,376273,2760.0,28.550000000000182,2681.1803060470197,2651.2827350437988,2643.7231829843577,2635.586617499627,2632.923851844516,2632.260778384663,2618.522636635949,,,11.462404599694764,0.3810077120755617,11.081396887619203
62,LTTS,2021-04-06,2786.0,2791.75,2725.0,248421,2745.85,-40.15000000000009,2702.736870698187,2670.196202875259,2659.4354232138407,2645.635356837357,2641.6669270102648,2640.741279995372,2623.9526135739984,,,18.694143218468525,4.043634813354155,14.65050840511437
63,LTTS,2021-04-07,2758.95,2869.0,2719.5,365936,2840.75,81.80000000000018,2748.7412471323723,2704.3069837118915,2687.3306077767024,2663.4129303373024,2657.0728242429473,2655.6650732633098,2633.166506310761,,,31.665534513392686,9.568014753361862,22.097519760030824
64,LTTS,2021-04-08,2864.75,2928.0,2810.0,527189,2867.15,2.400000000000091,2788.210831421723,2736.8756033244363,2714.995661934773,2681.9723298153954,2673.3219981135408,2671.4366293899766,2643.0782554404636,,,43.55903254479654,16.366218311648797,27.19281423314774
65,LTTS,2021-04-09,2878.0,3062.15,2873.0,1182422,2911.85,33.84999999999991,2829.42388761458,2771.8704967182057,2745.281437768249,2702.9091142217558,2691.763956000804,2689.3565511898905,2654.427968687375,,,55.92488657835838,24.277951964990717,31.646934613367666
66,LTTS,2021-04-12,2909.85,2909.85,2737.0,450892,2838.7,-71.15000000000009,2832.515925076392,2785.2364016702013,2759.6537222499023,2715.274580339391,2703.1199595887665,2700.4831455018943,2662.186051393078,,,59.17057674800799,31.25647692159417,27.914099826413818
67,LTTS,2021-04-13,2828.7,2880.6,2673.15,452777,2689.35,-139.3499999999999,2784.7939500508774,2766.0591164054877,2748.83763890694,2712.9141838593487,2702.0561288397125,2699.654044291005,2663.326397022831,,,49.18359461593491,34.84190046046232,14.341694155472588
68,LTTS,2021-04-15,2703.5,2787.65,2643.85,441352,2756.85,53.34999999999991,2775.4793000339114,2764.217292745549,2750.070322002145,2716.9139200003456,2706.287944133327,2703.9118167900456,2667.2417048548105,,,46.1585052120995,37.10522141078975,9.053283801309746
69,LTTS,2021-04-16,2759.6,2784.85,2711.0,236366,2725.55,-34.04999999999973,2758.8362000226,2756.483832923895,2746.297933288508,2717.7000135560925,2707.7751237097787,2705.522010898403,2669.6762970970517,,,40.775922390104824,37.839361606652766,2.936560783452059
70,LTTS,2021-04-19,2680.0,2784.0,2655.0,368259,2686.95,6.949999999999818,2734.8741333483927,2742.5770645084244,2737.167417537374,2714.9013361739994,2706.1677207654448,2704.1404546892086,2670.3957136872054,,,33.02696284816557,36.87688185495533,-3.8499190067897615
71,LTTS,2021-04-20,2690.95,2748.9,2595.0,442373,2608.65,-82.29999999999973,2692.799422232253,2715.7916487859056,2717.395389005315,2705.2320051323454,2698.642718308784,2697.039237856075,2667.8303631046197,,,20.35615114923985,33.572735713812236,-13.216584564572386
72,LTTS,2021-04-22,2590.0,2642.45,2546.5,404082,2551.7,-38.30000000000018,2645.766281488162,2682.973316263785,2691.9036618123437,2691.2612592452124,2687.3065598291023,2686.234131466352,2663.0167144809757,,,5.669530345991461,27.992094640248084,-22.322564294256622
73,LTTS,2021-04-23,2553.0,2666.0,2543.05,497800,2642.7,89.69999999999982,2644.7441876587745,2674.918652468144,2684.3338353029153,2686.8427779858375,2683.8660767609604,2682.998501688242,2662.1764565063886,,,1.3353336146733454,22.660742435133137,-21.325408820459792
74,LTTS,2021-04-26,2660.0,2685.0,2606.95,178170,2620.9,-39.09999999999991,2636.796125105849,2664.114921391979,2674.5747483906566,2680.8432629992963,2679.0105352000496,2678.3842472029087,2660.472995535162,,,-3.809498812252059,17.366694185656097,-21.176192997908156
75,LTTS,2021-04-27,2620.5,2628.95,2583.55,221458,2592.65,-27.84999999999991,2622.0807500705655,2649.8219364970423,2661.970902340155,2672.8199589558667,2672.3522311023144,2672.0152023850933,2657.679707769763,,,-10.044300044938154,11.884495339537247,-21.9287953844754
76,LTTS,2021-04-28,2607.0,2665.0,2607.0,207582,2624.4,17.40000000000009,2622.8538333803767,2644.737549022178,2656.1907485376887,2668.415282455046,2668.6558158088947,2668.4787109773292,2656.3117779730646,,,-12.287962439640523,7.050003783701694,-19.337966223342217
77,LTTS,2021-04-29,2640.0,2665.0,2611.0,146831,2628.15,-11.849999999999909,2624.6192222535847,2641.4200391261556,2651.876777763457,2664.75263869032,2665.5339168157093,2665.483997850388,2655.1563974134883,,,-13.607220086930738,2.9185590095752083,-16.525779096505946
78,LTTS,2021-04-30,2611.0,2766.7,2605.65,562025,2728.9,117.90000000000009,2659.3794815023903,2658.916031687334,2663.726526250435,2670.587350257189,2670.4169905595245,2670.192253649757,2658.176374164154,,,-6.465727399321622,1.0417017277958422,-7.507429127117464
79,LTTS,2021-05-03,2730.0,2820.0,2640.0,572400,2797.4,67.40000000000009,2705.386321001594,2686.612825839227,2684.2917083488887,2682.121403722777,2680.20111579837,2679.6350575306806,2663.868029626678,,,4.656650818208163,1.7646915458783066,2.891959272329857
80,LTTS,2021-05-04,2690.0,2690.0,2557.8,1559787,2575.5,-114.5,2662.0908806677294,2664.39026035727,2667.554500211917,2672.424245188359,2672.134854421229,2671.9061863301026,2660.2614292002004,,,-4.351686118185626,0.5414160130655201,-4.893102131251146
81,LTTS,2021-05-05,2602.0,2620.0,2560.0,351009,2567.85,-34.15000000000009,2630.6772537784864,2645.082208067484,2652.2153290887964,2662.913658490366,2664.1016081470357,2664.1842933196654,2656.495820252512,,,-11.968964230869005,-1.960660035721385,-10.00830419514762
82,LTTS,2021-05-06,2588.0,2592.0,2485.0,612140,2549.15,-38.84999999999991,2603.501502518991,2625.895766280422,2636.35910953037,2652.5677130196536,2655.2476453288814,2655.6488779103925,2652.128353861715,,,-19.28976838002245,-5.426481704581598,-13.863286675440854
83,LTTS,2021-05-07,2555.5,2575.0,2510.3,215711,2521.4,-34.09999999999991,2576.1343350126604,2604.9966128730903,2618.6730784439906,2640.6393981248634,2644.9392797129144,2645.689004921467,2646.8173554937966,,,-27.01592647747657,-9.744370659160593,-17.271555818315974
84,LTTS,2021-05-10,2533.0,2533.0,2492.1,336123,2505.85,-27.15000000000009,2552.7062233417732,2585.1672901836682,2601.3156699386477,2628.3821009839044,2634.228217864058,2635.315601129524,2641.0984519165218,,,-33.999931190876396,-14.595482765503753,-19.404448425372642
85,LTTS,2021-05-11,2500.0,2585.0,2476.05,448830,2530.45,30.449999999999818,2545.287482227849,2574.2238320962483,2590.4132528958794,2619.476728675353,2626.2370921209867,2627.537393104295,2636.615622349651,,,-37.12414020841561,-19.101214254086123,-18.022925954329487
86,LTTS,2021-05-12,2528.2,2599.0,2528.0,322548,2538.5,10.300000000000182,2543.0249881518994,2567.0790656505246,2582.426594709658,2612.113363241911,2619.4816972909057,2620.93386653546,2632.645704750714,,,-38.507271825802036,-22.98242576842931,-15.524846057372727
87,LTTS,2021-05-14,2550.0,2583.0,2531.55,138909,2539.55,-10.449999999999818,2541.866658767933,2561.5732525040994,2575.8301928018054,2605.515191173387,2613.327733765976,2614.8985230358635,2628.8835885486924,,,-39.06833023405807,-26.19960666155506,-12.868723572503008
88,LTTS,2021-05-17,2572.0,2579.95,2517.25,142850,2566.65,-5.349999999999909,2550.1277725119558,2562.5886020056873,2574.417854954588,2601.981260316217,2609.7342435913383,2611.3207661197575,2626.371653080571,,,-36.90291116516937,-28.340267562277923,-8.562643602891448
89,LTTS,2021-05-18,2584.0,2650.95,2560.0,316147,2640.4,56.40000000000009,2580.218515007971,2578.1508816340734,2584.568957191183,2605.4745305068045,2612.094903604477,2613.4768995512973,2626.9372305976444,,,-28.907942360114248,-28.45380252184519,-0.45413983826905735
90,LTTS,2021-05-19,2645.0,2669.7,2630.95,155644,2638.25,-6.75,2599.562343338647,2590.1707053255013,2592.827581226185,2608.45462855569,2614.108216260367,2615.3136131187084,2627.392823181901,,,-22.486031892523442,-27.26024839598084,4.774216503457399
91,LTTS,2021-05-20,2635.4,2664.0,2599.2,97601,2610.8,-24.59999999999991,2603.3082288924315,2594.296564265411,2595.592569314682,2608.6678773126055,2613.853576720481,2614.9789898464187,2626.725295459987,,,-19.386420531736803,-25.685482823132034,6.299062291395231
