,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,M&M,2021-01-04,735.0,751.0,727.25,4547027,749.1,14.100000000000023,,,,,,,,,,,,
1,M&M,2021-01-05,748.0,748.0,730.0,3551554,740.1,-7.899999999999977,,,,,,,,,,,,
2,M&M,2021-01-06,741.0,746.45,730.45,3601608,736.1,-4.899999999999977,,,,,,,,,,,,
3,M&M,2021-01-07,743.0,755.0,740.1,4063641,744.4,1.3999999999999773,,,,,,,,,,,,
4,M&M,2021-01-08,750.0,772.8,745.0,5998381,770.5,20.5,752.8706161137441,,,,,,,,,,,
5,M&M,2021-01-11,773.05,791.4,763.2,6643610,789.1,16.050000000000068,766.1093233082706,,,,,,,,,,,
6,M&M,2021-01-12,789.95,796.75,777.4,5532160,779.85,-10.100000000000023,770.9742836328315,,,,,,,,,,,
7,M&M,2021-01-13,784.6,837.5,782.25,19610461,828.35,43.75,790.8760586835845,,,,,,,,,,,
8,M&M,2021-01-14,828.9,843.85,827.35,8576718,829.9,1.0,804.2314433258567,792.1339223208303,,,,,,,,,,
9,M&M,2021-01-15,828.0,838.0,815.35,4996951,819.65,-8.350000000000023,809.4616622145626,798.2991210270816,,,,,,,,,,
10,M&M,2021-01-18,817.9,820.8,797.15,3955069,809.0,-8.899999999999977,809.3059749056247,800.6404122022177,,,,,,,,,,
11,M&M,2021-01-19,810.0,819.6,801.55,3991167,808.05,-1.9500000000000455,808.8840647962908,802.2316809150675,798.6286267658231,,,,,,,,,
12,M&M,2021-01-20,807.0,831.95,802.0,4502291,824.5,17.5,814.1162607628247,806.9444309025563,803.1208799993706,,,,,,,,,
13,M&M,2021-01-21,823.0,835.0,800.3,4455107,808.25,-14.75,812.1541192174271,807.2175569318472,803.9942053718671,,,,,,,,,
14,M&M,2021-01-22,808.0,826.7,795.0,5588252,798.4,-9.600000000000023,807.5589189445562,805.3897347704386,803.0570802026256,,,,,,,,,
15,M&M,2021-01-25,802.1,812.95,784.25,3353172,794.55,-7.550000000000068,803.2160008024443,803.158998162885,801.6512181246007,,,,,,,,,
16,M&M,2021-01-27,797.0,817.0,763.4,6585102,769.95,-27.049999999999955,792.1160678889677,796.3641931230816,796.4714519759386,,,,,,,,,
17,M&M,2021-01-28,758.0,778.1,756.1,4622634,765.0,7.0,783.0712585174937,789.9762800873966,791.3778572864067,,,,,,,,,
18,M&M,2021-01-29,772.55,799.95,746.0,8761073,749.6,-22.949999999999932,771.9091371903146,781.7829456769646,784.6698674549231,,,,,,,,,
19,M&M,2021-02-01,753.0,808.85,741.55,6592083,795.15,42.14999999999998,779.6584218922127,784.487538372369,786.3413642634788,,,,,,,,,
20,M&M,2021-02-02,810.0,837.4,802.6,5334431,816.85,6.850000000000023,792.0581005539726,791.0202846472105,791.1799286010627,790.819905910577,,,,,,,,
21,M&M,2021-02-03,821.0,858.9,818.0,8802838,833.2,12.200000000000045,805.77390025112,799.5189367015355,797.8126588184717,795.2122198146787,,,,,,,,
22,M&M,2021-02-04,835.0,893.55,835.0,14706560,866.5,31.5,826.0177373235593,812.9946962049913,808.6115284244188,802.5076694835541,,,,,,,,
23,M&M,2021-02-05,879.9,881.7,841.2,15668083,865.5,-14.399999999999977,839.1792733862942,823.5455821139743,817.5253523716908,808.8813352092714,,,,,,,,
24,M&M,2021-02-08,891.0,952.05,891.0,21179625,928.4,37.39999999999998,868.920693414387,844.5959918908443,834.8489847376221,820.8514632917439,817.6931001916334,,,,,,,
25,M&M,2021-02-09,929.5,939.0,885.2,9210613,895.0,-34.5,877.6140251258818,854.7073532271528,844.2247995345463,828.2096296356427,824.4876926277547,823.7268583238106,,,,20.49794121073569,20.49794121073569,0.0
26,M&M,2021-02-10,899.0,917.0,886.1,6465767,914.15,15.149999999999977,889.7928977769319,866.6246969507796,855.1021011992826,836.6675404283579,832.2827196240833,831.3833621751016,,,,23.71873902418099,21.14210077342475,2.5766382507562398
27,M&M,2021-02-11,916.45,920.05,902.35,3640848,914.2,-2.25,897.9286939830934,876.1581980336001,864.2794543489841,844.2411234589791,839.3337991674056,838.3222389661406,,,,25.957215382843515,22.105123695308503,3.8520916875350117
28,M&M,2021-02-12,916.0,918.55,905.0,2484145,908.55,-7.4500000000000455,901.4691570178392,882.646598740663,871.1443411421174,850.4807258046753,845.2375909676351,844.149747357513,,,,26.994593784604376,23.083017713167678,3.9115760714366985
29,M&M,2021-02-15,910.9,920.0,898.25,4178613,911.85,0.9500000000000455,904.9294560576813,888.4945183663817,877.4487380370219,856.3989135069024,850.8721209764734,849.717932248163,,,,27.730805788858902,24.012575328305925,3.7182304605529772
30,M&M,2021-02-16,915.0,921.75,902.1,4223635,912.2,-2.7999999999999545,907.3529791310563,893.2403147021473,882.8253859116494,861.7505529271514,856.0201961598848,854.8152704864726,,,,28.010115425176764,24.812083347680094,3.19803207749667
31,M&M,2021-02-17,905.0,920.15,904.6,3903522,914.95,9.950000000000045,909.8853252902269,897.5856945263067,887.7913140904791,866.8273140975172,860.9324823857833,859.6845584486342,,,,28.10675564184487,25.47101780651305,2.6357378353318204
32,M&M,2021-02-18,914.95,914.95,891.65,4616205,894.45,-20.5,904.7402089098488,896.9581578724375,888.819877411684,869.4514543497447,863.7085798031635,862.4803319207566,,,,26.339545490927435,25.644723343395928,0.6948221475315073
33,M&M,2021-02-19,890.0,905.65,862.85,5171996,879.25,-10.75,896.24346385371,893.4147295663423,887.3425448053304,870.3785188617655,864.9882492587167,863.8204164401993,,,,23.52212836513104,25.22020434774295,-1.6980759826119112
34,M&M,2021-02-22,880.0,882.5,833.1,5960870,837.1,-42.89999999999998,876.5289623633129,882.1472130053517,879.5905280284481,867.2415735821261,862.7043209386476,861.6975470318754,,,,17.89298099657276,23.754759677508915,-5.861778680936155
35,M&M,2021-02-23,842.1,856.95,819.1,7348084,840.95,-1.1499999999999773,864.6693028123705,873.9050956842893,873.6312644604628,864.771526521596,860.9315504687169,860.0580168102737,,,,13.57324765018916,21.718457272044965,-8.145209621855805
36,M&M,2021-02-24,841.1,855.9,840.0,3184114,849.6,8.5,859.6462003417255,869.0428142269949,869.9264840459202,863.3505069992387,860.0123352100526,859.2356641904274,,,,10.690819855492805,19.51292978873453,-8.822109933241727
37,M&M,2021-02-25,853.1,866.6,842.05,6134649,859.0,5.899999999999977,859.4308001839864,867.0338341327546,868.2425393488168,862.9441422572121,859.9305578007826,859.217217153448,,,,9.025322195368744,17.415408270061373,-8.39008607469263
38,M&M,2021-02-26,848.05,856.65,798.5,12073749,806.4,-41.64999999999998,841.7538643913315,854.905052066619,858.7141920533329,857.6757197294252,855.622926331681,855.1001576383495,,,,3.6140344149833936,14.655133499045778,-11.041099084062385
39,M&M,2021-03-01,821.0,852.7,816.2,9223619,819.45,-1.5499999999999545,834.3192422551839,847.8130989710352,852.6659683095494,854.1221381702445,852.7223619463181,852.331983585504,,,,0.3339847240454219,11.790903744045707,-11.456919020000285
40,M&M,2021-03-02,832.95,868.0,820.05,9706013,860.05,27.09999999999991,842.896162020574,850.2607394546086,853.8031789524717,854.6720810162868,853.3080253507629,852.9291400508616,,,,0.8740389016101062,9.607530775558587,-8.73349187394848
41,M&M,2021-03-03,866.95,868.0,847.05,5028771,852.05,-14.900000000000091,845.9474414696942,850.6186220089676,853.5332169133283,854.429276335486,853.2077783031112,852.8613430162485,,,,0.6718738970797631,7.820399399862822,-7.148525502783059
42,M&M,2021-03-04,841.85,858.3,834.8,4574138,845.25,3.3999999999999773,845.7149609735665,849.5448245283044,852.2579077127677,853.5807102626036,852.5754017586955,852.2761566283093,,,,-0.018248915541562383,6.252669736781946,-6.270918652323508
43,M&M,2021-03-05,840.0,860.75,838.35,5179108,840.4,0.39999999999997726,843.9433072840618,847.7157600389004,850.4324416332836,852.3641039064938,851.6103201509608,851.3656346206269,,,,-0.9331929873433182,4.815497191956894,-5.748690179300212
44,M&M,2021-03-08,847.95,857.35,840.0,3474579,851.0,3.0499999999999545,846.2955382173885,848.3726366421315,850.5198057897388,852.2383694832379,851.5620562290334,851.337674647994,,,,-0.817868858255224,3.6888239819144704,-4.506692840169695
45,M&M,2021-03-09,853.0,865.7,842.0,3536262,852.0,-1.0,848.1970254933563,849.0981345936192,850.747632754978,852.2164258489698,851.5966141543676,851.3882014305195,,,,-0.6405686755415445,2.822945450423268,-3.4635141259648123
46,M&M,2021-03-10,856.4,875.0,849.0,3971353,863.8,7.399999999999977,853.3980170231004,852.0385896428189,852.7564709965105,853.2815546794394,852.5576682041874,852.3329690600557,,,,0.4235019364548407,2.3430567476295825,-1.9195548111747418
47,M&M,2021-03-12,869.5,876.2,844.15,4012449,855.8,-13.700000000000045,854.1986780182256,852.7908884910801,853.224860460031,853.5128887173823,852.812545351431,852.5963358569186,,,,0.6285246031123961,2.0001503187261456,-1.3716257156137495
48,M&M,2021-03-15,862.0,862.0,824.0,3069343,844.4,-17.600000000000023,850.9324520044667,851.1126808526393,851.866811235976,852.6766079983211,852.1523549612551,851.9748898763888,,,,-0.10807864041282755,1.578504526898351,-1.6865831673111786
49,M&M,2021-03-16,852.0,856.5,840.0,2996797,842.85,-9.149999999999977,848.2383013320858,849.4601210959904,850.4792823861842,851.7756047561523,851.4234676349819,851.2842467477722,846.7770646862485,,,-0.8049643615879631,1.1018107492010882,-1.9067751107890514
50,M&M,2021-03-17,847.6,851.35,833.7,2034583,836.95,-10.649999999999977,844.4755342174565,846.9580683083998,848.3974390247685,850.4173036349074,850.2910187889676,850.2010666833824,846.334108208806,,,-1.803627658613891,0.5207230676380924,-2.3243507262519834
51,M&M,2021-03-18,842.0,860.55,834.0,5033325,845.65,3.6499999999999773,844.8670228119106,846.6964522570179,847.9746847381296,849.9808396342369,849.9283698350278,849.8576735725765,846.3034515560566,,,-1.8829888344469055,0.039980687221092825,-1.9229695216679983
52,M&M,2021-03-19,839.95,860.0,820.55,7538327,850.3,10.349999999999909,846.678015208782,847.4171670722435,848.3324766505028,850.0100411056789,849.9573737018751,849.8910026029176,846.4815503965776,,,-1.5585259524148114,-0.27972064070608804,-1.2788053117087235
