,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,M&MFIN,2021-01-04,180.2,185.9,180.2,8010002,185.45,5.25,,,,,,,,,,,,
1,M&MFIN,2021-01-05,184.0,186.95,182.1,7709972,184.75,0.75,,,,,,,,,,,,
2,M&MFIN,2021-01-06,185.4,191.0,184.7,11360129,188.55,3.1500000000000057,,,,,,,,,,,,
3,M&MFIN,2021-01-07,189.95,198.4,189.35,11245548,195.45,5.5,,,,,,,,,,,,
4,M&MFIN,2021-01-08,196.8,197.5,189.15,11747481,189.95,-6.850000000000023,190.18601895734594,,,,,,,,,,,
5,M&MFIN,2021-01-11,191.0,191.75,181.55,8099113,185.15,-5.849999999999994,188.34578947368422,,,,,,,,,,,
6,M&MFIN,2021-01-12,185.0,192.0,183.2,7815432,189.7,4.699999999999989,188.82525497814478,,,,,,,,,,,
7,M&MFIN,2021-01-13,191.5,198.7,185.8,12236185,189.95,-1.5500000000000114,189.21539254559875,,,,,,,,,,,
8,M&MFIN,2021-01-14,190.9,194.45,188.55,8532321,192.15,1.25,190.21971988941633,189.7587613048284,,,,,,,,,,
9,M&MFIN,2021-01-15,193.05,193.75,185.7,7781076,188.45,-4.600000000000023,189.61940284360188,189.46552279905737,,,,,,,,,,
10,M&MFIN,2021-01-18,188.75,189.3,175.55,12553901,177.8,-10.949999999999989,185.6335210366707,186.91317306667517,,,,,,,,,,
11,M&MFIN,2021-01-19,178.95,184.15,178.35,10475730,182.15,3.200000000000017,184.4633282765552,185.89024325171866,186.34911351984027,,,,,,,,,
12,M&MFIN,2021-01-20,181.85,185.1,180.85,6626965,184.65,2.8000000000000114,184.5258735564717,185.62776468983316,186.0540828643518,,,,,,,,,
13,M&MFIN,2021-01-21,185.75,188.0,179.3,6317666,181.15,-4.599999999999994,183.39671445070215,184.6910129757893,185.21907413113087,,,,,,,,,
14,M&MFIN,2021-01-22,181.0,182.2,173.0,8768209,173.85,-7.150000000000006,180.20719252236933,182.44374154647798,183.3145595824095,,,,,,,,,
15,M&MFIN,2021-01-25,177.0,185.45,175.55,10913332,178.05,1.0500000000000114,179.48703194781626,181.53954229073724,182.4445496027073,,,,,,,,,
16,M&MFIN,2021-01-27,178.7,178.7,171.0,6108180,171.85,-6.849999999999994,176.93876824812293,179.55699074047476,180.71347134644813,,,,,,,,,
