,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,MCDOWELL-N,2021-01-04,581.0,590.75,581.0,1812702,584.35,3.3500000000000227,,,,,,,,,,,,
1,MCDOWELL-N,2021-01-05,582.0,585.5,575.5,1240679,582.25,0.25,,,,,,,,,,,,
2,MCDOWELL-N,2021-01-06,584.0,595.8,577.8,2493024,586.15,2.1499999999999773,,,,,,,,,,,,
3,MCDOWELL-N,2021-01-07,589.0,620.0,584.1,6427840,613.9,24.899999999999977,,,,,,,,,,,,
4,MCDOWELL-N,2021-01-08,622.0,637.6,613.85,7907269,630.9,8.899999999999977,609.8507109004738,,,,,,,,,,,
5,MCDOWELL-N,2021-01-11,634.45,644.9,628.1,3289035,641.9,7.449999999999932,621.561954887218,,,,,,,,,,,
6,MCDOWELL-N,2021-01-12,641.95,661.65,640.1,4088271,644.0,2.0499999999999545,629.5062651772705,,,,,,,,,,,
7,MCDOWELL-N,2021-01-13,646.0,656.95,631.5,2438828,640.8,-5.2000000000000455,633.423695479778,,,,,,,,,,,
8,MCDOWELL-N,2021-01-14,641.7,650.9,635.6,1547673,639.0,-2.7000000000000455,635.3321057847792,629.6807690920241,,,,,,,,,,
9,MCDOWELL-N,2021-01-15,638.5,642.75,626.85,1437341,633.7,-4.7999999999999545,634.7784696251616,630.5813101314449,,,,,,,,,,
10,MCDOWELL-N,2021-01-18,629.35,637.75,614.4,1575429,627.45,-1.8999999999999773,632.3070745692437,629.8961973667907,,,,,,,,,,
11,MCDOWELL-N,2021-01-19,627.15,639.6,627.0,1676565,628.75,1.6000000000000227,631.1121735296628,629.6500422420655,628.3495995472138,,,,,,,,,
12,MCDOWELL-N,2021-01-20,632.0,634.8,617.75,2288161,619.9,-12.100000000000023,627.3554795915343,627.5865945575297,626.8824280698989,,,,,,,,,
13,MCDOWELL-N,2021-01-21,623.0,652.5,620.9,4964084,628.1,5.100000000000023,627.6045060981813,627.6939993591543,627.0897416947051,,,,,,,,,
14,MCDOWELL-N,2021-01-22,631.95,643.35,620.4,2690499,625.05,-6.900000000000091,626.7510550749752,627.1459155009194,626.7480500416829,,,,,,,,,
15,MCDOWELL-N,2021-01-25,629.65,642.4,608.9,2350783,635.05,5.399999999999977,629.5215880169428,628.7725171673532,628.120012729475,,,,,,,,,
16,MCDOWELL-N,2021-01-27,637.95,649.7,629.6,3617581,644.9,6.949999999999932,634.6529334510233,632.072318657694,630.8617499616919,,,,,,,,,
17,MCDOWELL-N,2021-01-28,621.6,628.8,587.2,9413919,594.4,-27.200000000000045,621.2262039119936,624.3996361661153,624.9604850274299,,,,,,,,,
18,MCDOWELL-N,2021-01-29,600.0,600.0,568.7,7086937,578.7,-21.299999999999955,607.0444052980592,615.1260626538061,617.5327497791583,,,,,,,,,
19,MCDOWELL-N,2021-02-01,580.5,588.9,560.05,5375994,572.55,-7.9500000000000455,595.5428113397693,606.5115313389954,610.3583631602369,,,,,,,,,
20,MCDOWELL-N,2021-02-02,579.1,584.9,567.55,3496097,578.35,-0.75,589.8107250247559,600.8267926109754,605.2819472290532,610.9384369108473,,,,,,,,
21,MCDOWELL-N,2021-02-03,581.2,591.0,576.55,3767441,578.7,-2.5,586.1066549409342,596.3685379758728,601.0860741913846,607.5972141568052,,,,,,,,
22,MCDOWELL-N,2021-02-04,583.4,595.0,578.55,2572238,590.4,7.0,587.537897491187,595.1677421331476,599.4060335928227,605.837285456547,,,,,,,,
23,MCDOWELL-N,2021-02-05,594.6,594.6,579.05,1793709,580.7,-13.899999999999977,585.2584629217686,592.2604644759534,596.4749952720507,603.2938543207496,,,,,,,,
24,MCDOWELL-N,2021-02-08,582.0,589.0,577.85,2405253,580.2,-1.7999999999999545,583.5722418365691,589.8392243943562,593.932105252725,600.9809403117004,602.6379815021678,,,,,,,
25,MCDOWELL-N,2021-02-09,580.0,580.85,566.0,2787359,568.3,-11.700000000000045,578.4813601512138,585.5183203844308,589.9367966007173,597.7378311990462,599.6199767708354,600.0032637839435,,,,-10.06646718322611,-10.06646718322611,0.0
26,MCDOWELL-N,2021-02-10,570.95,575.0,563.05,2102358,572.85,1.8999999999999773,576.6042070611395,582.9785154359867,587.2788386703454,595.2884694472497,597.2926588851444,597.704083896107,,,,-10.425245225761614,-10.13822279173321,-0.28702243402840466
27,MCDOWELL-N,2021-02-11,576.5,580.8,567.0,1999144,571.7,-4.7999999999999545,574.9694521919384,580.7184407285202,584.8595901515089,592.9842831372702,595.0897552646121,595.5253051028839,,,,-10.66571495137498,-10.243721223661563,-0.42199372771341714
28,MCDOWELL-N,2021-02-12,574.15,577.7,566.0,2219681,567.65,-6.5,572.5296157086568,578.1007018280696,582.1909560425544,590.5262110795346,592.7492829447959,593.2122088001155,,,,-11.021252757561115,-10.399227530441474,-0.6220252271196411
29,MCDOWELL-N,2021-02-15,574.0,574.0,566.4,2649311,569.55,-4.4500000000000455,571.5364052927512,576.3884417871934,580.2331544429895,588.5033558954386,590.7869300163428,591.2660483593859,,,,-11.032893916396347,-10.52596080763245,-0.5069331087638975
30,MCDOWELL-N,2021-02-16,572.0,574.4,566.7,1777197,568.45,-3.5499999999999545,570.5075999516223,574.7991795006208,578.4100876329323,586.5801257817816,588.9118905249784,589.4046964558072,,,,-10.994608822874852,-10.619690410680931,-0.37491841219392086
31,MCDOWELL-N,2021-02-17,567.95,567.95,560.65,1890083,564.95,-3.0,568.6550623405661,572.8277816982419,576.3293831524967,584.5159881126681,586.914468896159,587.424526925922,,,,-11.09514377342532,-10.71478108322981,-0.3803626901955113
32,MCDOWELL-N,2021-02-18,565.1,567.75,556.2,2625977,560.35,-4.75,565.8867039493397,570.3306426086606,573.8610571750482,582.220232284825,584.7142596102117,585.2472427962811,,,,-11.386185621232812,-10.84906199083041,-0.5371236304024016
33,MCDOWELL-N,2021-02-19,561.7,565.9,552.0,1861565,556.35,-5.350000000000023,562.7077993581693,567.5330955620514,571.1578192312857,579.7725859580079,582.3787667020439,582.9380290692781,,,,-11.780209837992402,-11.03529156026281,-0.7449182777295924
34,MCDOWELL-N,2021-02-22,559.15,559.95,543.0,2098907,546.95,-12.199999999999932,557.4551959648271,563.4148058728742,567.4227492514555,576.6786184495912,579.4773022585335,580.0788713107145,,,,-12.656122059259019,-11.359457660062052,-1.2966643991969669
35,MCDOWELL-N,2021-02-23,549.8,556.4,546.3,1704931,550.4,0.6000000000000227,555.1034628998316,560.8109997148911,564.7974474086219,574.2097885009596,577.107778386262,577.7335624227678,,,,-12.936115014145912,-11.674789130878825,-1.2613258832670873
36,MCDOWELL-N,2021-02-24,556.0,559.6,543.5,1910674,546.6,-9.399999999999977,552.2689744013911,557.9680617030075,561.9920375282951,571.6237568045333,574.6329877141451,575.2854150265658,,,,-13.29337749827073,-11.998506804357206,-1.2948706939135235
37,MCDOWELL-N,2021-02-25,550.0,551.45,543.3,2549968,544.4,-5.600000000000023,549.6459824005216,555.2538856500943,559.2808251948018,569.0808865338257,572.1907379680093,572.8678037972711,,,,-13.586978602469344,-12.316201163979633,-1.270777438489711
38,MCDOWELL-N,2021-02-26,540.0,544.1,531.0,2723869,535.1,-4.899999999999977,544.7973209425949,551.2224386810535,555.5551809574607,565.9147642622274,569.206027241142,569.9238339259282,,,,-14.368652968467472,-12.726691524877202,-1.6419614435902705
39,MCDOWELL-N,2021-03-01,537.9,547.5,532.2,1633766,546.35,8.450000000000045,545.3148806752034,550.2478213959847,554.1372224787249,564.0959630471269,567.3732925047079,568.0933658516539,,,,-13.956143372928977,-12.972581894487558,-0.9835614784414197
40,MCDOWELL-N,2021-03-02,550.0,556.25,544.0,3078825,552.05,2.0499999999999545,547.5599205854932,550.6082954489641,553.8157704974146,562.9784283623261,566.1485743090401,566.8520624998728,,,,-13.03629200245814,-12.985323916081676,-0.05096808637646433
41,MCDOWELL-N,2021-03-03,557.7,569.0,552.8,2932503,567.65,9.949999999999932,554.2566139928327,554.0169263334177,555.9460246858024,563.4110158580127,566.268216963853,566.913597401237,,,,-10.967572715434585,-12.58177367595226,1.6142009605176746
42,MCDOWELL-N,2021-03-04,562.0,569.8,560.65,1956062,562.5,0.5,557.0044094021861,555.7136565402084,556.9550946046396,563.3267982006818,565.9687700665603,566.5742647610532,,,,-9.619170156413588,-11.989252972044527,2.370082815630939
43,MCDOWELL-N,2021-03-05,561.85,566.8,548.45,1563136,552.05,-9.800000000000068,555.3529395719552,554.9808853363074,556.1999796185625,562.2859267988999,564.865500600817,565.4607174136883,,,,-9.260737795125806,-11.443549936660784,2.1828121415349777
44,MCDOWELL-N,2021-03-08,553.9,561.5,549.5,2338848,556.85,2.9500000000000455,555.8519597205799,555.3547245520402,556.3000371379883,561.7848776356601,564.2316373823121,564.802258368365,,,,-8.502221230376676,-10.855284195403962,2.353062965027286
45,MCDOWELL-N,2021-03-09,565.0,573.65,550.85,3205168,555.55,-9.450000000000045,555.7513064795875,555.3937810025509,556.1845937159156,561.2109120731042,563.546573690746,564.0964317756915,,,,-7.911838059775846,-10.266594968278339,2.354756908502493
46,MCDOWELL-N,2021-03-10,559.0,559.05,549.0,1385971,553.25,-5.75,554.9175376486451,554.9650128497291,555.732941998704,560.4788930213555,562.7356869442368,563.2708175361208,,,,-7.53787553741688,-9.720851082106048,2.1829755446891674
47,MCDOWELL-N,2021-03-12,555.0,557.0,539.1,1672495,543.8,-11.200000000000045,551.2116917526864,552.7319604810513,553.8965000608795,558.9468384480246,561.2471675164351,561.7917517488183,,,,-7.895251687938867,-9.355731203272612,1.4604795153337449
48,MCDOWELL-N,2021-03-15,547.45,547.45,527.65,1645296,533.25,-14.200000000000045,545.2244611543728,548.835498869643,550.7192301749568,556.5886651836101,559.0500369008657,559.6277168420972,,,,-8.908486667140437,-9.266282296046178,0.3577956289057411
49,MCDOWELL-N,2021-03-16,534.0,539.8,528.8,2281341,537.6,3.6000000000000227,542.6829740989293,546.5883670235769,548.7004111181506,554.8475914684673,557.3693162542925,557.9604867185345,567.6230619537489,,,-9.26007560038397,-9.265040956913737,0.004965356529766041
50,MCDOWELL-N,2021-03-17,537.9,547.85,534.9,3253910,537.75,-0.14999999999997726,541.0386493975669,544.8206734353688,547.0153963449817,553.281134110121,555.8342403062131,556.4332633708177,566.2765290147755,,,-9.417867025836017,-9.295606170698193,-0.12226085513782436
51,MCDOWELL-N,2021-03-18,542.9,544.0,519.25,1767057,524.95,-17.949999999999932,535.6757662613065,540.8465024466861,543.6201468755191,550.6873156575497,553.4209474604916,554.0577464866767,564.4245806928081,,,-10.437599611157566,-9.524004858790068,-0.9135947523674979
52,MCDOWELL-N,2021-03-19,524.95,539.75,517.65,2395956,536.35,11.399999999999977,535.9005108409756,539.9471953856552,542.5015029666785,549.3755277332338,552.0886457967151,552.7234784363449,563.173488571785,,,-10.221975469666404,-9.663598980965336,-0.558376488701068
53,MCDOWELL-N,2021-03-22,538.7,543.6,534.3,3421043,542.75,4.0499999999999545,538.1836738946911,540.5077595855862,542.5397379003731,548.7696820472581,551.3606281825575,551.9729400132334,562.2681943574817,,,-9.433202112860272,-9.617519607344324,0.184317494484052
54,MCDOWELL-N,2021-03-23,547.0,557.95,542.25,2741088,554.3,7.2999999999999545,543.5557825975702,543.2662205692537,544.3491940308106,549.2751116187503,551.58953751095,552.147852966171,561.9167909639975,,,-7.798658935360322,-9.253747472947524,1.4550885375872014
