,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,METROPOLIS,2021-01-04,2034.95,2059.85,2015.0,94104,2051.7,16.749999999999773,,,,,,,,,,,,
1,METROPOLIS,2021-01-05,2040.0,2104.8,2020.25,169035,2102.25,62.25,,,,,,,,,,,,
2,METROPOLIS,2021-01-06,2112.0,2149.0,2063.0,114242,2086.6,-25.40000000000009,,,,,,,,,,,,
3,METROPOLIS,2021-01-07,2086.0,2124.8,2072.0,41922,2100.75,14.75,,,,,,,,,,,,
4,METROPOLIS,2021-01-08,2111.15,2124.8,2088.5,102641,2114.6,3.449999999999818,2100.103791469194,,,,,,,,,,,
5,METROPOLIS,2021-01-11,2120.0,2186.3,2100.05,137016,2156.3,36.30000000000018,2120.6386466165413,,,,,,,,,,,
6,METROPOLIS,2021-01-12,2172.3,2193.1,2140.1,64714,2180.45,8.149999999999636,2141.8151772705196,,,,,,,,,,,
7,METROPOLIS,2021-01-13,2185.0,2199.0,2152.25,50735,2177.25,-7.75,2154.106367961935,,,,,,,,,,,
8,METROPOLIS,2021-01-14,2177.0,2191.0,2124.75,62757,2171.7,-5.300000000000182,2160.1275363830787,2148.2558400715325,,,,,,,,,,
9,METROPOLIS,2021-01-15,2174.9,2224.0,2139.25,131971,2163.3,-11.599999999999909,2161.203686342094,2151.626605207795,,,,,,,,,,
10,METROPOLIS,2021-01-18,2214.95,2274.7,2140.1,184878,2187.3,-27.649999999999636,2170.0042004808706,2159.431740152832,,,,,,,,,,
11,METROPOLIS,2021-01-19,2183.05,2227.95,2155.35,60903,2221.95,38.899999999999636,2187.453958319506,2172.8580404534223,2166.5356757970794,,,,,,,,,
12,METROPOLIS,2021-01-20,2238.0,2250.0,2200.0,81540,2244.5,6.5,2206.5675154195965,2188.019968152997,2180.0732443030774,,,,,,,,,
13,METROPOLIS,2021-01-21,2258.0,2320.0,2115.55,135279,2224.85,-33.15000000000009,2212.6826241743306,2195.724838294857,2187.69729615669,,,,,,,,,
14,METROPOLIS,2021-01-22,2230.0,2249.0,2167.1,54502,2184.5,-45.5,2203.266913851563,2193.398002375095,2187.161694314644,,,,,,,,,
15,METROPOLIS,2021-01-25,2206.0,2206.0,2003.05,188592,2019.5,-186.5,2141.917875742607,2157.6110898635015,2159.4542773913163,,,,,,,,,
16,METROPOLIS,2021-01-27,2031.0,2157.0,2031.0,212857,2093.25,62.25,2125.6787684633014,2144.442337959973,2148.6369430674326,,,,,,,,,
17,METROPOLIS,2021-01-28,2092.9,2120.0,2026.45,80249,2090.65,-2.25,2113.994606343433,2133.4865076752267,2139.251866538511,,,,,,,,,
18,METROPOLIS,2021-01-29,2104.0,2117.15,2041.0,19454,2063.35,-40.65000000000009,2097.1054523166385,2119.2540954639207,2127.06481382682,,,,,,,,,
19,METROPOLIS,2021-02-01,2090.0,2198.8,2021.45,110843,2036.8,-53.200000000000045,2076.9975878666314,2102.570932598816,2112.6683023716973,,,,,,,,,
