,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,MFSL,2021-01-04,690.75,697.5,680.1,1100430,689.3,-1.4500000000000455,,,,,,,,,,,,
1,MFSL,2021-01-05,686.0,705.8,679.05,1547797,701.5,15.5,,,,,,,,,,,,
2,MFSL,2021-01-06,707.55,716.5,697.2,1966993,709.4,1.8500000000000227,,,,,,,,,,,,
3,MFSL,2021-01-07,711.0,733.0,697.4,2059439,723.85,12.850000000000023,,,,,,,,,,,,
4,MFSL,2021-01-08,728.0,740.45,718.0,2251641,726.85,-1.1499999999999773,717.3741706161137,,,,,,,,,,,
5,MFSL,2021-01-11,728.0,733.35,710.1,1540749,715.25,-12.75,716.5979699248121,,,,,,,,,,,
6,MFSL,2021-01-12,715.25,726.65,707.5,1014153,719.9,4.649999999999977,717.7670713938805,,,,,,,,,,,
7,MFSL,2021-01-13,723.0,734.5,708.2,973568,717.2,-5.7999999999999545,717.5703727200636,,,,,,,,,,,
8,MFSL,2021-01-14,716.0,725.9,713.3,1048756,720.15,4.149999999999977,718.453213186584,717.1522320771198,,,,,,,,,,
9,MFSL,2021-01-15,716.0,724.25,703.25,852193,707.55,-8.450000000000045,714.7546704006894,715.000774683038,,,,,,,,,,
10,MFSL,2021-01-18,708.0,708.7,686.4,1361865,692.95,-15.049999999999955,707.4014360447518,710.1761911791062,,,,,,,,,,
11,MFSL,2021-01-19,700.3,722.0,694.2,1198671,712.5,12.200000000000045,709.1141579042184,710.6752478570552,711.1066779842369,,,,,,,,,
12,MFSL,2021-01-20,716.0,726.0,708.55,1013272,715.2,-0.7999999999999545,711.1532492587309,711.6328426141504,711.8174341893606,,,,,,,,,
13,MFSL,2021-01-21,730.5,751.8,694.65,2812779,704.7,-25.799999999999955,708.9947723370086,710.1824867665671,710.6055623938324,,,,,,,,,
14,MFSL,2021-01-22,710.0,716.7,697.0,968159,702.1,-7.899999999999977,706.6912544436736,708.5070398660922,709.1807350827188,,,,,,,,,
15,MFSL,2021-01-25,705.5,710.0,680.75,1431566,698.05,-7.4500000000000455,703.8064443488471,706.355059016934,707.3412933494077,,,,,,,,,
16,MFSL,2021-01-27,695.5,702.5,673.3,1477397,682.1,-13.399999999999977,696.5636117194254,701.3922957188472,703.2170355267011,,,,,,,,,
17,MFSL,2021-01-28,678.0,692.35,670.0,896352,673.65,-4.350000000000023,688.9205695621774,695.7420508116434,698.4316670200574,,,,,,,,,
18,MFSL,2021-01-29,677.0,692.75,670.65,1065233,683.0,6.0,686.9461557305467,693.1563771649247,695.9539079348142,,,,,,,,,
19,MFSL,2021-02-01,689.0,714.15,659.1,3097002,704.9,15.899999999999977,692.9325707736042,695.532496522994,697.3807376310691,,,,,,,,,
20,MFSL,2021-02-02,709.9,718.65,686.7,1294020,696.3,-13.600000000000023,694.05527226808,695.6874261923755,697.2093363725817,700.0619789062449,,,,,,,,
21,MFSL,2021-02-03,698.0,706.7,692.3,625616,700.65,2.6499999999999773,696.2538086955705,696.6873188595536,697.7524338221994,700.1229219806174,,,,,,,,
22,MFSL,2021-02-04,701.0,724.75,695.5,960212,718.95,17.950000000000045,703.8198799702246,701.1662942919673,701.0850675969227,702.049647707598,,,,,,,,
23,MFSL,2021-02-05,725.0,727.4,705.7,800166,715.8,-9.200000000000045,707.8134905466992,704.1069221560377,703.3907424235487,703.4409305574957,,,,,,,,
24,MFSL,2021-02-08,718.05,736.9,715.15,771911,728.95,10.900000000000091,714.8592727257676,709.0943798071072,707.3842539365227,705.995735106443,705.8828926168841,,,,,,,
25,MFSL,2021-02-09,730.9,750.8,718.35,2105126,738.05,7.149999999999977,722.589719245267,714.9030595028408,712.1641625456547,709.176655777153,708.7100967223262,708.6255433455143,,,,3.5386192001403742,3.5386192001403742,0.0
26,MFSL,2021-02-10,747.4,798.95,742.75,7208761,776.9,29.5,740.6934648065558,727.3325001457057,722.2342263827708,715.8417190249925,714.6383641571551,714.4066258276057,,,,7.827600555165077,4.396415471145315,3.431185084019762
27,MFSL,2021-02-11,778.0,831.65,777.0,3253359,817.75,39.75,766.3792779341068,745.4510464821325,737.0669362360966,725.7963990614089,723.5137606892857,723.0653562395868,,,,14.001579996509804,6.317448376218213,7.684131620291591
28,MFSL,2021-02-12,820.0,825.45,804.0,1208971,809.4,-10.600000000000023,780.7196308021927,758.260659101142,748.2833847084972,733.9080821226474,730.8394224461554,730.2294157734992,,,,18.05396893499801,8.664752487974173,9.389216447023838
29,MFSL,2021-02-15,812.95,847.8,812.95,1792460,818.8,5.849999999999909,793.4131533993886,770.3835346739766,759.2048325601351,742.094691969151,738.2797255521588,737.5141358387318,,,,21.690696721403242,11.269941334659986,10.420755386743256
30,MFSL,2021-02-16,822.3,859.85,821.75,3555872,852.75,30.450000000000045,813.1921710325637,786.8731582714084,773.6779594996128,752.7071611115022,747.8887579939482,746.9151719751616,,,,26.762787524451255,14.368510572618241,12.394276951833014
31,MFSL,2021-02-17,852.75,885.0,840.15,4085783,868.1,15.350000000000023,831.4948231106293,803.1314077294293,788.2740281195784,763.7189651064799,757.9093586038977,756.7278680506504,,,,31.546160068927975,17.80404047188019,13.742119597047786
32,MFSL,2021-02-18,871.25,879.7,858.35,1402706,869.55,-1.7000000000000455,844.1799016749055,816.423551080292,800.828679999458,773.772856302268,767.1560247747517,765.8008183569546,,,,35.02786164250347,21.248804706004847,13.77905693649862
33,MFSL,2021-02-19,867.0,870.0,829.05,1153212,838.7,-28.299999999999955,842.3532659015758,820.8811011106221,806.6749968826965,779.9157731123232,773.0469046727961,771.626280395813,,,,35.04871648688356,24.00878706218059,11.039929424702972
34,MFSL,2021-02-22,844.0,871.6,830.0,2165552,836.1,-7.899999999999977,840.2688425028821,823.9261160933204,811.2150359812128,785.2118875835711,778.2106834654289,776.7485541184141,,,,34.46648186279879,26.10032602230423,8.366155840494557
35,MFSL,2021-02-23,839.0,861.95,839.0,2172253,850.15,11.149999999999977,843.5625631765884,829.1725954545504,817.2197083921891,791.3127089432944,784.0730542716319,782.548945299465,,,,34.67076309272409,27.814413436388204,6.856349656335883
36,MFSL,2021-02-24,850.0,935.15,765.15,552560,852.7,2.7000000000000455,846.6083763807244,833.8792982935587,822.6895283289276,797.0624625288705,789.6400714104781,788.0651827146972,,,,34.62434561423038,29.17639987195664,5.447945742273738
37,MFSL,2021-02-25,909.4,953.7,885.35,6832524,889.05,-20.350000000000023,860.75558713256,844.9157308122028,832.9167307755839,805.6546776294689,797.6705007930012,795.9699503225543,,,,36.946780453029646,30.730475988171243,6.216304464858403
38,MFSL,2021-02-26,877.0,883.7,855.5,1978817,866.1,-10.899999999999977,862.5370583300416,849.1532887348402,838.029420469427,811.2865872378534,803.1770577262565,801.4365311815953,,,,36.59288928783167,31.90295864810333,4.689930639728338
39,MFSL,2021-03-01,868.0,897.65,858.75,1695818,861.1,-6.899999999999977,862.058038843373,851.5429486281553,841.5831935028854,815.9173967097064,807.8216701613725,806.0692979693699,,,,35.51389553351544,32.62514602518575,2.8887495083296884
40,MFSL,2021-03-02,868.9,906.0,868.0,2406331,892.95,24.050000000000068,872.3553598497596,859.8252396267694,849.494167004935,823.0639075947735,814.6255743802699,812.791410251351,,,,36.702756753584026,33.44066817086541,3.2620885827186186
41,MFSL,2021-03-03,904.0,939.7,901.1,2547802,923.95,19.950000000000045,889.5535739244475,872.6512828204995,860.9591965577549,832.4059589316807,823.3372039972332,821.363676694385,,,,39.59551986336987,34.6716385093663,4.923881354003569
42,MFSL,2021-03-04,915.25,929.0,905.15,834588,915.55,0.2999999999999545,898.2190495151682,881.2316102032217,869.3641622400936,840.0920999556926,830.6650293105301,828.6050471346376,,,,40.759115105455976,35.88913382858424,4.869981276871734
43,MFSL,2021-03-05,911.95,943.1,910.0,1901448,917.75,5.7999999999999545,904.7293664597474,888.5356858342802,876.812921978966,847.2600820229486,837.5678079775672,835.4396186208573,,,,41.373303358108615,36.985967734489115,4.387335623619499
44,MFSL,2021-03-08,924.5,924.5,901.65,525304,915.4,-9.100000000000023,908.286244348859,893.9087826987994,882.7526239005222,853.5407863349609,843.7227527770973,841.5541656274634,,,,41.198458273058804,37.82846584220306,3.3699924308557456
45,MFSL,2021-03-09,919.0,930.0,911.25,730126,915.15,-3.8500000000000227,910.5741629174047,898.1571741938774,887.7391289329621,859.2123598679578,849.3590413602425,847.1685675325963,,,,40.57056140036582,38.376884953835614,2.1936764465302048
46,MFSL,2021-03-10,920.0,935.8,916.05,628524,931.45,11.450000000000045,917.5327753151026,904.8159249739825,894.4664962925996,865.8547305340871,855.8239560365716,853.5839447013764,,,,40.882551591223205,38.87801828131313,2.004533309910073
47,MFSL,2021-03-12,944.55,944.55,888.05,980640,892.8,-51.75,909.2885168476433,902.4126863851747,894.210027797128,868.3298122593568,858.7306137123613,856.5629221170681,,,,37.647105680059894,38.63183576106249,-0.9847300810025956
48,MFSL,2021-03-15,896.9,897.2,873.7,1193991,893.55,-3.3500000000000227,904.042344552754,900.6401174844539,894.1084567590584,870.6442437632085,861.463130835138,859.3672814409344,,,,34.741175318123965,37.853703672474786,-3.1125283543508218
49,MFSL,2021-03-16,896.0,907.05,870.05,735304,875.9,-20.100000000000023,894.6615630204572,895.6920233660038,891.3064951340242,871.1261448841453,862.5943337411937,860.6186070596377,829.7724089465081,,,30.68788807438648,36.420540552857126,-5.732652478470648
50,MFSL,2021-03-17,877.9,877.9,851.95,764999,862.4,-15.5,883.907708669061,889.0335426663934,886.8584547074296,870.326667724513,862.5791284685869,860.753219596578,831.2431027153926,,,26.105235110851595,34.35747946445602,-8.252244353604425
51,MFSL,2021-03-18,865.0,885.4,855.45,874610,862.6,-2.3999999999999773,876.8051391077565,883.7467858418413,883.1257546830263,869.6192631694103,862.5807593689082,860.8925653174443,832.6482861337137,,,22.233189365582007,31.932621444681217,-9.69943207909921
52,MFSL,2021-03-19,853.2,867.05,845.2,2677566,859.95,6.75,871.1867594025601,878.9873938941773,879.5597446349691,868.7345771538669,862.3754418203479,860.8215435875272,833.8649368642191,,,18.738201047441862,29.293737365233348,-10.555536317791486
53,MFSL,2021-03-22,861.0,864.15,840.9,650232,845.05,-15.950000000000045,862.4745062656744,872.1998754354646,874.2499114337331,866.5688328583822,861.024793440182,859.6346808966649,834.3607274294718,,,14.615230537068214,26.35803599960032,-11.742805462532107
54,MFSL,2021-03-23,845.1,874.95,831.15,1129947,868.8,23.699999999999932,864.5830041775517,871.5198971682456,873.4113777709143,866.7727447965295,861.6303028558871,860.323590094578,835.879525378852,,,13.087787676336347,23.70398633494753,-10.616198658611182
