,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,MINDAIND,2021-01-04,399.9,406.6,399.0,86405,405.3,5.400000000000034,,,,,,,,,,,,
1,MINDAIND,2021-01-05,400.0,411.75,400.0,427179,407.55,7.550000000000011,,,,,,,,,,,,
2,MINDAIND,2021-01-06,409.95,412.0,390.3,143681,395.95,-14.0,,,,,,,,,,,,
3,MINDAIND,2021-01-07,400.0,407.0,387.4,281535,389.7,-10.300000000000011,,,,,,,,,,,,
4,MINDAIND,2021-01-08,391.9,402.45,390.95,132324,401.25,9.350000000000023,398.4135071090047,,,,,,,,,,,
5,MINDAIND,2021-01-11,404.9,404.9,396.95,83276,398.2,-6.699999999999989,398.3354887218045,,,,,,,,,,,
6,MINDAIND,2021-01-12,398.2,420.0,398.0,802269,409.45,11.25,402.27064108790677,,,,,,,,,,,
7,MINDAIND,2021-01-13,413.0,413.5,392.5,246201,395.4,-17.600000000000023,399.88743854084055,,,,,,,,,,,
8,MINDAIND,2021-01-14,397.0,404.75,395.4,138860,403.3,6.300000000000011,401.0553387929685,400.7609661492353,,,,,,,,,,
9,MINDAIND,2021-01-15,401.0,407.0,395.45,141299,405.25,4.25,402.478234381732,401.766770319864,,,,,,,,,,
10,MINDAIND,2021-01-18,412.0,413.0,402.4,169130,406.25,-5.75,403.7501947469717,402.74767535699,,,,,,,,,,
11,MINDAIND,2021-01-19,406.25,417.45,406.25,138808,415.5,9.25,407.69721757103986,405.48633987846307,404.74221840118287,,,,,,,,,
12,MINDAIND,2021-01-20,418.0,450.0,415.55,732425,442.0,24.0,419.190533694884,413.21389895576124,411.21158469059907,,,,,,,,,
13,MINDAIND,2021-01-21,456.05,457.7,439.9,542395,443.05,-13.0,427.17102620639315,419.4556335554008,416.6326502742408,,,,,,,,,
14,MINDAIND,2021-01-22,442.9,519.7,437.95,1594154,489.1,46.200000000000045,447.86126691002374,433.8924574272072,428.7721719510388,,,,,,,,,
15,MINDAIND,2021-01-25,494.65,522.9,489.15,1237015,499.45,4.800000000000011,465.0837314222491,447.38371096942507,440.4522402993448,,,,,,,,,
16,MINDAIND,2021-01-27,493.95,493.95,472.2,235917,475.9,-18.05000000000001,468.6928173565691,453.2183532393023,446.24416618123627,,,,,,,,,
17,MINDAIND,2021-01-28,465.6,493.45,453.1,246360,473.15,7.5499999999999545,470.17955088698915,457.27781128643545,450.5988242491724,,,,,,,,,
18,MINDAIND,2021-01-29,477.3,478.95,450.4,313996,456.5,-20.80000000000001,465.6176427465441,457.1199743593044,451.54633638841347,,,,,,,,,
19,MINDAIND,2021-02-01,456.5,473.0,445.5,233027,466.65,10.149999999999977,465.96186534863125,459.04821053699567,453.9552491970711,,,,,,,,,
20,MINDAIND,2021-02-02,477.75,497.9,473.1,269010,492.65,14.899999999999977,474.85969412050207,465.83112981761764,460.09210313258217,449.675653957141,,,,,,,,
21,MINDAIND,2021-02-03,491.4,491.4,477.3,235868,481.2,-10.199999999999989,476.97341192723394,468.92775289948776,463.4239153051341,452.94286764358543,,,,,,,,
22,MINDAIND,2021-02-04,483.7,520.0,481.2,1298317,504.55,20.850000000000023,486.16642709315767,476.09450737097404,469.8896660298459,458.22423894849146,,,,,,,,
23,MINDAIND,2021-02-05,515.4,579.45,515.0,2069370,551.9,36.5,508.07891973411404,491.327541868322,482.7398210545894,467.7025037253218,,,,,,,,
24,MINDAIND,2021-02-08,557.0,604.7,551.0,1489263,592.85,35.85000000000002,536.3370655721192,511.70903258958003,499.9440088522529,480.2363750016756,475.3653004633443,,,,,,,
25,MINDAIND,2021-02-09,596.8,606.0,572.95,350267,581.1,-15.699999999999932,551.2584376601382,525.6292974908014,512.5938957966885,490.245626211938,484.6584449496474,483.50116731475794,,,,29.09272848193052,29.09272848193052,0.0
26,MINDAIND,2021-02-10,587.7,587.7,560.0,180519,578.4,-9.300000000000068,560.3057843486175,536.2090181876705,522.8304463111791,498.9214304506911,492.808112002734,491.5366465567816,,,,31.293799754397526,29.532942736423923,1.7608570179736027
27,MINDAIND,2021-02-11,567.25,612.0,564.0,370362,600.7,33.450000000000045,573.7706808956879,549.1322116417178,534.9228625952463,508.8634399197352,502.0949716354861,500.6830098906889,,,,34.23985270455745,30.47432473005063,3.7655279745068206
28,MINDAIND,2021-02-12,603.0,605.4,576.7,104024,586.1,-16.899999999999977,577.8804860799956,556.5372280212089,542.8587316818789,516.3573575151222,509.26017561476783,507.770922409896,,,,35.087809271982906,31.39702163843709,3.690787633545817
29,MINDAIND,2021-02-15,590.8,605.6,577.0,115031,582.9,-7.899999999999977,579.5536661124567,561.8163176133442,549.0602293295191,522.7744425074309,515.4891321466141,513.950110497935,,,,35.11011883158403,32.13964107706648,2.970477754517553
30,MINDAIND,2021-02-16,587.3,589.45,565.5,101235,570.25,-17.049999999999955,576.4524332928218,563.5047262095585,552.3386695646005,527.3276166648363,520.0859496023414,518.5431015735711,,,,33.79556799102943,32.47082645985907,1.3247415311703605
31,MINDAIND,2021-02-17,573.3,585.95,570.0,87505,574.9,1.6000000000000227,575.9349543291248,565.7855880525744,555.826273999409,531.8673937073871,524.6551537606424,523.1064873127692,,,,32.719786686639736,32.520618505215204,0.19916818142453252
32,MINDAIND,2021-02-18,578.55,584.95,568.85,110941,573.2,-5.349999999999909,575.0233014773851,567.269410926538,558.5099833017689,535.7939689971627,528.6758937158901,527.134916340183,,,,31.375066961585844,32.29150819648933,-0.9164412349034876
33,MINDAIND,2021-02-19,579.85,585.0,557.0,95056,565.45,-14.399999999999977,571.8321976976326,566.9053441374369,559.5813358923901,538.5997990551575,531.7038474016556,530.1967211553435,,,,29.384614737046604,31.710129504600786,-2.325514767554182
34,MINDAIND,2021-02-22,574.25,578.5,531.25,170310,539.1,-35.14999999999998,560.921457638679,561.342018556986,556.4212320388543,538.6469496810406,532.309560661825,530.9040641092006,,,,25.517167929653738,30.47153718961138,-4.954369259957641
35,MINDAIND,2021-02-23,531.1,552.35,530.2,101100,543.4,12.299999999999955,555.0809690851042,557.7524499639808,554.413056745745,539.0934903923535,533.2133260982514,531.891528531317,,,,22.52152821442803,28.881535394574712,-6.360007180146681
