,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,MPHASIS,2021-01-04,1550.0,1557.0,1505.0,389716,1519.35,-30.65000000000009,,,,,,,,,,,,
1,MPHASIS,2021-01-05,1525.05,1610.0,1525.0,677882,1581.65,56.600000000000136,,,,,,,,,,,,
2,MPHASIS,2021-01-06,1595.55,1697.4,1586.0,973000,1615.75,20.200000000000045,,,,,,,,,,,,
3,MPHASIS,2021-01-07,1639.0,1675.0,1620.0,347070,1663.0,24.0,,,,,,,,,,,,
4,MPHASIS,2021-01-08,1669.0,1673.0,1605.0,853366,1639.3,-29.700000000000045,1625.6943127962086,,,,,,,,,,,
5,MPHASIS,2021-01-11,1660.0,1710.0,1656.0,711646,1699.15,39.15000000000009,1652.536015037594,,,,,,,,,,,
6,MPHASIS,2021-01-12,1700.0,1706.5,1644.5,795854,1657.35,-42.65000000000009,1654.2404322486645,,,,,,,,,,,
7,MPHASIS,2021-01-13,1675.0,1675.0,1636.5,504008,1651.35,-23.65000000000009,1653.2378350515467,,,,,,,,,,,
8,MPHASIS,2021-01-14,1664.05,1735.0,1617.4,714819,1696.15,32.100000000000136,1667.9239085076422,1657.3330264207582,,,,,,,,,,
9,MPHASIS,2021-01-15,1704.0,1704.0,1647.0,331478,1667.55,-36.450000000000045,1667.7970728134426,1659.6222215970108,,,,,,,,,,
10,MPHASIS,2021-01-18,1667.3,1667.7,1620.1,465525,1635.0,-32.299999999999955,1656.7368477261434,1654.2350202013852,,,,,,,,,,
11,MPHASIS,2021-01-19,1635.0,1665.0,1591.2,194318,1616.8,-18.200000000000045,1643.3211658401997,1646.1955478262555,1645.6208260420756,,,,,,,,,
12,MPHASIS,2021-01-20,1628.0,1676.0,1621.65,301343,1647.1,19.09999999999991,1644.5872828284676,1646.3869613296386,1645.8776668342252,,,,,,,,,
13,MPHASIS,2021-01-21,1667.4,1667.4,1590.0,345085,1600.65,-66.75,1629.8911805726743,1636.8187548944109,1638.1768392107147,,,,,,,,,
14,MPHASIS,2021-01-22,1559.05,1616.0,1537.0,920370,1599.05,40.0,1619.5872564069127,1628.98953782914,1631.6224238148081,,,,,,,,,
