,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,MRF,2021-01-04,76200.65,78900.0,75900.0,28145,78402.2,2201.550000000003,,,,,,,,,,,,
1,MRF,2021-01-05,77800.0,79373.0,77700.0,25539,79053.0,1253.0,,,,,,,,,,,,
2,MRF,2021-01-06,79053.0,79800.0,77619.2,30427,78752.25,-300.75,,,,,,,,,,,,
3,MRF,2021-01-07,79500.0,79500.0,77000.0,21765,77332.6,-2167.399999999994,,,,,,,,,,,,
4,MRF,2021-01-08,77780.0,81399.0,77600.0,31729,80602.1,2822.100000000006,79106.72369668246,,,,,,,,,,,
5,MRF,2021-01-11,80700.0,83000.0,80500.0,48475,82507.9,1807.8999999999942,80349.55954887217,,,,,,,,,,,
6,MRF,2021-01-12,82400.0,87000.0,81712.4,87936,85746.9,3346.899999999994,82260.51690140845,,,,,,,,,,,
7,MRF,2021-01-13,86200.0,87399.95,85300.0,57619,85642.3,-557.6999999999971,83433.54777160984,,,,,,,,,,,
8,MRF,2021-01-14,86300.0,89938.1,85785.0,55671,88749.65,2449.649999999994,85252.90757133171,83881.89064244364,,,,,,,,,,
9,MRF,2021-01-15,89150.0,89823.9,86401.3,57495,87551.75,-1598.25,86032.7113718225,84704.15217357961,,,,,,,,,,
10,MRF,2021-01-18,87800.0,88165.6,85111.25,30785,85661.85,-2138.149999999994,85907.64501996015,84913.69098577622,,,,,,,,,,
11,MRF,2021-01-19,86150.0,88005.7,86150.0,21305,87197.55,1047.550000000003,86340.95300145069,85404.16812068272,84938.77261937525,,,,,,,,,
12,MRF,2021-01-20,87800.0,94120.15,87600.6,80494,93081.5,5281.5,88599.40645671765,87028.95828020046,86352.6594306553,,,,,,,,,
13,MRF,2021-01-21,93600.0,96479.7,90602.0,111415,91712.9,-1887.1000000000058,89640.80493516849,88008.8423827452,87265.3372567384,,,,,,,,,
14,MRF,2021-01-22,92444.0,94345.95,91420.0,90867,92305.95,-138.0500000000029,90531.22002722594,88899.60482334913,88109.72618351349,,,,,,,,,
15,MRF,2021-01-25,93879.95,93879.95,89205.1,60275,89638.35,-4241.599999999991,90233.14288059185,89051.63307349627,88362.34332170627,,,,,,,,,
16,MRF,2021-01-27,90100.0,90177.25,87510.0,58528,88577.75,-1522.25,89680.78463262756,88954.67311462377,88397.53932635303,,,,,,,,,
17,MRF,2021-01-28,88100.0,89411.6,87122.75,51944,87487.7,-612.3000000000029,88949.26144427857,88655.89620539067,88250.28356056941,,,,,,,,,
18,MRF,2021-01-29,88499.1,89388.0,83455.7,56240,84069.15,-4429.950000000012,87321.82350367281,87725.13325657022,87578.94703854294,,,,,,,,,
19,MRF,2021-02-01,84888.0,88798.6,83900.05,46017,88133.65,3245.649999999994,87592.51374009391,87807.78956764142,87667.41769726638,,,,,,,,,
20,MRF,2021-02-02,89450.0,91949.9,88926.85,51519,90745.95,1295.949999999997,88643.86994202368,88400.89205904737,88155.66229596784,87508.9007975328,,,,,,,,
21,MRF,2021-02-03,91583.2,93278.35,89500.05,44550,89963.5,-1619.699999999997,89083.80542855324,88715.73679131755,88441.02353807198,87763.29783080141,,,,,,,,
22,MRF,2021-02-04,90999.9,93780.0,89964.0,63583,92181.95,1182.050000000003,90116.61231374081,89413.09591474278,89029.16359958687,88215.4939073359,,,,,,,,
23,MRF,2021-02-05,93318.3,93566.95,90272.15,49120,90693.05,-2625.25,90308.76962391815,89670.30135012147,89289.87706280302,88466.17703370845,,,,,,,,
24,MRF,2021-02-08,92249.9,92551.25,90000.0,36568,90870.75,-1379.1499999999942,90496.10383477884,89911.30155312199,89536.88088348761,88707.00173201444,88457.07061610946,,,,,,,
25,MRF,2021-02-09,91495.0,94699.0,90400.0,69603,93597.9,2102.899999999994,91530.06318784636,90650.85640990105,90169.87706746063,89192.35241625682,88908.90402986371,88847.97602661271,,,,1321.9010408479226,1321.9010408479226,0.0
26,MRF,2021-02-10,93852.0,97880.8,92750.0,72305,96973.85,3121.850000000006,93344.69073105861,91918.52015077471,91228.27755274056,89958.17658152392,89610.05118303861,89536.02760521352,,,,1692.2499475270452,1395.9708221837473,296.2791253432979
27,MRF,2021-02-11,96770.0,98599.95,89120.0,182954,90084.7,-6685.300000000003,92258.01440301831,91551.04532092398,91050.6906119432,89970.53573561809,89650.90686755572,89581.99868356275,,,,1468.6919283804455,1410.515043423087,58.176884957358425
28,MRF,2021-02-12,92000.0,93480.0,90085.0,138059,91278.05,-721.9499999999971,91931.35704668847,91496.3616378382,91085.9464787371,90097.39799025358,89789.69394583466,89722.73723386298,,,,1363.2092448741168,1401.053883713293,-37.84463883917624
29,MRF,2021-02-15,92373.4,92450.0,90000.0,54272,90643.9,-1729.5,91502.20245971036,91325.65798938928,91017.48335773262,90150.10028331036,89861.94849593789,89798.50068224063,,,,1218.9826754919923,1364.639642069033,-145.65696657704075
30,MRF,2021-02-16,91499.0,91550.0,89003.8,58998,89575.35,-1923.6499999999942,90859.9160734172,90975.24936361707,90794.3592806547,90094.97848432274,89837.89042270868,89780.29586690052,,,,1014.0634137541783,1294.5243964060621,-280.4609826518838
31,MRF,2021-02-17,90999.9,90999.9,88811.0,39383,89184.5,-1815.3999999999942,90301.44275450417,90616.81551033787,90545.50195450077,90008.09258475063,89783.42493047127,89732.05250293974,,,,813.4494515610277,1198.3094074370554,-384.8599558760277
32,MRF,2021-02-18,89500.0,90000.0,88350.0,36398,88881.35,-618.6499999999942,89828.0777715529,90269.50227235298,90288.4413745951,89901.05264732451,89708.71033156845,89663.64055750615,,,,624.8008170889516,1083.6076893674347,-458.80687227848307
33,MRF,2021-02-19,88160.0,89369.85,87000.0,34825,88120.1,-39.89999999999418,89258.75126121465,89839.40373201326,89953.70757638742,89732.55233555823,89577.90528979381,89540.29435909176,,,,413.4132172956597,949.5687949530798,-536.15557765742
34,MRF,2021-02-22,88800.0,88800.0,86226.0,33729,86921.3,-1878.699999999997,88479.60030571891,89255.54614483594,89485.8317054979,89467.55422129309,89360.34068040158,89332.22189068797,,,,153.60981480992632,790.3769989244491,-636.7671841145228
35,MRF,2021-02-23,87293.6,88105.05,85800.0,37383,87558.5,264.8999999999942,88172.56672990671,88916.02673552111,89188.59255784597,89288.20193745325,89213.50778413494,89192.0573382215,,,,-3.4647803755215136,631.608643064455,-635.0734234399765
