,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,NATCOPHARM,2021-01-04,972.0,974.6,961.0,367721,968.8,-3.2000000000000455,,,,,,,,,,,,
1,NATCOPHARM,2021-01-05,968.8,970.9,960.2,127821,966.45,-2.349999999999909,,,,,,,,,,,,
2,NATCOPHARM,2021-01-06,970.0,979.0,936.95,315429,953.05,-16.950000000000045,,,,,,,,,,,,
3,NATCOPHARM,2021-01-07,966.5,966.5,931.0,337497,934.55,-31.950000000000045,,,,,,,,,,,,
4,NATCOPHARM,2021-01-08,940.4,952.9,932.0,399488,938.3,-2.1000000000000227,945.3715639810425,,,,,,,,,,,
5,NATCOPHARM,2021-01-11,948.3,951.8,926.0,284731,932.15,-16.149999999999977,940.5402255639098,,,,,,,,,,,
6,NATCOPHARM,2021-01-12,936.75,961.45,932.2,319682,955.7,18.950000000000045,945.9076250607092,,,,,,,,,,,
7,NATCOPHARM,2021-01-13,957.0,972.0,935.0,744466,946.5,-10.5,946.1131007137193,,,,,,,,,,,
8,NATCOPHARM,2021-01-14,946.5,959.5,935.1,209489,936.9,-9.600000000000023,942.9600490323927,944.4922168256177,,,,,,,,,,
9,NATCOPHARM,2021-01-15,941.5,944.9,903.0,355432,916.6,-24.899999999999977,934.018302455838,938.2427411157148,,,,,,,,,,
10,NATCOPHARM,2021-01-18,916.6,918.0,886.7,308537,891.25,-25.350000000000023,919.595458854705,927.960997873115,,,,,,,,,,
11,NATCOPHARM,2021-01-19,899.0,917.95,895.2,147706,910.55,11.549999999999955,916.5568865733059,924.2218457190268,927.2754404125254,,,,,,,,,
12,NATCOPHARM,2021-01-20,915.0,918.9,902.9,137210,906.0,-9.0,913.0197497558524,920.3654700825526,923.5812157139286,,,,,,,,,
13,NATCOPHARM,2021-01-21,906.0,914.0,894.0,151788,896.75,-9.25,907.5778587080689,915.4250961214086,919.0127163504852,,,,,,,,,
14,NATCOPHARM,2021-01-22,903.95,907.2,882.95,164070,905.1,1.1499999999999773,906.7500152939281,913.2847708980782,916.682098184387,,,,,,,,,
15,NATCOPHARM,2021-01-25,910.0,914.0,884.0,232043,894.45,-15.549999999999955,902.6437586713816,909.408715456961,913.0080686692185,,,,,,,,,
16,NATCOPHARM,2021-01-27,895.1,902.95,882.05,178033,884.5,-10.600000000000023,896.5896944859493,904.3122092482566,908.3500416976316,,,,,,,,,
17,NATCOPHARM,2021-01-28,885.0,900.8,864.0,361342,894.35,9.350000000000023,895.8426241600191,902.2832163112655,906.0841615565182,,,,,,,,,
18,NATCOPHARM,2021-01-29,895.6,904.8,882.9,117665,890.25,-5.350000000000023,893.9775747959858,899.8413825153375,903.5417766279893,,,,,,,,,
19,NATCOPHARM,2021-02-01,894.6,899.0,865.0,476314,889.5,-5.100000000000023,892.4846008839469,897.7489822799942,901.3022262483368,,,,,,,,,
20,NATCOPHARM,2021-02-02,898.0,907.3,882.0,192797,887.05,-10.950000000000045,890.6727039964161,895.5892659568528,899.0418723520847,905.8330263278895,,,,,,,,
21,NATCOPHARM,2021-02-03,888.0,917.95,888.0,353992,893.25,5.25,891.5319175043337,895.1179349565475,898.1276443299491,904.5289093200544,,,,,,,,
22,NATCOPHARM,2021-02-04,900.3,909.9,890.3,407377,899.2,-1.099999999999909,894.0881727774736,895.9391958337884,898.2962376814004,903.9835593367419,,,,,,,,
