,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,NUVOCO,2021-08-23,485.0,550.0,485.0,22080190,531.7,46.700000000000045,,,,,,,,,,,,
1,NUVOCO,2021-08-24,532.0,564.95,507.15,5703185,520.55,-11.450000000000045,,,,,,,,,,,,
2,NUVOCO,2021-08-25,522.05,535.0,521.1,1295995,532.65,10.600000000000023,,,,,,,,,,,,
3,NUVOCO,2021-08-26,532.9,538.8,522.4,1535636,528.55,-4.350000000000023,,,,,,,,,,,,
4,NUVOCO,2021-08-27,525.0,538.0,520.2,980070,535.9,10.899999999999977,531.4,,,,,,,,,,,
5,NUVOCO,2021-08-30,542.0,565.0,529.2,1890032,542.8,0.7999999999999545,535.5657142857143,,,,,,,,,,,
6,NUVOCO,2021-08-31,550.0,559.8,539.6,931453,556.15,6.149999999999977,542.8536911121905,,,,,,,,,,,
7,NUVOCO,2021-09-01,560.0,571.9,555.95,1565064,562.2,2.2000000000000455,549.5642981760509,,,,,,,,,,,
8,NUVOCO,2021-09-02,563.5,570.0,555.95,826114,564.35,0.8500000000000227,554.6244927233845,549.4827712138695,,,,,,,,,,
9,NUVOCO,2021-09-03,564.35,567.25,555.0,481989,560.85,-3.5,556.7362834984922,552.0296903286883,,,,,,,,,,
10,NUVOCO,2021-09-06,562.0,577.9,560.2,1038320,567.4,5.399999999999977,560.3324307962926,555.3926262598044,,,,,,,,,,
11,NUVOCO,2021-09-07,574.0,577.0,556.3,1016848,560.4,-13.600000000000023,560.3551288056208,556.4680001380522,554.5402906240881,,,,,,,,,
12,NUVOCO,2021-09-08,563.5,563.9,552.0,331856,553.4,-10.100000000000023,558.0247786595182,555.8187047171866,554.3422928526951,,,,,,,,,
13,NUVOCO,2021-09-09,553.0,553.1,542.1,494998,546.75,-6.25,554.2536009847723,553.9215249240478,553.0495677881872,,,,,,,,,
14,NUVOCO,2021-09-13,545.0,551.5,542.0,223610,544.8,-0.20000000000004547,551.0951879204304,552.0306921762832,551.6676239559938,,,,,,,,,
15,NUVOCO,2021-09-14,542.55,555.5,542.55,482527,552.05,9.5,551.4139439001043,552.0346655824678,551.7308146121306,,,,,,,,,
16,NUVOCO,2021-09-15,555.0,557.9,550.05,595194,554.55,-0.4500000000000455,552.4603580010498,552.5493214866661,552.1914505719695,,,,,,,,,
17,NUVOCO,2021-09-16,552.0,569.4,548.7,1565279,557.05,5.0499999999999545,553.9912745459484,553.4659700620634,552.9777975630257,,,,,,,,,
18,NUVOCO,2021-09-17,558.0,562.05,537.5,817009,538.6,-19.399999999999977,548.8585343541803,550.4493012706266,550.6692512153583,,,,,,,,,
19,NUVOCO,2021-09-20,536.0,543.95,535.25,440764,539.7,3.7000000000000455,545.8047712153574,548.2743657167898,548.9197439147727,,,,,,,,,
20,NUVOCO,2021-09-21,540.0,544.85,532.0,419127,536.3,-3.7000000000000455,542.6358788257306,545.8571981375734,546.9182960826638,547.8063965494804,,,,,,,,
21,NUVOCO,2021-09-22,536.3,552.5,536.1,835616,545.0,8.700000000000045,543.4240245584915,545.6844841054393,546.6154993483931,547.515538899219,,,,,,,,
22,NUVOCO,2021-09-23,554.75,554.75,549.0,368460,552.0,-2.75,546.2829377818513,546.9550876035672,547.4620384548665,547.974469730951,,,,,,,,
23,NUVOCO,2021-09-24,552.6,562.0,551.95,402319,553.45,0.8500000000000227,548.6721004451227,548.2602334599011,548.4002889217548,548.5284927258115,,,,,,,,
24,NUVOCO,2021-09-27,560.0,562.4,550.9,354994,552.35,-7.649999999999977,549.898115516221,549.0812886266408,549.0174123501922,548.9112273524092,548.8332880371814,,,,,,,
25,NUVOCO,2021-09-28,559.75,559.75,540.05,449949,547.7,-12.049999999999955,549.1653909991805,548.8041934324758,548.8120656215841,548.7910306130673,548.733682046714,548.7177868625012,,,,0.09427875908295391,0.09427875908295391,0.0
