,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,NYKAA,2021-11-10,2018.0,2248.0,2000.0,34324631,2205.8,187.80000000000018,,,,,,,,,,,,
1,NYKAA,2021-11-11,2213.7,2240.7,2043.75,7189777,2213.55,-0.1499999999996362,,,,,,,,,,,,
2,NYKAA,2021-11-12,2248.0,2409.95,2180.1,5829703,2358.3,110.30000000000018,,,,,,,,,,,,
3,NYKAA,2021-11-15,2261.0,2332.4,2185.0,3455853,2282.25,21.25,,,,,,,,,,,,
4,NYKAA,2021-11-16,2268.0,2310.0,2228.0,1507125,2236.75,-31.25,2264.1471563981045,,,,,,,,,,,
5,NYKAA,2021-11-17,2240.0,2259.0,2101.0,2695454,2123.05,-116.94999999999982,2212.588345864662,,,,,,,,,,,
6,NYKAA,2021-11-18,2110.0,2178.0,2090.0,1993152,2125.25,15.25,2181.6657357940753,,,,,,,,,,,
7,NYKAA,2021-11-22,2135.25,2171.95,2082.0,1691290,2097.7,-37.55000000000018,2152.540745440127,,,,,,,,,,,
8,NYKAA,2021-11-23,2070.0,2147.3,2057.7,839806,2134.9,64.90000000000009,2146.5034531323354,2166.0741943877547,,,,,,,,,,
9,NYKAA,2021-11-24,2150.0,2318.8,2126.05,2508544,2247.5,97.5,2180.763083153813,2184.3183016064268,,,,,,,,,,
10,NYKAA,2021-11-25,2247.45,2431.15,2247.0,2634281,2397.55,150.10000000000036,2253.870586068453,2230.9721788226466,,,,,,,,,,
11,NYKAA,2021-11-26,2385.0,2573.7,2308.0,3721929,2437.1,52.09999999999991,2315.421451232116,2275.239790144508,2263.5477891763535,,,,,,,,,
12,NYKAA,2021-11-29,2421.0,2537.0,2350.0,1740423,2486.4,65.40000000000009,2372.7086557163316,2319.928626897702,2302.2433990156183,,,,,,,,,
13,NYKAA,2021-11-30,2478.0,2558.0,2381.15,947009,2440.45,-37.55000000000018,2395.3667187200067,2345.141788073597,2325.775570474143,,,,,,,,,
14,NYKAA,2021-12-01,2475.0,2535.0,2460.0,740564,2493.1,18.09999999999991,2428.019045903369,2375.8125623948495,2353.8052769139936,,,,,,,,,
15,NYKAA,2021-12-02,2535.0,2560.0,2412.2,1078937,2438.2,-96.80000000000018,2431.417871773429,2388.6514319672683,2367.752170318783,,,,,,,,,
16,NYKAA,2021-12-03,2439.45,2465.0,2282.0,897900,2324.7,-114.75,2395.8091064039822,2375.5664990794253,2360.7177348101172,,,,,,,,,
17,NYKAA,2021-12-06,2330.0,2354.0,2172.2,1895670,2191.2,-138.80000000000018,2327.5598908219326,2338.0167633603714,2333.2816116064446,,,,,,,,,
18,NYKAA,2021-12-07,2228.0,2257.65,2125.0,2119898,2153.9,-74.09999999999991,2269.6471365104694,2300.6549705079187,2304.479511528356,,,,,,,,,
19,NYKAA,2021-12-08,2049.0,2249.0,2026.55,8353422,2182.85,133.8499999999999,2240.7060542607674,2276.819168317081,2285.080583177842,,,,,,,,,
20,NYKAA,2021-12-09,2174.0,2259.1,2151.0,3214448,2163.45,-10.550000000000182,2214.948872225289,2253.9342586174757,2265.79039245262,2275.615481811262,,,,,,,,
21,NYKAA,2021-12-10,2163.5,2179.25,2100.0,1923637,2114.8,-48.69999999999982,2181.5614523483996,2225.9005546691114,2241.957055068422,2258.9484098773487,,,,,,,,
