,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,OBEROIRLTY,2021-01-04,586.8,597.0,580.8,280636,590.1,3.300000000000068,,,,,,,,,,,,
1,OBEROIRLTY,2021-01-05,590.0,601.2,580.0,529058,587.25,-2.75,,,,,,,,,,,,
2,OBEROIRLTY,2021-01-06,585.6,592.95,575.05,215113,587.55,1.9499999999999318,,,,,,,,,,,,
3,OBEROIRLTY,2021-01-07,620.0,628.0,573.2,1728322,589.7,-30.299999999999955,,,,,,,,,,,,
4,OBEROIRLTY,2021-01-08,591.0,604.8,585.4,558387,590.5,-0.5,589.391943127962,,,,,,,,,,,
5,OBEROIRLTY,2021-01-11,592.2,601.0,583.45,436807,585.55,-6.650000000000091,587.988045112782,,,,,,,,,,,
6,OBEROIRLTY,2021-01-12,585.55,602.0,577.45,514415,595.0,9.450000000000045,590.4706653715397,,,,,,,,,,,
7,OBEROIRLTY,2021-01-13,597.8,600.0,566.3,743283,580.3,-17.5,586.9427914353688,,,,,,,,,,,
8,OBEROIRLTY,2021-01-14,581.7,585.8,576.05,156731,579.35,-2.3500000000000227,584.3442673830266,585.7069815391185,,,,,,,,,,
9,OBEROIRLTY,2021-01-15,580.05,582.2,554.05,405012,559.6,-20.449999999999932,575.9506195605344,579.8575021661575,,,,,,,,,,
10,OBEROIRLTY,2021-01-18,563.0,569.85,539.6,512893,556.85,-6.149999999999977,569.50927789422,574.8235921555988,,,,,,,,,,
11,OBEROIRLTY,2021-01-19,563.2,589.0,560.3,410258,583.7,20.5,574.2762593747927,576.7298722984049,577.9143677140911,,,,,,,,,
12,OBEROIRLTY,2021-01-20,585.8,587.35,571.7,285148,582.35,-3.449999999999932,576.9814059179223,577.919286580388,578.6845619863022,,,,,,,,,
13,OBEROIRLTY,2021-01-21,585.0,586.85,568.0,293774,569.8,-15.200000000000045,574.579375821474,576.2207257698433,577.1718047481789,,,,,,,,,
14,OBEROIRLTY,2021-01-22,569.9,575.85,561.65,228210,567.45,-2.449999999999932,572.1974777731622,574.4026114035096,575.5432360213698,,,,,,,,,
15,OBEROIRLTY,2021-01-25,600.0,601.0,545.3,1511858,550.75,-49.25,565.0374177619813,569.5350803024775,571.445958285208,,,,,,,,,
16,OBEROIRLTY,2021-01-27,555.0,555.0,530.65,521717,536.7,-18.299999999999955,555.5820149930365,562.8167816044162,565.7687020415786,,,,,,,,,
