,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,PGHH,2021-01-04,11175.0,11175.0,10960.0,15091,10998.2,-176.79999999999927,,,,,,,,,,,,
1,PGHH,2021-01-05,11000.0,11125.0,10965.0,7814,11106.95,106.95000000000073,,,,,,,,,,,,
2,PGHH,2021-01-06,11042.0,11266.05,11042.0,9145,11236.5,194.5,,,,,,,,,,,,
3,PGHH,2021-01-07,11290.0,11350.0,11202.9,5398,11229.3,-60.70000000000073,,,,,,,,,,,,
4,PGHH,2021-01-08,11291.4,11320.0,11089.55,4725,11257.05,-34.350000000000364,11209.740521327014,,,,,,,,,,,
5,PGHH,2021-01-11,11260.0,11350.0,11130.0,12010,11256.3,-3.7000000000007276,11226.753984962406,,,,,,,,,,,
6,PGHH,2021-01-12,11201.05,11350.0,11201.05,6451,11315.85,114.80000000000109,11258.298907236524,,,,,,,,,,,
7,PGHH,2021-01-13,11358.0,11375.55,11300.0,5353,11340.85,-17.149999999999636,11286.933203806502,,,,,,,,,,,
8,PGHH,2021-01-14,11347.65,11399.0,11234.35,4491,11357.4,9.75,11311.04945490585,11283.67372501524,,,,,,,,,,
9,PGHH,2021-01-15,11399.0,11484.9,11331.0,14205,11370.55,-28.450000000000728,11331.2329831969,11303.139053772667,,,,,,,,,,
10,PGHH,2021-01-18,11330.0,11426.4,11235.4,9900,11316.05,-13.950000000000728,11326.112794190716,11305.963895034885,,,,,,,,,,
11,PGHH,2021-01-19,11250.0,11449.0,11250.0,5458,11375.75,125.75,11342.787043681083,11320.951023665155,11309.954727052238,,,,,,,,,
12,PGHH,2021-01-20,11390.0,11434.45,11262.0,4192,11350.0,-40.0,11345.203780204789,11327.098796307375,11316.908107735186,,,,,,,,,
13,PGHH,2021-01-21,11310.0,11400.0,11152.85,9045,11228.85,-81.14999999999964,11306.285874006235,11306.545074814898,11301.914623525472,,,,,,,,,
14,PGHH,2021-01-22,11360.0,11400.0,11250.05,3854,11289.5,-70.5,11300.677775690778,11303.011741746526,11299.834961554016,,,,,,,,,
