,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,PIDILITIND,2021-01-04,1774.5,1790.0,1765.1,372161,1784.95,10.450000000000045,,,,,,,,,,,,
1,PIDILITIND,2021-01-05,1799.95,1806.9,1757.0,540889,1800.55,0.599999999999909,,,,,,,,,,,,
2,PIDILITIND,2021-01-06,1800.55,1800.55,1770.0,588130,1795.4,-5.149999999999864,,,,,,,,,,,,
3,PIDILITIND,2021-01-07,1798.0,1819.1,1760.0,972924,1768.95,-29.049999999999955,,,,,,,,,,,,
4,PIDILITIND,2021-01-08,1782.3,1823.9,1771.65,803362,1819.05,36.75,1797.5030805687204,,,,,,,,,,,
5,PIDILITIND,2021-01-11,1819.05,1842.0,1808.0,632157,1833.15,14.100000000000136,1810.5289473684213,,,,,,,,,,,
6,PIDILITIND,2021-01-12,1832.9,1832.9,1796.7,579402,1800.1,-32.80000000000018,1806.8365225837786,,,,,,,,,,,
7,PIDILITIND,2021-01-13,1809.9,1815.0,1771.0,530319,1793.1,-16.800000000000182,1802.071768437748,,,,,,,,,,,
8,PIDILITIND,2021-01-14,1794.0,1803.95,1774.65,457266,1790.0,-4.0,1797.9403786969904,1798.967344517768,,,,,,,,,,
9,PIDILITIND,2021-01-15,1785.0,1795.55,1741.35,986643,1746.95,-38.049999999999955,1780.6436337785437,1787.3124397430827,,,,,,,,,,
10,PIDILITIND,2021-01-18,1741.0,1756.9,1714.65,768018,1726.85,-14.150000000000091,1762.5026947612494,1774.083603405812,,,,,,,,,,
11,PIDILITIND,2021-01-19,1738.0,1761.65,1729.15,525026,1736.35,-1.650000000000091,1753.7174186727855,1765.9800078804676,1770.4017734143704,,,,,,,,,
12,PIDILITIND,2021-01-20,1742.0,1796.7,1738.05,884517,1758.65,16.65000000000009,1755.37010432934,1764.4287235461984,1768.361219105839,,,,,,,,,
13,PIDILITIND,2021-01-21,1760.0,1819.5,1760.0,910040,1775.55,15.549999999999955,1762.1198574136413,1766.755302878093,1769.585238967222,,,,,,,,,
14,PIDILITIND,2021-01-22,1779.7,1794.45,1731.9,697476,1735.25,-44.450000000000045,1753.1427376019471,1760.2244586490663,1763.833498641434,,,,,,,,,
15,PIDILITIND,2021-01-25,1749.75,1779.75,1742.2,899845,1765.5,15.75,1757.2681056885708,1761.3101257309106,1764.1089011305585,,,,,,,,,
