,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,RAJESHEXPO,2021-01-04,485.6,487.95,481.25,203133,484.0,-1.6000000000000227,,,,,,,,,,,,
1,RAJESHEXPO,2021-01-05,481.0,487.7,478.0,215378,484.1,3.1000000000000227,,,,,,,,,,,,
2,RAJESHEXPO,2021-01-06,486.3,490.0,468.35,241195,479.05,-7.25,,,,,,,,,,,,
3,RAJESHEXPO,2021-01-07,485.0,487.75,480.05,160784,482.25,-2.75,,,,,,,,,,,,
4,RAJESHEXPO,2021-01-08,483.9,490.0,481.95,249725,484.35,0.4500000000000455,482.85331753554493,,,,,,,,,,,
5,RAJESHEXPO,2021-01-11,486.5,489.75,482.45,241888,484.9,-1.6000000000000227,483.6012030075188,,,,,,,,,,,
6,RAJESHEXPO,2021-01-12,485.15,486.7,482.0,233545,483.15,-2.0,483.4414521612434,,,,,,,,,,,
7,RAJESHEXPO,2021-01-13,486.95,489.85,481.0,233390,483.85,-3.099999999999966,483.5831641554322,,,,,,,,,,,
8,RAJESHEXPO,2021-01-14,485.25,488.95,483.05,220626,484.2,-1.0500000000000114,483.79426738302647,483.6049997013568,,,,,,,,,,
9,RAJESHEXPO,2021-01-15,486.0,486.2,478.2,390436,481.3,-4.699999999999989,482.94817233950886,483.0885459632039,,,,,,,,,,
10,RAJESHEXPO,2021-01-18,482.0,486.25,477.45,169728,483.65,1.6499999999999773,483.1848511413543,483.2113888983424,,,,,,,,,,
11,RAJESHEXPO,2021-01-19,484.0,492.5,480.0,241869,484.15,0.14999999999997726,483.50906626591694,483.4129631991487,483.3765743448206,,,,,,,,,
12,RAJESHEXPO,2021-01-20,486.0,488.2,482.5,375813,485.2,-0.8000000000000114,484.0756219379105,483.79116227330115,483.6931903095577,,,,,,,,,
13,RAJESHEXPO,2021-01-21,486.05,486.55,477.9,175904,479.1,-6.949999999999989,482.4113804537211,482.8097676255765,482.91111665217596,,,,,,,,,
14,RAJESHEXPO,2021-01-22,477.55,487.0,474.95,236265,485.35,7.800000000000011,483.3931623568338,483.3363412632617,483.3196713651623,,,,,,,,,
15,RAJESHEXPO,2021-01-25,486.05,487.4,476.6,192420,478.9,-7.150000000000034,481.8931579061862,482.4233753033798,482.58928582492774,,,,,,,,,
16,RAJESHEXPO,2021-01-27,480.4,487.7,476.3,239693,482.05,1.650000000000034,481.9454917208122,482.34697997279204,482.50117014276583,,,,,,,,,
17,RAJESHEXPO,2021-01-28,481.7,481.7,475.75,167073,478.2,-3.5,480.696149126012,481.5023688162746,481.80503392970786,,,,,,,,,
18,RAJESHEXPO,2021-01-29,480.0,484.75,472.35,146985,477.55,-2.4499999999999886,479.64695946857535,480.7003365499289,481.1218317219588,,,,,,,,,
19,RAJESHEXPO,2021-02-01,478.55,480.0,475.05,200964,476.75,-1.8000000000000114,478.6810158254463,479.90105414117,480.42455974191796,,,,,,,,,
20,RAJESHEXPO,2021-02-02,481.4,481.95,475.0,200887,477.5,-3.8999999999999773,478.2872649421806,479.41637291769257,479.9607346599777,480.7814286118337,,,,,,,,
21,RAJESHEXPO,2021-02-03,479.65,485.0,476.1,304674,477.2,-2.4499999999999886,477.9247948480557,478.969803231469,479.524961764029,480.410245889702,,,,,,,,
22,RAJESHEXPO,2021-02-04,478.4,480.55,477.1,136730,478.1,-0.2999999999999545,477.9832017697069,478.7948096051305,479.3009324739369,480.17381991925896,,,,,,,,
