,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,SBIN,2021-01-04,281.85,283.9,277.75,31450608,281.05,-0.8000000000000114,,,,,,,,,,,,
1,SBIN,2021-01-05,278.05,282.45,277.0,27393072,281.75,3.6999999999999886,,,,,,,,,,,,
2,SBIN,2021-01-06,283.0,289.15,281.4,40765708,285.05,2.0500000000000114,,,,,,,,,,,,
3,SBIN,2021-01-07,289.0,291.8,287.0,30546600,287.7,-1.3000000000000114,,,,,,,,,,,,
4,SBIN,2021-01-08,290.1,291.4,285.2,32543357,286.0,-4.100000000000023,285.41421800947865,,,,,,,,,,,
5,SBIN,2021-01-11,288.0,288.2,279.6,29703173,282.5,-5.5,284.34932330827064,,,,,,,,,,,
6,SBIN,2021-01-12,280.0,293.85,277.9,44307145,292.5,12.5,287.2351141330743,,,,,,,,,,,
7,SBIN,2021-01-13,296.0,308.0,294.5,78042133,306.8,10.800000000000011,294.02153846153846,,,,,,,,,,,
8,SBIN,2021-01-14,306.7,309.25,303.8,40123498,307.25,0.5500000000000114,298.54878983881906,294.9732161686027,,,,,,,,,,
9,SBIN,2021-01-15,306.8,310.9,301.3,35307601,303.85,-2.9499999999999886,300.3470443774235,296.96213104342996,,,,,,,,,,
10,SBIN,2021-01-18,303.5,308.65,292.2,54969750,294.45,-9.050000000000011,298.3583718353617,296.4124911252837,,,,,,,,,,
11,SBIN,2021-01-19,297.65,302.5,296.4,35803901,298.6,0.9500000000000455,298.4395401492382,296.8822762909928,296.00092158291864,,,,,,,,,
12,SBIN,2021-01-20,298.8,304.7,296.85,33759304,302.55,3.75,299.81676995784085,298.0817635417744,297.1380903922273,,,,,,,,,
13,SBIN,2021-01-21,304.0,305.15,291.5,29995203,294.85,-9.149999999999977,298.1554892758653,297.4056761975655,296.7485016530572,,,,,,,,,
14,SBIN,2021-01-22,295.5,298.0,282.4,44440810,283.7,-11.800000000000011,293.3259638649779,294.56457872752594,294.5626542436174,,,,,,,,,
15,SBIN,2021-01-25,284.5,288.0,277.05,34034630,280.95,-3.5500000000000114,289.194352450962,291.76279991954834,292.3130558001399,,,,,,,,,
16,SBIN,2021-01-27,280.2,284.85,272.7,39211107,275.65,-4.550000000000011,284.67498132321543,288.46600266111574,289.59042438491826,,,,,,,,,
17,SBIN,2021-01-28,271.9,283.35,269.5,48717297,282.35,10.450000000000045,283.8994628023581,287.2203626737611,288.4185754589401,,,,,,,,,
18,SBIN,2021-01-29,285.6,290.65,279.1,42300984,282.1,-3.5,283.2993711711107,286.1813158968413,287.40404425315177,,,,,,,,,
19,SBIN,2021-02-01,285.1,313.9,282.75,103414068,310.7,25.599999999999966,292.4356616584678,291.1422483748409,291.1195617349801,,,,,,,,,
20,SBIN,2021-02-02,315.0,337.4,315.0,121434166,333.1,18.100000000000023,305.9931591910209,299.61191761026004,297.7775143625408,295.6294501360515,,,,,,,,
21,SBIN,2021-02-03,333.75,339.9,325.8,66420168,335.95,2.1999999999999886,315.9801076213993,306.93355826071956,303.8029158083745,299.8083108864491,,,,,,,,
22,SBIN,2021-02-04,334.4,358.0,331.1,145203439,355.1,20.700000000000045,329.021233774382,316.6240491704188,311.8677282442885,305.4667524031632,,,,,,,,
23,SBIN,2021-02-05,387.0,408.35,385.15,214955688,393.1,6.100000000000023,350.3820914193839,331.99181154227665,324.59596912004054,314.3336259108108,,,,,,,,
24,SBIN,2021-02-08,398.0,407.8,394.75,79389205,397.05,-0.9499999999999886,365.93867702015086,345.0527922237442,335.9165642357248,322.61790179440584,319.68747647522144,,,,,,,
25,SBIN,2021-02-09,396.75,403.5,389.0,63869990,394.8,-1.9499999999999886,375.5593720134306,355.0323952785013,345.094799813699,329.78092765071057,326.28920265315054,325.5818069822475,,,,19.512992831451527,19.512992831451527,0.0
26,SBIN,2021-02-10,394.05,397.9,388.0,54163507,392.25,-1.8000000000000114,381.1230126009568,362.49395717245756,352.4300857202563,335.92888627590514,332.023676938799,331.22688043509186,,,,21.203205285164415,19.851035322194107,1.352169962970308
27,SBIN,2021-02-11,391.8,396.95,388.25,36392708,390.15,-1.650000000000034,384.13204370850013,368.03588538613883,358.28763702320504,341.22535318887253,337.0269354159429,336.16381433560855,,,,22.123822687596487,20.305592795274585,1.8182298923219022
28,SBIN,2021-02-12,391.0,399.35,385.55,53589755,393.15,2.1499999999999773,387.13805265393364,373.0664927968306,363.6936281095454,346.2633691746672,341.8139489259228,340.89253514718945,,,,22.801092962355938,20.804692828690857,1.9964001336650803
29,SBIN,2021-02-15,397.5,409.45,395.7,56608937,406.95,9.449999999999989,393.74206954319817,379.85159378564913,370.3930734516076,352.11572569915484,347.32359855075146,346.32560464621264,,,,24.06746880539498,21.457248024031685,2.610220781363296
30,SBIN,2021-02-16,412.0,415.75,400.3,80365431,402.35,-9.649999999999977,396.61138967131694,384.3557357146285,375.3373871685912,356.93347638272354,351.94270581882813,350.8961206836982,,,,24.441266484892992,22.05405171620395,2.3872147686890415
31,SBIN,2021-02-17,403.0,414.85,400.15,74161370,411.75,8.75,401.65760481042986,389.83893280800686,380.9661682529959,362.16455328120236,356.9281381174239,355.8236403450121,,,,25.142527907983776,22.671746954559914,2.470780953423862
32,SBIN,2021-02-18,425.05,427.7,413.7,67154539,415.2,-9.850000000000023,406.17174351559396,394.9143631825859,386.25424823720505,367.2028920952117,361.7545207612727,360.5985790136131,,,,25.65566922359193,23.26853140836632,2.387137815225607
33,SBIN,2021-02-19,415.0,415.0,395.0,66155518,399.55,-15.449999999999989,403.96449340328104,395.84196089398694,388.3067559925478,370.26333155994575,364.8665735677234,363.7112343164787,,,,24.595521676069097,23.53392946190688,1.0615922141622178
34,SBIN,2021-02-22,400.6,401.0,385.65,52535049,389.5,-11.100000000000023,399.14299229096605,394.5730539853962,388.4908638557248,372.07664472179886,366.88394582107236,365.7600864318829,,,,22.730777423841914,23.373299054293888,-0.6425216304519736
