,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,SOLARINDS,2021-01-04,1095.0,1100.0,1090.0,21272,1098.15,3.150000000000091,,,,,,,,,,,,
1,SOLARINDS,2021-01-05,1098.0,1133.4,1089.5,29912,1118.0,20.0,,,,,,,,,,,,
2,SOLARINDS,2021-01-06,1119.0,1129.6,1110.45,36399,1124.85,5.849999999999909,,,,,,,,,,,,
3,SOLARINDS,2021-01-07,1130.5,1132.65,1111.25,126418,1124.8,-5.7000000000000455,,,,,,,,,,,,
4,SOLARINDS,2021-01-08,1135.0,1143.95,1107.0,35600,1128.7,-6.2999999999999545,1123.5113744075827,,,,,,,,,,,
5,SOLARINDS,2021-01-11,1134.35,1137.95,1120.0,27068,1129.3,-5.0499999999999545,1125.6266165413533,,,,,,,,,,,
6,SOLARINDS,2021-01-12,1148.0,1243.95,1126.35,110455,1182.9,34.90000000000009,1145.9045653229725,,,,,,,,,,,
7,SOLARINDS,2021-01-13,1188.7,1229.0,1155.05,64736,1179.35,-9.350000000000136,1157.5057018239493,,,,,,,,,,,
8,SOLARINDS,2021-01-14,1185.05,1193.0,1164.5,15463,1181.2,-3.849999999999909,1165.614735798863,1156.041424120082,,,,,,,,,,
9,SOLARINDS,2021-01-15,1187.0,1187.0,1165.5,113459,1178.7,-8.299999999999955,1170.053464885825,1161.1182604457085,,,,,,,,,,
10,SOLARINDS,2021-01-18,1184.5,1186.1,1155.1,17116,1170.85,-13.650000000000091,1170.3220820792808,1163.2475094536496,,,,,,,,,,
11,SOLARINDS,2021-01-19,1175.0,1199.0,1170.0,11181,1182.15,7.150000000000091,1174.2953446984422,1167.3069716831612,1163.8426977351614,,,,,,,,,
12,SOLARINDS,2021-01-20,1185.7,1190.0,1167.8,9672,1187.25,1.5499999999999545,1178.6358657324017,1171.5276093564494,1167.9070946396494,,,,,,,,,
13,SOLARINDS,2021-01-21,1193.2,1193.2,1175.6,10669,1185.15,-8.049999999999955,1180.814707416316,1174.3774236429606,1170.8430108874468,,,,,,,,,
14,SOLARINDS,2021-01-22,1185.6,1191.0,1155.65,7336,1175.45,-10.149999999999864,1179.022378544243,1174.59976174073,1171.6147604327007,,,,,,,,,
15,SOLARINDS,2021-01-25,1168.0,1183.85,1148.5,15129,1176.95,8.950000000000045,1178.3305324027249,1175.0834232538994,1172.496450837186,,,,,,,,,
16,SOLARINDS,2021-01-27,1190.0,1193.1,1150.7,21494,1184.65,-5.349999999999909,1180.439161774654,1177.0408151501933,1174.4822591519396,,,,,,,,,
17,SOLARINDS,2021-01-28,1184.0,1188.0,1165.0,6241,1183.0,-1.0,1181.2933524956052,1178.254516214804,1175.8608393198854,,,,,,,,,
18,SOLARINDS,2021-01-29,1177.75,1195.0,1172.05,10023,1187.05,9.299999999999955,1183.2131009821544,1180.0393349201838,1177.657407668293,,,,,,,,,
19,SOLARINDS,2021-02-01,1196.95,1201.2,1122.95,37769,1189.05,-7.900000000000091,1185.159319271721,1181.8624874537684,1179.4744344703604,,,,,,,,,
20,SOLARINDS,2021-02-02,1187.85,1220.0,1175.15,37211,1210.9,23.050000000000182,1193.741266739521,1187.7240533661434,1184.45842070866,1178.253742596395,,,,,,,,
21,SOLARINDS,2021-02-03,1210.9,1225.0,1200.2,14503,1221.5,10.599999999999909,1202.9954147096882,1194.529457713843,1190.305312303243,1182.7358265033683,,,,,,,,
22,SOLARINDS,2021-02-04,1225.0,1235.0,1207.05,17647,1220.7,-4.2999999999999545,1208.8974690410926,1199.7946463590545,1195.0838968794505,1186.6210045275,,,,,,,,
23,SOLARINDS,2021-02-05,1230.0,1258.0,1209.0,29585,1241.8,11.799999999999955,1219.865630904554,1208.2355782611423,1202.4038178965925,1192.204104395995,,,,,,,,
24,SOLARINDS,2021-02-08,1251.95,1270.0,1243.05,18992,1249.5,-2.4500000000000455,1229.7441451465552,1216.5197593602422,1209.7623706591094,1197.942448362444,1194.8988263042618,,,,,,,
25,SOLARINDS,2021-02-09,1252.25,1256.95,1220.1,16055,1250.0,-2.25,1236.4962750301784,1223.2361064015734,1216.0342608162723,1203.1084049869473,1199.7417319044414,1199.0364466301705,,,,16.997814186101778,16.997814186101778,0.0
26,SOLARINDS,2021-02-10,1256.6,1256.6,1222.55,15299,1240.4,-16.199999999999818,1237.7975395902727,1226.6772051875992,1219.8245037275763,1206.7784960349757,1203.276464689234,1202.5388708968842,,,,17.285632830692066,17.055377915019836,0.23025491567223
27,SOLARINDS,2021-02-11,1230.15,1250.9,1230.0,30995,1244.6,14.449999999999818,1240.0650530004357,1230.2687111329087,1223.671907499373,1210.4730041442842,1206.8334130296864,1206.063005662601,,,,17.60890183677202,17.16608269937027,0.4428191374017487
28,SOLARINDS,2021-02-12,1249.9,1264.65,1237.0,8380,1240.25,-9.650000000000091,1240.1267024825522,1232.268062753106,1226.242617360508,1213.3621327247001,1209.6836788601406,1208.8998467272183,,,,17.342770633289547,17.20142028615413,0.14135034713541828
29,SOLARINDS,2021-02-15,1240.0,1254.0,1233.4,12357,1248.25,8.25,1242.8344824430314,1235.4684120430104,1229.6510691254528,1216.726567937156,1212.9458802569923,1212.1363033185303,,,,17.51476580692247,17.2640893903078,0.2506764166146702
30,SOLARINDS,2021-02-16,1254.5,1410.3,1241.15,242770,1289.85,35.34999999999991,1258.506376115631,1246.3555116956657,1238.964930995744,1223.739518153095,1219.4014791893994,1218.4762503143336,,,,20.488680681410415,17.909007648528323,2.5796730328820914
31,SOLARINDS,2021-02-17,1284.5,1288.95,1245.65,26461,1273.6,-10.900000000000091,1263.5375957385488,1251.808729841067,1244.318933526978,1228.4976457672688,1223.9193738690478,1222.9397843311158,,,,21.379149195862283,18.603035957995115,2.7761132378671682
32,SOLARINDS,2021-02-18,1280.0,1309.8,1262.0,39351,1271.55,-8.450000000000045,1266.2084012859968,1255.7594879633061,1248.525300451629,1232.5875961831737,1227.8643932977614,1226.8489293146595,,,,21.676371136969465,19.217702993789985,2.45866814317948
33,SOLARINDS,2021-02-19,1273.0,1306.0,1263.65,17181,1278.05,5.0499999999999545,1270.1556049235123,1260.2198520439265,1253.0831228206332,1236.8889060626293,1231.9966403634658,1230.940468984979,,,,22.1426538356543,19.802693162162846,2.339960673491454
34,SOLARINDS,2021-02-22,1277.0,1292.9,1271.15,13904,1278.7,1.7000000000000455,1273.0037385716635,1263.917381531293,1257.0355990026262,1240.8301606090897,1235.8214457403367,1234.7348427581048,,,,22.30075624452138,20.302305778634555,1.998450465886826
35,SOLARINDS,2021-02-23,1275.0,1349.0,1275.0,105856,1299.4,24.40000000000009,1281.802496409541,1271.016208926233,1263.569169953243,1246.3326939272777,1241.0024938562626,1239.8448675441596,,,,23.72430240908352,20.98670510472435,2.73759730435917
36,SOLARINDS,2021-02-24,1299.4,1305.9,1284.85,25663,1293.8,-5.600000000000136,1285.8016654936828,1275.5741504502594,1268.2297065328662,1250.7786518542557,1245.285427017151,1244.0875595702062,,,,24.142146962660036,21.61779347631149,2.524353486348545
37,SOLARINDS,2021-02-25,1323.0,1325.0,1298.05,15682,1319.7,-3.2999999999999545,1297.1011126283886,1284.4011536570483,1276.1620960717225,1257.21633966036,1251.296707598962,1250.0062588947972,,,,26.155837176925388,22.525402216434273,3.6304349604911152
38,SOLARINDS,2021-02-26,1319.7,1320.0,1295.0,9433,1304.75,-14.950000000000045,1299.6507420981332,1288.4715992444173,1280.5667579751112,1261.6452229533875,1255.5981214816775,1254.2734893994727,,,,26.29326857563842,23.278975488275105,3.014293087363317
39,SOLARINDS,2021-03-01,1325.0,1349.0,1306.55,16004,1340.65,15.650000000000091,1313.3171626347155,1298.908666719762,1289.821930997004,1268.9897522595006,1262.418096384355,1260.9804784076368,,,,28.841452589367236,24.39147090849353,4.449981680873705
40,SOLARINDS,2021-03-02,1374.0,1374.0,1323.0,12235,1338.3,-35.700000000000045,1321.6447755918973,1306.787771225913,1297.2880116328477,1275.419840543776,1268.4829775482067,1266.9628253913165,,,,30.325186241531128,25.57821397510105,4.7469722664300775
41,SOLARINDS,2021-03-03,1339.0,1354.0,1323.35,11880,1350.25,11.25,1331.1798507778562,1315.480956515147,1305.4433265004654,1282.3491127013406,1274.998667069958,1273.3857195072596,,,,32.05760699320581,26.874092578722006,5.183514414483803
42,SOLARINDS,2021-03-04,1353.95,1404.0,1340.2,30862,1398.2,44.25,1353.519901117203,1332.0258912020247,1319.7244253012236,1293.0587949117917,1284.7890419985047,1282.9818732752415,,,,36.74255202598215,28.847784468174034,7.894767557808116
43,SOLARINDS,2021-03-05,1400.0,1419.1,1365.0,13135,1377.2,-22.799999999999955,1361.4132675524777,1341.061204890888,1328.5725049585226,1300.8251992163825,1292.1139843443866,1290.2053952100237,,,,38.36710974849893,30.751649524239014,7.61546022425992
44,SOLARINDS,2021-03-08,1400.0,1412.0,1385.0,10844,1402.6,2.599999999999909,1375.1421785318228,1353.3695000145724,1339.9675438444986,1310.2061531287595,1300.8511830511159,1298.8001778064017,,,,41.167366038096816,32.834792827010574,8.332573211086242
45,SOLARINDS,2021-03-09,1408.95,1421.45,1350.0,28798,1389.3,-19.65000000000009,1379.861452392018,1360.5558504194225,1347.5606445982967,1317.4873135567555,1307.8306352426018,1305.7041334238618,,,,41.8565111744349,34.63913649649544,7.2173746779394605
46,SOLARINDS,2021-03-10,1417.0,1417.0,1369.0,46666,1375.35,-41.65000000000009,1378.3576349200523,1363.5147628179773,1351.837594425905,1322.8078834202158,1313.1479922255073,1311.0054731051166,,,,40.832121320788474,35.87773346135405,4.954387859434426
47,SOLARINDS,2021-03-12,1400.0,1400.0,1335.4,22149,1347.9,-52.09999999999991,1368.2050899108758,1360.3917406086591,1351.231611128688,1325.112742136642,1315.8798201692089,1313.8080997728312,,,,37.42351135585682,36.186889040254606,1.2366223156022116
48,SOLARINDS,2021-03-15,1354.65,1355.2,1295.7,19523,1324.25,-30.40000000000009,1353.5533932394494,1353.163263526587,1347.0794371398727,1325.033569150252,1316.5366858451118,1314.5998043879845,,,,32.479632751888175,35.44543778258132,-2.965805030693147
49,SOLARINDS,2021-03-16,1320.75,1330.9,1315.0,13920,1322.4,1.650000000000091,1343.1689288100133,1347.0105230064223,1343.2817053107344,1324.7920967781724,1316.9961066471838,1315.1901842801565,1286.7532343373712,,,28.09152103057795,33.97465443218065,-5.883133401602699
50,SOLARINDS,2021-03-17,1325.0,1325.0,1291.9,18345,1304.45,-20.549999999999955,1330.2626191931813,1338.498321212975,1337.3064048028411,1322.9283823923697,1316.0144604824293,1314.3785927326655,1287.5509188169508,,,22.927812070175605,31.765285959779643,-8.837473889604038
51,SOLARINDS,2021-03-18,1296.0,1306.0,1253.75,22495,1279.6,-16.40000000000009,1313.3750794503496,1326.718549369406,1328.4269975523118,1318.9615112698598,1313.1690365350778,1311.7544322931958,1287.1946176440192,,,16.672565259116027,28.74674181964692,-12.074176560530894
52,SOLARINDS,2021-03-19,1257.0,1348.0,1243.25,21808,1291.6,34.59999999999991,1306.1167196301935,1319.6947881693325,1322.7604962837468,1316.458078902732,1311.4856816229824,1310.2358079385033,1287.3909354168818,,,12.524688345243476,25.502331124766236,-12.97764277952276
53,SOLARINDS,2021-03-22,1320.0,1321.05,1279.65,4872,1290.5,-29.5,1300.9111464185164,1313.855796400682,1317.796743115831,1314.0844430577638,1309.8496900457014,1308.750620773009,1287.5287482185047,,,9.046122342822173,22.211089368377426,-13.164967025555253
54,SOLARINDS,2021-03-23,1297.0,1308.0,1260.0,13514,1300.0,3.0,1300.607430945615,1311.0846241603126,1315.0585026191516,1312.797230626178,1309.0826261717625,1308.0928822840367,1288.0787398477748,,,6.965620335114863,19.161995561724915,-12.196375226610051
55,SOLARINDS,2021-03-24,1290.0,1304.0,1260.0,6705,1288.45,-1.5499999999999545,1296.5549539631852,1306.5576823909498,1310.9645325836777,1310.5731515392438,1307.4773512977645,1306.6180379723282,1288.0950331073786,,,4.346494611349499,16.198895371649833,-11.852400760300334
56,SOLARINDS,2021-03-25,1268.5,1300.0,1253.9,6318,1286.3,17.799999999999955,1293.136635975143,1302.5061337858456,1307.169711263806,1308.3568129772768,1305.831143426003,1305.0940384528183,1288.016621858125,,,2.075672810987726,13.374250859517412,-11.298578048529686
57,SOLARINDS,2021-03-26,1290.05,1319.0,1280.0,8432,1294.6,4.5499999999999545,1293.6244239834584,1300.9249032423813,1305.235789718957,1307.1012038664842,1304.95880538198,1304.3076436347967,1288.302920433501,,,0.9281460841602893,10.88502990444599,-9.9568838202857
58,SOLARINDS,2021-03-30,1298.0,1307.25,1283.6,6143,1300.4,2.400000000000091,1295.8829493223977,1300.819922392802,1304.4917830678348,1306.4897946786577,1304.6049815808515,1304.01506796126,1288.8267613188648,,,0.4767151065748294,8.803366944871758,-8.326651838296929
59,SOLARINDS,2021-03-31,1317.6,1359.9,1263.0,8022,1282.65,-34.94999999999982,1291.471966214812,1297.1859323451679,1301.13135969216,1304.3153993148883,1302.9021589078325,1302.4166849367548,1288.5603773060377,,,-1.2853252445947874,6.785628506978449,-8.070953751573237
