,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,SONACOMS,2021-06-24,301.0,361.2,295.0,41848082,361.2,60.19999999999999,,,,,,,,,,,,
1,SONACOMS,2021-06-25,387.9,413.9,355.45,30784367,364.7,-23.19999999999999,,,,,,,,,,,,
2,SONACOMS,2021-06-28,357.0,361.7,337.3,5967165,347.5,-9.5,,,,,,,,,,,,
3,SONACOMS,2021-06-29,345.0,352.0,340.85,2476272,349.1,4.100000000000023,,,,,,,,,,,,
4,SONACOMS,2021-06-30,350.75,359.0,341.3,983870,342.3,-8.449999999999989,348.90853080568723,,,,,,,,,,,
5,SONACOMS,2021-07-01,342.0,350.0,333.25,1740419,344.95,2.9499999999999886,347.46203007518807,,,,,,,,,,,
6,SONACOMS,2021-07-02,343.0,385.0,341.3,4600866,377.45,34.44999999999999,358.0794317629918,,,,,,,,,,,
7,SONACOMS,2021-07-05,381.4,387.9,366.5,3150274,383.05,1.650000000000034,366.7409119746234,,,,,,,,,,,
8,SONACOMS,2021-07-06,382.65,395.7,376.0,3504682,388.0,5.350000000000023,374.0165301757864,368.54509435647117,,,,,,,,,,
9,SONACOMS,2021-07-07,384.25,420.8,378.5,5935443,405.35,21.100000000000023,384.6453399396812,376.79152974246216,,,,,,,,,,
10,SONACOMS,2021-07-08,404.75,412.4,396.1,2421453,402.45,-2.3000000000000114,390.64964248796394,382.4054564239526,,,,,,,,,,
11,SONACOMS,2021-07-09,400.0,426.8,398.05,3886823,422.25,22.25,401.2649105424343,390.96239336845093,386.9180383936639,,,,,,,,,
12,SONACOMS,2021-07-12,424.9,427.0,402.0,1845286,409.1,-15.799999999999955,403.89009583697697,394.80094108729276,390.7696696097777,,,,,,,,,
13,SONACOMS,2021-07-13,411.0,415.5,400.4,1526457,402.05,-8.949999999999989,403.27462226101085,396.3174496204681,392.69034971449656,,,,,,,,,
14,SONACOMS,2021-07-14,404.95,406.95,399.0,625983,401.8,-3.1499999999999773,402.7819564269389,397.45394663003697,394.2163720890889,,,,,,,,,
15,SONACOMS,2021-07-15,404.7,409.3,392.2,727281,394.7,-10.0,400.0838632694748,396.8872049437343,394.2962954145578,,,,,,,,,
16,SONACOMS,2021-07-16,400.0,409.0,399.2,1023571,401.5,1.5,400.55638844009843,397.83101670650296,395.47333236657573,,,,,,,,,
17,SONACOMS,2021-07-19,399.5,404.95,388.0,1220437,393.8,-5.699999999999989,398.30273404851965,397.0100236694596,395.20250670328164,,,,,,,,,
18,SONACOMS,2021-07-20,401.7,456.9,392.0,8324982,439.85,38.150000000000034,412.1580727451696,405.7033022838181,402.37125470733656,,,,,,,,,
19,SONACOMS,2021-07-22,428.0,452.0,411.1,9450575,440.5,12.5,421.60822376136326,412.7438133936742,408.4524827640235,,,,,,,,,
20,SONACOMS,2021-07-23,441.0,452.9,418.75,4378428,423.25,-17.75,422.15559224716964,414.86461162605167,410.79931792902784,403.4884269510091,,,,,,,,
21,SONACOMS,2021-07-26,424.0,424.0,402.6,3491888,405.55,-18.44999999999999,416.6196549136619,412.9878411791941,409.9707303400612,403.70209037394295,,,,,,,,
22,SONACOMS,2021-07-27,408.0,415.45,393.85,2330599,396.6,-11.399999999999977,409.9458419404172,409.6908107106331,407.8686141277447,402.9752765675345,,,,,,,,
23,SONACOMS,2021-07-28,400.45,424.3,395.5,4790986,418.75,18.30000000000001,412.8807356356653,411.5112453279275,409.5736126148064,404.57138855846847,,,,,,,,
24,SONACOMS,2021-07-29,420.75,438.95,416.1,2548002,435.4,14.649999999999977,420.3874543724801,416.3071145439757,413.60886188027496,407.6589600955673,405.91122041704637,,,,,,,
25,SONACOMS,2021-07-30,432.85,443.95,426.7,1833069,439.25,6.399999999999977,426.67513558535774,420.90960179937423,417.6055784966819,410.79391240768314,408.8414041412077,408.423984219576,,,,9.181594277105887,9.181594277105887,0.0
26,SONACOMS,2021-08-02,442.65,454.25,435.5,2478124,439.25,-3.3999999999999773,430.86683083470604,424.58657180746076,420.97250344624445,413.59444781781826,411.4850548857245,411.0341513091909,,,,9.938352137053528,9.332945849095417,0.605406287958111
27,SONACOMS,2021-08-03,443.0,446.8,432.2,909060,436.05,-6.949999999999989,432.59457416308186,426.88370073953166,423.3138982046913,415.78796766601874,413.5994974207213,413.13012980394467,,,,10.183768400746658,9.503110359425666,0.6806580413209922
28,SONACOMS,2021-08-04,439.75,439.75,421.0,1674935,421.95,-17.80000000000001,429.04635501893773,425.8954313187684,423.1024030303067,416.3858420726855,414.31175304963944,413.8620037355875,,,,9.240399294719168,9.450568146484366,-0.21016885176519828
29,SONACOMS,2021-08-05,424.9,425.0,408.0,1476251,409.5,-15.399999999999977,422.53086936708155,422.61228071142284,420.9956947780977,415.72180120845206,413.90474229372853,413.50323929460797,,,,7.492455483489721,9.058945613885438,-1.5664901303957173
30,SONACOMS,2021-08-06,410.2,422.5,408.0,1736766,411.45,1.25,418.83723340294597,420.3776114599055,419.51880338937116,415.3121113407566,413.69868269921415,413.3357343520639,,,,6.183069037307234,8.483770298569798,-2.3007012612625637
31,SONACOMS,2021-08-09,427.7,486.7,427.25,13161558,477.8,50.10000000000002,438.4915344904299,431.8711953232263,428.5281018590325,421.27525765558534,419.0420573164607,418.5555977363079,,,,9.972504122724615,8.781517063400761,1.190987059323854
32,SONACOMS,2021-08-10,481.25,559.4,474.0,20850838,489.35,8.100000000000023,455.44438252272033,443.3742471838789,437.9232249214401,427.7423214370239,424.8653315920682,424.2487545895338,,,,13.67447033190632,9.760107717101873,3.914362614804448
33,SONACOMS,2021-08-11,497.8,522.9,478.35,7578893,498.9,1.099999999999966,469.9296032703179,454.4850315841087,447.3364048587151,434.4747244801025,430.96129339052226,430.2142261694696,,,,17.122178689245516,11.232521911530602,5.889656777714913
34,SONACOMS,2021-08-12,503.7,508.75,486.85,1918516,491.25,-12.449999999999989,477.0364070608911,461.84100920631033,454.1119160830658,439.82655318624717,435.8986805720674,435.06336380803145,,,,19.048552275034353,12.795727984231352,6.252824290803002
35,SONACOMS,2021-08-13,494.15,517.4,494.15,2797664,501.8,7.650000000000034,485.29094181985846,469.8354016937356,461.46652213047776,445.6488494309001,441.26901198074734,440.3370827569114,,,,21.129439373566356,14.462470262098353,6.666969111468003
36,SONACOMS,2021-08-16,503.5,542.0,493.05,5838267,516.25,12.75,495.6106310297568,479.1207319645483,469.9122182021701,452.2616061048426,447.35146896554426,446.30639677768215,,,,23.605821424487942,16.291140494576272,7.31468092991167
37,SONACOMS,2021-08-17,515.4,523.8,494.0,2846613,496.35,-19.049999999999955,495.8570874033214,482.56730139610397,473.9867001923998,456.3797396499003,451.30961730044856,450.2236495327635,,,,23.763050659636292,17.785522527588277,5.977528132048015
