,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,STARHEALTH,2021-12-10,845.0,940.0,828.0,13464811,906.85,61.85000000000002,,,,,,,,,,,,
1,STARHEALTH,2021-12-13,901.0,924.6,887.35,2037074,897.05,-3.9500000000000455,,,,,,,,,,,,
2,STARHEALTH,2021-12-14,890.1,903.95,852.35,925078,861.5,-28.600000000000023,,,,,,,,,,,,
3,STARHEALTH,2021-12-15,862.95,866.55,801.05,860199,807.85,-55.10000000000002,,,,,,,,,,,,
4,STARHEALTH,2021-12-16,805.0,848.6,795.0,1029500,833.95,28.950000000000045,844.6760663507109,,,,,,,,,,,
5,STARHEALTH,2021-12-17,829.5,847.0,801.65,451968,819.35,-10.149999999999977,835.4215789473685,,,,,,,,,,,
6,STARHEALTH,2021-12-20,803.5,819.35,786.35,349122,796.7,-6.7999999999999545,821.7119961146188,,,,,,,,,,,
7,STARHEALTH,2021-12-21,797.0,809.7,795.35,284499,798.25,1.25,813.5737906423474,,,,,,,,,,,
8,STARHEALTH,2021-12-22,798.25,810.2,794.2,220739,799.9,1.6499999999999773,808.8941317615149,817.8277107193991,,,,,,,,,,
9,STARHEALTH,2021-12-23,803.0,805.0,797.55,188042,799.1,-3.8999999999999773,805.5718069797501,813.6316163761385,,,,,,,,,,
10,STARHEALTH,2021-12-24,799.15,802.55,784.65,190376,787.55,-11.600000000000023,799.494275524132,807.925107741728,,,,,,,,,,
11,STARHEALTH,2021-12-27,784.0,801.9,784.0,420859,796.2,12.200000000000045,798.3876545714854,805.4070463308367,809.1182978511157,,,,,,,,,
12,STARHEALTH,2021-12-28,800.0,800.0,792.0,507997,793.85,-6.149999999999977,796.8672910686445,802.9611738003002,806.4671413094201,,,,,,,,,
13,STARHEALTH,2021-12-29,791.2,811.2,784.55,237093,788.4,-2.800000000000068,794.035159280701,799.9149653769564,803.3908839958731,,,,,,,,,
14,STARHEALTH,2021-12-30,788.9,796.45,787.85,117938,790.7,1.8000000000000682,792.9208949214591,798.0047630314768,801.2649436662122,,,,,,,,,
15,STARHEALTH,2021-12-31,792.0,792.0,784.25,113435,787.65,-4.350000000000023,791.1612509973843,795.8738299924277,799.0149668775998,,,,,,,,,
16,STARHEALTH,2022-01-03,789.0,797.6,774.0,231314,779.5,-9.5,787.2702180918399,792.5236240630667,795.8263523446329,,,,,,,,,
17,STARHEALTH,2022-01-04,783.0,792.0,770.35,232422,773.6,-9.399999999999977,782.710393370444,788.669468964592,792.2290594597403,,,,,,,,,
18,STARHEALTH,2022-01-05,774.0,779.5,753.85,427959,761.7,-12.299999999999955,775.7037682741667,783.1967043210842,787.327213512573,,,,,,,,,
19,STARHEALTH,2022-01-06,755.0,787.0,755.0,695515,780.4,25.399999999999977,777.2696497548837,782.6308394794207,786.2223786997833,,,,,,,,,
20,STARHEALTH,2022-01-07,765.0,771.15,762.55,1692011,766.95,1.9500000000000455,773.8290767173102,779.4654762609408,783.1658459500887,790.5560273055282,,,,,,,,
21,STARHEALTH,2022-01-10,767.0,804.0,767.0,377827,794.8,27.799999999999955,780.8203189079377,782.5551789909624,785.0022589439703,790.9958767366131,,,,,,,,
22,STARHEALTH,2022-01-11,800.0,800.0,781.05,464034,787.65,-12.350000000000023,783.0970821424642,783.580193812316,785.418530849718,790.6534663646423,,,,,,,,
23,STARHEALTH,2022-01-12,790.0,833.0,784.15,629256,820.05,30.049999999999955,795.4154531788699,790.9087632404878,790.844917083893,793.6278551092794,,,,,,,,
24,STARHEALTH,2022-01-13,823.0,833.7,811.05,170775,822.35,-0.6499999999999773,804.3939910217853,797.2208570084274,795.7674353130059,796.5044581381641,797.279656405576,,,,,,,
25,STARHEALTH,2022-01-14,823.7,831.5,816.6,259710,829.25,5.5499999999999545,812.6795460982656,803.6461047264011,800.9864050022446,799.7539780172752,800.0895667150742,800.1910795200503,,,,0.7953254821943574,0.7953254821943574,0.0
26,STARHEALTH,2022-01-17,834.0,861.0,821.15,423845,858.6,24.600000000000023,827.9866334847259,814.6635222621696,809.9485595417965,805.5453703783497,805.1763241317593,805.136805982486,,,,4.811753559310546,1.5986110976175951,3.213142461692951
27,STARHEALTH,2022-01-18,861.0,865.65,835.7,289772,843.65,-17.350000000000023,833.2078169216617,820.472053142464,815.1820792948679,809.2675349773455,808.4879690939218,808.3636733745423,,,,6.818405920325631,2.6425700621592023,4.175835858166429
28,STARHEALTH,2022-01-19,840.0,840.0,818.0,123509,819.1,-20.899999999999977,828.5051744940168,820.1972172259896,815.7896182738818,810.2215350333128,809.3931216491541,809.2545751003172,,,,6.535043173564645,3.421064684440291,3.1139784891243543
29,STARHEALTH,2022-01-20,818.75,825.75,811.05,104577,815.45,-3.2999999999999545,824.1534269679009,819.2465969699144,815.7370189928141,810.7257456089322,809.9054535603321,809.7641340749306,,,,5.972884917883562,3.9314287311289453,2.0414561867546164
30,STARHEALTH,2022-01-21,811.05,828.75,802.3,232980,817.3,6.25,821.8689433694012,818.8568916304571,815.9788403839142,811.356253743614,810.5261774729271,810.3789161863548,,,,5.599924197559403,4.265127824415037,1.334796373144366
31,STARHEALTH,2022-01-24,819.85,819.85,775.0,218959,779.35,-40.5,807.695929395772,810.9492482237963,810.316634135457,808.3019342881514,807.9273853983441,807.8664125252027,,,,2.450221610254289,3.9021465815828877,-1.4519249713285989
32,STARHEALTH,2022-01-25,770.0,791.95,762.4,148007,776.5,6.5,797.297270195701,804.0550288483724,805.0929984224994,805.2807676949081,805.3244037442867,805.3439827748416,,,,-0.25098435234224326,3.071520394797862,-3.3225047471401052
33,STARHEALTH,2022-01-27,775.0,804.75,774.05,211217,788.55,13.549999999999955,794.3815104601534,800.9524498842636,802.5392028068339,803.6978285994098,803.9432113027458,804.0019552385775,,,,-1.4627524317435245,2.164665829489585,-3.6274182612331094
34,STARHEALTH,2022-01-28,797.0,809.7,793.1,116479,797.85,0.8500000000000227,795.5376744341113,800.3317081046303,801.8156968823306,803.1465925784421,803.4442033612503,803.513197976632,,,,-1.6975010943014013,1.3922324447313876,-3.089733539032789
35,STARHEALTH,2022-01-31,809.0,810.0,761.0,160188,768.0,-41.0,786.3584454201135,793.8632673546676,796.6005339241913,799.8446320695036,800.5558375406735,800.706843988907,,,,-4.106310064715785,0.29252394284195304,-4.398834007557738
36,STARHEALTH,2022-02-01,784.0,799.0,776.75,145061,788.1,4.100000000000023,786.938963790599,792.7103145600755,795.290048924648,798.7445877575544,799.5454201261775,799.715521124319,,,,-4.425472199671049,-0.6510752856606473,-3.7743969140104014
37,STARHEALTH,2022-02-02,788.1,799.8,775.15,105867,779.1,-9.0,784.3259753286957,789.9876861802691,792.7949052976653,796.9096595899376,797.893819477743,798.1018042509974,,,,-5.306898953332052,-1.5822400191949284,-3.7246589341371235
38,STARHEALTH,2022-02-03,788.9,788.9,772.0,83573,776.35,-12.549999999999955,781.6673165251326,787.259695679047,790.2611676703392,794.9940416422015,796.1601772636578,796.4062686380181,,,,-6.1451009676789,-2.494812208891723,-3.650288758787177
39,STARHEALTH,2022-02-04,777.0,782.1,768.0,154012,772.2,-4.7999999999999545,778.5115440646875,784.2473561346321,787.479040306154,792.8750367781395,794.238905088974,794.5266930849526,,,,-7.047652778798579,-3.4053803228730946,-3.642272455925484
40,STARHEALTH,2022-02-07,772.0,780.9,771.55,109545,772.6,0.6000000000000227,776.5410292576526,781.9176371694921,785.1875275253367,790.9940699557659,792.509409891473,792.8301863873247,,,,-7.642658861988025,-4.252836030696081,-3.3898228312919443
41,STARHEALTH,2022-02-08,775.05,783.95,770.0,170347,773.35,-1.6999999999999318,775.4773527956811,780.203963952399,783.3647340993427,789.3602292212406,790.9826725525121,791.32792418294,,,,-7.963190083597283,-4.994906841276322,-2.968283242320961
42,STARHEALTH,2022-02-09,776.0,788.95,771.25,803081,774.85,-1.1499999999999773,775.2682351915171,779.1330982825782,782.0537798105873,788.018850252259,789.7006660260223,790.0610443546672,,,,-8.007264544079817,-5.5973783818370215,-2.4098861622427954
43,STARHEALTH,2022-02-10,780.9,794.95,773.0,84144,788.55,7.649999999999977,779.6954902067675,781.016581172625,783.0538406887694,788.0678764539031,789.6094586358787,789.9451955003138,,,,-6.891354811544488,-5.856173667778515,-1.035181143765973
44,STARHEALTH,2022-02-11,781.1,810.0,768.05,86601,772.35,-8.75,777.246993442018,779.2831894382418,781.4062004328148,786.6191025582117,788.2445861786955,788.5996960401881,,,,-7.193495607373279,-6.1236380556974686,-1.0698575516758106
45,STARHEALTH,2022-02-14,755.0,759.95,728.15,1158504,735.35,-19.649999999999977,763.2813288504627,770.4962453702798,774.3173709384721,781.8994110083313,784.0707006688872,784.5374390191936,,,,-10.22006808072149,-6.942924060702273,-3.2771440200192163
46,STARHEALTH,2022-02-15,743.0,744.0,712.15,109225,729.35,-13.649999999999977,751.970885840441,762.2667668918455,767.3966206510612,777.0674056221355,779.7612777224975,780.3366533191629,,,,-12.940032668101708,-8.142345782182161,-4.797686885919546
47,STARHEALTH,2022-02-16,743.7,745.15,728.0,124234,735.15,-8.550000000000068,746.3639238738418,756.8432925659573,762.4339679772146,773.217044995484,776.2544203381019,776.9041301165244,,,,-14.470162139309764,-9.407909053607682,-5.062253085702082
48,STARHEALTH,2022-02-17,748.85,748.85,730.0,102268,733.85,-15.0,742.1926159060815,752.2445520084927,758.0352088458177,769.6043704948787,772.9266533379,773.6397670434159,,,,-15.60455819759818,-10.647238882405782,-4.957319315192398
49,STARHEALTH,2022-02-18,727.1,737.15,725.0,52797,727.4,0.2999999999999545,737.2617439296545,747.2755706871228,753.3209883769038,765.7346450864696,769.3594060372061,770.1399793407713,780.7547733467571,,,-16.818990963867577,-11.881589298698142,-4.9374016651694355
50,STARHEALTH,2022-02-21,727.0,732.0,708.0,211196,726.0,-1.0,733.5078292825115,743.0204079643289,749.1169207363426,762.094212614342,765.9668320826393,766.8045026669145,778.2866933758596,,,-17.68758193057181,-13.042787825072876,-4.644794105498933
51,STARHEALTH,2022-02-22,707.85,718.0,700.0,103346,702.95,-4.899999999999977,723.3218861812411,735.0062531670859,742.0131184440065,756.6793446656892,761.042700275697,761.9864681630871,774.9106618966587,,,-19.973349719080602,-14.428900203874422,-5.54444951520618
52,STARHEALTH,2022-02-23,706.95,714.0,675.0,167272,679.25,-27.700000000000045,708.6312574473342,723.8549210452179,732.3558747391165,749.5949725456773,754.659191046682,755.7523250353677,770.6477202092902,,,-23.396450296251146,-16.222410222349765,-7.174040073901381
53,STARHEALTH,2022-02-24,657.65,668.45,633.0,272531,637.3,-20.350000000000023,684.8541716241903,706.5438356354556,717.7301264178486,739.3265943254354,745.510160220893,746.8383817393199,764.7369317966395,,,-29.108255321471233,-18.79957924217406,-10.308676079297172
54,STARHEALTH,2022-02-25,635.55,669.0,635.55,1476539,661.5,25.950000000000045,677.0694477478525,697.535026375918,709.0784530027398,732.2138274724738,738.9677047070364,740.4239410141898,760.184105078481,,,-31.345488011450016,-21.308760996029253,-10.036727015420762
55,STARHEALTH,2022-02-28,661.7,703.5,645.75,116281,699.3,37.59999999999991,684.4796318329218,697.8880224214495,707.5739454338812,729.2072039892353,735.8814485443318,737.3362367963061,757.5121228475901,,,-29.76229136242489,-22.99946706930838,-6.762824293116509
56,STARHEALTH,2022-03-02,699.0,701.95,686.0,99662,693.9,-5.100000000000023,687.6197545555694,697.0904155497984,705.4701074842583,725.9833656017865,732.6180474659861,734.0782054796481,754.7333963719354,,,-28.608097995389812,-24.12119325452467,-4.486904740865143
57,STARHEALTH,2022-03-03,703.9,703.9,678.1,75147,686.6,-17.299999999999955,687.2798363703588,694.9923274159157,702.5668341590783,722.388774852827,729.0437637093297,730.5203173581184,751.7704047441663,,,-27.95348319904008,-24.887651243427754,-3.0658319556123246
58,STARHEALTH,2022-03-04,686.6,698.95,583.6,183244,652.05,-34.55000000000007,675.5365575797601,686.4038454804697,694.7946060862456,715.9711558604293,723.068025800772,724.6450359611024,747.4522034111209,,,-29.850429874856786,-25.880206969713562,-3.970222905143224
59,STARHEALTH,2022-03-07,647.0,648.4,610.5,296551,620.8,-26.200000000000045,657.2910383860105,673.2830562768247,683.4103155640927,707.290723715065,715.1361442632204,716.8760860583764,741.9900978777547,,,-33.465770494283674,-27.397319674627585,-6.068450819656089
60,STARHEALTH,2022-03-08,620.0,634.85,604.65,405943,610.45,-9.549999999999955,641.677358923724,660.7164296148204,672.1852303238871,698.4606576285761,707.0218801413645,708.9199186190353,736.3392940415032,,,-36.7346882951482,-29.26479339873171,-7.469894896416491
61,STARHEALTH,2022-03-09,612.0,638.0,610.5,443379,631.9,19.899999999999977,638.4182392824433,654.9531380392364,665.9873057455726,692.3932200715541,701.2025715030347,703.1660214842516,731.8694391712908,,,-37.17871573867899,-30.84757786672117,-6.331137871957818
62,STARHEALTH,2022-03-10,645.0,647.95,625.9,199923,635.9,-9.100000000000023,637.5788261882888,651.1425074414245,661.3583650858443,687.2447688815488,696.1466539808893,698.1439815808968,727.7767459144007,,,-36.78561649505252,-32.03518559238744,-4.75043090266508
63,STARHEALTH,2022-03-11,644.0,644.0,630.0,94736,636.55,-7.4500000000000455,637.235884125524,648.2240041211653,657.5416067477175,682.6257922366066,691.534810729461,693.5481027230089,723.8996076082797,,,-36.00649597529139,-32.829447668968236,-3.177048306323151
64,STARHEALTH,2022-03-14,637.5,641.95,620.2,184707,631.45,-6.0499999999999545,635.3072560836758,644.8692016122573,653.5274361689941,677.9639406977603,686.887335186217,688.9171168292729,719.9833599136037,,,-35.38968066027883,-33.34149426723036,-2.048186393048468
