,Script_Name,trnx,open,high,low,volume,cls,Gain,ema5,ema9,ema12,ema21,ema25,ema26,ema50,ema100,ema200,MACD,Signal,MACDS
0,TATACHEM,2021-01-04,484.9,494.4,482.35,3206596,489.25,4.350000000000023,,,,,,,,,,,,
1,TATACHEM,2021-01-05,488.0,490.65,482.45,1724507,486.55,-1.4499999999999886,,,,,,,,,,,,
2,TATACHEM,2021-01-06,487.0,504.6,481.7,7590353,491.05,4.050000000000011,,,,,,,,,,,,
3,TATACHEM,2021-01-07,494.0,505.5,492.6,6607905,498.45,4.449999999999989,,,,,,,,,,,,
4,TATACHEM,2021-01-08,504.9,509.0,496.25,4156351,500.0,-4.899999999999977,495.73127962085306,,,,,,,,,,,
5,TATACHEM,2021-01-11,503.35,504.75,491.05,2784015,500.3,-3.0500000000000114,497.40075187969927,,,,,,,,,,,
6,TATACHEM,2021-01-12,500.0,535.0,496.55,15935064,523.0,23.0,506.46430305973774,,,,,,,,,,,
7,TATACHEM,2021-01-13,528.9,551.75,528.0,16661781,541.95,13.050000000000068,518.7731403647899,,,,,,,,,,,
8,TATACHEM,2021-01-14,548.0,554.0,534.1,5733798,535.95,-12.049999999999955,524.6516744040479,517.7655028353365,,,,,,,,,,
9,TATACHEM,2021-01-15,539.8,539.95,521.2,6761899,533.9,-5.899999999999977,527.7888530805687,521.3805668064962,,,,,,,,,,
10,TATACHEM,2021-01-18,533.9,535.1,503.75,5626246,510.45,-23.44999999999999,521.9416355890097,518.9890212457948,,,,,,,,,,
11,TATACHEM,2021-01-19,516.3,531.7,512.4,5481389,528.85,12.550000000000068,524.262309967858,521.1067459287171,519.3256224939769,,,,,,,,,
12,TATACHEM,2021-01-20,529.8,543.0,526.2,6082428,536.0,6.2000000000000455,528.1950807972356,524.2586759271335,522.2209278800037,,,,,,,,,
13,TATACHEM,2021-01-21,536.7,546.95,523.65,6349869,528.6,-8.100000000000023,528.3305178025778,525.1668841623074,523.3070801896971,,,,,,,,,
14,TATACHEM,2021-01-22,531.8,537.2,517.0,3588732,519.3,-12.5,525.313455261925,523.9507172610706,522.635825659104,,,,,,,,,
15,TATACHEM,2021-01-25,524.8,525.6,503.85,4117136,507.1,-17.699999999999932,519.2330464574209,520.4829652676992,520.0684079758668,,,,,,,,,
16,TATACHEM,2021-01-27,507.95,514.9,489.2,5431254,492.85,-15.099999999999966,510.4297626641676,514.8290575302618,515.6211029007201,,,,,,,,,
17,TATACHEM,2021-01-28,482.85,495.4,481.0,3861384,489.75,6.899999999999977,503.5318410366435,509.7212316126119,511.4339140653212,,,,,,,,,
18,TATACHEM,2021-01-29,504.0,504.65,471.6,5600660,475.3,-28.69999999999999,494.1169803801209,502.73632213579515,505.6321342741699,,,,,,,,,
19,TATACHEM,2021-02-01,481.5,496.65,466.0,4358295,494.05,12.550000000000011,494.09464687042083,500.9787947980094,503.7848770575012,,,,,,,,,
20,TATACHEM,2021-02-02,499.5,523.4,497.85,4910238,519.6,20.100000000000023,502.5981360755556,504.7377056718504,506.2931009756384,508.4230963886568,,,,,,,,
21,TATACHEM,2021-02-03,522.95,528.0,513.75,3559483,517.6,-5.350000000000023,507.59942584200104,507.32928703272444,508.07785783890193,509.37419954674925,,,,,,,,
22,TATACHEM,2021-02-04,517.6,535.0,513.0,4375696,529.7,12.100000000000023,514.9669403754887,511.8299971293161,511.4772424967222,511.45430154741206,,,,,,,,
23,TATACHEM,2021-02-05,532.0,534.6,519.0,2596192,525.0,-7.0,518.3114922607172,514.4764954383645,513.5961160809021,512.8248771913092,,,,,,,,
24,TATACHEM,2021-02-08,529.8,540.0,525.95,2779603,535.75,5.9500000000000455,524.1245583836004,518.7473311116817,517.0575542789161,515.1208922681755,514.7298096132602,,,,,,,
25,TATACHEM,2021-02-09,538.5,586.75,534.55,19308883,571.95,33.450000000000045,540.0667931533487,529.4201214187692,525.6137091931124,520.7603565978815,519.7589580302696,519.5585653110569,,,,6.055143882055518,6.055143882055518,0.0
26,TATACHEM,2021-02-10,577.7,577.8,552.6,7824688,561.05,-16.65000000000009,547.0613185458282,535.7614294770991,531.1260455528239,524.7255036913919,523.3487026653738,523.0718178214498,,,,8.054227731374112,6.454960651919237,1.5992670794548758
27,TATACHEM,2021-02-11,561.0,581.0,558.1,7590816,563.1,2.1000000000000227,552.4076084303911,541.2397401756814,536.0913028210001,528.4740296075981,526.7703196693865,526.4256200476822,,,,9.66568277331794,7.097105076198978,2.568577697118962
28,TATACHEM,2021-02-12,566.0,569.4,554.25,2989444,560.95,-5.0499999999999545,555.2550945617936,545.1879016244689,539.9460586061189,531.6250276025629,529.6856735033593,529.2904574128098,,,,10.655601193309053,7.808804299620993,2.84679689368806
29,TATACHEM,2021-02-15,565.0,584.0,555.7,6137722,568.65,3.6499999999999773,559.7200863265522,549.8861374337976,544.3916576720105,535.1955560011944,532.9815408966676,532.5276862529182,,,,11.863971419092309,8.619837723515257,3.2441336955770517
30,TATACHEM,2021-02-16,572.0,589.9,568.85,9104300,583.7,11.700000000000045,567.7134186750268,556.6556141120179,550.4733681853747,539.8474061868242,537.2390245208862,536.7023655007589,,,,13.771002684615837,9.650070715735374,4.120931968880463
31,TATACHEM,2021-02-17,584.0,594.5,575.55,6047258,580.35,-3.6499999999999773,571.9256222131476,561.3982487919259,555.091795893447,543.7125214630837,540.8326806546427,540.236644327043,,,,14.85515156640406,10.691086885869112,4.164064680534949
32,TATACHEM,2021-02-18,586.0,599.35,582.2,7810691,591.1,5.100000000000023,578.3170913516151,567.3423665657726,560.6539621391184,548.2143063481342,544.9960849084852,544.32698272483,,,,16.326979414288417,11.818265391552973,4.508714022735443
33,TATACHEM,2021-02-19,590.9,628.65,586.0,22374011,618.6,27.700000000000045,591.7447414001329,577.5990940313093,569.5992774716182,554.8736699994039,551.0565787860598,550.262229635647,,,,19.337047835971134,13.322021880436605,6.015025955534529
34,TATACHEM,2021-02-22,626.0,643.0,616.0,16020738,637.15,11.149999999999977,606.87983799429,589.514108529137,580.021805557317,562.6293139958667,558.107261711977,557.1652429205176,,,,22.856562636799367,15.228930031709158,7.627632605090209
35,TATACHEM,2021-02-23,643.9,659.5,637.2,13630689,654.0,10.100000000000023,622.5865658540439,602.4154735556282,591.4309550038009,571.213429118461,565.9216088109854,564.8174010522412,,,,26.613553951559766,17.505854815679278,9.107699135880488
36,TATACHEM,2021-02-24,659.0,677.0,648.5,6377043,672.3,13.299999999999955,639.1577156273304,616.3960083988599,603.8981331057936,580.6815594655523,574.5510228212802,573.2691561446348,,,,30.62897696115874,20.13047924477517,10.498497716383572
37,TATACHEM,2021-02-25,680.0,738.0,675.75,24769312,732.6,52.60000000000002,670.3051500895857,639.6416346467735,623.7331344980975,594.871698202869,587.3183707936789,585.7410635788203,,,,37.992070919277126,23.70279757967556,14.289273339601564
38,TATACHEM,2021-02-26,730.0,757.5,712.5,27465351,739.5,9.5,693.3701031886367,659.6166266322391,641.569835762739,608.347240901483,599.5645046267676,597.7264487683713,,,,43.843386994367734,27.730915462614,16.112471531753734
39,TATACHEM,2021-03-01,750.0,755.0,731.75,8707722,743.45,-6.5499999999999545,710.063403635462,676.3855302754093,657.2633721921501,620.9068127480102,611.1021153697611,609.041634454226,,,,48.22173773792406,31.82907991767601,16.392657820248047
40,TATACHEM,2021-03-02,745.0,746.0,723.1,7804433,733.65,-11.350000000000023,717.9256028976677,687.8396422304297,669.0276345574342,631.3662854971938,620.896787376521,618.6828022267597,,,,50.344832330674535,35.53223040027572,14.812601930398813
41,TATACHEM,2021-03-03,738.0,782.0,735.45,12732034,776.45,38.450000000000045,737.4337360492323,705.5632215397233,685.5689926336306,644.8010362811799,633.292205568043,630.8494054406108,,,,54.719587193019834,39.36970175882455,15.349885434195286
42,TATACHEM,2021-03-04,764.9,792.05,759.75,10104938,772.3,7.399999999999977,749.0558243442512,718.9114856675609,698.9223615995264,656.5875095264842,644.338664182675,641.7246165991874,,,,57.19774500033907,42.93531040712745,14.262434593211616
43,TATACHEM,2021-03-05,774.8,779.35,738.0,7005537,748.55,-26.25,748.8872162264888,724.8395112864629,706.5622903879264,665.075834374288,652.5989619131335,649.9147125712877,,,,56.64757781663866,45.6777638890297,10.96981392760896
44,TATACHEM,2021-03-08,761.0,777.0,753.05,7124305,768.5,7.5,755.4248108955188,733.5719893822347,716.0963507953791,674.6088162488841,661.7643788581848,658.982894860672,,,,57.113455934707076,47.96490229816517,9.148553636541905
45,TATACHEM,2021-03-09,775.0,775.9,751.5,3961473,762.8,-12.200000000000045,757.8832072831981,739.417795202391,723.284833624268,682.7274523075412,669.7370495136206,666.9027854067754,,,,56.38204821749264,49.64833148203067,6.733716735461968
46,TATACHEM,2021-03-10,769.5,774.2,763.0,2868563,767.0,-2.5,760.9221382048842,744.9343899421298,730.0128620578855,690.4764526587317,677.3968050638248,674.5220363658547,,,,55.49082569203085,50.81683032403071,4.673995368000142
47,TATACHEM,2021-03-12,774.0,795.0,770.0,8922262,783.85,9.850000000000023,768.564758830225,752.7176855269954,738.2982268857777,699.0533630117845,685.7650068238511,682.8269393472902,,,,55.471287538487445,51.74772176692206,3.723565771565383
48,TATACHEM,2021-03-15,790.0,794.4,765.3,5671286,782.25,-7.75,773.1265058975481,758.6242537982956,745.0619226568263,706.6882355052094,693.3368489513048,690.3651933297014,,,,54.6967293271249,52.337523278962635,2.359206048162264
49,TATACHEM,2021-03-16,786.9,786.9,770.6,4118140,777.2,-9.699999999999932,774.4843372671617,762.3394560637751,750.0074081864087,713.1534703483723,699.9079579011711,696.9375315566842,653.5672703592281,,,53.06987662972449,52.48399394911501,0.5858826806094797
50,TATACHEM,2021-03-17,777.0,777.0,729.35,5788155,733.05,-43.950000000000045,760.6728914970005,756.4814979649626,747.3980556241664,714.9763624987567,702.5010937187873,699.666402252299,657.1499668269191,,,47.731653371867424,51.5335258336655,-3.8018724617980766
51,TATACHEM,2021-03-18,743.0,752.9,705.25,8695141,715.15,-27.850000000000023,745.4985943207566,748.2151228637155,742.4359787125478,714.9922596440326,703.4894785627075,700.8346911759627,659.7490978613821,,,41.60128753658512,49.54707817424943,-7.9457906376643095
52,TATACHEM,2021-03-19,709.3,759.0,690.2,18059484,752.05,42.75,747.6823962148526,748.9821038956925,743.915270195487,718.3828452642773,707.2793832328782,704.6937339007504,663.8623180263596,,,39.22153629473655,47.48196979834685,-8.260433503610301
53,TATACHEM,2021-03-22,752.0,771.0,743.4,9238739,763.75,11.75,753.0382641448941,751.9357003832985,746.9671359211703,722.5312687692846,711.6816921525792,709.1379202611942,668.2899524264803,,,37.82921565997617,45.55141897067272,-7.72220331069655
54,TATACHEM,2021-03-23,766.95,774.0,756.25,4371135,766.15,-0.8000000000000682,757.4088427641655,754.7785736022031,749.9186476062619,726.5176935686114,715.9235181420762,713.4232207162466,672.6056544865786,,,36.49542689001521,43.74022055454122,-7.244793664526007
55,TATACHEM,2021-03-24,759.0,769.8,734.3,3847722,737.65,-21.350000000000023,750.8225618418701,751.352846064594,748.0310000225276,727.5346112749222,717.6138979869179,715.2422372485963,675.4602145594869,,,32.78876277393124,41.549928998419226,-8.761166224487987
56,TATACHEM,2021-03-25,742.0,743.95,712.0,7066714,731.05,-10.950000000000045,744.231707893975,747.2922646977245,745.4183471899792,727.8555952056284,718.6583447918429,716.4279335678214,677.8885065526595,,,28.990413622157803,39.03802592316694,-10.047612301009138
57,TATACHEM,2021-03-26,740.5,757.45,735.0,5428127,744.15,3.6499999999999773,744.204471929315,746.6638102533301,745.2232047634293,729.3428148944148,720.6383160022283,718.5053501396332,680.7700926878373,,,26.717854623796143,36.57399166329278,-9.856137039496637
58,TATACHEM,2021-03-30,749.35,761.75,743.05,4161789,752.25,2.8999999999999773,746.8863146196528,747.7810503428709,746.3043068575895,731.4328368844704,723.0918022239434,721.0319018377565,683.8653933119494,,,25.272405019832945,34.31367433460082,-9.041269314767874
59,TATACHEM,2021-03-31,746.0,765.0,743.85,3557369,751.8,5.7999999999999545,748.5242097464798,748.584841506103,747.1498356151976,733.2904982296493,725.3184025922724,723.3337529663378,686.7951961981523,,,23.816082648859833,32.21415599745262,-8.398073348592789
60,TATACHEM,2021-04-01,758.8,791.7,755.1,7295960,779.1,20.300000000000068,758.7161398311713,754.6878806871866,752.065430015868,737.4674695750049,729.4870353118456,727.5027082976474,690.760499157807,,,24.562721718220587,30.683869141606216,-6.121147423385629
